Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
Amon-Ra St. Brown,DET,WR,53,No,No,No,19,No,No,0.5263,0.4211,17,12,12,1,0.6316,12,1,81,122,34,-41,12,12,1,-3.4167,134.4,4.2632,6.75,1.968,6.75,10.1667,2.8333,19.708,19.708,0.2264,26.1,38.1,32.1,38.1,38.1,38.1,32.1,38.1,38.1,38.1,32.1,38.1,38.1,0.0526,6,0.5,5,5,,,,3,,,,,,
Isaiah Williams,NYJ,WR,28,No,No,Yes,18,No,Yes,0.6111,0.3333,15,12,10,0.8333,0.6667,10,0.8333,40,77,18,-45,12,12,1,-3.75,80.6,2.2222,3.3333,-1.2874,4,7.7,1.8,18.5065,18.5065,0.4286,4,14,9,14,14,14,9,14,14,14,9,14,14,0.0556,1,0.1,,2,,,,,1,1,,,,
Calvin Austin,PIT,WR,36,No,No,No,18,No,Yes,0.5556,0.4444,14,8,8,1,0.4444,7,0.875,50,59,37,-10,8,8,1,-1.25,92.7,2.7778,6.25,0.5891,7.1429,8.4286,5.2857,12.1953,12.1953,0.2222,5,12,8.5,12,12,12,8.5,12,12,12,8.5,12,12,,1,0.1429,,2,1,0.125,,,1,1,,,,
Bijan Robinson,ATL,RB,47,Yes,No,No,38,No,Yes,0.2895,0.1842,17,30,30,1,0.7895,29,0.9667,225,368,108,-149,30,30,1,-4.9667,109,5.9211,7.5,2.0899,7.7586,12.6897,3.7241,46.5203,46.5203,0.6383,28.5,57.5,43,72,57.5,60.5,46,57.5,57.5,57.5,43,57.5,57.5,0.5263,11,0.3793,2,9,1,0.0333,,1,1,1,,,,
LeQuint Allen,JAX,RB,11,No,No,No,7,No,Yes,0.1429,0.1429,17,2,2,1,0.2857,2,1,9,15,7,-6,2,2,1,-3,85.4,1.2857,4.5,-1.384,4.5,7.5,3.5,2.7348,2.7348,0.1818,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,0.7143,,,,,,,,,,,,,,
Jaleel McLaughlin,DEN,RB,5,No,No,No,1,No,Yes,,,8,1,1,1,1,,,,,,-6,1,1,1,-6,39.6,,,-5.0893,,,,1.2932,1.2932,0.2,,,,,,,,,,,,,,1,,,,,1,1,,,1,,,,,
Colston Loveland,CHI,TE,30,No,No,No,4,No,No,0.25,0.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,
Darren Waller,MIA,TE,10,Yes,No,No,3,No,Yes,0.6667,0.3333,9,1,1,1,0.3333,1,1,8,12,,-4,1,1,1,-4,100,2.6667,8,1.6636,8,12,,1.4435,1.4435,0.1,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,,,,1,,,,,,,,,,
Pat Freiermuth,PIT,TE,44,No,No,No,20,No,Yes,0.6,0.05,17,9,9,1,0.45,9,1,64,85,48,-21,9,9,1,-2.3333,96.3,3.2,7.1111,1.7458,7.1111,9.4444,5.3333,13.8684,13.8684,0.2045,6.4,15.4,10.9,15.4,19.9,15.4,10.9,15.4,15.4,15.4,10.9,19.9,15.4,,3,0.3333,2,3,,,0.35,,,,,,,
Isiah Pacheco,KC,RB,35,Yes,No,No,7,No,Yes,,0.1429,13,4,4,1,0.5714,2,0.5,-3,7,3,-18,4,4,1,-4.5,56.3,-0.4286,-0.75,-6.6831,-1.5,3.5,1.5,6.0738,6.0738,0.1143,-0.3,1.7,0.7,2.7,1.7,1.7,0.7,1.7,1.7,1.7,0.7,1.7,1.7,0.8571,,,1,,2,0.5,,,,,,,,
