teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage
20,Miami,Dolphins,,NE,AFC,AFC East,Closed,Closed,Cover 3,17,132,132,1,12,121,0.9166666666666666,0.9696969696969697,0.22786507856060612,90,0.05303030303030303,1525,11.553030303030303,0.46295081967213114,14.128787878787879,1025,17,3,No,No,30,0.22727272727272727,-0.13966931818181816,Yes,0.015151515151515152,15,0.11363636363636363,0.11363636363636363,0.6666666666666666,0.13636363636363635,1,2.702272727272727,2.6666666666666665,7.765151515151516,154.4,No,Yes,77,,
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,171,171,1,15,158,0.9239766081871345,0.935672514619883,0.2227245073216374,54,0.011695906432748537,2274,13.298245614035087,0.4261213720316623,15.75438596491228,1600,21,1,No,No,37,0.21637426900584794,-0.12614181286549708,No,0.017543859649122806,30,0.17543859649122806,0.15789473684210525,0.7660818713450293,0.08187134502923976,1,2.560233918128655,2.5216216216216214,9.35672514619883,158.3,No,Yes,105,,
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Closed,Cover 1,17,158,158,1,14,144,0.9113924050632911,0.9430379746835443,0.22644641442405067,54,0.03164556962025317,2040,12.91139240506329,0.39656862745098037,14.683544303797468,1459,14,2,No,No,25,0.15822784810126583,-0.17294873417721518,Yes,0.0379746835443038,26,0.16455696202531644,0.13291139240506328,0.7784810126582279,0.11392405063291139,1,2.4949367088607595,2.56,9.234177215189874,148.3,No,Yes,89,,
12,Green Bay,Packers,,MIN,NFC,NFC North,Closed,Closed,Cover 1,17,90,90,1,7,81,0.9,0.9222222222222223,0.20902504053333337,35,0.022222222222222223,1066,11.844444444444445,0.34146341463414637,14.733333333333333,846,13,,Yes,No,27,0.3,-0.05543333333333334,Yes,0.044444444444444446,11,0.12222222222222222,0.14444444444444443,0.6888888888888889,0.044444444444444446,1,2.6355555555555554,2.4444444444444446,9.4,155.6,No,Yes,58,,0.011111111111111112
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,147,147,1,13,127,0.8639455782312925,0.9319727891156463,0.20848738063265304,143,0.06802721088435375,1687,11.476190476190476,0.45406046235921754,14.197278911564625,1292,20,,Yes,No,27,0.1836734693877551,-0.15776428571428572,No,0.006802721088435374,16,0.10884353741496598,0.05442176870748299,0.8163265306122449,0.07482993197278912,1,2.554421768707483,2.4592592592592593,8.789115646258503,154.1,No,Yes,95,,0.006802721088435374
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Open,Open,Red Zone,17,102,102,1,6,93,0.9117647058823529,0.9411764705882353,0.20323062697058825,8,0.029411764705882353,1290,12.647058823529411,0.4263565891472868,13.92156862745098,844,11,,No,No,22,0.21568627450980393,-0.07966519607843137,No,0.0196078431372549,12,0.11764705882352941,0.10784313725490197,0.8137254901960784,0.049019607843137254,1,2.2872549019607846,2.4227272727272724,8.27450980392157,146.5,No,Yes,58,2,
15,Jacksonville,Jaguars,True,TEN,AFC,AFC South,Closed,Closed,Cover 3,17,118,118,1,10,104,0.8813559322033898,0.9322033898305084,0.19529805178813564,53,0.05084745762711865,1299,11.008474576271187,0.4126250962278676,13.55084745762712,979,15,2,No,No,22,0.1864406779661017,-0.1369843220338983,No,0.00847457627118644,16,0.13559322033898305,0.09322033898305085,0.8220338983050848,0.1016949152542373,1,2.45,2.3045454545454547,8.296610169491526,152.1,No,Yes,62,,
13,Houston,Texans,True,IND,AFC,AFC South,Open,Open,Prevent,17,154,154,1,9,131,0.8506493506493507,0.9025974025974026,0.1907448164935066,87,0.05194805194805195,1767,11.474025974025974,0.36445953593661573,13.032467532467532,1502,12,4,No,No,38,0.24675324675324675,-0.08686493506493508,No,0.01948051948051948,26,0.16883116883116883,0.19480519480519481,0.7077922077922078,0.08441558441558442,1,2.509090909090909,2.5289473684210524,9.753246753246753,140.4,No,Yes,79,,
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Open,Cover 0,17,148,148,1,7,132,0.8918918918918919,0.9324324324324325,0.22634856481081078,148,0.04054054054054054,1829,12.358108108108109,0.36030617823947514,13.641891891891891,1483,14,4,Yes,Yes,41,0.27702702702702703,-0.07472060810810811,Yes,,24,0.16216216216216217,0.14864864864864866,0.7635135135135135,0.08108108108108109,1,2.614189189189189,2.473170731707317,10.02027027027027,144.1,No,Yes,86,2,0.02027027027027027
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 4,17,120,120,1,7,111,0.925,0.9416666666666667,0.23696328784999998,44,0.016666666666666666,1600,13.333333333333334,0.355,15.458333333333334,1214,15,3,No,Yes,33,0.275,-0.11929374999999999,No,0.025,20,0.16666666666666666,0.15,0.7166666666666667,0.1,1,2.8608333333333333,2.663636363636364,10.116666666666667,154.9,No,Yes,70,1,
21,Minnesota,Vikings,True,GB,NFC,NFC North,Closed,Closed,Cover 1,17,94,94,1,4,86,0.9148936170212766,0.9893617021276596,0.23712216746808512,61,0.07446808510638298,1113,11.840425531914894,0.4276729559748428,13.702127659574469,719,11,3,Yes,No,20,0.2127659574468085,-0.12625744680851064,Yes,0.031914893617021274,9,0.09574468085106383,0.0851063829787234,0.6702127659574468,0.1595744680851064,1,2.540425531914894,2.415,7.648936170212766,150.6,No,Yes,40,1,
9,Dallas,Cowboys,,NYG,NFC,NFC East,Open,Closed,Cover 3,17,132,132,1,16,126,0.9545454545454546,0.9848484848484849,0.2686588257121213,43,0.030303030303030304,1947,14.75,0.41756548536209553,17.136363636363637,1274,18,4,No,No,33,0.25,-0.10753295454545454,Yes,0.030303030303030304,20,0.15151515151515152,0.15151515151515152,0.6818181818181818,0.14393939393939395,1,2.647727272727273,2.4787878787878785,9.651515151515152,155.2,No,Yes,83,1,
