teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsAirTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingTowThrowPercentage,opponentStatsPassingRunPassOptionPercentage
1,Arizona,Cardinals,True,ATL,NFC,NFC South,Open,Open,Cover 4,13,4,4,-0.7395498927499999,30,No,No,3,0.75,0.17645,No,1,,,0.5,,3.9,3.1666666666666665,7.5,39.6,No,No,,,,,0.25,
4,Buffalo,Bills,True,NYJ,AFC,AFC East,Closed,Closed,Cover 3,13,9,9,-0.7290326227777777,67,No,No,2,0.2222222222222222,-0.06957777777777777,No,1,1,0.1111111111111111,0.6666666666666666,0.1111111111111111,2.266666666666667,2.9499999999999997,7.444444444444445,39.6,No,No,1,,,,,
6,Chicago,Bears,True,DET,NFC,NFC North,Closed,Open,Cover 2,13,9,9,-0.6211443277777778,120,No,Yes,2,0.2222222222222222,-0.13474444444444444,No,1,2,0.2222222222222222,0.6666666666666666,,2.6444444444444444,2.5,13.333333333333334,39.6,No,No,4,,,,0.2222222222222222,
14,Indianapolis,Colts,,HST,AFC,AFC South,Closed,Closed,Cover 3,11,9,9,-0.69394595525,81,No,No,4,0.4444444444444444,0.08172777777777777,No,1,2,0.2222222222222222,0.6666666666666666,0.3333333333333333,2.677777777777778,2.65,9.444444444444445,,No,No,3,-5,1,,0.1111111111111111,
10,Denver,Broncos,True,LAC,AFC,AFC West,Open,Open,Cover 0,16,8,8,-0.701577110375,77,No,Yes,2,0.25,-0.07126874999999999,Yes,1,1,0.125,0.875,0.125,2.4375,2,9.625,39.6,No,No,1,,,,,0.125
28,Seattle,Seahawks,True,LA,NFC,NFC West,Open,Closed,Cover 3,13,14,14,-0.6726284175,163,Yes,Yes,6,0.42857142857142855,-0.004514285714285725,No,1,2,0.14285714285714285,0.5714285714285714,0.2857142857142857,3.085714285714286,2.4499999999999997,11.642857142857142,9.8,No,No,2,-3.2142857142857144,1,,0.21428571428571427,
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Open,Cover 4,10,7,7,-0.6728059035,64,No,Yes,3,0.42857142857142855,0.022592857142857144,No,1,1,0.14285714285714285,0.2857142857142857,0.14285714285714285,2.9285714285714284,2.9333333333333336,9.142857142857142,,No,No,,-6.428571428571429,1,1,0.2857142857142857,
22,New England,Patriots,,NYJ,AFC,AFC East,Open,Open,Cover 4,13,10,10,-0.7035291208000001,108,No,No,4,0.4,0.012749999999999994,No,1,2,0.2,0.8,,2.82,2.525,10.8,39.6,No,No,,,,,,
30,Tampa Bay,Buccaneers,,CAR,NFC,NFC South,Open,Open,Cover 0,11,9,9,-0.7660992422222223,58,No,No,3,0.3333333333333333,0.028116666666666665,Yes,1,,,0.6666666666666666,,2.3444444444444446,1.9333333333333333,6.444444444444445,39.6,No,No,1,,,,,
17,Los Angeles,Rams,,ATL,NFC,NFC South,Open,Closed,Cover 3,13,10,10,-0.5919325605555555,138,No,No,6,0.6,0.17824999999999996,Yes,1,4,0.4,0.7,0.1,3.02,2.316666666666667,14.1,39.6,No,No,1,,,1,0.1,
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Closed,Red Zone,12,10,10,-0.6711437035,119,No,No,4,0.4,0.05415000000000001,No,1,2,0.2,0.9,0.1,2.58,2,11.9,,No,No,1,-4.5,1,2,0.2,
12,Green Bay,Packers,,CHI,NFC,NFC North,Closed,Closed,Cover 3,12,12,12,-0.79199509625,57,No,No,6,0.5,0.147825,No,1,,,0.5833333333333334,0.16666666666666666,2.6166666666666667,2.2333333333333334,4.75,39.6,No,No,1,,,,,
20,Miami,Dolphins,,NYJ,AFC,AFC East,Open,Open,Cover 6,8,10,10,-0.6319147364,136,No,Yes,5,0.5,0.06444999999999998,No,1,2,0.2,0.6,,3.1,2.6599999999999997,13.6,,No,No,1,-4.5,1,,0.1,
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 3,12,10,10,-0.6584717871,118,No,No,4,0.4,-0.026924999999999956,No,1,3,0.3,0.7,0.1,3.05,3.1,11.8,39.6,No,No,,,,,0.1,
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Open,Open,Cover 0,12,6,6,-0.8120875232,15,No,Yes,4,0.6666666666666666,0.3374916666666667,Yes,1,,,0.5,0.3333333333333333,2.4833333333333334,2.175,2.5,39.6,No,No,,,,1,0.16666666666666666,
15,Jacksonville,Jaguars,True,TEN,AFC,AFC South,Closed,Open,Cover 4,13,15,15,-0.6797073697999999,159,No,Yes,6,0.4,0.03345000000000002,No,1,2,0.13333333333333333,0.7333333333333333,0.13333333333333333,2.7,2.4166666666666665,10.6,11.8,No,No,2,-3,1,,0.26666666666666666,
13,Houston,Texans,True,IND,AFC,AFC South,Closed,Closed,Cover 3,13,8,8,-0.6620431824999999,93,No,No,4,0.5,0.11404375,No,1,1,0.125,0.5,,2.8125,2.625,11.625,,No,No,1,-11.25,2,,0.125,
21,Minnesota,Vikings,,NYG,NFC,NFC East,Closed,Closed,Cover 1,12,6,6,-0.8143969426666667,25,No,Yes,4,0.6666666666666666,0.34324166666666667,Yes,1,,,0.6666666666666666,0.16666666666666666,2.4499999999999997,2,4.166666666666667,,No,No,,-7.5,1,,,
23,New Orleans,Saints,,TEN,AFC,AFC South,Closed,Closed,Cover 3,11,5,5,-0.6520245111999999,60,Yes,No,,,-0.33205,No,1,1,0.2,1,,2.5,,12,39.6,No,No,1,,,,0.2,
11,Detroit,Lions,,CHI,NFC,NFC North,Closed,Open,Cover 2,13,12,12,-0.6838873730833334,120,No,Yes,6,0.5,0.07163750000000002,No,1,,,0.75,0.08333333333333333,3.0583333333333336,2.4333333333333336,10,4.9,No,No,,-3.75,1,,0.08333333333333333,0.08333333333333333
19,Las Vegas,Raiders,True,KC,AFC,AFC West,Open,Closed,Cover 1,13,7,7,-0.6280434792857142,92,No,Yes,3,0.42857142857142855,0.027521428571428568,No,1,1,0.14285714285714285,0.42857142857142855,,2.9,2.2666666666666666,13.142857142857142,39.6,No,No,2,,,,0.14285714285714285,
9,Dallas,Cowboys,,NYG,NFC,NFC East,Open,Open,Cover 4,11,11,11,-0.5674564708181818,182,No,Yes,4,0.36363636363636365,-0.03741363636363637,No,1,4,0.36363636363636365,0.7272727272727273,,2.9,3.2,16.545454545454547,39.6,No,No,5,,,,,
