name,team,pos,w15_up,w16_up,w17_up,playoff_up
Jake Ferguson,DAL,TE,0.7925,1.1009,1.0576,0.6592
Christian McCaffrey,SF,RB,1.094,0.9694,0.9656,0.6556
George Kittle,SF,TE,1.088,0.9641,0.9603,0.652
Alec Pierce,IND,WR,1.0387,0.7866,1.1028,0.651
TreVeyon Henderson,NE,RB,0.8515,1.0611,0.9479,0.6285
Terry McLaurin,WAS,WR,0.9956,0.9332,0.9503,0.6276
Dak Prescott,DAL,QB,0.7465,1.0371,0.9963,0.6208
Makai Lemon,PHI,WR,0.9053,1.0755,0.8795,0.6199
Jayden Daniels,WAS,QB,0.983,0.9214,0.9383,0.6197
Christian Watson,GB,WR,1.0151,0.7831,0.9967,0.6149
Jared Goff,DET,QB,0.9807,0.9599,0.8931,0.6135
Rashod Bateman,BAL,WR,0.9676,0.9676,0.8741,0.6072
Bijan Robinson,ATL,RB,0.809,0.8853,1.0055,0.6038
Matthew Golden,GB,WR,0.992,0.7653,0.9741,0.6009
Romeo Doubs,NE,WR,0.8129,1.013,0.9049,0.5998
Justin Jefferson,MIN,WR,0.6745,0.8906,1.0568,0.5978
Omarion Hampton,LAC,RB,0.8453,1.0939,0.7951,0.5886
Tee Higgins,CIN,WR,1.1758,0.9657,0.6963,0.5884
Blake Corum,LAR,RB,0.8253,0.8876,0.942,0.588
Brock Purdy,SF,QB,0.9764,0.8652,0.8618,0.5847
Chase Brown,CIN,RB,1.1675,0.9589,0.6914,0.5842
Drake London,ATL,WR,0.7795,0.8531,0.969,0.5817
Ladd McConkey,LAC,WR,0.8349,1.0805,0.7854,0.5813
Colston Loveland,CHI,TE,0.7458,1.0452,0.8424,0.5765
Malik Nabers,NYG,WR,1.2364,0.696,0.8025,0.5765
Xavier Worthy,KC,WR,0.7986,0.8544,0.9086,0.5672
Rhamondre Stevenson,NE,RB,0.7653,0.9536,0.8519,0.5645
Dawson Knox,BUF,TE,0.8165,0.8633,0.8719,0.561
Kyle Pitts,ATL,TE,0.7483,0.8189,0.9301,0.5582
Josh Downs,IND,WR,0.8806,0.6669,0.935,0.5514
Zach Charbonnet,SEA,RB,0.7426,0.6115,1.0442,0.5501
Chris Olave,NO,WR,0.7408,0.9719,0.8017,0.5491
Jayden Reed,GB,WR,0.8921,0.6882,0.8759,0.54
Mike Evans,SF,WR,0.8995,0.797,0.7939,0.5384
Patrick Mahomes,KC,QB,0.7576,0.8106,0.862,0.5379
Justice Hill,BAL,RB,0.851,0.851,0.7688,0.5336
Brock Bowers,LV,TE,0.6008,0.8482,0.899,0.5304
Breece Hall,NYJ,RB,1.0393,0.6165,0.7942,0.5258
Isiah Pacheco,DET,RB,0.8391,0.8213,0.7641,0.5244
Jadarian Price,SEA,RB,0.7059,0.5813,0.9926,0.5227
Jaylen Waddle,DEN,WR,1.1152,0.5762,0.7571,0.5193
Garrett Wilson,NYJ,WR,1.02,0.6051,0.7794,0.516
Colby Parkinson,LAR,TE,0.7234,0.778,0.8257,0.515
Rome Odunze,CHI,WR,0.6661,0.9335,0.7524,0.5146
Chigoziem Okonkwo,WAS,TE,0.8156,0.7645,0.7784,0.5135
Emeka Egbuka,TB,WR,0.9775,0.9296,0.5663,0.5099
Trey McBride,ARI,TE,0.7032,0.7284,0.8248,0.5016
Courtland Sutton,DEN,WR,1.0765,0.5562,0.7308,0.5012
Luther Burden III,CHI,WR,0.6471,0.9068,0.7309,0.4998
Cam Skattebo,NYG,RB,1.071,0.6029,0.6951,0.4989
Travis Etienne,NO,RB,0.6701,0.8792,0.7252,0.4964
Ashton Jeanty,LV,RB,0.5607,0.7915,0.839,0.4948
Isaiah Likely,NYG,TE,1.053,0.5927,0.6834,0.4904
Ja'Kobi Lane,BAL,WR,0.7797,0.7797,0.7044,0.4886
Ricky Pearsall,SF,WR,0.8116,0.7191,0.7163,0.4854
T.J. Hockenson,MIN,TE,0.5477,0.7233,0.8582,0.4849
Ty Johnson,BUF,RB,0.6973,0.7373,0.7446,0.4786
D'Andre Swift,CHI,RB,0.6157,0.8629,0.6955,0.4754
Bucky Irving,TB,RB,0.9098,0.8652,0.527,0.4743
Jalen Hurts,PHI,QB,0.6929,0.8232,0.6732,0.4736
Jordyn Tyson,NO,WR,0.6335,0.8312,0.6857,0.4691
Rachaad White,WAS,RB,0.7425,0.6959,0.7086,0.4671
Carnell Tate,TEN,WR,0.5566,0.7763,0.7555,0.4663
Quentin Johnston,LAC,WR,0.6702,0.8673,0.6305,0.4659
Trevor Lawrence,JAX,QB,0.8575,0.6086,0.6942,0.4646
Kenyon Sadiq,NYJ,TE,0.9152,0.5429,0.6994,0.4626
Juwan Johnson,NO,TE,0.6232,0.8176,0.6744,0.4614
Jaxson Dart,NYG,QB,0.9871,0.5557,0.6407,0.4596
A.J. Barner,SEA,TE,0.6195,0.5101,0.8711,0.4583
Parker Washington,JAX,WR,0.8449,0.5996,0.6839,0.4576
Jeremiyah Love,ARI,RB,0.6411,0.6642,0.752,0.457
Bhayshul Tuten,JAX,RB,0.8394,0.5957,0.6795,0.4546
Jakobi Meyers,JAX,WR,0.8382,0.5949,0.6785,0.454
Rashid Shaheed,SEA,WR,0.6064,0.4993,0.8527,0.4486
Oronde Gadsden II,LAC,TE,0.6443,0.8338,0.6061,0.4478
Brenton Strange,JAX,TE,0.8232,0.5842,0.6664,0.4458
Jacory Croskey-Merritt,WAS,RB,0.7082,0.6638,0.6759,0.4454
Antonio Williams,WAS,WR,0.7061,0.6619,0.6739,0.4441
Jordan Addison,MIN,WR,0.5016,0.6624,0.786,0.4437
Brian Thomas Jr.,JAX,WR,0.8182,0.5807,0.6624,0.4431
Aaron Jones,MIN,RB,0.4978,0.6573,0.78,0.4403
Mike Gesicki,CIN,TE,0.8697,0.7143,0.515,0.4343
Nico Collins,HOU,WR,0.7597,0.5765,0.6656,0.4336
DK Metcalf,PIT,WR,0.45,0.7332,0.7324,0.4333
Isaac TeSlaa,DET,WR,0.6916,0.677,0.6298,0.4316
Justin Herbert,LAC,QB,0.615,0.7959,0.5785,0.4273
Nick Westbrook-Ikhine,IND,WR,0.6774,0.513,0.7192,0.4233
Michael Pittman Jr.,PIT,WR,0.4367,0.7115,0.7107,0.4204
Ryan Flournoy,DAL,WR,0.4956,0.6885,0.6614,0.4109
Tetairoa McMillan,CAR,WR,0.5395,0.8126,0.5538,0.4108
Jordan Love,GB,QB,0.6741,0.52,0.6619,0.4072
Wan'Dale Robinson,TEN,WR,0.486,0.6779,0.6598,0.4068
Marvin Harrison Jr.,ARI,WR,0.5711,0.5916,0.6698,0.4067
Pat Freiermuth,PIT,TE,0.4194,0.6833,0.6825,0.4036
Kyle Monangai,CHI,RB,0.5234,0.7335,0.5911,0.4035
J.K. Dobbins,DEN,RB,0.8644,0.4466,0.5869,0.4018
David Njoku,LAC,TE,0.574,0.7428,0.54,0.3986
Tony Pollard,TEN,RB,0.4755,0.6633,0.6455,0.3979
Chris Godwin,TB,WR,0.7566,0.7195,0.4383,0.3939
Cooper Kupp,SEA,WR,0.5327,0.4387,0.7491,0.3936
De'Von Achane,MIA,RB,0.639,0.675,0.5284,0.3924
RJ Harvey,DEN,RB,0.8394,0.4337,0.5699,0.39
Dyami Brown,WAS,WR,0.6143,0.5758,0.5863,0.3859
Gunnar Helm,TEN,TE,0.4608,0.6427,0.6255,0.3855
Rico Dowdle,PIT,RB,0.399,0.6501,0.6494,0.3838
Caleb Williams,CHI,QB,0.4907,0.6876,0.5542,0.3781
Kayshon Boutte,NE,WR,0.5131,0.6393,0.5711,0.3773
Elijah Sarratt,BAL,WR,0.6012,0.6012,0.5431,0.376
Jaylen Warren,PIT,RB,0.3882,0.6326,0.6318,0.3734
Kenneth Gainwell,TB,RB,0.7148,0.6798,0.4141,0.3719
Evan Engram,DEN,TE,0.7986,0.4127,0.5422,0.3709
Tyquan Thornton,KC,WR,0.5239,0.5605,0.596,0.3708
Jalen McMillan,TB,WR,0.7097,0.6749,0.4111,0.3692
Calvin Ridley,TEN,WR,0.439,0.6123,0.5959,0.3671
Cade Otton,TB,TE,0.7043,0.6698,0.408,0.3664
Jauan Jennings,MIN,WR,0.4131,0.5455,0.6473,0.3648
Noah Gray,KC,TE,0.5139,0.5498,0.5847,0.3637
MarShawn Lloyd,GB,RB,0.5971,0.4606,0.5863,0.3603
Samaje Perine,CIN,RB,0.7215,0.5926,0.4273,0.3597
Travis Hunter,JAX,WR,0.6586,0.4674,0.5331,0.356
Keon Coleman,BUF,WR,0.519,0.5488,0.5542,0.3553
Jordan Mason,MIN,RB,0.4023,0.5313,0.6304,0.3552
Elijah Arroyo,SEA,TE,0.4792,0.3946,0.6739,0.3538
Savion Williams,GB,WR,0.5845,0.4509,0.5739,0.3526
Tre Tucker,LV,WR,0.3982,0.5622,0.5959,0.3504
Van Jefferson,WAS,WR,0.5578,0.5229,0.5324,0.3501
Michael Wilson,ARI,WR,0.4901,0.5077,0.5749,0.3485
Emari Demercado,KC,RB,0.4857,0.5197,0.5526,0.3436
Adonai Mitchell,NYJ,WR,0.6756,0.4008,0.5162,0.3405
David Montgomery,HOU,RB,0.5949,0.4515,0.5212,0.3388
Tyler Higbee,LAR,TE,0.4768,0.5128,0.5442,0.3382
Darnell Mooney,NYG,WR,0.7259,0.4086,0.4711,0.337
Dalton Schultz,HOU,TE,0.5888,0.4469,0.5159,0.3353
Tre Harris,LAC,WR,0.4828,0.6248,0.4541,0.3347
Tyjae Spears,TEN,RB,0.3994,0.5571,0.5422,0.3337
Germie Bernard,PIT,WR,0.3467,0.5648,0.5642,0.333
Alvin Kamara,NO,RB,0.4494,0.5896,0.4863,0.3317
Theo Johnson,NYG,TE,0.7075,0.3982,0.4592,0.3284
Harold Fannin Jr.,CLE,TE,0.5019,0.5019,0.5019,0.3276
Jalen Nailor,LV,WR,0.3724,0.5258,0.5573,0.3275
Tank Bigsby,PHI,RB,0.4805,0.5709,0.4668,0.3274
Andrei Iosivas,CIN,WR,0.6568,0.5395,0.389,0.3271
Sam Darnold,SEA,QB,0.4383,0.3609,0.6164,0.3233
Baker Mayfield,TB,QB,0.6214,0.591,0.36,0.3229
Kavontae Turpin,DAL,WR,0.3898,0.5415,0.5202,0.3224
Michael Mayer,LV,TE,0.365,0.5153,0.5462,0.3209
Omar Cooper Jr.,NYJ,WR,0.6358,0.3772,0.4859,0.3203
Darius Slayton,NYG,WR,0.686,0.3862,0.4453,0.3183
Brian Robinson Jr.,ATL,RB,0.4283,0.4687,0.5323,0.318
Eli Raridon,NE,TE,0.426,0.5309,0.4742,0.3127
Jahan Dotson,ATL,WR,0.4118,0.4507,0.5119,0.3056
Darnell Washington,PIT,TE,0.3162,0.5153,0.5147,0.3035
Chuba Hubbard,CAR,RB,0.3993,0.6014,0.4098,0.3031
Cole Kmet,CHI,TE,0.3925,0.5501,0.4434,0.3018
Jack Bech,LV,WR,0.3429,0.4841,0.5131,0.3013
Jayden Higgins,HOU,WR,0.5274,0.4003,0.4621,0.2999
Chris Brooks,GB,RB,0.4976,0.3839,0.4886,0.2996
Tyrone Tracy Jr.,NYG,RB,0.6452,0.3632,0.4188,0.2992
DeMario Douglas,NE,WR,0.4065,0.5065,0.4524,0.2981
Jalen Coker,CAR,WR,0.3914,0.5896,0.4017,0.297
Tyler Shough,NO,QB,0.4021,0.5275,0.4351,0.2964
Christian Kirk,SF,WR,0.4937,0.4375,0.4357,0.2939
Ray Davis,BUF,RB,0.4269,0.4514,0.4559,0.2916
Dontayvion Wicks,PHI,WR,0.4243,0.5041,0.4123,0.2887
Quinshon Judkins,CLE,RB,0.4422,0.4422,0.4422,0.2882
Keaton Mitchell,LAC,RB,0.4135,0.5351,0.3889,0.2861
Braelon Allen,NYJ,RB,0.5571,0.3305,0.4257,0.2802
Jordan James,SF,RB,0.4704,0.4169,0.4152,0.2799
Pat Bryant,DEN,WR,0.6041,0.3121,0.4101,0.2797
Tory Horton,SEA,WR,0.3797,0.3127,0.5339,0.2796
Jaylin Lane,WAS,WR,0.4449,0.417,0.4246,0.2785
De'Zhaun Stribling,SF,WR,0.4667,0.4135,0.4119,0.2776
Emmett Johnson,KC,RB,0.3927,0.4202,0.4468,0.2771
Josh Palmer,BUF,WR,0.4047,0.4279,0.4321,0.2763
Malik Davis,DAL,RB,0.3333,0.463,0.4448,0.2752
Greg Dulcich,MIA,TE,0.4489,0.4742,0.3713,0.2746
Marquise Brown,PHI,WR,0.4031,0.4789,0.3917,0.2741
Noah Fant,NO,TE,0.3719,0.4879,0.4025,0.2739
Skyler Bell,BUF,WR,0.3959,0.4186,0.4227,0.2702
Kyle Juszczyk,SF,RB,0.4486,0.3975,0.3959,0.2667
Chris Rodriguez,JAX,RB,0.495,0.3513,0.4007,0.2667
Erick All,CIN,TE,0.5352,0.4396,0.3169,0.2659
Marvin Mims,DEN,WR,0.5731,0.2961,0.3891,0.2652
Jonathon Brooks,CAR,RB,0.3479,0.5241,0.3571,0.2637
Austin Hooper,ATL,TE,0.3539,0.3873,0.4399,0.2622
Tank Dell,HOU,WR,0.4597,0.3489,0.4028,0.261
Mason Taylor,NYJ,TE,0.5191,0.3079,0.3967,0.2609
Ja'Tavion Sanders,CAR,TE,0.3418,0.5149,0.3508,0.259
Tyler Allgeier,ARI,RB,0.3654,0.3785,0.4286,0.2589
Bo Nix,DEN,QB,0.5591,0.2889,0.3795,0.2586
Woody Marks,HOU,RB,0.454,0.3445,0.3978,0.2577
Josh Oliver,MIN,TE,0.2869,0.3789,0.4495,0.2523
Ted Hurst,TB,WR,0.4821,0.4585,0.2793,0.2497
Joe Burrow,CIN,QB,0.5018,0.4121,0.2971,0.2491
Drew Sample,CIN,TE,0.5018,0.4121,0.2971,0.2491
Kalif Raymond,CHI,WR,0.3235,0.4534,0.3654,0.2481
Luke Musgrave,GB,TE,0.4124,0.3181,0.4049,0.2477
Eli Stowers,PHI,TE,0.3647,0.4332,0.3543,0.2476
KC Concepcion,CLE,WR,0.38,0.38,0.38,0.2472
George Holani,SEA,RB,0.33,0.2718,0.4641,0.2425
Jordan Whittington,LAR,WR,0.3428,0.3686,0.3912,0.2422
Devontez Walker,BAL,WR,0.3852,0.3852,0.3479,0.2396
Chris Bell,MIA,WR,0.391,0.413,0.3233,0.2387
Jerry Jeudy,CLE,WR,0.3667,0.3667,0.3667,0.2384
DJ Giddens,IND,RB,0.3774,0.2858,0.4007,0.2343
Jalen Royals,KC,WR,0.3322,0.3554,0.378,0.2339
Devaughn Vele,NO,WR,0.3168,0.4156,0.3428,0.2328
Tommy Tremble,CAR,TE,0.3054,0.4601,0.3135,0.231
Mike Washington Jr.,LV,RB,0.2624,0.3705,0.3927,0.2297
Ashton Dulin,IND,WR,0.3688,0.2793,0.3916,0.2289
Denzel Boston,CLE,WR,0.35,0.35,0.35,0.2274
Malik Washington,MIA,WR,0.3708,0.3917,0.3067,0.2263
LeQuint Allen,JAX,RB,0.4197,0.2978,0.3397,0.2256
Olamide Zaccheaus,ATL,WR,0.304,0.3326,0.3778,0.2247
Elijah Higgins,ARI,TE,0.3164,0.3278,0.3712,0.2238
Daniel Jones,IND,QB,0.3493,0.2645,0.3708,0.2166
Caleb Douglas,MIA,WR,0.3547,0.3747,0.2933,0.2163
Treylon Burks,WAS,WR,0.3389,0.3177,0.3235,0.2113
Zachariah Branch,ATL,WR,0.2844,0.3112,0.3535,0.2099
Jackson Hawes,BUF,TE,0.3085,0.3261,0.3294,0.2097
Kimani Vidal,LAC,RB,0.3032,0.3924,0.2852,0.2089
John Bates,WAS,TE,0.335,0.314,0.3197,0.2088
Jaydon Blue,DAL,RB,0.2522,0.3504,0.3366,0.2074
Carson Beck,ARI,QB,0.2857,0.2959,0.3351,0.2017
Xavier Legette,CAR,WR,0.2644,0.3984,0.2714,0.1996
Jake Tonges,SF,TE,0.3348,0.2966,0.2955,0.1982
Konata Mumpfield,LAR,WR,0.279,0.3001,0.3184,0.1965
Troy Franklin,DEN,WR,0.4182,0.2161,0.2839,0.1926
Mack Hollins,NE,WR,0.2599,0.3238,0.2893,0.1893
Chris Brazzell II,CAR,WR,0.2503,0.3771,0.257,0.1887
Isaiah Davis,NYJ,RB,0.375,0.2225,0.2866,0.1875
Tyler Badie,DEN,RB,0.4009,0.2071,0.2722,0.1844
Mo Alie-Cox,IND,TE,0.295,0.2234,0.3132,0.1823
Tanner Hudson,CIN,TE,0.368,0.3022,0.2179,0.1817
Ben Sinnott,WAS,TE,0.2913,0.273,0.278,0.1811
Durham Smythe,BAL,TE,0.2906,0.2906,0.2626,0.1799
Xavier Smith,LAR,WR,0.2551,0.2743,0.2911,0.1793
Adam Randall,BAL,RB,0.2887,0.2887,0.2608,0.1787
Dylan Sampson,CLE,RB,0.275,0.275,0.275,0.1779
Will Kacmarek,MIA,TE,0.2827,0.2986,0.2338,0.1716
Will Shipley,PHI,RB,0.2517,0.299,0.2445,0.1698
Luke Schoonmaker,DAL,TE,0.2067,0.2872,0.2759,0.1694
Kendrick Bourne,ARI,WR,0.2387,0.2472,0.2799,0.1679
Kaelon Black,SF,RB,0.2845,0.2521,0.2511,0.1678
Bryce Lance,NO,WR,0.2291,0.3005,0.2479,0.1674
Aaron Rodgers,PIT,QB,0.1719,0.28,0.2797,0.1633
Jalen Tolbert,MIA,WR,0.266,0.281,0.22,0.1613
Cade Stover,HOU,TE,0.2794,0.2121,0.2448,0.1573
Jonah Coleman,DEN,RB,0.3383,0.1748,0.2296,0.1551
C.J. Stroud,HOU,QB,0.2745,0.2083,0.2405,0.1544
Adam Trautman,DEN,TE,0.3354,0.1733,0.2277,0.1537
Odell Beckham Jr.,NYG,WR,0.335,0.1886,0.2175,0.1537
Kyle T. Williams,NE,WR,0.2066,0.2574,0.2299,0.1498
Tyrell Shavers,BUF,WR,0.2199,0.2325,0.2348,0.1485
Brenen Thompson,LAC,WR,0.2158,0.2793,0.203,0.1477
Mitchell Evans,CAR,TE,0.1964,0.2958,0.2015,0.1473
Malachi Fields,NYG,WR,0.3191,0.1796,0.2071,0.1462
Jaylin Noel,HOU,WR,0.2565,0.1946,0.2247,0.144
Dont'e Thornton Jr.,LV,WR,0.1622,0.229,0.2428,0.1407
KeAndre Lambert-Smith,LAC,WR,0.2045,0.2646,0.1923,0.1397
Demond Claiborne,MIN,RB,0.1568,0.2071,0.2457,0.1363
Xavier Hutchinson,HOU,WR,0.2419,0.1836,0.212,0.1357
Jaylen Wright,MIA,RB,0.2217,0.2342,0.1833,0.1338
Kevin Coleman Jr.,MIA,WR,0.2217,0.2342,0.1833,0.1338
Sean Tucker,TB,RB,0.2599,0.2472,0.1506,0.133
Hunter Luepke,DAL,RB,0.1621,0.2252,0.2164,0.1321
Cyrus Allen,KC,WR,0.1853,0.1982,0.2108,0.1289
Davis Allen,LAR,TE,0.1809,0.1945,0.2064,0.1261
Tutu Atwell,MIA,WR,0.2056,0.2171,0.17,0.1239
Trevor Etienne,CAR,RB,0.1654,0.2492,0.1698,0.1235
Chimere Dike,TEN,WR,0.145,0.2023,0.1969,0.1189
Mitchell Tinsley,CIN,WR,0.2433,0.1998,0.1441,0.1189
Devin Singletary,NYG,RB,0.2581,0.1453,0.1675,0.1176
Tez Johnson,TB,WR,0.2276,0.2165,0.1319,0.116
Cameron Ward,TEN,QB,0.1415,0.1973,0.192,0.1159
Kyler Murray,MIN,QB,0.1304,0.1722,0.2043,0.1128
Seth McGowan,IND,RB,0.1826,0.1383,0.1939,0.1116
Greg Dortch,DET,WR,0.1816,0.1777,0.1653,0.1107
Anthony Gould,IND,WR,0.1806,0.1368,0.1918,0.1103
Nicholas Singleton,TEN,RB,0.1331,0.1857,0.1807,0.1089
Tahj Brooks,CIN,RB,0.223,0.1832,0.1321,0.1087
Jeremy Ruckert,NYJ,TE,0.2186,0.1297,0.167,0.1078
Jahdae Walker,CHI,WR,0.1332,0.1867,0.1505,0.1001
Alec Ingold,LAC,RB,0.147,0.1902,0.1383,0.0995
Malik Willis,MIA,QB,0.1663,0.1756,0.1375,0.0995
Kaytron Allen,WAS,RB,0.1599,0.1499,0.1526,0.0979
Ollie Gordon II,MIA,RB,0.163,0.1722,0.1348,0.0975
Calvin Austin III,NYG,WR,0.2154,0.1212,0.1398,0.0975
Bo Melton,GB,WR,0.1538,0.1186,0.151,0.0902
Nate Adkins,DEN,TE,0.1917,0.099,0.1301,0.0863
Brock Wright,DET,TE,0.1427,0.1396,0.1299,0.0862
Daniel Bellinger,TEN,TE,0.1051,0.1466,0.1427,0.0852
Foster Moreau,HOU,TE,0.1397,0.106,0.1224,0.0769
Reggie Gilliam,NE,RB,0.1078,0.1343,0.12,0.0765
Adam Prentice,DEN,RB,0.1629,0.0842,0.1106,0.0728
Elic Ayomanor,TEN,WR,0.0901,0.1257,0.1224,0.0726
Nate Boerkircher,JAX,TE,0.1372,0.0974,0.1111,0.0714
Charlie Kolar,LAC,TE,0.1054,0.1364,0.0992,0.0703
Max Bredeson,MIN,RB,0.0818,0.1081,0.1282,0.0694
Cedric Tillman,CLE,WR,0.11,0.11,0.11,0.0691
Ben Skowronek,PIT,WR,0.0733,0.1195,0.1193,0.0677
Bryce Young,CAR,QB,0.0909,0.1369,0.0933,0.0663
Geno Smith,NYJ,QB,0.1366,0.081,0.1044,0.0661
CJ Daniels,LAR,WR,0.0957,0.1029,0.1092,0.065
Tai Felton,MIN,WR,0.0759,0.1002,0.1189,0.0641
Isaiah Williams,NYJ,WR,0.1258,0.0747,0.0962,0.0606
Mason Tipton,NO,WR,0.0828,0.1087,0.0897,0.0583
Demarcus Robinson,SF,WR,0.1014,0.0899,0.0895,0.0576
Connor Heyward,LV,RB,0.0656,0.0926,0.0982,0.0548
Isaiah Bond,CLE,WR,0.0867,0.0867,0.0867,0.0537
Colbie Young,CIN,WR,0.1135,0.0932,0.0672,0.0536
Derius Davis,LAC,WR,0.0738,0.0956,0.0695,0.0482
Payne Durham,TB,TE,0.0967,0.0919,0.056,0.0473
Fernando Mendoza,LV,QB,0.057,0.0805,0.0854,0.0472
Riley Nowakowski,PIT,RB,0.0485,0.0791,0.079,0.0436
David Moore,CAR,WR,0.0564,0.085,0.0579,0.0398
Darius Cooper,PHI,WR,0.0566,0.0672,0.055,0.0354
Andrew Beck,NYJ,RB,0.075,0.0445,0.0573,0.0347
Zavion Thomas,CHI,WR,0.0476,0.0667,0.0537,0.0335
Patrick Ricard,NYG,RB,0.0774,0.0436,0.0503,0.0328
Emanuel Wilson,SEA,RB,0.0458,0.0377,0.0645,0.0307
Reggie Virgil,ARI,WR,0.0469,0.0486,0.055,0.0302
Luke Farrell,SF,TE,0.0558,0.0494,0.0492,0.0301
Jonathan Mingo,DAL,WR,0.039,0.0541,0.052,0.0291
Ben Sims,MIA,TE,0.0499,0.0527,0.0412,0.0274
Brevyn Spann-Ford,DAL,TE,0.0345,0.0479,0.046,0.0253
Michael Burton,CLE,RB,0.0431,0.0431,0.0431,0.0249
Justin Watson,HOU,WR,0.0435,0.033,0.0382,0.0215
Kendre Miller,NO,RB,0.0315,0.0414,0.0341,0.02
Blake Whiteheart,CLE,TE,0.0344,0.0344,0.0344,0.0192
Deshaun Watson,CLE,QB,0.0344,0.0344,0.0344,0.0192
CJ Dippre,NE,TE,0.0275,0.0342,0.0306,0.0169
Kaden Wetjen,PIT,WR,0.02,0.0326,0.0325,0.0159
Tua Tagovailoa,ATL,QB,0.0253,0.0277,0.0314,0.0155
Jawhar Jordan,HOU,RB,0.0235,0.0178,0.0206,0.01
Max Klare,LAR,TE,0.0164,0.0177,0.0188,0.0083
Malachi Corley,CLE,WR,0.0167,0.0167,0.0167,0.0075
Jimmy Horn Jr.,CAR,WR,0.0141,0.0212,0.0145,0.0073
Kaleb Johnson,PIT,RB,0.0108,0.0176,0.0176,0.007
Arian Smith,NYJ,WR,0.0199,0.0118,0.0152,0.0066
JuJu Smith-Schuster,NYG,WR,0.016,0.009,0.0104,0.004
British Brooks,HOU,RB,0.0078,0.0059,0.0069,0.001
Kameron Johnson,TB,WR,0.0067,0.0064,0.0039,0.0
