teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTouchdownsInEndzone
1,Arizona,Cardinals,,LA,NFC,NFC West,Closed,Open,Cover 6,17,40,Yes,No,No,184,35,No,4,Yes,29,0.8286,0.1902,26,4,0.7429,230,100,30,200,,3,4,0.1538,0.2,0.2,0.2857,0.3143,21,0.6,2,0.0571,5.7143,91.4,1.25,6.5714,-0.7541,0.0857,8.8462,3.8462,1.1538,10,,1,,
6,Chicago,Bears,1,GB,NFC,NFC North,Open,Open,Cover 6,14,19,No,No,No,85,14,No,4,Yes,11,0.7857,0.1647,10,3,0.7143,111,24,9,146,1,,1,0.1,0.2143,0.1429,0.2143,0.4286,10,0.7143,1,0.0714,10.4286,78.9,1.3059,7.9286,-0.1457,,11.1,2.4,0.9,5,1,,1,
5,Carolina,Panthers,,TB,NFC,NFC South,Open,Open,Cover 6,17,86,Yes,No,No,387,73,No,8,Yes,59,0.8082,0.1886,54,5,0.7397,656,299,82,751,1,3,4,0.0741,0.1918,0.1918,0.3288,0.2877,42,0.5753,3,0.0411,10.2877,88.6,1.6951,8.9863,1.0036,0.0411,12.1481,5.537,1.5185,27,1,,1,
10,Denver,Broncos,1,LAC,AFC,AFC West,Open,Open,Cover 6,17,75,No,No,No,325,59,Yes,13,Yes,46,0.7797,0.1815,38,7,0.6441,396,144,45,645,,2,3,0.0789,0.0508,0.1186,0.3051,0.5254,44,0.7458,9,0.1525,10.9322,83.7,1.2185,6.7119,-1.3889,0.0339,10.4211,3.7895,1.1842,12,,1,,
24,New York,Giants,1,DAL,NFC,NFC East,Open,Open,Cover 6,16,23,No,No,No,99,19,No,1,Yes,18,0.9474,0.1919,16,1,0.8421,201,77,37,140,1,2,5,0.3125,,0.1053,0.4211,0.4737,13,0.6842,2,0.1053,7.3684,128.3,2.0303,10.5789,3.1611,0.1053,12.5625,4.8125,2.3125,9,1,,,
14,Indianapolis,Colts,,HST,AFC,AFC South,Open,Open,Cover 6,16,52,No,No,No,243,43,No,5,Yes,37,0.8605,0.177,32,3,0.7442,407,180,77,374,,4,9,0.2812,0.1628,0.093,0.3721,0.3721,30,0.6977,2,0.0465,8.6977,103.5,1.6749,9.4651,1.4884,0.093,12.7188,5.625,2.4062,19,2,,1,
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Open,Cover 6,16,122,No,No,No,523,99,No,10,Yes,84,0.8485,0.1893,76,7,0.7677,858,514,193,538,,5,19,0.25,0.2929,0.1414,0.3131,0.2525,57,0.5758,10,0.101,5.4343,93.8,1.6405,8.6667,1.7632,0.0505,11.2895,6.7632,2.5395,31,7,,,
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Closed,Open,Cover 6,17,55,Yes,No,No,250,46,No,5,Yes,32,0.6957,0.184,27,2,0.587,286,110,31,580,1,2,4,0.1481,0.2391,0.1087,0.1957,0.4565,29,0.6304,3,0.0652,12.6087,57,1.144,6.2174,-2.5277,0.0435,10.5926,4.0741,1.1481,12,4,1,2,
22,New England,Patriots,1,MIA,AFC,AFC East,Open,Open,Cover 6,14,14,No,Yes,Yes,53,12,No,3,No,12,1,0.2264,10,2,0.8333,59,28,10,39,,1,1,0.1,0.0833,,0.5,0.4167,11,0.9167,4,0.3333,3.25,52.4,1.1132,4.9167,-1.6631,0.0833,5.9,2.8,1,2,,,,
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Open,Open,Cover 6,16,28,Yes,No,No,122,23,No,2,Yes,18,0.7826,0.1885,15,1,0.6522,197,88,21,178,1,2,2,0.1333,0.1304,,0.5217,0.3478,15,0.6522,2,0.087,7.7391,106.6,1.6148,8.5652,1.1755,0.087,13.1333,5.8667,1.4,8,,,1,1
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Open,Cover 6,16,35,No,Yes,Yes,154,27,No,4,No,25,0.9259,0.1753,21,2,0.7778,195,111,29,178,1,2,4,0.1905,0.2222,0.0741,0.3333,0.3333,16,0.5926,3,0.1111,6.5926,109.1,1.2662,7.2222,-0.0694,0.0741,9.2857,5.2857,1.381,11,1,,,
31,Tennessee,Titans,,JAX,AFC,AFC South,Open,Open,Cover 6,17,71,No,No,No,323,54,No,9,Yes,46,0.8519,0.1672,41,6,0.7593,447,194,60,491,4,1,4,0.0976,0.0926,0.2593,0.1852,0.463,36,0.6667,4,0.0741,9.0926,124.5,1.3839,8.2778,0.2802,0.0185,10.9024,4.7317,1.4634,19,5,2,3,3
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Open,Cover 6,16,74,No,No,No,331,53,No,8,Yes,46,0.8679,0.1601,42,6,0.7925,366,181,64,409,1,3,4,0.0952,0.2075,0.1698,0.283,0.3396,35,0.6604,7,0.1321,7.717,78.1,1.1057,6.9057,-0.6682,0.0566,8.7143,4.3095,1.5238,13,2,,1,1
12,Green Bay,Packers,,MIN,NFC,NFC North,Closed,Open,Cover 6,17,95,No,Yes,No,421,81,No,13,Yes,69,0.8519,0.1924,56,7,0.6914,523,254,106,466,,7,8,0.1429,0.2346,0.1111,0.284,0.3704,50,0.6173,12,0.1481,5.7531,86.6,1.2423,6.4568,-0.5826,0.0864,9.3393,4.5357,1.8929,26,3,1,1,
25,New York,Jets,,BUF,AFC,AFC East,Open,Open,Cover 6,15,12,No,No,No,46,10,No,2,Yes,9,0.9,0.2174,8,1,0.8,67,31,11,94,1,,1,0.125,0.1,0.1,0.7,0.1,8,0.8,2,0.2,9.4,127.9,1.4565,6.7,-0.9689,,8.375,3.875,1.375,4,1,,1,1
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Open,Open,Cover 6,17,48,No,No,No,226,37,Yes,6,Yes,30,0.8108,0.1637,24,2,0.6486,287,126,41,379,1,4,3,0.125,0.2162,,0.3243,0.4324,23,0.6216,4,0.1081,10.2432,74.9,1.2699,7.7568,-0.2799,0.1081,11.9583,5.25,1.7083,10,5,,2,
15,Jacksonville,Jaguars,1,TEN,AFC,AFC South,Open,Open,Cover 6,17,146,No,No,No,649,124,No,24,Yes,105,0.8468,0.1911,92,15,0.7419,846,345,111,871,,8,11,0.1196,0.2016,0.1613,0.2661,0.3629,88,0.7097,9,0.0726,7.0242,82.3,1.3035,6.8226,-0.4579,0.0645,9.1957,3.75,1.2065,42,3,2,1,
13,Houston,Texans,1,IND,AFC,AFC South,Open,Open,Cover 6,17,79,No,No,No,355,61,No,13,Yes,48,0.7869,0.1718,36,6,0.5902,386,181,56,504,,6,9,0.25,0.2295,0.0984,0.2951,0.377,41,0.6721,8,0.1311,8.2623,64,1.0873,6.3279,-1.6314,0.0984,10.7222,5.0278,1.5556,18,1,2,,
11,Detroit,Lions,,MIN,NFC,NFC North,Open,Open,Cover 6,16,19,Yes,No,No,81,18,No,4,Yes,16,0.8889,0.2222,14,2,0.7778,122,31,8,152,,,,,0.1111,0.1667,0.2222,0.5,10,0.5556,1,0.0556,8.4444,94.9,1.5062,6.7778,-1.1183,,8.7143,2.2143,0.5714,6,,1,,
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 6,16,54,No,Yes,Yes,228,39,No,6,Yes,28,0.7179,0.1711,25,5,0.641,273,157,38,328,1,2,3,0.12,0.2564,0.1282,0.3333,0.2821,24,0.6154,7,0.1795,8.4103,61.2,1.1974,7,-1.0074,0.0513,10.92,6.28,1.52,11,,,1,
21,Minnesota,Vikings,1,GB,NFC,NFC North,Closed,Open,Cover 6,17,61,No,Yes,No,248,48,No,3,Yes,42,0.875,0.1935,37,1,0.7708,360,206,67,188,,3,5,0.1351,0.1667,0.1458,0.3125,0.375,27,0.5625,9,0.1875,3.9167,88.9,1.4516,7.5,0.7662,0.0625,9.7297,5.5676,1.8108,16,,,,
9,Dallas,Cowboys,,NYG,NFC,NFC East,Open,Open,Cover 6,17,36,No,No,No,168,36,No,1,Yes,29,0.8056,0.2143,27,,0.75,302,156,44,292,,,2,0.0741,0.3611,0.1389,0.1667,0.3333,18,0.5,3,0.0833,8.1111,88,1.7976,8.3889,0.6171,,11.1852,5.7778,1.6296,13,3,,,
