Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsContestedTotal,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,TouchdownsTotal
Ronnie Rivers,LA,RB,6,Yes,No,Yes,3,1,No,Yes,1,1,0.3333,1,1,6,14,3,-8,0.6667,0.3333,1,1,1,-8,91.7,2,6,1.4713,6,14,3,1.1129,1.1129,0.1667,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,,,,,,,,,,,
Amari Cooper,BUF,WR,24,No,No,No,9,1,No,Yes,1,1,0.1111,1,1,2,4,4,-2,,0.1111,1,1,1,-2,79.2,0.2222,2,-3.4991,2,4,4,1.6481,1.6481,0.0417,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,14,0.8889,,,,,,,,,,
Darius Slayton,NYG,WR,40,Yes,No,No,10,,No,Yes,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.8,,,,,,,,,,
Dare Ogunbowale,HST,RB,15,No,No,No,13,4,No,No,4,1,0.3077,4,1,35,48,7,-13,1,,4,4,1,-3.25,103.1,2.6923,8.75,2.7682,8.75,12,1.75,7.4396,7.4396,0.2667,3.5,7.5,5.5,9.5,7.5,7.5,5.5,7.5,7.5,7.5,5.5,7.5,7.5,17,,1,,,,,,,,,
Nico Collins,HST,WR,27,No,No,No,20,13,No,No,13,1,0.65,13,1,107,144,59,-37,,0.45,13,13,1,-2.8462,101,5.35,8.2308,3.1452,8.2308,11.0769,4.5385,20.0954,20.0954,0.4815,10.7,23.7,17.2,23.7,23.7,26.7,20.2,23.7,23.7,23.7,17.2,23.7,23.7,12,0.55,4,3,0.2308,2,,,,,,
Jerry Jeudy,CLV,WR,34,No,No,No,14,2,No,No,2,1,0.1429,2,1,4,7,5,-3,,0.2857,2,2,1,-1.5,79.2,0.2857,2,-3.8345,2,3.5,2.5,4.5925,4.5925,0.0588,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,17,0.6429,,,,1,0.0714,,,,,
Jake Ferguson,DAL,TE,30,No,No,No,13,6,No,Yes,6,1,0.4615,6,1,19,44,17,-25,,0.3846,6,6,1,-4.1667,79.9,1.4615,3.1667,-2.3194,3.1667,7.3333,2.8333,8.8393,8.8393,0.2,1.9,7.9,4.9,7.9,10.9,7.9,4.9,7.9,7.9,7.9,4.9,10.9,7.9,14,0.2308,1,4,0.6667,1,0.3846,,,,,
Davante Adams,NYJ,WR,34,Yes,No,No,18,6,No,Yes,5,0.8333,0.3333,4,0.6667,10,17,4,-17,,0.6111,6,6,1,-2.8333,70.1,0.5556,1.6667,-3.5629,2.5,4.25,1,9.3536,9.3536,0.1765,1,5,3,5,5,5,3,5,5,5,3,5,5,14,0.3889,,1,0.25,1,,1,,,,
J.K. Dobbins,LAC,RB,18,Yes,No,Yes,15,8,No,Yes,8,1,0.5333,7,0.875,21,56,18,-43,0.8,0.0667,8,8,1,-5.375,79.2,1.4,2.625,-2.6906,3,8,2.5714,13.3455,13.3455,0.4444,2.1,9.1,5.6,12.6,9.1,9.1,5.6,9.1,9.1,9.1,5.6,9.1,9.1,13,0.1333,2,1,0.1429,1,,,1,0.125,,
Emari Demercado,ARZ,RB,3,Yes,No,No,3,1,No,Yes,,,0.3333,,,,,,-3,1,,1,1,1,-3,39.6,,,-6.1191,,,,1.6239,1.6239,0.3333,,,,,,,,,,,,,,13,,,,,,,,,,,
Cody Thompson,TB,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Jordan Whittington,LA,WR,13,Yes,No,Yes,7,3,No,Yes,3,1,0.4286,3,1,43,56,3,-13,,0.5714,3,3,1,-4.3333,118.8,6.1429,14.3333,9.9567,14.3333,18.6667,1,4.5472,4.5472,0.2308,4.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,15,0.4286,3,,,,,,,,,
Josh Whyle,TEN,TE,11,No,No,No,4,2,No,No,1,0.5,0.5,1,0.5,8,10,3,-5,,,2,2,1,-2.5,60.4,2,4,-1.3581,8,10,3,3.0209,3.0209,0.1818,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,17,0.25,,,,1,0.75,,,,,
Travis Etienne,JAX,RB,18,Yes,No,No,12,9,No,No,6,0.6667,0.75,6,0.6667,20,49,12,-39,0.9167,0.0833,9,9,1,-4.3333,70.1,1.6667,2.2222,-3.3416,3.3333,8.1667,2,15.0622,15.0622,0.5,2,8,5,11,8,8,5,8,8,8,5,8,8,15,,1,,,1,,,,,,
Samaje Perine,KC,RB,11,Yes,No,No,10,8,No,Yes,8,1,0.8,6,0.75,36,60,17,-29,0.9,,8,8,1,-3.625,83.3,3.6,4.5,-1.1752,6,10,2.8333,15.0011,15.0011,0.7273,3.6,9.6,6.6,12.6,9.6,9.6,6.6,9.6,9.6,9.6,6.6,9.6,9.6,17,0.1,2,1,0.1667,1,,1,1,0.125,1,
Saquon Barkley,PHI,RB,9,No,No,No,7,6,No,Yes,5,0.8333,0.8571,5,0.8333,42,63,36,-24,0.7143,0.2857,6,6,1,-4,95.8,6,7,1.1854,8.4,12.6,7.2,9.5589,9.5589,0.6667,4.2,9.2,6.7,11.7,9.2,9.2,6.7,9.2,9.2,9.2,6.7,9.2,9.2,16,,2,2,0.4,1,,,,,,
Evan Engram,JAX,TE,15,Yes,No,No,8,3,No,Yes,3,1,0.375,3,1,8,15,6,-7,,0.375,3,3,1,-2.3333,79.2,1,2.6667,-2.8772,2.6667,5,2,4.7432,4.7432,0.2,0.8,3.8,2.3,3.8,5.3,3.8,2.3,3.8,3.8,3.8,2.3,5.3,3.8,9,0.375,,1,0.3333,,0.25,,,,,
Jamari Thrash,CLV,WR,4,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,
Will Dissly,LAC,TE,19,Yes,No,Yes,10,9,No,Yes,9,1,0.9,9,1,86,117,28,-31,,0.2,9,9,1,-3.4444,106.5,8.6,9.5556,3.8117,9.5556,13,3.1111,14.1297,14.1297,0.4737,8.6,17.6,13.1,17.6,22.1,17.6,13.1,17.6,17.6,17.6,13.1,22.1,17.6,15,,4,2,0.2222,1,0.8,,,,,
KhaDarel Hodge,ATL,WR,10,No,No,No,4,3,No,Yes,3,1,0.75,3,1,36,41,9,-5,,0.5,3,3,1,-1.6667,116.7,9,12,6.5072,12,13.6667,3,4.1058,4.1058,0.3,3.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,16,0.5,2,4,1.3333,,,,,,,
Miles Sanders,CAR,RB,10,No,No,No,5,5,No,Yes,4,0.8,1,4,0.8,20,35,14,-25,0.6,,5,5,1,-5,43.8,4,4,-1.3449,5,8.75,3.5,7.6506,7.6506,0.5,2,6,4,8,6,6,4,6,6,6,4,6,6,11,0.4,1,1,0.25,,,,,,,
Charlie Jones,CIN,WR,2,Yes,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
Rasheen Ali,BLT,RB,1,No,No,No,1,1,No,No,,,1,,,,,,-7,1,,1,1,1,-7,39.6,,,-4.5287,,,,1.0897,1.0897,1,,,,,,,,,,,,,,5,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,19,Yes,No,Yes,7,,Yes,Yes,,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.8571,,,,,,,,,,
Connor Heyward,PIT,TE,7,No,No,No,2,,No,Yes,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,0.5,,,,,
Adonai Mitchell,IND,WR,14,Yes,No,No,7,1,No,No,1,1,0.1429,1,1,,3,,-3,,0.1429,1,1,1,-3,79.2,,,-4.9408,,3,,1.5765,1.5765,0.0714,0.96,1.96,1.46,1.96,1.96,1.96,1.46,1.96,1.96,1.96,1.46,2.2,2.2,17,0.8571,,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,27,No,No,No,7,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,
Jake Bobo,SEA,WR,12,Yes,No,Yes,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,9,No,No,No,4,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.75,,,,,
Tyler Higbee,LA,TE,2,Yes,No,Yes,2,2,No,Yes,1,0.5,1,1,0.5,13,18,7,-9,,,2,2,1,-4.5,70.8,6.5,6.5,1.1451,13,18,7,4.4066,4.4066,1,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,3,,1,,,1,1,,,,,
Ben Sims,GB,TE,3,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,1,,,,,
DeAndre Carter,CHI,WR,6,No,No,No,4,1,No,Yes,1,1,0.25,1,1,6,8,4,-2,,0.5,1,1,1,-2,91.7,1.5,6,0.5009,6,8,4,1.4872,1.4872,0.1667,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,13,0.5,,,,,,,,,,
Robbie Chosen,MIA,WR,3,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Kayshon Boutte,NE,WR,28,Yes,No,No,13,,No,Yes,,,,,,,,,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.9231,,,,,,,,,,
Jonathan Mingo,DAL,WR,14,No,No,No,7,,No,Yes,,,,,,,,,,,0.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.4286,,,,,,,,,,
Cooper Kupp,LA,WR,15,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,-2,1,1,-3,,0.3333,1,1,1,-3,79.2,-0.6667,-2,-6.9408,-2,1,1,1.5137,1.5137,0.0667,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,12,0.6667,,,,,,,,,,
Tommy Tremble,CAR,TE,13,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,5,6,2,-1,,0.3333,1,1,1,-1,87.5,1.6667,5,0.0986,5,6,2,1.706,1.706,0.0769,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,12,0.3333,,,,,0.3333,,,,,
Adam Trautman,DEN,TE,16,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,1,,,,,
Ja'Marr Chase,CIN,WR,18,Yes,No,No,15,9,No,Yes,8,0.8889,0.6,7,0.7778,31,48,23,-24,,0.6,9,9,1,-2.6667,41.4,2.0667,3.4444,-1.7436,4.4286,6.8571,3.2857,15.6818,15.6818,0.5,3.1,10.1,6.6,10.1,10.1,10.1,6.6,10.1,10.1,10.1,6.6,10.1,10.1,17,0.4,2,1,0.1429,,,,1,0.1111,,
D'Andre Swift,CHI,RB,50,No,No,No,37,21,No,Yes,19,0.9048,0.5676,17,0.8095,226,292,76,-80,0.9189,,21,21,1,-3.8095,111.5,6.1081,10.7619,5.1195,13.2941,17.1765,4.4706,31.6029,31.6029,0.42,22.6,39.6,31.1,48.1,39.6,42.6,34.1,39.6,39.6,39.6,31.1,39.6,39.6,17,0.0811,6,4,0.2353,,,,2,0.0952,,
Justice Hill,BLT,RB,22,Yes,No,No,17,14,No,Yes,14,1,0.8235,14,1,106,156,37,-50,0.6471,0.1176,14,14,1,-3.5714,122,6.2353,7.5714,1.7842,7.5714,11.1429,2.6429,23.9524,23.9524,0.6364,16.6,30.6,23.6,37.6,30.6,33.6,26.6,30.6,30.6,30.6,23.6,30.6,30.6,16,0.1765,6,2,0.1429,3,0.0588,,,,,1
Sincere McCormick,LV,RB,1,Yes,No,Yes,1,1,No,Yes,1,1,1,1,1,8,13,2,-5,1,,1,1,1,-5,100,8,8,2.1289,8,13,2,2.6609,2.6609,1,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,4,,,,,,,,,,,
K.J. Osborn,WAS,WR,8,No,No,Yes,3,,No,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.6667,,,,,,,,,,
Tyler Conklin,NYJ,TE,31,Yes,No,No,11,3,No,Yes,3,1,0.2727,3,1,9,17,2,-8,,0.3636,3,3,1,-2.6667,79.2,0.8182,3,-2.5272,3,5.6667,0.6667,6.0086,6.0086,0.0968,0.9,3.9,2.4,3.9,5.4,3.9,2.4,3.9,3.9,3.9,2.4,5.4,3.9,16,0.0909,1,,,,0.5455,,,,,
James Conner,ARZ,RB,25,No,No,No,21,17,No,Yes,16,0.9412,0.8095,15,0.8824,188,242,73,-60,1,,17,17,1,-3.5294,132.4,8.9524,11.0588,5.1131,12.5333,16.1333,4.8667,28.3362,28.3362,0.68,23.8,38.8,31.3,46.3,38.8,41.8,33.3,37.8,37.8,37.8,30.3,38.8,37.8,16,,8,9,0.6,1,,,,,,1
Blake Watson,DEN,RB,2,Yes,No,No,1,1,No,Yes,1,1,1,1,1,13,18,8,-5,1,,1,1,1,-5,118.8,13,13,7.1289,13,18,8,1.6815,1.6815,0.5,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2,,,1,1,1,,,,,,
Chris Brooks,GB,RB,5,No,No,No,2,2,No,Yes,2,1,1,2,1,5,13,4,-8,1,,2,2,1,-4,79.2,2.5,2.5,-3.0699,2.5,6.5,2,3.335,3.335,0.4,0.5,2.5,1.5,3.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,13,,,,,1,,1,,,1,
Christian Watson,GB,WR,24,No,No,No,3,,No,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.6667,,,,,,,,,,
Josh Oliver,MIN,TE,16,No,No,Yes,3,1,No,Yes,1,1,0.3333,1,1,8,11,2,-3,,,1,1,1,-3,100,2.6667,8,2.1348,8,11,2,2.9193,2.9193,0.0625,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,15,,,,,,1,,,,,
Nick Chubb,CLV,RB,6,Yes,No,No,5,3,No,Yes,2,0.6667,0.6,1,0.3333,19,21,2,-8,1,,3,3,1,-2.6667,16.7,3.8,6.3333,0.1879,19,21,2,4.3154,4.3154,0.5,1.9,2.9,2.4,3.4,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,8,,1,,,,,,,,,
Michael Carter,ARZ,RB,7,No,No,No,3,,No,Yes,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.3333,,,,,,,,,,
Tyjae Spears,TEN,RB,10,No,No,No,8,5,No,Yes,5,1,0.625,4,0.8,31,51,9,-26,0.875,0.125,5,5,1,-5.2,92.5,3.875,6.2,0.7484,7.75,12.75,2.25,7.2606,7.2606,0.5,3.1,7.1,5.1,9.1,7.1,7.1,5.1,7.1,7.1,7.1,5.1,7.1,7.1,12,,1,1,0.25,,,,1,0.2,,
Laviska Shenault,LAC,WR,4,No,No,No,4,2,No,Yes,2,1,0.5,2,1,18,22,12,-4,0.25,0.25,2,2,1,-2,104.2,4.5,9,3.4447,9,11,6,3.0786,3.0786,0.5,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,12,0.5,1,1,0.5,,,,,,,
D.J. Moore,CHI,WR,63,No,No,No,47,25,No,Yes,24,0.96,0.5319,24,0.96,180,245,84,-67,0.0426,0.2128,25,25,1,-2.68,123.3,3.8298,7.2,2.0804,7.5,10.2083,3.5,42.5808,42.5808,0.3968,30,54,42,54,54,57,45,54,54,54,42,54,54,17,0.7447,8,8,0.3333,4,,,,,,2
Keaton Mitchell,BLT,RB,1,No,No,No,1,1,No,No,1,1,1,1,1,28,33,5,-5,1,,1,1,1,-5,118.8,28,28,22.1289,28,33,5,1.306,1.306,1,2.8,3.8,3.3,4.3,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,4,,1,,,,,,,,,
Bucky Irving,TB,RB,32,Yes,No,Yes,26,17,Yes,Yes,16,0.9412,0.6538,15,0.8824,158,222,60,-78,0.6538,0.2692,17,17,1,-4.5882,105.4,6.0769,9.2941,3.7166,10.5333,14.8,4,26.1308,26.1308,0.5312,15.8,30.8,23.3,38.3,30.8,33.8,26.3,30.8,30.8,30.8,23.3,30.8,30.8,17,0.0769,7,4,0.2667,3,,1,,,,
Rome Odunze,CHI,WR,60,No,No,No,14,4,No,Yes,4,1,0.2857,4,1,22,30,15,-8,,0.4286,4,4,1,-2,89.6,1.5714,5.5,0.1452,5.5,7.5,3.75,8.8235,8.8235,0.0667,2.2,6.2,4.2,6.2,6.2,6.2,4.2,6.2,6.2,6.2,4.2,6.2,6.2,17,0.5714,1,1,0.25,1,,,,,,
Isaiah Davis,NYJ,RB,3,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,,1,,-1,0.5,,1,1,1,-1,79.2,,,-5.819,,1,,1.3511,1.3511,0.3333,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,13,0.5,,,,,,,,,,
Colby Parkinson,LA,TE,19,Yes,No,Yes,6,2,No,Yes,2,1,0.3333,1,0.5,9,14,2,-11,,0.1667,2,2,1,-5.5,62.5,1.5,4.5,-1.2451,9,14,2,4.4533,4.4533,0.1053,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,17,,1,,,,0.8333,,1,0.5,,
Tyler Allgeier,ATL,RB,4,No,No,No,2,2,No,Yes,2,1,1,2,1,8,22,5,-14,1,,2,2,1,-7,83.3,4,4,-0.809,4,11,2.5,2.8616,2.8616,0.5,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,17,,,1,0.5,,,,,,,
Foster Moreau,NO,TE,23,Yes,No,Yes,3,2,Yes,Yes,2,1,0.6667,2,1,21,27,5,-6,,0.3333,2,2,1,-3,110.4,7,10.5,4.6348,10.5,13.5,2.5,3.5562,3.5562,0.087,2.1,4.1,3.1,4.1,5.1,4.1,3.1,4.1,4.1,4.1,3.1,5.1,4.1,17,,1,,,1,0.6667,,,,,
Trey Sermon,IND,RB,4,Yes,No,No,1,1,No,No,1,1,1,1,1,,7,1,-7,1,,1,1,1,-7,79.2,,,-4.5287,,7,1,2.0105,2.0105,0.25,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,17,,,1,1,1,,,,,,
Josh Downs,IND,WR,19,Yes,No,No,10,4,No,No,4,1,0.4,4,1,49,61,28,-12,,0.9,4,4,1,-3,157.3,4.9,12.25,7.1621,12.25,15.25,7,5.6877,5.6877,0.2105,10.9,14.9,12.9,14.9,14.9,14.9,12.9,14.9,14.9,14.9,12.9,14.9,14.9,14,0.1,1,1,0.25,,,,,,,1
Devaughn Vele,DEN,WR,25,Yes,No,No,3,1,No,Yes,,,0.3333,,,,,,-8,,0.3333,1,1,1,-8,39.6,,,-2.5405,,,,1.3733,1.3733,0.04,,,,,,,,,,,,,,13,0.6667,,,,,,,,,,
Zamir White,LV,RB,4,Yes,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
Ameer Abdullah,LV,RB,12,No,No,Yes,8,4,No,Yes,4,1,0.5,4,1,21,46,6,-25,0.625,0.125,4,4,1,-6.25,88.5,2.625,5.25,-0.0901,5.25,11.5,1.5,5.9111,5.9111,0.3333,2.1,6.1,4.1,8.1,6.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,16,0.25,2,1,0.25,,,,,,,
Devin Singletary,NYG,RB,19,Yes,No,No,13,10,No,Yes,9,0.9,0.7692,9,0.9,59,106,30,-56,1,,10,10,1,-5.6,51.7,4.5385,5.9,0.5452,6.5556,11.7778,3.3333,15.3593,15.3593,0.5263,5.9,14.9,10.4,19.4,14.9,14.9,10.4,14.9,14.9,14.9,10.4,14.9,14.9,15,,3,2,0.2222,,,,,,,
Quintin Morris,BUF,TE,10,Yes,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,14,No,No,No,5,1,No,Yes,1,1,0.2,1,1,4,7,,-3,,0.8,1,1,1,-3,83.3,0.8,4,-1.8652,4,7,,1.858,1.858,0.0714,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,16,,,,,,0.2,,,,,
Jauan Jennings,SF,WR,26,No,No,No,8,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,
Andrew Ogletree,IND,TE,13,Yes,No,No,3,1,No,No,1,1,0.3333,1,1,8,11,,-3,,,1,1,1,-3,100,2.6667,8,2.1348,8,11,,1.6569,1.6569,0.0769,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,17,0.3333,1,,,,0.6667,,,,,
Jaylen Warren,PIT,RB,14,Yes,No,No,9,6,No,Yes,5,0.8333,0.6667,5,0.8333,38,61,30,-28,0.8889,,6,6,1,-4.6667,93.1,4.2222,6.3333,0.7431,7.6,12.2,6,8.7855,8.7855,0.4286,3.8,8.8,6.3,11.3,8.8,8.8,6.3,8.8,8.8,8.8,6.3,8.8,8.8,15,,2,2,0.4,,0.1111,,,,,
Kendrick Bourne,NE,WR,20,Yes,No,No,6,3,No,Yes,3,1,0.5,3,1,6,13,1,-7,,0.1667,3,3,1,-2.3333,79.2,1,2,-3.313,2,4.3333,0.3333,5.0107,5.0107,0.15,0.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,12,0.8333,,,,,,,,,,
Dareke Young,SEA,WR,2,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,
Juwan Johnson,NO,TE,22,Yes,No,Yes,5,4,Yes,Yes,4,1,0.8,4,1,13,30,5,-17,,0.6,4,4,1,-4.25,80.2,2.6,3.25,-2.5956,3.25,7.5,1.25,6.6598,6.6598,0.1818,1.3,5.3,3.3,5.3,7.3,5.3,3.3,5.3,5.3,5.3,3.3,7.3,5.3,17,0.2,,1,0.25,1,0.2,,,,,
David Montgomery,DET,RB,15,Yes,No,No,10,10,No,Yes,10,1,1,10,1,108,155,55,-47,1,,10,10,1,-4.7,111.7,10.8,10.8,5.2366,10.8,15.5,5.5,15.9907,15.9907,0.6667,10.8,20.8,15.8,25.8,20.8,23.8,18.8,20.8,20.8,20.8,15.8,20.8,20.8,14,,5,2,0.2,,,,,,,
Mack Hollins,BUF,WR,29,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,
Tyler Boyd,TEN,WR,25,No,No,No,11,6,No,Yes,6,1,0.5455,6,1,22,42,13,-20,,0.5455,6,6,1,-3.3333,81.9,2,3.6667,-1.1222,3.6667,7,2.1667,9.3026,9.3026,0.24,2.2,8.2,5.2,8.2,8.2,8.2,5.2,8.2,8.2,8.2,5.2,8.2,8.2,16,0.4545,1,,,1,,,,,,
Kenneth Gainwell,PHI,RB,4,Yes,No,No,2,1,No,Yes,,,0.5,,,,,,-6,1,,1,1,1,-6,39.6,,,-5.0893,,,,1.1682,1.1682,0.25,,,,,,,,,,,,,,17,,,,,,,,,,,
Jordan Mims,NO,RB,6,Yes,No,Yes,5,2,Yes,Yes,1,0.5,0.4,1,0.5,,3,,-7,0.6,,2,2,1,-3.5,56.3,,,-5.8445,,3,,3.1092,3.1092,0.3333,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,9,0.4,,,,,,,,,,
Kevin Austin,NO,WR,14,Yes,No,Yes,4,,Yes,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.5,,,,,,,,,,
Tyler Badie,DEN,RB,1,No,No,No,1,1,No,Yes,1,1,1,1,1,-3,3,,-6,1,,1,1,1,-6,79.2,-3,-3,-8.0893,-3,3,,1.3913,1.3913,1,-1.3,-0.3,-0.8,0.2,-0.3,-0.3,-1.8,-1.3,-1.3,-1.3,-1.8,-0.3,-1.3,3,,,,,,,,,,,
Jalen Brooks,DAL,WR,14,No,No,No,9,1,No,Yes,1,1,0.1111,1,1,,2,2,-2,,0.2222,1,1,1,-2,79.2,,,-5.4991,,2,2,1.5483,1.5483,0.0714,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,14,0.7778,,,,,,,,,,
KaVontae Turpin,DAL,WR,14,No,No,No,10,6,No,Yes,6,1,0.6,5,0.8333,73,82,13,-11,,0.8,6,6,1,-1.8333,117.4,7.3,12.1667,6.652,14.6,16.4,2.6,9.5621,9.5621,0.4286,7.3,12.3,9.8,12.3,12.3,12.3,9.8,12.3,12.3,12.3,9.8,12.3,12.3,17,0.2,5,,,,,,1,0.1667,,
Jamison Crowder,WAS,WR,6,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,5,8,,-3,,1,1,1,1,-3,87.5,1.6667,5,0.0592,5,8,,1.6139,1.6139,0.1667,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,6,,,,,,,,,,,
Jalen Nailor,MIN,WR,21,No,No,Yes,4,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.75,,,,,,,,,,
