Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsContestedTotal,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,TouchdownsTotal
Deuce Vaughn,DAL,RB,2,No,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,1.863,1.863,,,,,,,,,,,,,,,6,,,,,,,,,,,
Kenny McIntosh,SEA,RB,2,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,1,,,,,
Dyami Brown,WAS,WR,33,No,No,No,23,15,No,Yes,15,1,0.6522,15,1,73,119,37,-46,,0.3478,15,15,1,-3.0667,86.9,3.1739,4.8667,-0.1252,4.8667,7.9333,2.4667,23.856,23.856,0.4545,6.3,21.3,13.8,21.3,21.3,21.3,12.8,20.3,20.3,20.3,12.8,21.3,20.3,16,0.6522,4,6,0.4,1,,,,,,
Garrett Wilson,NYJ,WR,38,Yes,No,No,23,8,No,Yes,8,1,0.3478,8,1,34,47,4,-13,,0.2609,8,8,1,-1.625,84.4,1.4783,4.25,-1.1566,4.25,5.875,0.5,11.8886,11.8886,0.2105,2.4,10.4,6.4,10.4,10.4,10.4,5.4,9.4,9.4,9.4,5.4,10.4,9.4,17,0.7391,1,5,0.625,1,,,,,,
Derrick Henry,BLT,RB,19,No,No,No,3,3,No,No,3,1,1,3,1,66,84,19,-18,1,,3,3,1,-6,118.8,22,22,16.8369,22,28,6.3333,4.9598,4.9598,0.1579,6.6,9.6,8.1,11.1,9.6,9.6,8.1,9.6,9.6,9.6,8.1,9.6,9.6,17,,3,4,1.3333,,,,,,,
Kareem Hunt,KC,RB,20,No,No,No,10,5,No,Yes,4,0.8,0.5,4,0.8,15,36,14,-25,0.9,0.1,5,5,1,-5,79.2,1.5,3,-2.2633,3.75,9,3.5,9.2316,9.2316,0.25,1.5,5.5,3.5,7.5,5.5,5.5,3.5,5.5,5.5,5.5,3.5,5.5,5.5,13,,2,,,3,,,,,,
Ty Johnson,BUF,RB,14,Yes,No,No,12,4,No,Yes,4,1,0.3333,4,1,62,87,10,-25,0.75,0.1667,4,4,1,-6.25,158.3,5.1667,15.5,10.3001,15.5,21.75,2.5,7.3316,7.3316,0.2857,12.2,16.2,14.2,18.2,16.2,16.2,14.2,16.2,16.2,16.2,14.2,16.2,16.2,17,,3,,,2,0.0833,,,,,1
Van Jefferson,PIT,WR,19,Yes,No,No,7,1,No,Yes,1,1,0.1429,1,1,1,6,,-5,,0.4286,1,1,1,-5,79.2,0.1429,1,-3.1596,1,6,,2.0667,2.0667,0.0526,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,17,0.5714,,,,1,,,,,,
Xavier Worthy,KC,WR,34,Yes,No,No,21,6,No,Yes,5,0.8333,0.2857,5,0.8333,43,54,13,-15,0.0476,0.4286,6,6,1,-2.5,96.5,2.0476,7.1667,1.9729,8.6,10.8,2.6,9.3323,9.3323,0.1765,4.3,9.3,6.8,9.3,9.3,9.3,6.8,9.3,9.3,9.3,6.8,9.3,9.3,17,0.5238,2,1,0.2,1,,,,,,
Malachi Corley,NYJ,WR,3,No,No,Yes,1,1,No,Yes,1,1,1,1,1,4,4,3,,,1,1,1,1,,83.3,4,4,-2.0386,4,4,3,1.4135,1.4135,0.3333,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,7,,,,,,,,,,,
