Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,AlignmentInlineRoutesPercentage,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAfterContactTotal,AveragesPerReceptionYardsAfterContact,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,TargetsContestedTotal,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero
Adam Trautman,DEN,TE,9,No,No,No,4,No,No,,17,,,,,,,,0.25,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift,CHI,RB,16,No,No,No,11,No,No,0.7273,17,0.1818,1,1,1,0.0909,24,,0.0909,,24,1,118.8,17.6296,,1.3891,1.3891,0.0625,,1,1,30,6,2.7273,30,30,6,1,3,4,3.5,4.5,4,4,3.5,4,4,4,3.5,4,4,3,3,,,,,,,,,
Jase McClellan,ATL,RB,1,No,No,No,1,No,Yes,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,17,No,No,No,17,No,No,,17,0.3529,5,4,0.8,0.2941,157,1,0.6471,5,31.4,5,143.8,7.7503,0.2,12.0615,12.0615,0.2941,,3,0.6,104,7,6.1176,20.8,34.6667,2.3333,3,28.4,31.4,29.9,31.4,31.4,34.4,32.9,31.4,31.4,31.4,29.9,31.4,31.4,1,0.3333,1,3,1,,,,,,
Tommy Tremble,CAR,TE,15,No,Yes,No,13,Yes,No,,12,0.6154,,,,,,,,,,,,,,,,,0.3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Mingo,DAL,WR,10,No,No,No,10,Yes,Yes,,17,0.5,1,1,1,0.1,36,,0.5,1,36,1,39.6,-13.75,,5.7659,5.7659,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Cooper Kupp,LA,WR,10,No,Yes,Yes,10,No,No,,12,0.6,2,2,1,0.2,43,,0.4,2,21.5,2,118.8,15.4587,,6.7449,6.7449,0.2,,2,1,52,9,5.2,26,26,4.5,2,5.2,7.2,6.2,7.2,7.2,7.2,6.2,7.2,7.2,7.2,6.2,7.2,7.2,1,0.5,,,,,,,,,
Hunter Long,LA,TE,5,No,Yes,No,5,No,Yes,,17,0.4,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,10,No,No,No,9,Yes,No,,15,0.1111,4,3,0.75,0.4444,105,,0.8889,3,26.25,3,156.3,9.8235,,8.2611,8.2611,0.4,,3,0.75,84,12,9.3333,21,28,4,3,20.4,23.4,21.9,23.4,23.4,23.4,21.9,23.4,23.4,23.4,21.9,23.4,23.4,6,2,,2,,1,1,1,0.3333,,
Ben Sims,GB,TE,1,No,No,No,1,No,No,,16,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Carter,CHI,WR,7,No,No,No,6,No,No,,13,0.6667,3,,,0.5,81,,0.3333,2,27,3,39.6,-12.4538,,7.4736,7.4736,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
Jake Bobo,SEA,WR,4,No,Yes,No,4,No,Yes,,17,0.25,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,3,No,No,No,2,Yes,Yes,,17,0.5,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parris Campbell,PHI,WR,1,No,No,Yes,1,Yes,Yes,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Heyward,PIT,TE,3,Yes,No,No,2,Yes,Yes,1,16,,1,1,1,0.5,29,,,1,29,1,39.6,-11.2203,,1.0026,1.0026,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonai Mitchell,IND,WR,14,Yes,No,No,14,Yes,Yes,,17,0.4286,7,4,0.5714,0.5,198,1,0.5714,7,28.2857,7,66.4,-2.7019,0.1429,24.2529,24.2529,0.5,,2,0.2857,66,7,4.7143,9.4286,33,3.5,2,6.6,8.6,7.6,8.6,8.6,8.6,7.6,8.6,8.6,8.6,7.6,8.6,8.6,2,1,3,,,,,,,1,1
Nick Westbrook-Ikhine,TEN,WR,17,No,No,Yes,17,Yes,Yes,,17,0.2941,5,4,0.8,0.2941,153,,0.7059,5,30.6,4,158.3,22.1858,,14.4737,14.4737,0.2941,,4,0.8,172,69,10.1176,34.4,43,17.25,4,41.2,45.2,43.2,45.2,45.2,48.2,46.2,45.2,45.2,45.2,43.2,45.2,45.2,,,2,4,2,,,,,1,
Marquez Valdes-Scantling,NO,WR,11,No,No,Yes,11,Yes,Yes,,14,0.0909,6,5,0.8333,0.5455,211,,0.9091,5,35.1667,6,135.4,9.1743,,15.9089,15.9089,0.5455,,3,0.5,134,26,12.1818,22.3333,44.6667,8.6667,3,19.4,22.4,20.9,22.4,22.4,25.4,23.9,22.4,22.4,22.4,20.9,22.4,22.4,20,6.6667,2,1,1,3,1,,,,
Miles Sanders,CAR,RB,8,No,Yes,No,8,Yes,No,0.75,11,,3,2,0.6667,0.375,63,,0.25,2,21,2,149.3,4.3873,,5.8083,5.8083,0.375,,2,0.6667,52,10,6.5,17.3333,26,5,2,11.2,13.2,12.2,14.2,13.2,13.2,12.2,13.2,13.2,13.2,12.2,13.2,13.2,3,1.5,,1,,,,1,0.5,,
Will Dissly,LAC,TE,8,No,No,No,6,No,No,,15,0.5,1,1,1,0.1667,18,1,0.1667,1,18,,39.6,-12.9732,1,3.6655,3.6655,0.125,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
KhaDarel Hodge,ATL,WR,8,No,Yes,No,8,Yes,No,,16,0.25,1,,,0.125,44,,0.75,1,44,1,39.6,-15,,2.768,2.768,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,2,No,No,No,2,No,No,,9,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,13,No,Yes,No,12,No,No,0.9167,16,,1,1,1,0.0833,22,,0.0833,1,22,1,158.3,8.0571,,3.2,3.2,0.0769,,1,1,20,,1.6667,20,20,,1,8,9,8.5,9.5,9,9,8.5,9,9,9,8.5,9,9,,,1,1,1,,,,,1,
Evan Engram,JAX,TE,6,No,No,No,6,No,No,,9,0.3333,,,,,,,0.3333,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samaje Perine,KC,RB,3,No,No,No,1,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles Gaskin,MIN,RB,1,No,Yes,Yes,1,No,No,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Whittington,LA,WR,6,No,Yes,No,6,No,Yes,,15,0.3333,1,,,0.1667,18,,0.6667,1,18,,39.6,-10.8991,,3.5627,3.5627,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
Josh Whyle,TEN,TE,13,No,No,Yes,13,Yes,Yes,,17,0.4615,1,,,0.0769,15,,0.1538,,15,,39.6,-10.6391,,3.084,3.084,0.0769,0.3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Etienne,JAX,RB,14,Yes,No,No,12,Yes,Yes,0.8333,15,,1,,,0.0833,30,,0.1667,1,30,1,39.6,-10.8125,,2.3791,2.3791,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
J.K. Dobbins,LAC,RB,8,No,No,No,8,No,No,0.875,13,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emari Demercado,ARZ,RB,6,Yes,No,Yes,4,No,No,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,19,No,No,No,15,Yes,Yes,,14,0.3333,3,1,0.3333,0.2,53,1,0.2,2,17.6667,1,39.6,-11.866,0.3333,7.6011,7.6011,0.1579,0.4667,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,
Davante Adams,NYJ,WR,22,No,No,No,22,No,No,,14,0.3636,11,7,0.6364,0.5,223,1,0.6364,10,20.2727,6,111.7,-3.2363,0.0909,32.0245,32.0245,0.5,,5,0.4545,85,9,3.8636,7.7273,17,1.8,5,20.5,25.5,23,25.5,25.5,25.5,23,25.5,25.5,25.5,23,25.5,25.5,4,0.8,3,2,2,3,2,,,3,2
Dare Ogunbowale,HST,RB,7,No,No,Yes,5,Yes,Yes,0.8,17,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Collins,HST,WR,11,No,No,Yes,11,Yes,Yes,,12,0.2727,6,5,0.8333,0.5455,176,,0.7273,6,29.3333,4,158.3,24.2875,,12.9361,12.9361,0.5455,,5,0.8333,217,52,19.7273,36.1667,43.4,10.4,5,27.7,32.7,30.2,32.7,32.7,35.7,33.2,32.7,32.7,32.7,30.2,32.7,32.7,14,2.8,1,1,,,,,,1,
Jerry Jeudy,CLV,WR,26,No,No,No,26,No,No,,17,0.5,8,2,0.25,0.3077,211,1,0.5,8,26.375,6,39.6,-12.2051,0.125,18.459,18.459,0.3077,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,3,
Ronnie Rivers,LA,RB,1,No,Yes,No,1,No,Yes,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amari Cooper,BUF,WR,18,No,Yes,No,18,No,No,,14,0.1667,10,4,0.4,0.5556,331,3,0.8333,10,33.1,9,39.6,-10.274,0.3,24.6454,24.6454,0.5556,,1,0.1,25,2,1.3889,2.5,25,2,1,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,,,1,,,,,,,1,1
Darius Slayton,NYG,WR,15,No,No,Yes,14,No,No,,16,,3,2,0.6667,0.2143,81,1,1,3,27,3,39.6,-11.8734,0.3333,11.4959,11.4959,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
Marquise Brown,KC,WR,1,Yes,No,No,1,Yes,Yes,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,7,No,No,Yes,7,No,No,,17,0.4286,2,2,1,0.2857,83,1,0.5714,2,41.5,2,135.4,2.1418,0.5,5.5386,5.5386,0.2857,,1,0.5,31,,4.4286,15.5,31,,1,9.1,10.1,9.6,10.1,10.1,10.1,9.6,10.1,10.1,10.1,9.6,10.1,10.1,,,1,1,1,,,,,,
John Metchie,HST,WR,5,No,No,Yes,5,Yes,Yes,,13,0.8,1,1,1,0.2,25,1,0.2,,25,1,39.6,-11.4887,1,1.8696,1.8696,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamison Crowder,WAS,WR,4,No,No,No,4,Yes,Yes,,6,0.75,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,10,No,No,No,10,Yes,Yes,,17,0.8,4,1,0.25,0.4,110,1,0.2,3,27.5,2,39.6,-12.3868,0.25,13.2619,13.2619,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,2,
Jalen Brooks,DAL,WR,8,No,No,No,8,Yes,Yes,,14,0.375,4,2,0.5,0.5,108,,0.625,3,27,3,69.8,-1.9431,,8.9352,8.9352,0.5,,1,0.25,41,-1,5.125,10.25,41,-1,1,4.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,-1,-1,1,,,1,,,,1,
Kevin Austin,NO,WR,6,No,No,Yes,5,Yes,Yes,,8,,2,,,0.4,61,,1,1,30.5,2,,-10.7024,,6.5816,6.5816,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casey Washington,ATL,WR,1,No,No,No,1,No,Yes,,2,,1,1,1,1,30,1,1,1,30,1,39.6,-9.194,1,1.9559,1.9559,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PHI,RB,7,No,No,Yes,5,No,No,0.8,17,0.2,1,,,0.2,13,,,1,13,,39.6,-7.0476,,1.692,1.692,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,21,No,No,Yes,19,Yes,Yes,,17,0.3684,1,1,1,0.0526,34,,0.1579,1,34,1,39.6,-4.1,,2.1655,2.1655,0.0476,0.4737,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
David Montgomery,DET,RB,3,Yes,No,No,2,No,Yes,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack Hollins,BUF,WR,17,No,No,No,17,Yes,No,,17,0.4706,4,,,0.2353,113,,0.5294,4,28.25,2,39.6,-12.4534,,8.4631,8.4631,0.2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Boyd,TEN,WR,18,No,Yes,Yes,18,No,No,,16,0.8889,,,,,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassan Haskins,LAC,RB,1,No,No,No,1,No,No,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,10,Yes,No,No,5,Yes,Yes,,17,0.2,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,12,No,No,No,7,No,No,0.8571,15,,,,,,,,,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Bourne,NE,WR,6,No,No,No,6,Yes,No,,12,0.1667,1,1,1,0.1667,34,,0.8333,1,34,1,118.8,23,,2.3111,2.3111,0.1667,,1,1,37,3,6.1667,37,37,3,1,3.7,4.7,4.2,4.7,4.7,4.7,4.2,4.7,4.7,4.7,4.2,4.7,4.7,2,2,,,,,,,,,
Ashton Dulin,IND,WR,3,Yes,No,No,3,Yes,Yes,,15,0.3333,2,1,0.5,0.6667,79,,0.6667,2,39.5,2,39.6,-14.9459,,3.8538,3.8538,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,11,Yes,No,No,11,No,Yes,,15,0.4545,5,2,0.4,0.4545,97,,0.5455,4,19.4,2,87.5,4.7977,,12.7952,12.7952,0.4545,,2,0.4,76,10,6.9091,15.2,38,5,2,13.6,15.6,14.6,15.6,15.6,15.6,14.6,15.6,15.6,15.6,14.6,15.6,15.6,4,2,2,1,,2,1,,,2,
Ja'Tavion Sanders,CAR,TE,23,No,Yes,No,22,Yes,No,0.0455,16,0.2727,2,,,0.0909,53,,0.3182,,26.5,1,39.6,-7.3478,,5.9729,5.9729,0.087,0.3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Anthony Miller,BLT,WR,1,Yes,No,No,1,No,Yes,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintin Morris,BUF,TE,4,No,No,No,4,Yes,No,,16,0.25,1,,,0.25,23,,,1,23,1,39.6,-11.6992,,3.1333,3.1333,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,7,No,No,Yes,4,No,No,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameer Abdullah,LV,RB,7,Yes,No,No,5,No,No,1,16,,1,1,1,0.2,8,,,,8,,131.3,-2.5126,,3.8,3.8,0.1429,,1,1,6,,1.2,6,6,,1,6.6,7.6,7.1,8.1,7.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,,,1,1,1,,,,,1,
Devaughn Vele,DEN,WR,9,No,No,No,9,No,No,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Herbert,CIN,RB,3,No,No,No,1,No,No,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Sermon,IND,RB,16,Yes,No,No,10,Yes,Yes,0.9,17,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Downs,IND,WR,15,Yes,No,No,15,Yes,Yes,,14,0.7333,3,2,0.6667,0.2,64,,0.2667,3,21.3333,2,149.3,6.1408,,7.363,7.363,0.2,,2,0.6667,53,5,3.5333,17.6667,26.5,2.5,2,11.3,13.3,12.3,13.3,13.3,13.3,12.3,13.3,13.3,13.3,12.3,13.3,13.3,,,2,1,1,,,,,1,1
Foster Moreau,NO,TE,12,No,No,Yes,4,Yes,Yes,,17,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Allgeier,ATL,RB,2,No,Yes,No,2,Yes,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,4,No,No,No,2,No,No,0.5,13,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby Parkinson,LA,TE,12,No,Yes,No,12,No,Yes,,17,,1,1,1,0.0833,28,,0.0833,1,28,1,158.3,4.6909,,2.7385,2.7385,0.0833,0.9167,1,1,19,,1.5833,19,19,,1,7.9,8.9,8.4,8.9,9.4,8.9,8.4,8.9,8.9,8.9,8.4,9.4,8.9,,,1,1,1,,,,,1,
Rome Odunze,CHI,WR,29,No,No,No,28,No,No,,17,0.5,13,2,0.1538,0.4643,403,,0.5,10,31,12,50.8,-7.0503,,34.4518,34.4518,0.4483,,2,0.1538,74,12,2.6429,5.6923,37,6,2,7.4,9.4,8.4,9.4,9.4,9.4,8.4,9.4,9.4,9.4,8.4,9.4,9.4,6,3,4,,,1,1,,,3,
Bucky Irving,TB,RB,5,No,No,Yes,3,Yes,Yes,0.3333,17,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Moore,CHI,WR,27,No,No,No,27,No,No,0.037,17,0.1481,2,,,0.0741,49,,0.8148,2,24.5,1,39.6,-11.1959,,4.4457,4.4457,0.0741,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
Keaton Mitchell,BLT,RB,2,No,No,No,2,No,No,0.5,4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,7,No,Yes,Yes,4,No,No,0.75,12,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Oliver,MIN,TE,7,No,No,Yes,3,No,No,,15,0.3333,,,,,,,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,6,Yes,No,No,2,No,Yes,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,19,No,No,No,14,No,No,0.7857,16,0.0714,1,,,0.0714,10,,0.1429,,10,,39.6,-7.1731,,2.6797,2.6797,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
Trent Sherfield,MIN,WR,1,No,No,Yes,1,No,No,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyquan Thornton,NE,WR,1,No,Yes,No,1,Yes,Yes,,5,1,,,,,,,,,,,,,,1.9867,1.9867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jha'Quan Jackson,TEN,WR,1,No,No,Yes,1,No,Yes,,12,1,1,,,1,31,,,1,31,1,39.6,-12.5972,,1.1212,1.1212,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dameon Pierce,HST,RB,3,No,No,Yes,2,Yes,Yes,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre Strong,CLV,RB,5,No,No,Yes,5,No,No,0.6,13,0.2,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diontae Johnson,HST,WR,8,No,No,Yes,8,Yes,Yes,,12,0.625,6,3,0.5,0.75,154,1,0.375,6,25.6667,6,111.1,-1.0982,0.1667,15.4123,15.4123,0.75,,2,0.3333,60,10,7.5,10,30,5,2,12,14,13,14,14,14,13,14,14,14,13,14,14,2,1,1,1,1,,,,,,
Braxton Berrios,MIA,WR,1,No,No,No,1,No,No,,6,1,,,,,,,,,,,,,,1.8641,1.8641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf,SEA,WR,15,No,Yes,No,15,No,Yes,,15,0.0667,6,4,0.6667,0.4,164,,0.9333,6,27.3333,5,70.1,-2.5406,,16.6754,16.6754,0.4,,2,0.3333,58,5,3.8667,9.6667,29,2.5,2,5.8,7.8,6.8,7.8,7.8,7.8,6.8,7.8,7.8,7.8,6.8,7.8,7.8,3,1.5,2,,,2,,,,2,
Mark Andrews,BLT,TE,19,No,No,No,19,No,No,,17,0.5263,3,2,0.6667,0.1579,44,1,0.3158,2,14.6667,,67.4,-1.9677,0.3333,7.5197,7.5197,0.1579,0.1579,1,0.3333,27,9,1.4211,9,27,9,1,2.7,3.7,3.2,3.7,4.2,3.7,3.2,3.7,3.7,3.7,3.2,4.2,3.7,7,7,,,,1,1,,,2,
Parker Washington,JAX,WR,17,Yes,No,No,17,Yes,Yes,,17,0.5294,2,,,0.1176,41,,0.4706,2,20.5,2,39.6,-11.0523,,3.8523,3.8523,0.1176,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,
MyCole Pruitt,PIT,TE,2,No,No,No,1,No,No,,12,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
