Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsContestedTotal,ReceptionsContested,TouchdownsTotal,ReceptionsHero
Jayden Reed,GB,WR,16,No,Yes,No,16,9,No,Yes,8,0.8889,0.5625,5,0.5556,24,52,15,-56,3,1,0.2,,8,8,0.8889,-6.2222,60.9,1.5,2.6667,-0.814,0.3333,4.8,10.4,3,1,12.8263,12.8263,0.5625,2.4,7.4,4.9,7.4,7.4,7.4,4.9,7.4,7.4,7.4,4.9,7.4,7.4,17,0.875,0.125,1,,,,,
Dante Pettis,NO,WR,2,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,
Ainias Smith,PHI,WR,1,Yes,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,
Chris Godwin,TB,WR,7,No,No,No,7,1,No,Yes,1,1,0.1429,1,1,28,29,28,-1,,1,1,,1,,,-1,118.8,4,28,21.8301,,28,29,28,1,1.4556,1.4556,0.1429,2.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,7,0.5714,0.4286,,,,,,
Terry McLaurin,WAS,WR,15,No,No,Yes,14,2,No,Yes,2,1,0.1429,2,1,11,22,3,-11,,1,0.5,,2,2,1,-5.5,89.6,0.7857,5.5,1.5492,,5.5,11,1.5,1,2.5126,2.5126,0.1333,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,17,0.1429,0.8571,2,,,,,
Velus Jones,CAR,WR,1,No,Yes,No,1,1,No,Yes,1,1,1,1,1,8,13,3,-5,,,,,1,1,1,-5,100,8,8,3.8404,,8,13,3,,1.5078,1.5078,1,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,2,1,,,,,,,
Bo Melton,GB,WR,5,No,Yes,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,
Drake London,ATL,WR,30,No,No,No,26,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2692,0.7308,,,,,,
Jalen Tolbert,DAL,WR,17,No,No,Yes,12,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.1667,0.8333,,,,,,
Bub Means,NO,WR,3,No,No,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,,
Alec Pierce,IND,WR,9,No,Yes,No,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.1667,0.8333,,,,,,
Olamide Zaccheaus,WAS,WR,8,No,No,Yes,8,5,No,Yes,5,1,0.625,4,0.8,36,57,13,-26,1,1,0.25,0.125,3,1,0.2,-5.2,96.7,4.5,7.2,3.1239,0.2,9,14.25,3.25,1,9.2872,9.2872,0.625,3.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,17,0.625,0.25,2,,,,,
Chris Rodriguez Jr.,WAS,RB,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
Brycen Tremayne,WAS,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,
Robert Woods,HST,WR,7,No,No,Yes,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.2,0.8,,,,,,
Chris Blair,ATL,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,
Sterling Shepard,TB,WR,11,No,Yes,No,8,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.375,0.625,,,,,,
Khalil Shakir,BUF,WR,15,No,No,No,14,2,No,Yes,2,1,0.1429,2,1,19,30,19,-11,,1,0.5,,1,,,-5.5,106.3,1.3571,9.5,5.9872,,9.5,15,9.5,1,2.8735,2.8735,0.1333,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,15,0.6429,0.3571,,,,,,
Sam LaPorta,DET,TE,21,No,No,No,11,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.0909,0.2727,,0.6364,,,,
Jaxon Smith-Njigba,SEA,WR,15,Yes,Yes,No,12,1,No,Yes,1,1,0.0833,1,1,,5,,-5,,,,,1,1,1,-5,79.2,,,-4.1596,,,5,,,1.4146,1.4146,0.0667,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,17,0.8333,0.1667,,,,,,
Jaylen Waddle,MIA,WR,22,No,Yes,Yes,21,,No,Yes,,,,,,-23,,,,,,,,,,,,,-1.0952,,,,,,,,,,,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,15,0.1905,0.8095,,,,,,
Scott Miller,PIT,WR,3,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1,,,,,,
Josh Jacobs,GB,RB,14,No,Yes,No,9,6,No,Yes,4,0.6667,0.6667,4,0.6667,36,56,29,-22,,1,0.25,1,,,,-3.6667,82.6,4,6,0.4427,,9,14,7.25,1,12.0522,12.0522,0.4286,3.6,7.6,5.6,9.6,7.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,17,,,,,,,,
Cade Stover,HST,TE,4,No,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,0.5,,0.5,,,,
Tee Higgins,CIN,WR,15,No,Yes,No,15,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.1333,0.8667,,,,,,
Grant Calcaterra,PHI,TE,6,Yes,Yes,Yes,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8333,,,0.1667,,,,
Rashod Bateman,BLT,WR,11,No,No,No,10,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.1,0.9,,,,,,
Pharaoh Brown,SEA,TE,2,Yes,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,
Chris Olave,NO,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,
Rico Dowdle,DAL,RB,11,No,No,Yes,10,10,No,Yes,9,0.9,1,9,0.9,44,96,13,-55,,2,0.2222,0.9,2,1,0.1,-5.5,85,4.4,4.4,-0.8545,,4.8889,10.6667,1.4444,3,16.8641,16.8641,0.9091,4.4,13.4,8.9,17.9,13.4,13.4,8.9,13.4,13.4,13.4,8.9,13.4,13.4,16,0.1,,1,,,,,
Jerome Ford,CLV,RB,14,No,No,No,11,11,No,Yes,11,1,1,11,1,50,109,35,-59,,5,0.4545,0.8182,5,3,0.2727,-5.3636,85.6,4.5455,4.5455,-0.6738,,4.5455,9.9091,3.1818,2,16.2454,16.2454,0.7857,5,16,10.5,21.5,16,16,10.5,16,16,16,10.5,16,16,14,0.1818,,1,,,,,
George Pickens,PIT,WR,15,No,Yes,No,12,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.25,0.75,,,,,,
Jermaine Burton,CIN,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,1,,,,,,
Ricky Pearsall,SF,WR,5,No,No,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.6667,0.3333,,,,,,
Jeremy McNichols,WAS,RB,5,No,No,Yes,4,2,No,Yes,2,1,0.5,2,1,6,14,1,-8,,,,1,,,,-4,79.2,1.5,3,-2.5699,,3,7,0.5,,2.7721,2.7721,0.4,0.6,2.6,1.6,3.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,17,,,,,,,,
Zach Davidson,BUF,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,
