Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,playerStatsFirstDownsReceiving,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,ReceptionsHero,TouchdownsTotal
Luke McCaffrey,WAS,WR,2,Yes,No,No,1,1,No,Yes,1,1,1,1,1,13,15,1,-2,,1,1,1,,1,1,1,-2,118.8,13,13,7.5009,,13,15,1,1.631,1.631,0.5,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,17,1,,,,
Brock Wright,DET,TE,4,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,1,,
Jalin Hyatt,NYG,WR,5,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
Brock Bowers,LV,TE,4,No,No,No,4,4,No,Yes,4,1,1,4,1,16,28,8,-12,,,,0.25,0.25,4,4,1,-3,83.3,4,4,-1.7295,,4,7,2,7.3457,7.3457,1,1.6,5.6,3.6,5.6,7.6,5.6,3.6,5.6,5.6,5.6,3.6,7.6,5.6,1,17,1,,0.5,,
Gerald Everett,CHI,TE,5,No,No,No,1,1,No,No,1,1,1,1,1,-1,3,,-4,,,,1,,1,1,1,-4,79.2,-1,-1,-7.3364,,-1,3,,1.5311,1.5311,0.2,-0.1,0.9,0.4,0.9,1.4,0.9,0.4,0.9,0.9,0.9,0.4,1.4,0.9,,17,,,,,
Tyler Johnson,LA,WR,7,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,2,5,1,-3,,1,1,0.5,0.5,1,1,1,-3,79.2,1,2,-2.9408,,2,5,1,1.7436,1.7436,0.1429,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1,15,,,,,
Romeo Doubs,GB,WR,7,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
Ladd McConkey,LAC,WR,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
Jordan Akins,CLV,TE,1,No,No,No,1,1,No,No,1,1,1,1,1,5,8,2,-3,,,,1,,1,1,1,-3,87.5,5,5,-0.8652,,5,8,2,1.435,1.435,1,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,17,,,,,
Noah Fant,SEA,TE,4,Yes,No,No,2,2,No,Yes,2,1,1,2,1,4,10,4,-6,,,,1,,2,2,1,-3,79.2,2,2,-3.8652,,2,5,2,2.9923,2.9923,0.5,0.4,2.4,1.4,2.4,3.4,2.4,1.4,2.4,2.4,2.4,1.4,3.4,2.4,,14,,,,,
CeeDee Lamb,DAL,WR,6,Yes,No,No,6,3,No,Yes,3,1,0.5,3,1,54,59,57,-5,,3,1,0.3333,0.6667,3,3,1,-1.6667,118.8,9,18,12.2773,,18,19.6667,19,4.4394,4.4394,0.5,5.4,8.4,6.9,8.4,8.4,8.4,6.9,8.4,8.4,8.4,6.9,8.4,8.4,,16,2,,,,
Keenan Allen,CHI,WR,6,No,No,No,4,4,No,No,3,0.75,1,3,0.75,10,18,6,-11,,1,0.3333,0.75,0.25,4,4,1,-2.75,77.1,2.5,2.5,-2.5804,,3.3333,6,2,6.0791,6.0791,0.6667,1,4,2.5,4,4,4,2.5,4,4,4,2.5,4,4,,15,,,,,
