Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,TargetsContestedTotal,ReceptionsContested,AlignmentInlineRoutesPercentage,DropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal
Chris Olave,NO,WR,70,No,No,No,69,28,No,Yes,25,0.8929,0.4058,22,0.7857,307,80,17,,,0.0145,24,97.5,4.4493,10.9643,2.3563,13.9545,3.6364,0.7727,17,51.8263,51.8263,0.4,29.7,51.7,40.7,51.7,51.7,54.7,42.7,50.7,50.7,50.7,39.7,51.7,50.7,2,8,319,0.2464,0.7391,11.3929,3,1,,1,1,0.0357,0.0357,1,1,,,3
Jerome Ford,CLV,RB,142,No,No,No,107,6,No,Yes,5,0.8333,0.0561,5,0.8333,37,23,12,2,0.4,0.5888,4,92.4,0.3458,6.1667,-1.24,7.4,4.6,2.4,2,10.2083,10.2083,0.0423,3.7,8.7,6.2,11.2,8.7,8.7,6.2,8.7,8.7,8.7,6.2,8.7,8.7,,14,37,0.0935,0.0841,6.1667,1,1,0.2336,,,,,,,,,1
George Pickens,PIT,WR,135,No,No,No,134,48,No,Yes,36,0.75,0.3582,27,0.5625,341,111,62,6,0.2222,,37,69.9,2.5448,7.1042,-0.5437,12.6296,4.1111,2.2963,17,90.4248,90.4248,0.3556,34.1,61.1,47.6,61.1,61.1,64.1,50.6,61.1,61.1,61.1,47.6,61.1,61.1,5,14,457,0.2612,0.7388,9.5208,10,5,,2,1,0.0208,0.0417,4,1,,,4
Jeremy McNichols,WAS,RB,51,No,No,Yes,39,2,No,Yes,1,0.5,0.0513,1,0.5,6,3,1,,,0.5641,,56.3,0.1538,3,-3.1194,6,3,1,1,2.6512,2.6512,0.0392,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,17,4,0.3846,0.0256,2,,,0.0256,,,,,,,,,
Jermaine Burton,CIN,WR,33,No,No,No,33,4,Yes,Yes,4,1,0.1212,2,0.5,19,,,,,,4,63.5,0.5758,4.75,-2.1997,9.5,,,2,6.7442,6.7442,0.1212,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,1,14,29,0.0909,0.9091,7.25,2,,,,,,,,,,,
Robert Woods,HST,WR,88,No,No,No,86,15,No,Yes,11,0.7333,0.1744,10,0.6667,129,25,5,,,,6,93.5,1.5,8.6,0.3467,12.9,2.5,0.5,7,26.6312,26.6312,0.1705,11.9,21.9,16.9,21.9,21.9,24.9,18.9,20.9,20.9,20.9,15.9,21.9,20.9,1,15,180,0.407,0.593,12,1,,,,,,,1,1,,,4
Brycen Tremayne,WAS,WR,5,No,No,Yes,5,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,
Chris Blair,ATL,WR,3,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,17,1,,,,,1,118.8,5.6667,17,6.9048,17,1,,1,1.4909,1.4909,0.3333,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,3,16,,1,16,,,,,,,,,,,,
Khalil Shakir,BUF,WR,128,No,No,Yes,122,51,No,Yes,42,0.8235,0.418,41,0.8039,411,257,86,9,0.2195,0.0082,32,105.1,3.3689,8.0588,1.2004,10.0244,6.2683,2.0976,17,87.4656,87.4656,0.3984,53.1,94.1,73.6,94.1,94.1,97.1,76.6,94.1,94.1,94.1,73.6,94.1,94.1,3,15,292,0.6393,0.3525,5.7255,3,2,,,5,0.098,,,,2,,4
Sterling Shepard,TB,WR,151,No,No,Yes,146,28,No,Yes,24,0.8571,0.1918,17,0.6071,186,27,-1,2,0.1176,,22,80.4,1.274,6.6429,-1.2097,10.9412,1.5882,-0.0588,9,47.2054,47.2054,0.1854,18.6,35.6,27.1,35.6,35.6,38.6,30.1,35.6,35.6,35.6,27.1,35.6,35.6,3,14,250,0.4658,0.5342,8.9286,5,4,,5,2,0.0714,0.1786,1,2,,,
Christian McCaffrey,SF,RB,44,Yes,No,No,29,7,Yes,Yes,5,0.7143,0.2414,5,0.7143,36,23,9,1,0.2,0.6552,5,43.5,1.2414,5.1429,-1.3832,7.2,4.6,1.8,3,10.6446,10.6446,0.1591,3.6,8.6,6.1,11.1,8.6,8.6,6.1,8.6,8.6,8.6,6.1,8.6,8.6,2,4,20,0.2069,0.1379,2.8571,,,,,,,,,,,,
Ross Dwelley,ATL,TE,3,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,5,4,2,,,,1,87.5,1.6667,5,-0.7754,5,4,2,,1.3747,1.3747,0.3333,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,14,1,0.3333,0.3333,1,,,0.3333,,,,,,,,,
Parker Hesse,DET,TE,7,No,No,No,5,,No,Yes,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0.4,0.2,,,,0.2,,,,,,,,,
D'Wayne Eskridge,MIA,WR,4,No,No,No,4,1,No,Yes,1,1,0.25,1,1,30,18,3,,,,1,118.8,7.5,30,20.9539,30,18,3,1,1.4695,1.4695,0.25,3,4,3.5,4,4,4,3.5,4,4,4,3.5,4,4,,6,12,0.25,0.75,12,,,,,,,,,,,,
Joshua Cephus,JAX,WR,2,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.5,0.5,,,,,,,,,,,,,
Sam LaPorta,DET,TE,186,No,Yes,Yes,169,38,No,No,31,0.8158,0.2249,29,0.7632,267,108,47,1,0.0345,0.0059,28,130,1.5799,7.0263,-0.3563,9.2069,3.7241,1.6207,20,71.8314,71.8314,0.2043,50.7,79.7,65.2,79.7,94.2,82.7,68.2,79.7,79.7,79.7,65.2,94.2,79.7,9,16,257,0.2012,0.2604,6.7632,7,7,0.5325,2,,,0.0526,5,,4,4,
Jaxon Smith-Njigba,SEA,WR,177,No,No,No,165,55,No,No,46,0.8364,0.3333,43,0.7818,569,282,62,9,0.2093,,39,126.4,3.4485,10.3455,2.6188,13.2326,6.5581,1.4419,29,93.263,93.263,0.3107,80.9,123.9,102.4,123.9,123.9,126.9,105.4,123.9,123.9,123.9,102.4,123.9,123.9,6,17,464,0.7939,0.2061,8.4364,5,2,,1,6,0.1091,0.0182,6,1,4,4,3
Jalen Moreno-Cropper,DAL,WR,3,Yes,No,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.6667,0.3333,,,,,,,,,,,,,
Will Mallory,IND,TE,30,No,No,No,29,4,No,No,1,0.25,0.1379,1,0.25,7,,,,,,2,,0.2414,1.75,-8.0757,7,,,,8.8512,8.8512,0.1333,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,10,50,0.6207,0.2759,12.5,,,0.1034,,,,,,1,,,
Velus Jones,CAR,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,
Mike Boone,CAR,RB,11,No,No,No,10,1,No,Yes,1,1,0.1,1,1,-2,2,,,,0.7,,79.2,-0.2,-2,-7.5699,-2,2,,,1.4507,1.4507,0.0909,-0.2,0.8,0.3,1.3,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,5,-4,0.1,0.2,-4,,,,,,,,,,,,
Bo Melton,GB,WR,28,No,No,No,24,7,No,Yes,4,0.5714,0.2917,4,0.5714,52,6,5,,,0.0417,6,41.1,2.1667,7.4286,-0.1339,13,1.5,1.25,4,12.7735,12.7735,0.25,5.2,9.2,7.2,9.2,9.2,9.2,7.2,9.2,9.2,9.2,7.2,9.2,9.2,,17,59,0.375,0.5833,8.4286,,,,,,,,,,,,
Irvin Charles,NYJ,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,1,,,,,,,,,,,,,
Alec Pierce,IND,WR,162,No,Yes,No,160,24,Yes,Yes,20,0.8333,0.15,14,0.5833,174,24,8,,,,17,74,1.0875,7.25,-1.9457,12.4286,1.7143,0.5714,12,41.843,41.843,0.1481,29.4,43.4,36.4,43.4,43.4,46.4,39.4,43.4,43.4,43.4,36.4,43.4,43.4,2,16,315,0.1812,0.8187,13.125,2,1,,5,,,0.2083,2,1,2,2,2
Drake London,ATL,WR,206,No,No,No,201,86,No,Yes,73,0.8488,0.4279,63,0.7326,756,182,94,8,0.127,,72,104.6,3.7612,8.7907,0.612,12,2.8889,1.4921,45,154.1908,154.1908,0.4175,105.6,168.6,137.1,168.6,168.6,171.6,140.1,168.6,168.6,168.6,137.1,168.6,168.6,11,17,846,0.4129,0.5871,9.8372,18,11,,4,,,0.0465,4,2,5,3,4
Jalen Tolbert,DAL,WR,209,No,No,Yes,208,33,No,Yes,26,0.7879,0.1587,22,0.6667,273,108,30,,,,25,122.4,1.3125,8.2727,0.5547,12.4091,4.9091,1.3636,14,62.7902,62.7902,0.1579,45.3,67.3,56.3,67.3,67.3,70.3,59.3,67.3,67.3,67.3,56.3,67.3,67.3,7,17,287,0.3173,0.6827,8.697,2,,,3,,,0.0909,4,1,3,3,2
Bub Means,NO,WR,28,No,No,No,27,8,Yes,Yes,6,0.75,0.2963,4,0.5,34,2,,,,,8,61.5,1.2593,4.25,-3.1568,8.5,0.5,,3,12.1426,12.1426,0.2857,3.4,7.4,5.4,7.4,7.4,7.4,5.4,7.4,7.4,7.4,5.4,7.4,7.4,,7,63,0.3704,0.6296,7.875,1,,,,,,,,,,,
Olamide Zaccheaus,WAS,WR,97,No,No,Yes,95,27,No,Yes,23,0.8519,0.2842,20,0.7407,211,74,26,2,0.1,,22,121.1,2.2211,7.8148,0.4266,10.55,3.7,1.3,14,52.4652,52.4652,0.2784,33.1,53.1,43.1,53.1,53.1,56.1,46.1,53.1,53.1,53.1,43.1,53.1,53.1,4,17,208,0.5684,0.4316,7.7037,2,1,,2,,,0.0741,2,,2,2,1
Chris Rodriguez Jr.,WAS,RB,9,No,No,Yes,5,1,No,Yes,1,1,0.2,1,1,12,11,2,,,0.8,1,116.7,2.4,12,6.2706,12,11,2,1,1.3329,1.3329,0.1111,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,7,1,0.2,,1,,,,,,,,,,,,
