Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,TargetsContestedTotal,ReceptionsContested,AlignmentInlineRoutesPercentage,DropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal
Tylan Wallace,BLT,WR,34,No,No,No,31,5,No,Yes,5,1,0.1613,5,1,127,100,84,3,0.6,,2,158.3,4.0968,25.4,18.6796,25.4,20,16.8,3,7.4567,7.4567,0.1471,18.7,23.7,21.2,23.7,23.7,26.7,24.2,23.7,23.7,23.7,21.2,23.7,23.7,,17,27,0.3226,0.6452,5.4,,,0.0323,,,,,,,1,,
Mason Kinsey,TEN,WR,13,No,No,No,13,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,47,No,No,No,33,6,No,Yes,4,0.6667,0.1818,3,0.5,19,12,3,,,,4,56.9,0.5758,3.1667,-2.8655,6.3333,4,1,1,9.2955,9.2955,0.1277,1.9,4.9,3.4,4.9,6.4,4.9,3.4,4.9,4.9,4.9,3.4,6.4,4.9,,16,12,0.303,0.1515,2,1,,0.5455,,,,,,,,,
Josh Palmer,LAC,WR,141,Yes,No,No,134,32,No,Yes,27,0.8438,0.2388,23,0.7188,321,59,14,1,0.0435,,25,103.8,2.3955,10.0312,1.2705,13.9565,2.5652,0.6087,18,61.6992,61.6992,0.227,32.1,55.1,43.6,55.1,55.1,58.1,46.6,55.1,55.1,55.1,43.6,55.1,55.1,3,15,360,0.3955,0.6045,11.25,6,3,,1,1,0.0312,0.0312,1,,,,3
Antonio Gibson,NE,RB,63,No,No,No,39,3,No,No,3,1,0.0769,2,0.6667,19,10,2,,,0.7436,2,84,0.4872,6.3333,-2.1019,9.5,5,1,1,4.126,4.126,0.0476,1.9,3.9,2.9,4.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,17,9,0.0256,0.1538,3,,,0.0769,1,1,0.3333,0.3333,,,,,
Chris Moore,ARZ,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,
Tutu Atwell,LA,WR,124,No,No,No,123,37,No,No,34,0.9189,0.3008,28,0.7568,344,76,8,1,0.0357,,29,103.9,2.7967,9.2973,1.0289,12.2857,2.7143,0.2857,19,61.6713,61.6713,0.2984,34.4,62.4,48.4,62.4,62.4,65.4,51.4,62.4,62.4,62.4,48.4,62.4,62.4,2,17,379,0.3496,0.6504,10.2432,5,2,,4,,,0.1081,,,,,4
David Moore,CAR,WR,122,No,No,No,121,27,No,Yes,23,0.8519,0.2231,18,0.6667,192,22,15,,,,26,112,1.5868,7.1111,-0.9178,10.6667,1.2222,0.8333,11,52.4772,52.4772,0.2213,31.2,49.2,40.2,49.2,49.2,52.2,43.2,49.2,49.2,49.2,40.2,49.2,49.2,5,17,255,0.2149,0.7851,9.4444,7,4,,3,,,0.1111,1,,2,1,1
Justin Shorter,LV,TE,7,No,No,No,6,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,0.1667,0.3333,,,,0.5,,,,,,,,,
Dalton Schultz,HST,TE,241,No,No,No,206,50,No,Yes,35,0.7,0.2427,31,0.62,372,135,48,4,0.129,0.0097,40,91.4,1.8058,7.44,-0.4051,12,4.3548,1.5484,19,82.9355,82.9355,0.2075,43.2,74.2,58.7,74.2,89.7,77.2,61.7,74.2,74.2,74.2,58.7,89.7,74.2,4,17,416,0.3495,0.1019,8.32,5,3,0.5388,2,,,0.04,1,,1,,4
