Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,InterceptionsTotal,IncompletionsThrownAway,RunPassOptionPercentage
Patrick Mahomes,KC,QB,19,19,19,0.4737,7,0.3684,0.3684,-0.047,19,,,266,14,0.1767,12.6842,611,1,No,Yes,9,0.4737,8.6722,0.0173,No,0.5263,13,0.6842,0.1579,0.2105,0.6316,0.4211,3.2211,2.8333,32.1579,80.5,Yes,Yes,7,13.64,13.64,13.64,13.64,13.64,13.64,13.64,12.64,12.64,12.64,12.64,16.3,15.3,14,3,1,,0.0526
J.J. McCarthy,MIN,QB,7,7,7,0.7143,3,0.4286,0.7143,0.3004,7,53,0.2857,97,13.8571,0.3196,1,192,,No,No,2,0.2857,3.0834,-0.1548,No,0.1429,6,0.8571,0.1429,0.5714,0.8571,0.5714,3.1286,2.75,27.4286,50.3,No,No,3,1.88,1.88,1.88,1.88,1.88,1.88,1.88,-0.12,-0.12,-0.12,-0.12,2.85,0.85,10,,2,,
Matthew Stafford,LA,QB,26,26,26,0.8077,20,0.7692,0.7692,0.2452,26,,,606,23.3077,0.3515,24.0769,515,1,Yes,No,6,0.2308,10.4101,-0.1696,No,0.1538,8,0.3077,,0.2692,0.6923,0.6923,2.8962,2.4833,19.8077,131.1,No,Yes,20,28.24,28.24,28.24,28.24,28.24,31.24,31.24,28.24,28.24,28.24,28.24,34.3,34.3,17,2,,,
Teddy Bridgewater,TB,QB,2,2,2,0.5,1,0.5,0.5,-0.0836,2,,,32,16,0.4688,16,34,,No,No,,,0.7158,-0.3579,No,0.5,,,,,1,0.5,2.65,,17,95.8,No,Yes,1,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.6,1.6,4,,,,
Brock Purdy,SF,QB,19,19,19,0.6316,11,0.5789,0.6316,0.1423,19,8,0.0526,277,14.5789,0.1805,2.4737,389,2,No,No,4,0.2105,8.5169,-0.2377,No,0.3684,12,0.6316,0.2632,0.1579,0.6842,0.5263,3.1737,3.15,20.4737,97.9,No,No,11,13.08,13.08,13.08,13.08,13.08,13.08,13.08,7.08,7.08,7.08,7.08,15.85,9.85,9,2,6,,
Justin Fields,NYJ,QB,5,5,5,0.4,2,0.4,0.4,-0.1356,5,,,58,11.6,0.3793,2.6,91,,No,No,2,0.4,2.4882,-0.0976,No,0.6,2,0.4,0.2,,0.8,0.4,3.46,2.5,18.2,44.2,No,No,2,1.32,1.32,1.32,1.32,1.32,1.32,1.32,0.32,0.32,0.32,0.32,1.9,0.9,9,,1,,
Dillon Gabriel,CLV,QB,3,3,3,1,1,0.3333,0.6667,0.1041,3,13,0.3333,22,7.3333,0.0909,7.3333,49,,No,No,1,0.3333,1.0307,-0.0102,No,,1,0.3333,,,0.6667,0.3333,2.5667,2.1,16.3333,60.4,No,No,1,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.1,1.1,10,,,,
Tua Tagovailoa,MIA,QB,5,5,5,0.8,4,0.8,0.8,0.2832,5,,,97,19.4,0.1959,10.4,98,,No,No,1,0.2,1.643,-0.1286,No,0.2,2,0.4,0.2,0.6,0.6,0.8,2.48,2.3,19.6,79.2,Yes,Yes,4,2.88,2.88,2.88,2.88,2.88,2.88,2.88,1.88,1.88,1.88,1.88,3.85,2.85,14,,1,,
Caleb Williams,CHI,QB,32,32,32,0.75,19,0.5938,0.6562,0.1573,32,38,0.0625,521,16.2812,0.2226,19.4062,675,5,No,No,6,0.1875,14.6621,-0.2707,Yes,0.25,14,0.4375,0.0312,0.125,0.6562,0.625,3.2313,3.3167,21.0938,143.2,No,Yes,18,40.84,40.84,40.84,40.84,40.84,43.84,43.84,40.84,40.84,40.84,40.84,46.05,46.05,17,4,,,
Kyler Murray,ARZ,QB,4,4,4,0.25,1,0.25,0.25,-0.2813,4,,,31,7.75,0.1613,-3.5,77,,No,No,,,1.5007,-0.3752,No,0.5,2,0.5,,0.25,0.75,0.25,2.75,,19.25,19.8,No,No,1,0.24,0.24,0.24,0.24,0.24,0.24,0.24,-0.76,-0.76,-0.76,-0.76,0.55,-0.45,5,,1,,
Tanner McKee,PHI,QB,1,1,1,1,1,1,1,0.3869,1,,,17,17,0.1765,17,14,,No,No,,,0.2803,-0.2803,Yes,,,,,,1,1,2.2,,14,118.8,Yes,Yes,1,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,4,,,,
Jared Goff,DET,QB,30,30,30,0.6333,16,0.5333,0.6207,0.1082,30,34,0.0667,425,14.1667,0.2753,14.6667,609,3,No,No,10,0.3333,12.4627,-0.0821,No,0.3,11,0.3667,0.0667,0.3,0.8,0.5667,2.9833,2.8,21.6333,118.1,No,No,16,28,28,28,28,28,31,31,27,27,27,27,32.25,31.25,17,3,1,,
Cam Ward,TEN,QB,20,20,20,0.45,8,0.4,0.45,-0.0363,20,21,0.05,231,11.55,0.1385,9.3,444,,No,No,6,0.3,7.538,-0.0769,No,0.55,12,0.6,0.1,0.15,0.8,0.25,2.76,2.4667,22.2,62.7,No,No,8,8.24,8.24,8.24,8.24,8.24,8.24,8.24,7.24,7.24,7.24,7.24,10.55,9.55,17,1,1,,
Jake Browning,CIN,QB,1,1,1,1,1,1,1,0.4164,1,,,25,25,0.32,25,17,,No,No,1,1,0.746,0.254,No,,,,,,,1,4.9,2.8,17,118.8,No,No,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,5,,,,
Josh Johnson,WAS,QB,3,3,3,0.3333,1,0.3333,0.3333,-0.1909,3,,,27,9,0.4074,9,55,,No,Yes,1,0.3333,1.2031,-0.0677,Yes,0.6667,1,0.3333,0.3333,,0.3333,0.3333,2.9,2.2,18.3333,67.4,No,No,1,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,5,,,,
Jacoby Brissett,ARZ,QB,16,16,16,0.6875,9,0.5625,0.5625,0.1126,16,,,210,13.125,0.2476,11.5625,414,1,No,No,8,0.5,6.917,0.0677,No,0.3125,10,0.625,0.0625,0.125,0.75,0.5625,3.0812,2.5625,25.875,95.8,No,No,9,11.4,11.4,11.4,11.4,11.4,11.4,11.4,10.4,10.4,10.4,10.4,13.5,12.5,14,4,1,,
Joe Flacco,CIN,QB,15,15,15,0.7333,6,0.4,0.4667,-0.0253,15,17,0.0667,129,8.6,0.0853,3.9333,341,1,No,No,7,0.4667,6.4125,0.0392,No,0.2667,7,0.4667,0.0667,0.1333,0.7333,0.5333,3.0533,2.4571,22.7333,53.9,No,No,5,7.16,7.16,7.16,7.16,7.16,7.16,7.16,5.16,5.16,5.16,5.16,8.45,6.45,13,,2,,
Daniel Jones,IND,QB,15,15,15,0.7333,10,0.6667,0.6667,0.1881,15,,,219,14.6,0.0959,15.9333,378,1,No,No,5,0.3333,6.2228,-0.0815,No,0.2667,7,0.4667,0.0667,0.2,1,0.5333,2.98,2.62,25.2,131.9,No,No,10,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,14.95,14.95,13,1,,,
C.J. Stroud,HST,QB,10,10,10,0.7,5,0.5,0.75,0.2779,10,19,0.1,188,18.8,0.5798,11.8,123,1,No,No,8,0.8,4.942,0.3058,No,0.1,1,0.1,0.1,0.1,0.3,0.5,3.44,2.3375,13.6667,89.6,No,No,5,9.52,9.52,9.52,9.52,9.52,9.52,9.52,7.52,7.52,7.52,7.52,11.4,9.4,14,,2,1,
