Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,HeroThrowPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage
Trevor Lawrence,JAX,QB,168,168,168,0.7798,16,106,0.631,0.7908,0.0141,168,5,8,92,0.0893,885,5.2679,0.4904,5.9821,818,15,4,Yes,Yes,46,0.2738,57.6129,-0.0691,No,0.006,0.1131,0.0476,0.6845,0.0655,0.5655,2.5631,2.5,5.3097,96.5,No,Yes,57,91.4,91.4,91.4,91.4,91.4,94.4,94.4,87.4,87.4,87.4,87.4,100.25,96.25,17,0.0179,,
Bo Nix,DEN,QB,197,196,196,0.8112,7,145,0.7398,0.8216,0.0013,196,2,7,24,0.0357,1170,5.9694,0.6726,6.148,641,4,1,No,No,37,0.1888,58.5613,-0.11,Yes,0.1224,0.1276,0.0204,0.6837,0.1276,0.6633,2.3071,2.373,3.4278,93.3,No,Yes,68,61.8,61.8,61.8,61.8,61.8,64.8,64.8,60.8,60.8,60.8,60.8,73.5,72.5,17,,1,0.0051
Jayden Daniels,WAS,QB,58,58,58,0.7069,,37,0.6379,0.82,0.0056,58,5,3,5,0.069,328,5.6552,0.6341,5.569,178,2,1,No,No,13,0.2241,15.2914,-0.0395,No,0.069,0.1552,0.0172,0.6552,0.069,0.5172,2.1034,2.0923,3.56,83.1,No,No,17,20.12,20.12,20.12,20.12,20.12,23.12,23.12,19.12,19.12,19.12,19.12,23.4,22.4,7,,,
Brandon Allen,TEN,QB,17,17,17,0.7059,,11,0.6471,0.75,-0.053,17,,1,-2,0.0588,36,2.1176,1.3889,2.1176,-9,,,No,No,6,0.3529,5.1791,0.0483,No,0.2353,0.2353,,0.7059,0.1176,0.5294,2.3412,2.5167,-0.5625,68.5,Yes,Yes,2,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.8,1.8,1,,,
Andy Dalton,CAR,QB,12,12,12,0.75,,8,0.6667,0.7273,-0.0236,12,,1,,,78,6.5,0.4615,2.75,75,,1,No,No,1,0.0833,2.8289,-0.1524,No,,0.1667,0.0833,0.9167,,0.6667,1.9417,2.3,6.25,50,No,Yes,5,2.12,2.12,2.12,2.12,2.12,2.12,2.12,1.12,1.12,1.12,1.12,2.9,1.9,4,,,
Sam Darnold,SEA,QB,151,151,151,0.7947,9,111,0.7351,0.8333,0.0415,151,6,3,24,0.0265,1051,6.9603,0.6204,7.0265,618,5,2,Yes,No,35,0.2318,45.9133,-0.0723,Yes,0.0596,0.106,0.0199,0.7219,0.0662,0.6887,2.3377,2.3343,4.3803,97.9,No,No,58,60.04,60.04,60.04,60.04,60.04,63.04,63.04,58.04,58.04,58.04,58.04,70.55,68.55,17,,,
Kirk Cousins,ATL,QB,88,88,88,0.8409,1,64,0.7273,0.8313,-0.0033,88,3,1,18,0.0568,520,5.9091,0.8635,5.3977,190,,1,No,Yes,23,0.2614,27.3746,-0.0497,No,0.0341,0.0909,,0.625,0.2045,0.6591,2.3784,2.2739,2.2619,82.6,No,Yes,25,19.8,19.8,19.8,19.8,19.8,22.8,22.8,18.8,18.8,18.8,18.8,25,24,10,,1,0.0114
Joshua Dobbs,NE,QB,3,3,3,1,,3,1,1,0.133,3,,,,,27,9,0.8519,9,4,,,Yes,No,,,0.8581,-0.286,Yes,,,,0.6667,0.3333,0.6667,2.2333,,1.3333,104.2,No,Yes,1,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,4,,,
Mac Jones,SF,QB,89,89,89,0.8315,4,67,0.7528,0.8554,0.0504,89,3,1,3,0.0449,555,6.236,0.5892,7.809,351,7,,No,No,24,0.2697,28.3104,-0.0484,No,,0.1011,0.0112,0.7303,0.0899,0.6629,2.4191,2.5542,4.1412,117,No,No,33,50.2,50.2,50.2,50.2,50.2,53.2,53.2,50.2,50.2,50.2,50.2,55.75,55.75,11,,,
Russell Wilson,NYG,QB,46,46,46,0.8478,1,32,0.6957,0.8333,0.0225,46,4,,13,0.0652,254,5.5217,0.5984,5.5217,166,,,No,No,12,0.2609,14.2048,-0.0479,No,0.0652,0.0652,,0.6304,0.1304,0.5435,2.3652,2.5083,3.9524,83.1,No,Yes,12,10.16,10.16,10.16,10.16,10.16,10.16,10.16,10.16,10.16,10.16,10.16,12.7,12.7,6,,,
Joe Burrow,CIN,QB,92,92,92,0.8043,7,64,0.6957,0.8118,0.0085,92,2,5,5,0.0543,532,5.7826,0.6222,6.1087,354,6,2,No,No,24,0.2609,32.5324,-0.0927,No,0.0217,0.1087,0.0109,0.5326,0.1957,0.663,2.625,2.4,4.1647,96.8,Yes,Yes,32,43.28,43.28,43.28,43.28,43.28,46.28,46.28,41.28,41.28,41.28,41.28,48.6,46.6,8,0.0217,1,0.0109
Kyle Allen,DET,QB,1,1,1,1,,,,1,0.3636,1,,,11,1,,,,,11,,,No,No,,,0.1941,-0.1941,No,,,,1,,1,1.7,,11,39.6,No,Yes,,,,,,,,,,,,,,,3,,,
Jacoby Brissett,ARZ,QB,136,136,136,0.7941,12,98,0.7206,0.8031,0.0011,136,6,2,47,0.0294,913,6.7132,0.6145,8.0368,571,9,,Yes,No,30,0.2206,45.4866,-0.1139,No,,0.1397,0.0074,0.6544,0.1176,0.6397,2.514,2.6233,4.4609,112.2,No,Yes,49,72.52,72.52,72.52,72.52,72.52,75.52,75.52,72.52,72.52,72.52,72.52,81.65,81.65,14,0.0074,,
Joe Flacco,CIN,QB,105,105,105,0.8667,1,80,0.7619,0.85,0.0335,105,4,1,37,0.0476,574,5.4667,0.6707,4.9905,327,2,2,No,No,28,0.2667,29.6558,-0.0158,No,0.1048,0.0762,,0.7238,0.1333,0.7143,2.2124,2.2893,3.2376,86.8,No,No,28,28.96,28.96,28.96,28.96,28.96,31.96,31.96,26.96,26.96,26.96,26.96,34.7,32.7,13,,,
Daniel Jones,IND,QB,132,131,131,0.855,6,97,0.7405,0.8607,0.0621,131,3,4,35,0.0611,942,7.1908,0.5924,6.9618,570,3,2,No,Yes,33,0.2519,42.9121,-0.0757,No,0.0763,0.0763,0.0076,0.771,0.084,0.626,2.474,2.5182,4.5968,95,No,Yes,47,47.68,47.68,47.68,47.68,47.68,50.68,50.68,45.68,45.68,45.68,45.68,57.1,55.1,13,0.0076,,
