Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsInEndzoneTotal,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsGamesPlayed,AttemptsCatchablePercentage,PressuredTotal,PressuredPercentage,HeroThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToPressure,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,TouchdownsTotal,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,InterceptionsTotal,TowThrowPercentage,IncompletionsBatted
Russell Wilson,NYG,QB,10,10,10,1,-0.0125,10,1,224,No,No,3.4758,-0.0476,No,0.5,5,0.5,0.9,2.59,24.8889,70,No,No,6,0.4,3,0.3,0.1,0.2,2.1667,4,0.4,0.4444,,,98,9.8,0.1224,2.8,1,4,5.92,5.92,5.92,5.92,5.92,5.92,5.92,3.92,3.92,3.92,3.92,6.9,4.9,2,0.2,
Joe Burrow,CIN,QB,11,11,11,1,0.0397,11,1,305,No,Yes,5.757,-0.1597,No,0.2727,10,0.9091,0.7273,3.6091,30.5,84.5,No,No,8,0.6364,4,0.3636,0.2727,0.5455,3.125,4,0.3636,0.4,,,142,12.9091,0.0634,12.9091,,4,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,7.1,7.1,,,
Kirk Cousins,ATL,QB,20,20,20,1,-0.1702,20,,396,Yes,No,7.3827,-0.0191,No,0.4,8,0.4,0.95,2.715,19.8,49.4,No,No,10,0.6,7,0.35,0.1,0.45,2.6143,5,0.25,0.35,51,0.1,107,5.35,0.1963,5.35,,5,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,5.35,5.35,,,
Joshua Dobbs,NE,QB,1,1,1,,-0.6131,1,,14,No,No,0.4355,-0.4355,No,1,,,1,3.1,14,39.6,No,No,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mac Jones,SF,QB,25,25,25,,0.0062,25,1,495,No,No,9.7675,-0.1107,No,0.4,11,0.44,0.8,2.84,20.625,32.9,No,No,11,0.52,7,0.28,0.28,0.4,2.6857,9,0.36,0.5,68,0.12,205,8.2,0.1659,4.6,,9,6.2,6.2,6.2,6.2,6.2,6.2,6.2,4.2,4.2,4.2,4.2,8.25,6.25,2,0.12,
Jameis Winston,NYG,QB,7,7,7,2,0.0966,7,,178,No,No,3.6181,0.0546,No,0.4286,3,0.4286,0.8571,3.5714,25.4286,101.8,No,No,3,0.5714,4,0.5714,0.4286,0.5714,2.925,4,0.5714,0.5714,,,134,19.1429,0.0821,15.5714,1,4,8.36,8.36,8.36,8.36,8.36,8.36,8.36,7.36,7.36,7.36,7.36,9.7,8.7,1,0.1429,
Philip Rivers,IND,QB,9,9,9,,-0.2817,9,1,167,No,No,2.9367,-0.1041,No,0.4444,3,0.3333,0.6667,2.4667,20.875,42.8,Yes,No,3,0.3333,2,0.2222,0.1111,0.2222,2.2,2,0.2222,0.25,,,34,3.7778,,3.7778,,2,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.7,1.7,,0.1111,
Michael Penix,ATL,QB,27,27,27,1,0.0769,27,,626,No,No,12.6913,-0.1738,No,0.2963,13,0.4815,0.6296,3.3,23.1852,100.5,Yes,Yes,9,0.6296,8,0.2963,0.1111,0.3333,2.875,15,0.5556,0.5556,,,381,14.1111,0.1286,14.1111,,15,15.24,15.24,15.24,15.24,15.24,18.24,18.24,15.24,15.24,15.24,15.24,19.05,19.05,,0.037,
Tyrod Taylor,NYJ,QB,9,9,9,1,-0.085,9,,273,No,No,3.851,-0.0946,No,0.6667,7,0.7778,0.5556,3.0556,30.3333,104.4,No,No,6,0.3333,3,0.3333,,0.1111,2.0333,2,0.2222,0.3333,21,0.1111,87,9.6667,0.1609,11.8889,1,2,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,8.35,8.35,,0.2222,
Josh Allen,BUF,QB,36,36,36,2,0.0795,36,,830,No,No,17.4048,-0.1779,No,0.3333,22,0.6111,0.6667,3.3778,23.0556,120.5,No,No,17,0.6389,11,0.3056,0.1389,0.4722,2.7909,18,0.5,0.5556,44,0.0556,423,11.75,0.1017,13.4167,3,18,28.92,28.92,28.92,28.92,28.92,31.92,31.92,28.92,28.92,28.92,28.92,33.15,33.15,,,
Max Brosmer,MIN,QB,3,3,3,,-0.1417,3,,63,No,No,1.0824,-0.3608,No,0.3333,3,1,1,2.6667,21,19.4,No,No,7,0.6667,,,0.3333,,,1,0.3333,0.3333,,,21,7,,-8,,1,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-1.16,-1.16,-1.16,-1.16,0.05,-0.95,1,0.3333,
Shedeur Sanders,CLV,QB,10,10,10,3,-0.1096,10,1,223,Yes,Yes,5.5113,-0.0511,No,0.6,6,0.6,0.5,3.77,24.7778,52.5,No,Yes,8,0.3,5,0.5,0.2,0.3,3.02,2,0.2,0.3333,38,0.1,76,7.6,0.3158,5.1,1,2,6.04,6.04,6.04,6.04,6.04,6.04,6.04,5.04,5.04,5.04,5.04,6.8,5.8,1,0.1,
Davis Mills,HST,QB,7,7,7,,-0.2331,7,,153,No,No,2.5314,0.0669,No,0.4286,2,0.2857,0.7143,2.6714,21.8571,47.9,No,No,6,0.5714,3,0.4286,,0.5714,2.8667,2,0.2857,0.2857,,,35,5,0.0857,5,,2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.75,1.75,,0.1429,
Malik Willis,GB,QB,5,5,5,,0.4171,5,,141,Yes,Yes,2.6435,0.0713,No,0.2,5,1,0.6,3.64,28.2,158.3,No,No,4,0.8,3,0.6,0.4,0.6,3.1,4,0.8,0.8,,,127,25.4,0.189,29.4,1,4,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,10.35,10.35,,,
Riley Leonard,IND,QB,4,4,4,1,-0.0583,4,1,93,No,Yes,1.7767,0.0558,Yes,0.25,3,0.75,0.75,3.15,31,118.8,No,Yes,5,0.5,2,0.5,0.5,0.5,2.75,1,0.25,0.3333,,,66,16.5,0.3788,21.5,1,1,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,7.3,7.3,,,
Jalen Hurts,PHI,QB,44,44,44,4,0.0135,44,2,1117,Yes,No,20.5097,-0.1025,No,0.3409,30,0.6818,0.7727,3.2773,27.119,100.2,Yes,Yes,16,0.5682,16,0.3636,0.1591,0.4091,2.5187,14,0.3182,0.439,109,0.0909,436,9.9091,0.1628,11.7273,4,14,33.44,33.44,33.44,33.44,33.44,36.44,36.44,33.44,33.44,33.44,33.44,37.8,37.8,,0.0227,
Tyler Shough,NO,QB,30,30,30,5,-0.1858,30,,669,No,Yes,12.273,0.0909,No,0.6,17,0.5667,0.8,2.9467,22.3,69.4,No,Yes,11,0.3333,15,0.5,0.1333,0.2333,2.4533,9,0.3,0.3,,,245,8.1667,0.3878,8,2,9,16.8,16.8,16.8,16.8,16.8,16.8,16.8,15.8,15.8,15.8,15.8,19.25,18.25,1,0.0333,
Trey Lance,LAC,QB,5,5,5,,-0.3239,5,,179,No,Yes,2.0743,-0.2149,Yes,0.8,5,1,0.8,2.98,35.8,39.6,No,No,4,0.2,1,0.2,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.J. McCarthy,MIN,QB,28,28,28,5,0.1376,28,,651,No,No,12.1782,-0.1492,Yes,0.3571,15,0.5357,0.9286,3.0964,23.25,107.7,No,No,10,0.6429,8,0.2857,0.4286,0.5,2.8375,15,0.5357,0.6071,50,0.0714,383,13.6786,0.1749,13.5,2,15,22.32,22.32,22.32,22.32,22.32,25.32,25.32,21.32,21.32,21.32,21.32,26.15,25.15,1,0.0714,
Patrick Mahomes,KC,QB,33,33,33,2,0.0202,33,2,826,No,No,15.3219,-0.0704,No,0.4848,21,0.6364,0.6667,3.2667,26.6452,49.3,No,No,14,0.4545,13,0.3939,0.1515,0.2424,2.8154,12,0.3636,0.4516,61,0.0606,334,10.1212,0.1347,7.3939,,12,11.36,11.36,11.36,11.36,11.36,14.36,14.36,9.36,9.36,9.36,9.36,14.7,12.7,2,0.0909,
Aidan O'Connell,LV,QB,2,2,2,,-0.077,2,,33,No,No,0.6123,0.1938,No,0.5,,,1,2.35,16.5,87.5,No,Yes,1,0.5,1,0.5,,0.5,2.3,1,0.5,0.5,,,21,10.5,0.2381,10.5,,1,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,,,
Matthew Stafford,LA,QB,61,61,61,3,0.0969,61,2,1456,Yes,No,25.8958,-0.1294,No,0.2787,39,0.6393,0.8197,3.0361,25.1525,108.8,No,No,17,0.6066,18,0.2951,0.2459,0.3443,2.6889,25,0.4098,0.5439,121,0.0984,774,12.6885,0.2235,13.5902,5,25,49.96,49.96,49.96,49.96,49.96,52.96,52.96,48.96,48.96,48.96,48.96,57.7,56.7,1,0.0328,
Drake Maye,NE,QB,43,43,43,6,0.1515,43,1,983,No,No,18.6942,-0.1324,No,0.2791,23,0.5349,0.7674,3.0953,23.4048,144.1,No,No,17,0.6744,13,0.3023,0.2093,0.4419,2.7769,26,0.6047,0.619,,,656,15.2558,0.157,19.4419,9,26,62.24,62.24,62.24,62.24,62.24,65.24,65.24,62.24,62.24,62.24,62.24,68.8,68.8,,0.0465,
Geno Smith,LV,QB,24,24,24,4,-0.176,24,,542,No,No,9.6252,0.0156,Yes,0.5417,16,0.6667,0.9167,2.9,22.5833,42.4,Yes,Yes,15,0.4583,10,0.4167,0.125,0.375,2.47,7,0.2917,0.2917,,,208,8.6667,0.3125,5.75,1,7,10.32,10.32,10.32,10.32,10.32,10.32,10.32,8.32,8.32,8.32,8.32,12.4,10.4,2,0.0833,
Justin Herbert,LAC,QB,38,38,38,4,0.132,38,2,980,No,No,19.7939,-0.1262,No,0.3684,29,0.7632,0.6579,3.5947,27.2222,124.5,No,Yes,16,0.5526,15,0.3947,0.2895,0.3947,2.8333,19,0.5,0.5556,22,0.0263,549,14.4474,0.1093,15.8947,5,19,40.96,40.96,40.96,40.96,40.96,43.96,43.96,39.96,39.96,39.96,39.96,46.45,45.45,1,0.0526,
Tyler Huntley,BLT,QB,2,2,2,,0.0302,2,,46,No,No,0.7676,0.1162,No,0.5,1,0.5,1,2.8,23,85.4,No,No,5,0.5,1,0.5,,,2.4,1,0.5,0.5,,,20,10,0.05,10,,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,,,
Marcus Mariota,WAS,QB,23,23,23,2,0.0634,23,2,503,No,No,9.8107,-0.0352,No,0.3043,13,0.5652,0.6957,3.0478,23.9524,102.3,Yes,Yes,11,0.5217,9,0.3913,0.3043,0.3913,2.8,10,0.4348,0.5238,34,0.0435,273,11.8696,0.1685,12.7391,1,10,14.92,14.92,14.92,14.92,14.92,14.92,14.92,14.92,14.92,14.92,14.92,17.65,17.65,,,
Carson Wentz,MIN,QB,11,11,11,2,0.1456,11,,232,No,Yes,4.8945,0.1005,Yes,0.3636,6,0.5455,0.6364,3.1545,21.0909,84.3,Yes,Yes,5,0.6364,6,0.5455,0.0909,0.3636,2.4667,5,0.4545,0.6364,45,0.1818,117,10.6364,0.1709,10.6364,,5,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,5.85,5.85,,0.0909,
Shane Buechele,KC,QB,2,2,2,,0.0677,2,,62,Yes,No,0.9229,0.0386,No,0.5,2,1,1,3.25,31,95.8,Yes,Yes,1,0.5,1,0.5,0.5,0.5,2.8,1,0.5,0.5,,,51,25.5,0.1765,25.5,,1,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.55,2.55,,,
Quinn Ewers,MIA,QB,6,6,6,1,-0.0296,6,,114,Yes,Yes,2.1993,-0.0332,No,0.5,2,0.3333,1,2.7,19,95.8,No,No,4,0.5,2,0.3333,0.1667,0.5,2,3,0.5,0.5,,,119,19.8333,0.437,15.6667,1,3,7.76,7.76,7.76,7.76,7.76,7.76,7.76,6.76,6.76,6.76,6.76,8.95,7.95,1,0.1667,
Joe Milton,DAL,QB,4,4,4,,0.194,4,1,66,No,Yes,2.0182,-0.0046,Yes,0.25,1,0.25,0.5,3.5,22,95.8,No,No,4,0.5,2,0.5,,0.5,2.55,2,0.5,0.6667,,,57,14.25,0.3684,14.25,,2,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.85,2.85,,,
Aaron Rodgers,PIT,QB,25,25,25,7,-0.0493,25,,645,No,No,10.1125,-0.1645,No,0.56,18,0.72,0.8,2.92,25.8,91.8,No,Yes,16,0.4,6,0.24,0.12,0.28,2.7,8,0.32,0.375,16,0.04,241,9.64,0.2614,11.84,5,8,28.64,28.64,28.64,28.64,28.64,28.64,28.64,27.64,27.64,27.64,27.64,31.05,30.05,1,0.08,
Baker Mayfield,TB,QB,45,45,45,1,-0.0537,45,1,1036,Yes,Yes,20.3588,-0.1413,Yes,0.5111,20,0.4444,0.8,3.1978,23.5455,77.6,No,No,17,0.4667,14,0.3111,0.2222,0.2222,2.5357,17,0.3778,0.4318,34,0.0444,516,11.4667,0.2171,10.3556,2,17,26.64,26.64,26.64,26.64,26.64,29.64,29.64,24.64,24.64,24.64,24.64,31.8,29.8,2,0.0889,
Dak Prescott,DAL,QB,42,42,42,9,0.0759,42,2,1013,No,No,17.1201,-0.0267,No,0.3333,28,0.6667,0.6905,2.9381,25.325,102.9,No,No,17,0.5714,16,0.381,0.2381,0.4048,2.8062,18,0.4286,0.5128,39,0.0476,516,12.2857,0.1202,12.6429,3,18,31.64,31.64,31.64,31.64,31.64,34.64,34.64,30.64,30.64,30.64,30.64,36.8,35.8,1,0.0714,
Spencer Rattler,NO,QB,23,23,23,3,-0.1915,23,2,512,No,No,11.1734,0.2099,No,0.5652,14,0.6087,0.7391,3.3913,24.381,43.9,No,No,9,0.3478,16,0.6957,0.2609,0.1739,2.675,5,0.2174,0.2857,22,0.0435,113,4.913,0.0708,3.8261,1,5,7.52,7.52,7.52,7.52,7.52,7.52,7.52,6.52,6.52,6.52,6.52,8.65,7.65,1,0.1304,
Mason Rudolph,PIT,QB,5,5,5,,-0.4545,5,1,104,Yes,No,2.5917,-0.3183,No,0.4,3,0.6,0.8,3.58,26,,No,No,5,0.4,1,0.2,,,3.7,,,,,,,,,-18,,,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,2,0.6,
Bryce Young,CAR,QB,31,31,31,6,0.1164,31,2,656,No,Yes,15.3306,-0.0429,No,0.1935,17,0.5484,0.6774,3.4419,22.6207,117.2,No,Yes,16,0.7097,14,0.4516,0.1613,0.3871,2.5286,12,0.3871,0.5862,104,0.1613,322,10.3871,0.1553,12.9677,4,12,28.88,28.88,28.88,28.88,28.88,31.88,31.88,28.88,28.88,28.88,28.88,32.1,32.1,,0.0323,
Jordan Love,GB,QB,32,32,32,1,0.0362,32,1,805,Yes,No,15.3003,0.0844,No,0.3438,19,0.5938,0.6875,3.3469,25.9677,87.5,No,Yes,15,0.625,18,0.5625,0.2812,0.2812,2.6722,12,0.375,0.4839,62,0.0938,336,10.5,0.0833,11.125,1,12,17.44,17.44,17.44,17.44,17.44,20.44,20.44,17.44,17.44,17.44,17.44,20.8,20.8,,,
Mitchell Trubisky,BUF,QB,3,3,3,,0.1028,3,,52,Yes,No,1.3239,-0.4413,No,0.3333,,,1,3.1333,17.3333,109.7,No,Yes,4,0.6667,,,,0.6667,,2,0.6667,0.6667,,,55,18.3333,0.3455,18.3333,,2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.75,2.75,,,
Jaxson Dart,NYG,QB,24,24,24,2,-0.0554,24,,547,No,Yes,11.2294,-0.0929,Yes,0.4167,12,0.5,0.8333,3.2875,22.7917,64.6,No,Yes,14,0.5,9,0.375,0.2083,0.3333,3.0889,8,0.3333,0.4167,49,0.0833,200,8.3333,0.225,8.3333,,8,8,8,8,8,8,8,8,8,8,8,8,10,10,,0.0417,
Brady Cook,NYJ,QB,7,7,7,3,-0.3055,7,,177,No,No,2.8763,-0.2681,No,0.8571,4,0.5714,0.7143,2.9571,25.2857,3,No,No,5,0.1429,1,0.1429,,0.1429,2.9,1,0.1429,0.1429,,,26,3.7143,0.3077,-9.1429,,1,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-2.96,-2.96,-2.96,-2.96,-0.7,-2.7,2,0.2857,
C.J. Stroud,HST,QB,29,29,29,,-0.0261,29,1,725,Yes,No,12.4757,-0.0164,No,0.5172,21,0.7241,0.8276,3.069,25.8929,111.6,No,Yes,14,0.4483,12,0.4138,0.3103,0.2414,2.525,12,0.4138,0.4286,,,386,13.3103,0.1218,14.6897,2,12,23.44,23.44,23.44,23.44,23.44,26.44,26.44,23.44,23.44,23.44,23.44,27.3,27.3,,,
Jacoby Brissett,ARZ,QB,34,34,34,7,0.0695,34,1,801,No,No,14.1014,-0.1206,No,0.3235,23,0.6765,0.9412,2.9794,24.2727,94.9,Yes,Yes,14,0.5882,10,0.2941,0.2353,0.4706,2.5,15,0.4412,0.5152,61,0.0588,397,11.6765,0.1285,11.5294,2,15,22.88,22.88,22.88,22.88,22.88,25.88,25.88,21.88,21.88,21.88,21.88,26.85,25.85,1,0.0294,
Joe Flacco,CIN,QB,30,30,30,2,-0.0239,30,1,604,No,No,11.9625,-0.0321,No,0.4333,14,0.4667,0.8,2.8867,20.8276,60.8,No,No,13,0.4333,11,0.3667,0.2333,0.3667,2.9545,10,0.3333,0.4643,81,0.1,263,8.7667,0.2053,7.1,2,10,16.52,16.52,16.52,16.52,16.52,16.52,16.52,14.52,14.52,14.52,14.52,19.15,17.15,2,0.1,
Daniel Jones,IND,QB,33,33,33,2,0.0205,33,1,724,No,No,13.1139,-0.0338,No,0.3636,16,0.4848,0.9697,2.8788,22.625,89.5,No,No,13,0.6061,12,0.3636,0.2424,0.3636,2.7167,16,0.4848,0.5,,,468,14.1818,0.2158,12.6667,2,15,24.72,24.72,24.72,24.72,24.72,27.72,27.72,22.72,22.72,22.72,22.72,29.4,27.4,2,0.0606,
Jake Browning,CIN,QB,10,10,10,1,-0.1555,10,,243,No,No,3.9588,-0.0959,No,0.5,7,0.7,0.9,2.87,24.3,65.8,No,No,5,0.5,3,0.3,0.1,0.2,2.3,3,0.3,0.3,,,108,10.8,0.2315,8.3,1,3,7.32,7.32,7.32,7.32,7.32,7.32,7.32,6.32,6.32,6.32,6.32,8.4,7.4,1,0.2,
Josh Johnson,WAS,QB,1,1,1,,0.4164,1,,17,No,No,0.4528,0.5472,No,,,,1,3.2,17,118.8,No,No,5,1,1,1,,1,3.1,1,1,1,,,25,25,0.32,25,,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,,,
Kyler Murray,ARZ,QB,12,12,12,2,0.0638,12,,236,No,No,4.7091,-0.0591,No,0.1667,5,0.4167,0.75,2.85,19.6667,112.5,No,Yes,5,0.75,4,0.3333,,0.1667,3.25,6,0.5,0.5833,26,0.0833,118,9.8333,0.1102,11.5,1,6,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72,9.9,9.9,,,
Jared Goff,DET,QB,26,26,26,2,0.1112,26,,569,No,No,10.1168,0.034,No,0.3462,11,0.4231,0.8846,2.8308,21.8846,106.6,No,No,17,0.6154,11,0.4231,0.1923,0.4231,2.5545,14,0.5385,0.6154,58,0.0769,325,12.5,0.1354,12.1154,4,14,27,27,27,27,27,30,30,25,25,25,25,30.25,28.25,2,0.0769,
Cam Ward,TEN,QB,31,31,31,,0.0387,31,,793,No,No,14.0023,-0.1614,No,0.3871,21,0.6774,0.7742,3.1935,25.5806,80.7,No,No,17,0.5806,9,0.2903,0.1935,0.4194,2.4222,11,0.3548,0.4839,70,0.129,285,9.1935,0.0737,9.8387,1,11,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,18.25,18.25,,0.0968,
Caleb Williams,CHI,QB,36,36,36,5,-0.0162,36,4,823,Yes,Yes,19.8026,-0.1334,Yes,0.3611,20,0.5556,0.6667,3.7639,25.7188,79.9,No,No,17,0.4722,15,0.4167,0.1667,0.3333,2.7867,13,0.3611,0.4375,21,0.0278,372,10.3333,0.1694,9.5,3,13,24.88,24.88,24.88,24.88,24.88,27.88,27.88,22.88,22.88,22.88,22.88,28.6,26.6,2,0.0833,
Tanner McKee,PHI,QB,3,3,3,1,-0.4602,3,,67,No,No,0.8064,-0.2688,No,1,2,0.6667,1,2.1333,22.3333,,No,No,4,,,,,,,,,,,,,,,-15,,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,1,0.3333,
Tua Tagovailoa,MIA,QB,30,30,30,4,-0.0266,30,,754,No,Yes,12.9113,-0.1304,Yes,0.4333,20,0.6667,0.6333,3.07,25.1333,48.2,No,Yes,14,0.5,9,0.3,0.2,0.2333,2.5222,9,0.3,0.4138,63,0.1,277,9.2333,0.1264,4.5667,2,9,15.08,15.08,15.08,15.08,15.08,15.08,15.08,11.08,11.08,11.08,11.08,17.85,13.85,4,0.1667,
Gardner Minshew,KC,QB,1,1,1,,-0.4896,1,,20,No,No,0.4701,-0.4701,No,1,1,1,1,3.3,20,,Yes,Yes,4,,,,,,,,,,,,,,,-45,,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,1,1,
Brock Purdy,SF,QB,18,18,18,,0.0823,18,,398,No,No,8.5472,-0.1415,No,0.3333,14,0.7778,0.8333,3.3278,22.1111,77.3,No,No,9,0.6667,6,0.3333,0.1111,0.3889,2.8,10,0.5556,0.5556,,,278,15.4444,0.1547,12.9444,,10,10.12,10.12,10.12,10.12,10.12,10.12,10.12,9.12,9.12,9.12,9.12,12.9,11.9,1,0.1111,
