Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,TouchdownsTotal,ScramblesTouchdowns,RunPassOptionPercentage
Derek Carr,NO,QB,82,81,5,0.5147,3,29,0.4265,0.6275,-0.0744,81,13,69,0.0441,392,5.7647,0.4337,4.3947,565,2,8,2,0.0988,-48,0.0988,5,33,Yes,Yes,81,1,30.5316,0.6231,No,0.2353,11,0.1618,0.0441,0.0735,0.3529,0.1912,0.3824,3.1779,3.3,5.88,2.5864,10.8654,69,No,No,15,32.98,32.98,32.98,32.98,32.98,35.98,35.98,30.98,30.98,30.98,30.98,36.9,34.9,10,3,4,,
Jameis Winston,CLV,QB,84,84,6,0.463,7,20,0.3704,0.5122,-0.1386,84,8,10,0.0185,366,6.7778,0.3825,2.8974,533,2,24,10,0.2857,-130,0.2857,6,35,No,Yes,84,1,27.194,0.6763,No,0.2963,10,0.1852,0.0926,0.1111,0.2963,0.0926,0.1667,3.4944,3.775,4.55,2.4619,12.2045,70.4,No,No,15,36.14,36.14,36.14,36.14,36.14,39.14,37.14,32.14,32.14,32.14,32.14,39.8,35.8,12,2,4,1,0.0119
Sam Howell,SEA,QB,11,11,1,0.5,,1,0.1667,0.5,-0.2687,11,,6,0.1667,5,0.8333,0.4,-1.6,23,,4,,0.3636,-21,0.3636,1,2,Yes,Yes,11,1,3.1308,0.7154,No,0.1667,,,,,,0.1667,0.3333,3.6,4,4.9,2.5818,4.6,39.6,No,No,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.45,0.45,2,1,,,
Jake Haener,NO,QB,22,22,3,0.3077,,2,0.1538,0.1818,-0.5454,22,1,,,30,2.3077,0.5333,-3.6842,90,1,6,3,0.2727,-55,0.2727,3,17,No,Yes,22,1,6.5937,0.7003,Yes,0.5385,1,0.0769,0.1538,,0.3077,0.3077,0.2308,3.5154,2.9333,6.0333,2.6091,8.1818,7.5,No,No,1,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.9,0.9,0.9,0.9,2.2,1.2,8,1,,,
Josh Allen,BUF,QB,175,175,35,0.5079,15,52,0.4127,0.5143,-0.0973,175,16,46,0.0159,880,6.9841,0.2966,6.6571,1602,1,14,4,0.08,-63,0.08,35,324,No,No,175,1,71.4048,0.592,No,0.3175,33,0.2619,0.0317,0.127,0.254,0.0794,0.2778,3.8603,3.55,4.7143,2.4457,14.8333,83.4,No,No,38,114.6,114.6,114.6,114.6,114.6,120.6,118.6,111.6,111.6,111.6,111.6,123.4,120.4,17,2,8,3,0.0114
Drew Lock,NYG,QB,86,86,10,0.5625,6,31,0.4844,0.6667,-0.0549,86,7,6,0.0469,309,4.8281,0.411,1.9211,439,3,12,4,0.1395,-88,0.1395,10,134,No,Yes,86,1,31.5149,0.6335,No,0.2344,9,0.1406,0.0781,0.0312,0.3438,0.1094,0.375,3.4297,3.1167,5.05,2.4233,8.4423,58.7,No,Yes,13,44.76,44.76,44.76,44.76,44.76,50.76,48.76,39.76,39.76,39.76,39.76,47.85,42.85,7,5,3,2,
Skylar Thompson,MIA,QB,14,14,1,0.7143,1,4,0.5714,0.6667,-0.0381,14,,,,39,5.5714,0.3077,-0.3846,57,,6,3,0.4286,-44,0.4286,1,4,No,No,14,1,2.2726,0.8377,No,0.1429,,,,,0.5714,,0.2857,2.4571,3.35,7.1,2.5214,8.1429,72.9,No,No,2,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,2.35,2.35,3,,,,
Tyrod Taylor,NYJ,QB,11,11,2,0.7778,1,5,0.5556,0.625,-0.1361,11,1,,,43,4.7778,0.2558,7,56,,,,,,,2,13,No,Yes,11,1,4.2305,0.6154,No,0.1111,,,,0.1111,0.5556,,0.2222,3.3,,4.55,2.0818,7,105.3,No,Yes,3,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.45,7.45,2,,1,,
Michael Penix,ATL,QB,27,27,3,0.5,1,6,0.3,0.5714,-0.0984,27,3,14,0.1,86,4.3,0.2093,1.125,159,1,4,1,0.1481,-14,0.1481,3,11,No,Yes,27,1,8.3833,0.6895,Yes,0.25,2,0.1,,,0.5,0.1,0.2,3.005,3.425,5.1333,2.4407,10.8125,24.2,No,Yes,4,9.54,9.54,9.54,9.54,9.54,9.54,9.54,8.54,8.54,8.54,8.54,10.4,9.4,5,1,,1,
Taylor Heinicke,LAC,QB,4,4,1,,,,,,,4,,,,,,,-9.3333,,,3,,0.75,-28,0.75,1,8,Yes,Yes,4,1,,1,No,,,,,,,,,,3.3333,5.2,2.5,,,No,No,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,4,,,,0.25
