Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,InterceptionsTotal,TowThrowPercentage,TouchdownsTotal,RunPassOptionPercentage
Sam Howell,SEA,QB,1,1,1,1,1,1,1,0.173,1,,,5,5,0.4,5,3,No,Yes,1,1,0.4011,0.5989,Yes,,1,1,2.9,2.8,3,87.5,No,Yes,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,2,,,,
Skylar Thompson,MIA,QB,3,3,3,1,3,1,1,0.0869,3,,,6,2,1.3333,2,-2,No,No,,,1.1341,-0.378,No,,1,0.6667,2.7667,,-0.6667,79.2,No,No,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,3,,,,
Jake Haener,NO,QB,6,6,6,0.6667,2,0.3333,0.5,-0.369,6,2,0.1667,8,1.3333,0.625,1.3333,10,No,No,4,0.6667,2.5098,0.2484,No,0.3333,1,0.5,3,2.725,1.6667,42.4,No,No,1,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,8,,,,
Josh Allen,BUF,QB,41,41,41,0.878,35,0.8537,0.878,-0.0125,41,1,0.0244,260,6.3415,1.1885,7.3171,-41,No,No,10,0.2439,15.6495,-0.1378,No,0.122,1,0.7317,2.7878,2.22,-1,109.3,No,No,14,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,21,21,17,,,2,
Michael Penix,ATL,QB,4,4,4,1,3,0.75,1,0.0857,4,-1,0.25,13,3.25,1.0769,3.25,-2,No,Yes,2,0.5,2.3632,-0.0908,No,,1,0.75,4,3.1,-0.5,78.1,No,Yes,,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,5,,,,
Drew Lock,NYG,QB,12,12,12,0.9167,11,0.9167,0.9167,0.0284,12,,,69,5.75,0.913,5.75,5,No,Yes,7,0.5833,6.0028,0.0831,No,0.0833,1,0.75,3.475,2.6429,0.4167,90.6,No,Yes,2,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,3.45,3.45,7,,,,
Taylor Heinicke,LAC,QB,1,1,1,1,1,1,1,0.1202,1,,,6,6,0.8333,6,1,No,No,,,0.2975,-0.2975,No,,1,1,2.3,,1,91.7,No,No,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,4,,,,
Jalen Hurts,PHI,QB,34,34,34,0.9412,30,0.8824,0.9118,0.0251,34,4,0.0294,178,5.2353,1.1348,5.2353,-18,No,No,9,0.2647,14.6707,-0.1668,No,0.0588,1,0.6765,3.0765,2.5333,-0.5294,88.5,No,No,9,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,8.9,8.9,15,,0.0588,,
Cooper Rush,DAL,QB,17,17,17,0.8824,15,0.8824,0.8824,-0.0159,17,,,97,5.7059,0.9381,5.7059,,No,No,6,0.3529,6.6971,-0.041,No,0.1176,1,0.7059,2.8588,2.1667,,90.4,No,No,2,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,4.85,4.85,12,,,,
Malik Willis,GB,QB,1,1,1,1,1,1,1,0.1756,1,,,6,6,0.3333,6,4,No,No,,,0.5218,-0.5218,No,,1,1,3.6,,4,91.7,No,Yes,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,7,,,,
