Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TouchdownsTotal
Dak Prescott,DAL,QB,23,23,23,1,23,1,1,0.0624,23,,,139,6.0435,1.5324,6.913,-74,,Yes,No,,,3.9629,-0.1723,No,0.1739,,,1,0.7826,1.5739,,-3.2174,106.3,No,Yes,6,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,10.95,10.95,8,1
Spencer Rattler,NO,QB,17,17,17,0.8824,13,0.7647,0.8235,-0.116,17,-2,0.0588,85,5,1.5529,5,-60,,No,No,,,2.8159,-0.1656,No,0.1176,0.1176,,1,0.5882,1.5353,,-3.5294,86.6,No,Yes,2,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4.25,4.25,7,
Carson Wentz,KC,QB,1,1,1,1,1,1,1,0.0628,1,,,1,1,6,1,-5,,Yes,No,,,0.3321,-0.3321,No,,,,1,1,2.5,,-5,79.2,No,Yes,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,3,
Joe Milton,NE,QB,2,2,2,1,2,1,1,0.0582,2,,,4,2,2.75,2,-7,,Yes,No,,,0.4053,-0.2027,No,0.5,,,1,1,1.75,,-3.5,79.2,No,Yes,1,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.2,0.2,1,
Tommy DeVito,NYG,QB,4,4,4,1,3,0.75,0.75,-0.1893,4,,,9,2.25,2.4444,2.25,-17,,No,No,,,0.4657,-0.1164,Yes,,,,1,0.75,1.25,,-4.25,77.1,No,Yes,,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,3,
Bryce Young,CAR,QB,30,30,30,0.9,27,0.9,0.9,-0.0324,30,,,103,3.4333,2.0097,3.4333,-113,,Yes,No,,,5.3385,-0.1779,No,0.1333,0.1,,1,0.8667,1.6067,,-3.7667,81,No,Yes,4,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,5.15,5.15,14,
Derek Carr,NO,QB,32,32,32,0.9375,29,0.9062,0.9375,0.0032,32,-1,0.0312,249,7.7812,1.3775,8.4062,-100,,No,No,1,0.0312,5.1574,-0.1299,No,0.125,0.0625,,1,0.9062,1.5094,1.5,-3.125,109.5,No,Yes,7,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,16.45,16.45,10,1
Mitchell Trubisky,BUF,QB,7,7,7,1,7,1,1,0.0599,7,,,92,13.1429,1.2935,16,-27,,Yes,No,,,0.7719,-0.1103,No,0.1429,,,1,1,1.2143,,-3.8571,158.3,No,Yes,2,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,8.6,8.6,9,1
Tim Boyle,NYG,QB,8,8,8,1,8,1,1,0.0587,8,,,50,6.25,1.6,6.25,-30,,Yes,No,,,0.3794,-0.0474,No,0.25,,,1,0.75,0.85,,-3.75,92.7,No,Yes,1,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,3,
Jordan Love,GB,QB,57,57,57,0.9825,51,0.8947,0.9649,0.0364,57,-23,0.0702,322,5.6491,1.5217,7.0526,-197,,No,No,3,0.0526,9.6636,-0.1169,No,0.2982,,,1,0.7193,1.5579,2.2,-3.4561,113.6,No,Yes,17,28.88,28.88,28.88,28.88,28.88,31.88,31.88,28.88,28.88,28.88,28.88,32.1,32.1,15,4
Clayton Tune,ARZ,QB,1,1,1,1,1,1,1,0.0587,1,,,1,1,4,1,-3,,No,No,,,0.0906,-0.0906,No,,,,1,1,1.1,,-3,79.2,No,No,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,6,
