"Player Details","","","","","","","","","","","","","","","Splits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"ID","Rank","Name","Team","POS","G","Season","Season Type","WEEK","First Name","Last Name","Location","Team Name","Team","Opponent","-","-","WEEK","Home/Away","-","Conference","Division","Team","-","DOWN","QTR","-","PERSONNEL","-","BLITZED","PAP","Pressured","?","PASS RESULT","THROW TYPE","-","SEPARATION","CATCHABLE","CONTESTED","ROUTE","Alignment (Position)","Alignment (Side)","-","SCHEME","POST MoF","PRE MoF","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","RTE","RYOE","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"A1FAE334F0D8","11","RJ Harvey","DEN","RB","17","2025","1","18","RJ","Harvey","Denver","Broncos","DEN","PHI, CIN, NYG, DAL, GB, LV, NYJ, TEN, HST, LAC, IND, KC, WAS, JAX","2025","2025","2025316","Home","2025","AFC","AFC West","LAC","2025","1","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","12","0.4444444444444444","13","26","0.15853658536585366","2","0.11764705882352941","0.08333333333333333","0.16666666666666666","2","1","43","2.5294117647058822","0.23626373626373626","3.5833333333333335","21.5","21.5","17","8.5","2","1","1","1","","","","1","1","0.07692307692307693","","","2","0.16666666666666666","","","2","1","","","","","0","","158.3","0.13333333333333333","12.117488271500001","0.16666666666666666","","","0.8333333333333334","12","0","2.2666666666666666","1.5999999999999999","27.2","20.977142506","1.2339495591764706","0.315","3.7800000000000002"
"03AA6C5C334E","12","Stefon Diggs","NE","WR","17","2025","1","18","Stefon","Diggs","New England","Patriots","NE","ATL, TB, BUF, NO, MIA, CAR, CLV, TEN, NYJ, LV, NYG, BLT, CIN, PIT","2025","2025","2025319","Home","2025","AFC","AFC East","MIA","2025","2","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","10","0.5263157894736842","5","30","0.23076923076923078","6","0.35294117647058826","0.3333333333333333","0.6","6","1","40","2.3529411764705883","0.2564102564102564","4","6.666666666666667","6.666666666666667","17","2.8333333333333335","8","1.3333333333333333","1","1","1","1","1","","6","0.75","","","3","0.3","","","6","1","","","2","2","1","1","134","0.75","0.2406614816666668","0.2","0.8","","","10","0","1.6","0.9411764705882353","16","10.907697638","0.6416292728235294","1.0907697638","10.907697638"
"F4373BD7CAE3","13","Adam Trautman","DEN","TE","17","2025","1","18","Adam","Trautman","Denver","Broncos","DEN","TEN, NYJ, LAC, IND, HST, KC, WAS, PHI, JAX, CIN, NYG, DAL, GB, LV","2025","2025","2025316","Home","2025","AFC","AFC West","LAC","2025","1","4","2025","22","2025","No","No","No","","","","2025","","No","No","","Inline","Right","2025","","","","22","0.8148148148148148","6","18","0.10975609756097561","3","0.17647058823529413","0.125","0.13636363636363635","3","1","39","2.2941176470588234","0.21428571428571427","1.7727272727272727","13","13","21","7","3","1","","","","","","","2","0.15384615384615385","","","3","0.13636363636363635","","","3","1","","","","","0","","118.8","0.15789473684210525","6.397877444666666","0.045454545454545456","0.2727272727272727","0.6818181818181818","","22","0","0.31363636363636366","0.40588235294117647","6.9","4.151308633999999","0.24419462552941174","0.18869584699999997","4.151308633999999"
"76ADC3FB46E6","14","Dalton Kincaid","BUF","TE","12","2025","1","18","Dalton","Kincaid","Buffalo","Bills","BUF","NYJ, MIA, CAR, NO, NE, CIN, CLV, KC, BLT","2025","2025","2025314","Home","2025","AFC","AFC East","NYJ","2025","3","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","10","0.45454545454545453","15.25","61","0.3567251461988304","4","0.3333333333333333","0.2222222222222222","0.4","2","0.5","38","3.1666666666666665","0.24516129032258063","3.8","9.5","19","10","5","1","0.5","","","1","1","","1","4","0.3333333333333333","","","2","0.2","","","3","0.75","","","1","","0","","83.3","0.5","-0.4721773304999992","0.2","","0.8","","10","0","0.5800000000000001","0.4833333333333334","5.800000000000001","8.017688026","0.6681406688333333","0.8017688026","8.017688026"
"50E9407D8B2C","15","Keon Coleman","BUF","WR","13","2025","1","18","Keon","Coleman","Buffalo","Bills","BUF","MIA, CAR, BLT, NYJ, ATL, NE, KC, PIT, NO, CIN","2025","2025","2025314","Home","2025","AFC","AFC East","NYJ","2025","3","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","12","0.4444444444444444","5.5","22","0.10138248847926268","4","0.3076923076923077","0.18181818181818182","0.3333333333333333","4","1","36","2.769230769230769","0.15450643776824036","3","9","9","14","3.5","6","1.5","","","1","","","","4","0.23529411764705882","","","3","0.25","","","4","1","","","","","0","","104.2","0.5","2.392365851","1","","","","12","0","0.6333333333333333","0.5846153846153845","7.6","8.285577898","0.637352146","0.6904648248333333","8.285577898"
"504C2B1E4DFB","16","De'Von Achane","MIA","RB","16","2025","1","17","De'Von","Achane","Miami","Dolphins","MIA","CAR, LAC, NYJ, BLT, PIT, ATL, NE, CLV, BUF, NO, CIN, TB, WAS, IND","2025","2025","2025299","Home","2025","NFC","NFC South","TB","2025","2","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","19","0.4634146341463415","1.6","8","0.020151133501259445","5","0.3125","0.12195121951219512","0.2631578947368421","5","1","36","2.25","0.08716707021791767","1.894736842105263","7.2","7.2","34","6.8","4","0.8","1","0.16666666666666666","2","1","1","","3","0.09375","3","0.6","2","0.10526315789473684","","","5","1","1","0.2","1","1","1","1","136.3","0.19230769230769232","0.2644104912000003","0.05263157894736842","0.42105263157894735","0.05263157894736842","0.47368421052631576","19","0","3.1","3.68125","58.9","32.926901808","2.057931363","0.47629997952631586","9.049699611000001"
"E1F8B6D728D5","17","Will Dissly","LAC","TE","9","2025","1","18","Will","Dissly","Los Angeles","Chargers","LAC","PHI, DAL, LV, KC, HST, IND, MIA, DEN","2025","2025","2025316","Away","2025","AFC","AFC West","DEN","2025","1","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","5","0.4166666666666667","8","16","0.17582417582417584","2","0.2222222222222222","0.16666666666666666","0.4","2","1","33","3.6666666666666665","0.36666666666666664","6.6","16.5","16.5","17","8.5","10","5","","","","","","","1","0.14285714285714285","","","2","0.4","","","2","1","","","","","0","","118.8","0.2857142857142857","8.88987052","","","1","","5","0","1.06","0.588888888888889","5.300000000000001","3.154109589","0.35045662099999997","0.6308219178","3.154109589"
"018F0E604E55","18","Kyle Juszczyk","SF","FB","17","2025","1","18","Kyle","Juszczyk","San Francisco","49ers","SF","CLV, ATL, TEN, NYG, IND, CHI, HST, ARZ, LA, JAX, SEA, NO, CAR, TB","2025","2025","2025307","Home","2025","NFC","NFC West","SEA","2025","1","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","28","0.875","3.8333333333333335","23","0.17424242424242425","6","0.35294117647058826","0.2222222222222222","0.21428571428571427","4","0.6666666666666666","32","1.8823529411764706","0.1871345029239766","1.1428571428571428","5.333333333333333","8","17","4.25","8","2","","","1","","","","3","0.23076923076923078","","","1","0.03571428571428571","","","5","0.8333333333333334","","","1","","0","","79.9","0.25","5.333333333333333","0.07142857142857142","0.25","0.42857142857142855","0.25","28","0","0.2571428571428572","0.4235294117647059","7.2","13.118112061","0.7716536506470588","0.4685040021785714","13.118112061"
"EFF1BAC743C0","19","Courtland Sutton","DEN","WR","17","2025","1","18","Courtland","Sutton","Denver","Broncos","DEN","GB, PHI, JAX, LAC, IND, TEN, WAS, LV, NYJ, HST, KC, CIN, NYG, DAL","2025","2025","2025316","Home","2025","AFC","AFC West","LAC","2025","1","4","2025","22","2025","No","No","No","","","","2025","","No","No","","","","2025","","","","11","0.4074074074074074","4.666666666666667","14","0.08536585365853659","3","0.17647058823529413","0.125","0.2727272727272727","3","1","30","1.7647058823529411","0.16483516483516483","2.727272727272727","10","10","16","5.333333333333333","4","1.3333333333333333","","","1","","","","3","0.23076923076923078","","","1","0.09090909090909091","","","3","1","","","1","1","1","","108.3","0.375","3.701707366333333","1","","","","11","0","0.5454545454545454","0.35294117647058826","6","4.173888889","0.24552287582352939","0.37944444445454545","4.173888889"
"87DFD94EB025","20","T.J. Hockenson","MIN","TE","15","2025","1","16","T.J.","Hockenson","Minnesota","Vikings","MIN","PHI, CHI, CLV, ATL, DET, LAC, SEA, WAS, BLT, NYG, GB, DAL, CIN, PIT","2025","2025","2025281","Away","2025","NFC","NFC East","NYG","2025","3","4","2025","22","2025","No","No","No","","","","2025","","No","No","","Inline","Left","2025","","","","5","1","21","21","0.19626168224299065","1","0.06666666666666667","0.2","0.2","1","1","29","1.9333333333333333","1","5.8","29","29","8","8","","","","","","","","1","1","0.2","","","1","0.2","","","1","1","","","","","0","","118.8","0.2","16.03652968","0.6","0.2","0.2","","5","0","0.78","0.26","3.9000000000000004","2.902941176","0.19352941173333335","0.5805882352","2.902941176"
