Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,ReceptionsHero
Ashton Jeanty,LV,RB,169,No,No,No,127,22,No,1,Yes,16,0.7273,,0.1732,12,0.5455,64,28,13,62,0.0236,0.0472,9,2.8182,61.7,0.5039,2.9091,-3.565,5.3333,2.3333,1.0833,5,35.657,35.657,0.1302,24.4,36.4,30.4,42.4,36.4,36.4,30.4,36.4,36.4,36.4,30.4,36.4,36.4,3,17,0.9291,,2,0.1667,,3,,3,0.1364,,,
Kyle Monangai,CHI,RB,89,No,No,No,64,13,No,1,Yes,12,0.9231,,0.2031,7,0.5385,49,19,8,48,0.0156,0.0781,1,3.6923,62.7,0.7656,3.7692,-2.9188,7,2.7143,1.1429,1,19.5951,19.5951,0.1461,4.9,11.9,8.4,15.4,11.9,11.9,8.4,11.9,11.9,11.9,8.4,11.9,11.9,1,17,0.875,,2,0.2857,0.0312,,,4,0.3077,,,
Ben Sinnott,WAS,TE,30,No,Yes,No,28,7,No,,Yes,7,1,,0.25,7,1,62,39,11,23,0.4643,0.1071,6,3.2857,143.2,2.2143,8.8571,2.4657,8.8571,5.5714,1.5714,4,10.9817,10.9817,0.2333,12.2,19.2,15.7,19.2,22.7,19.2,15.7,19.2,19.2,19.2,15.7,22.7,19.2,1,16,0.0714,,1,0.1429,0.3571,1,,,,,,
Austin Ekeler,WAS,RB,13,No,Yes,No,9,1,No,,Yes,1,1,,0.1111,1,1,12,8,2,4,0.2222,,,4,116.7,1.3333,12,5.3381,12,8,2,1,1.428,1.428,0.0769,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,2,0.7778,,,,,,,,,,,
Devontez Walker,BLT,WR,15,No,No,Yes,15,1,No,,Yes,1,1,,0.0667,1,1,8,,,8,0.2667,0.7333,1,8,100,0.5333,8,0.4894,8,,,,1.7506,1.7506,0.0667,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,11,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,76,No,No,No,66,11,No,,No,10,0.9091,,0.1667,10,0.9091,99,64,17,38,0.4394,0.1515,6,3.4545,104.2,1.5,9,2.6178,9.9,6.4,1.7,6,18.2513,18.2513,0.1447,9.9,19.9,14.9,19.9,24.9,19.9,14.9,19.9,19.9,19.9,14.9,24.9,19.9,2,16,0.0606,,,,0.3485,,,,,,,
Dylan Drummond,ATL,WR,26,No,No,No,26,5,No,1,Yes,5,1,,0.1923,4,0.8,21,6,4,17,0.3077,0.6923,2,3.4,84.2,0.8077,4.2,-1.5266,5.25,1.5,1,1,7.2908,7.2908,0.1923,2.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,,9,,,,,,,,,,,,
Drew Sample,CIN,TE,97,No,Yes,No,71,4,No,1,No,4,1,,0.0563,4,1,42,28,10,14,0.0845,0.0423,2,3.5,110.4,0.5915,10.5,4.1903,10.5,7,2.5,2,5.8903,5.8903,0.0412,4.2,8.2,6.2,8.2,10.2,8.2,6.2,8.2,8.2,8.2,6.2,10.2,8.2,,17,0.3239,1,,,0.5493,,,,,,,
Curtis Samuel,BUF,WR,25,Yes,No,No,24,2,No,,Yes,2,1,,0.0833,2,1,11,5,,6,0.375,0.625,1,3,89.6,0.4583,5.5,0.0501,5.5,2.5,,,2.5871,2.5871,0.08,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,,6,,,,,,,,,,,,
Tanner Hudson,CIN,TE,46,No,Yes,No,45,15,No,2,No,14,0.9333,,0.3333,12,0.8,105,54,23,68,0.4889,0.2,12,4.5333,95.8,2.3333,7,0.6374,8.75,4.5,1.9167,4,22.5975,22.5975,0.3261,10.5,22.5,16.5,22.5,28.5,25.5,19.5,22.5,22.5,22.5,16.5,28.5,22.5,2,13,,,1,0.0833,0.3111,,,,,,,
Najee Harris,LAC,RB,8,No,No,Yes,7,3,No,,Yes,3,1,,0.4286,3,1,25,15,8,10,,0.1429,1,3.3333,101.4,3.5714,8.3333,1.7919,8.3333,5,2.6667,1,4.157,4.157,0.375,2.5,5.5,4,7,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,,3,0.8571,,1,0.3333,,,,,,,,
Chase Brown,CIN,RB,181,No,Yes,No,161,47,No,8,No,41,0.8723,2,0.2919,34,0.7234,294,183,72,127,0.118,0.0497,18,2.7021,99.1,1.8261,6.2553,-0.413,8.6471,5.3824,2.1176,14,74.5803,74.5803,0.2597,53.4,87.4,70.4,104.4,87.4,90.4,73.4,87.4,87.4,87.4,70.4,87.4,87.4,10,17,0.8323,5,11,0.3235,,4,1,4,0.0851,,,1
Will Shipley,PHI,RB,28,No,Yes,No,22,3,No,,Yes,3,1,,0.1364,2,0.6667,14,3,,14,0.1364,0.1364,1,4.6667,77.1,0.6364,4.6667,-2.0995,7,1.5,,,4.4369,4.4369,0.1071,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,1,15,0.7273,,,,,,,1,0.3333,,,
Kyren Williams,LA,RB,184,No,No,No,122,37,No,4,Yes,32,0.8649,,0.3033,29,0.7838,214,123,35,121,0.123,0.0082,10,3.2703,108.8,1.7541,5.7838,-0.7909,7.3793,4.2414,1.2069,9,54.6441,54.6441,0.2011,33.4,62.4,47.9,76.9,62.4,65.4,50.9,62.4,62.4,62.4,47.9,62.4,62.4,8,17,0.8689,3,1,0.0345,,2,,2,0.0541,,,
Payne Durham,TB,TE,27,Yes,No,Yes,14,,No,,Yes,,,,,,,,,,,0.2857,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,0.6429,,,,,,,
Tucker Kraft,GB,TE,81,No,No,Yes,75,20,No,2,No,16,0.8,,0.2667,13,0.65,167,128,45,62,0.2533,0.1733,14,3.1,130.6,2.2267,8.35,2.1003,12.8462,9.8462,3.4615,8,37.2297,37.2297,0.2469,34.7,47.7,41.2,47.7,54.2,50.7,44.2,47.7,47.7,47.7,41.2,54.2,47.7,5,8,,1,4,0.3077,0.5733,3,,3,0.15,,,
John Bates,WAS,TE,40,No,Yes,No,32,8,No,1,Yes,7,0.875,,0.25,6,0.75,62,41,11,34,0.1875,0.0938,5,4.25,96.9,1.9375,7.75,1.1218,10.3333,6.8333,1.8333,3,12.4094,12.4094,0.2,6.2,12.2,9.2,12.2,15.2,12.2,9.2,12.2,12.2,12.2,9.2,15.2,12.2,,15,,,,,0.7188,,,,,,,
Trey McBride,ARZ,TE,272,No,No,No,270,95,No,20,Yes,87,0.9158,6,0.3519,80,0.8421,646,302,135,435,0.6185,0.0815,80,4.5789,116.1,2.3926,6.8,0.2602,8.075,3.775,1.6875,35,153.3428,153.3428,0.3493,100.6,180.6,140.6,180.6,220.6,183.6,143.6,180.6,180.6,180.6,140.6,220.6,180.6,16,17,0.0037,14,14,0.175,0.2963,6,3,1,0.0105,4,0.0421,
Cam Skattebo,NYG,RB,55,Yes,No,No,43,13,No,1,Yes,12,0.9231,,0.3023,10,0.7692,110,88,27,35,0.0465,0.0465,3,2.6923,101.4,2.5581,8.4615,2.0254,11,8.8,2.7,6,19.3136,19.3136,0.2364,11,21,16,26,21,24,19,21,21,21,16,21,21,1,8,0.907,,1,0.1,,,,1,0.0769,,,
Dont'e Thornton,LV,WR,89,No,No,No,89,10,No,2,Yes,8,0.8,,0.1124,6,0.6,54,25,13,55,0.3596,0.6404,8,5.5,35,0.6067,5.4,-1.136,9,4.1667,2.1667,3,16.3298,16.3298,0.1124,5.4,11.4,8.4,11.4,11.4,11.4,8.4,11.4,11.4,11.4,8.4,11.4,11.4,2,15,,1,,,,,,1,0.1,,,
Malik Davis,DAL,RB,30,Yes,No,Yes,21,5,No,2,Yes,3,0.6,,0.2381,2,0.4,16,6,1,18,,0.0476,,3.6,48.8,0.7619,3.2,-3.5568,8,3,0.5,,8.3281,8.3281,0.1667,1.6,3.6,2.6,4.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,,10,0.9524,1,,,,,,1,0.2,,,
Dawson Knox,BUF,TE,109,Yes,No,No,102,24,No,4,Yes,23,0.9583,2,0.2353,20,0.8333,176,100,28,100,0.3824,0.1667,16,4.1667,93.8,1.7255,7.3333,0.8186,8.8,5,1.4,10,43.0857,43.0857,0.2202,23.6,43.6,33.6,43.6,53.6,46.6,36.6,43.6,43.6,43.6,33.6,53.6,43.6,5,17,,2,3,0.15,0.451,1,,1,0.0417,,,
Marcedes Lewis,DEN,TE,7,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,
Noah Brown,WAS,WR,10,No,No,No,10,4,Yes,,Yes,2,0.5,,0.4,2,0.5,18,7,2,22,0.1,0.9,3,5.5,62.5,1.8,4.5,-2.1066,9,3.5,1,,7.3547,7.3547,0.4,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,1,4,,,,,,,,,,,,
Emeka Egbuka,TB,WR,179,Yes,No,Yes,177,46,No,6,Yes,32,0.6957,1,0.2599,25,0.5435,192,61,26,241,0.3729,0.6271,39,5.2391,64.8,1.0847,4.1739,-2.2849,7.68,2.44,1.04,7,72.6815,72.6815,0.257,19.2,44.2,31.7,44.2,44.2,47.2,34.7,44.2,44.2,44.2,31.7,44.2,44.2,4,17,,2,3,0.12,,,,3,0.0652,,,
Dontayvion Wicks,GB,WR,74,No,No,No,70,20,No,3,Yes,17,0.85,,0.2857,15,0.75,123,47,25,101,0.5,0.4714,20,5.05,69.4,1.7571,6.15,-0.3037,8.2,3.1333,1.6667,7,27.578,27.578,0.2703,12.3,27.3,19.8,27.3,27.3,30.3,22.8,27.3,27.3,27.3,19.8,27.3,27.3,2,14,,1,3,0.2,0.0286,,,1,0.05,,,
TreVeyon Henderson,NE,RB,95,No,Yes,Yes,78,15,No,,No,14,0.9333,,0.1923,12,0.8,83,50,12,42,,0.1795,2,2.8,89.7,1.0641,5.5333,-0.9023,6.9167,4.1667,1,3,22.5659,22.5659,0.1579,8.3,20.3,14.3,26.3,20.3,20.3,14.3,20.3,20.3,20.3,14.3,20.3,20.3,1,17,0.8205,,3,0.25,,,,2,0.1333,,,
Jayden Reed,GB,WR,34,Yes,Yes,Yes,34,7,No,,No,7,1,,0.2059,7,1,62,30,4,32,0.7353,0.2059,4,4.5714,103.6,1.8235,8.8571,2.5651,8.8571,4.2857,0.5714,3,9.8957,9.8957,0.2059,6.2,13.2,9.7,13.2,13.2,13.2,9.7,13.2,13.2,13.2,9.7,13.2,13.2,1,7,0.0294,,2,0.2857,0.0294,,,,,,,
Devin Neal,NO,RB,60,No,No,No,46,5,No,1,Yes,5,1,,0.1087,5,1,35,25,5,10,0.0435,0.1522,1,2,95.8,0.7609,7,0.8255,7,5,1,1,7.0401,7.0401,0.0833,3.5,8.5,6,11,8.5,8.5,6,8.5,8.5,8.5,6,8.5,8.5,,9,0.8043,1,,,,,,,,,,
Oronde Gadsden,LAC,TE,161,No,No,No,154,32,No,2,Yes,30,0.9375,1,0.2078,27,0.8438,204,94,40,142,0.5065,0.1299,23,4.4375,90.6,1.3247,6.375,-0.1392,7.5556,3.4815,1.4815,7,51.7892,51.7892,0.1988,25.4,52.4,38.9,52.4,65.9,55.4,40.9,51.4,51.4,51.4,37.9,65.9,51.4,7,15,0.0065,1,2,0.0741,0.3571,1,1,2,0.0625,,,
Kyle Pitts,ATL,TE,206,No,No,No,202,60,No,9,Yes,56,0.9333,2,0.297,50,0.8333,426,202,97,270,0.4406,0.203,37,4.5,93.5,2.1089,7.1,0.5656,8.52,4.04,1.94,27,94.0472,94.0472,0.2913,54.6,104.6,79.6,104.6,129.6,107.6,82.6,104.6,104.6,104.6,79.6,129.6,104.6,5,17,,5,9,0.18,0.3564,2,2,1,0.0167,,,
Dante Pettis,NO,WR,23,No,No,No,23,1,No,,Yes,1,1,,0.0435,1,1,12,8,,4,0.3478,0.6522,1,4,116.7,0.5217,12,5.9502,12,8,,1,1.5221,1.5221,0.0435,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,8,,,,,,,,,,,,
Brayden Willis,SF,TE,5,No,Yes,No,4,1,No,,No,,,,0.25,,,,,,2,0.25,0.25,1,2,39.6,,,-6.3701,,,,,1.5,1.5,0.2,,,,,,,,,,,,,,,6,,,,,0.5,,,,,,,
Dalen Cambre,NYG,WR,2,No,No,No,2,,No,,No,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
Harold Fannin,CLV,TE,163,No,No,No,157,60,No,14,No,53,0.8833,,0.3822,42,0.7,348,171,88,264,0.4459,0.1146,41,4.4,90.1,2.2166,5.8,-0.7197,8.2857,4.0714,2.0952,13,92.2042,92.2042,0.3681,40.8,82.8,61.8,82.8,103.8,85.8,64.8,82.8,82.8,82.8,61.8,103.8,82.8,3,16,0.0064,4,10,0.2381,0.4331,1,,3,0.05,,,
Chris Godwin,TB,WR,86,Yes,No,Yes,82,27,No,7,Yes,24,0.8889,,0.3293,22,0.8148,256,155,58,129,0.561,0.439,20,4.7778,106.2,3.122,9.4815,3.2063,11.6364,7.0455,2.6364,13,41.9134,41.9134,0.314,25.6,47.6,36.6,47.6,47.6,50.6,39.6,47.6,47.6,47.6,36.6,47.6,47.6,3,9,,6,5,0.2273,,,,,,,,
Terry McLaurin,WAS,WR,60,No,Yes,No,59,19,No,6,Yes,17,0.8947,1,0.322,15,0.7895,111,26,11,108,0.1356,0.8644,17,5.6842,108.6,1.8814,5.8421,-0.8054,7.4,1.7333,0.7333,12,30.6784,30.6784,0.3167,17.1,32.1,24.6,32.1,32.1,35.1,27.6,32.1,32.1,32.1,24.6,32.1,32.1,2,10,,4,1,0.0667,,1,1,,,,,
Dallas Goedert,PHI,TE,176,No,No,Yes,169,55,No,6,Yes,52,0.9455,2,0.3254,45,0.8182,361,168,72,248,0.497,0.1183,40,4.5091,118.3,2.1361,6.5636,-0.0285,8.0222,3.7333,1.6,21,90.8955,90.8955,0.3125,60.1,105.1,82.6,105.1,127.6,108.1,85.6,105.1,105.1,105.1,82.6,127.6,105.1,7,15,0.0059,3,1,0.0222,0.3787,4,2,5,0.0909,,,
Roschon Johnson,CHI,RB,1,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,
Arian Smith,NYJ,WR,98,Yes,No,No,98,4,No,2,Yes,3,0.75,,0.0408,3,0.75,28,15,14,18,0.449,0.551,3,4.5,93.8,0.2857,7,0.7937,9.3333,5,4.6667,3,5.6965,5.6965,0.0408,2.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,,16,,1,1,0.3333,,,,,,,,
Marvin Mims,DEN,WR,93,No,No,No,93,15,No,1,Yes,14,0.9333,,0.1613,13,0.8667,103,59,41,50,0.2796,0.6667,11,3.3333,95.3,1.1075,6.8667,1.1192,7.9231,4.5385,3.1538,5,22.6608,22.6608,0.1613,10.3,23.3,16.8,23.3,23.3,26.3,19.8,23.3,23.3,23.3,16.8,23.3,23.3,1,15,0.0538,1,1,0.0769,,,,1,0.0667,,,
Raheem Mostert,LV,RB,38,No,No,Yes,30,4,No,,Yes,4,1,,0.1333,4,1,28,19,5,9,,,1,2.25,95.8,0.9333,7,0.7048,7,4.75,1.25,2,5.3631,5.3631,0.1053,2.8,6.8,4.8,8.8,6.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,,12,1,,,,,,,,,,,
Cedric Tillman,CLV,WR,113,No,Yes,No,111,18,No,3,No,14,0.7778,,0.1622,11,0.6111,64,9,3,85,0.2973,0.7027,13,4.7222,44.7,0.5766,3.5556,-2.6776,5.8182,0.8182,0.2727,3,29.3121,29.3121,0.1593,6.4,17.4,11.9,17.4,17.4,17.4,11.9,17.4,17.4,17.4,11.9,17.4,17.4,2,13,,2,1,0.0909,,,,1,0.0556,,,
Calvin Ridley,TEN,WR,64,No,No,Yes,64,14,No,2,Yes,10,0.7143,,0.2188,8,0.5714,86,31,3,101,0.2188,0.7812,11,7.2143,75.3,1.3438,6.1429,-0.9461,10.75,3.875,0.375,5,21.4589,21.4589,0.2188,8.6,16.6,12.6,16.6,16.6,16.6,12.6,16.6,16.6,16.6,12.6,16.6,16.6,,7,,,2,0.25,,,,1,0.0714,,,
Jalen Coker,CAR,WR,91,Yes,No,Yes,90,18,No,2,Yes,16,0.8889,,0.2,16,0.8889,128,43,22,95,0.6111,0.3889,16,5.2778,96.3,1.4222,7.1111,0.6648,8,2.6875,1.375,9,26.4422,26.4422,0.1978,12.8,28.8,20.8,28.8,28.8,31.8,23.8,28.8,28.8,28.8,20.8,28.8,28.8,,11,,2,1,0.0625,,,,,,,,
Jacoby Jones,WAS,WR,1,Yes,Yes,No,1,1,No,,No,1,1,,1,1,1,25,22,,3,,1,1,3,118.8,25,25,19.5501,25,22,,1,1.2729,1.2729,1,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,,1,,,,,,,,,,,,
Jalen Tolbert,DAL,WR,98,No,No,No,97,13,No,1,No,10,0.7692,1,0.134,10,0.7692,83,33,15,65,0.4742,0.5258,9,5,60.7,0.8557,6.3846,-0.0413,8.3,3.3,1.5,7,20.9862,20.9862,0.1327,8.3,18.3,13.3,18.3,18.3,18.3,13.3,18.3,18.3,18.3,13.3,18.3,18.3,1,13,,1,2,0.2,,,,,,,,
Drake London,ATL,WR,141,No,No,No,140,55,No,15,Yes,45,0.8182,5,0.3929,38,0.6909,355,156,63,299,0.2786,0.7214,51,5.4364,110.8,2.5357,6.4545,-0.1044,9.3421,4.1053,1.6579,22,94.3119,94.3119,0.3901,59.5,97.5,78.5,97.5,97.5,100.5,81.5,97.5,97.5,97.5,78.5,97.5,97.5,7,12,,6,2,0.0526,,4,3,3,0.0545,,,2
Alec Pierce,IND,WR,170,No,No,No,166,15,No,3,Yes,14,0.9333,,0.0904,11,0.7333,97,35,14,81,0.1386,0.8614,15,5.4,90.1,0.5843,6.4667,-0.1231,8.8182,3.1818,1.2727,6,24.8027,24.8027,0.0882,9.7,20.7,15.2,20.7,20.7,20.7,15.2,20.7,20.7,20.7,15.2,20.7,20.7,,15,,1,,,,,,1,0.0667,,,
LaJohntay Wester,BLT,WR,9,No,No,Yes,9,,No,,Yes,,,,,,,,,,,0.4444,0.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,
Jaylin Lane,WAS,WR,66,No,No,No,64,11,No,1,Yes,7,0.6364,,0.1719,7,0.6364,56,21,6,61,0.4062,0.5938,9,5.5455,76.3,0.875,5.0909,-1.4299,8,3,0.8571,3,15.2005,15.2005,0.1667,5.6,12.6,9.1,12.6,12.6,12.6,9.1,12.6,12.6,12.6,9.1,12.6,12.6,1,15,,1,,,,,,,,1,0.0909,
Bo Melton,GB,WR,17,Yes,Yes,Yes,17,2,No,1,No,2,1,,0.1176,1,0.5,10,1,1,14,0.5882,0.4118,1,7,25,0.5882,5,-1.9083,10,1,1,1,2.9601,2.9601,0.1176,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,9,,1,,,,,,1,0.5,,,
DJ Giddens,IND,RB,7,No,No,No,3,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,
Chris Rodriguez,WAS,RB,28,No,Yes,No,20,1,No,,Yes,1,1,,0.05,1,1,6,4,1,2,0.05,0.05,,2,91.7,0.3,6,-0.3947,6,4,1,,1.546,1.546,0.0357,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,13,0.9,,,,,,,,,,,
Olamide Zaccheaus,CHI,WR,121,No,No,No,118,42,No,7,Yes,34,0.8095,2,0.3559,32,0.7619,240,83,25,218,0.4915,0.5085,31,5.1905,97.3,2.0339,5.7143,-0.7714,7.5,2.5938,0.7812,11,66.1868,66.1868,0.3471,30,62,46,62,62,65,49,62,62,62,46,62,62,6,16,,6,1,0.0312,,1,1,2,0.0476,,,1
Theo Wease,MIA,WR,12,No,Yes,Yes,11,2,No,,No,2,1,,0.1818,2,1,22,15,5,7,0.0909,0.9091,2,3.5,112.5,2,11,5.1514,11,7.5,2.5,2,2.9017,2.9017,0.1667,2.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,,3,,,,,,,,,,,,
Albert Okwuegbunam,LV,TE,10,No,No,No,10,3,No,,Yes,3,1,,0.3,3,1,28,20,2,8,0.4,,2,2.6667,105.6,2.8,9.3333,3.2787,9.3333,6.6667,0.6667,2,4.2306,4.2306,0.3,2.8,5.8,4.3,5.8,7.3,5.8,4.3,5.8,5.8,5.8,4.3,7.3,5.8,,1,,,,,0.6,,,,,,,
Raheim Sanders,CLV,RB,7,No,Yes,No,6,3,No,,No,2,0.6667,,0.5,2,0.6667,14,5,4,12,,0.1667,1,4,77.1,2.3333,4.6667,-2.2425,7,2.5,2,,4.039,4.039,0.4286,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,4,0.8333,,2,1,,,,,,,,
Tyler Warren,IND,TE,206,No,No,No,189,51,No,11,Yes,46,0.902,1,0.2698,39,0.7647,355,214,69,208,0.4762,0.1376,39,4.0784,99.7,1.8783,6.9608,0.5263,9.1026,5.4872,1.7692,16,79.5717,79.5717,0.2476,47.5,86.5,67,86.5,106,89.5,70,86.5,86.5,86.5,67,106,86.5,8,17,0.0159,5,5,0.1282,0.3704,2,,2,0.0392,,,
Will Mallory,IND,TE,5,No,No,No,5,,No,,Yes,,,,,,,,,,,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0.4,,,,,,,
Dee Eskridge,MIA,WR,19,No,No,No,19,4,No,,Yes,3,0.75,,0.2105,3,0.75,22,4,3,24,0.3684,0.6316,2,6,87.5,1.1579,5.5,-1.2005,7.3333,1.3333,1,2,6.337,6.337,0.2105,2.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,,13,,,,,,,,,,,,
Ross Dwelley,DET,TE,12,No,Yes,No,8,2,No,1,Yes,1,0.5,1,0.25,,,,,,7,0.125,0.25,2,3.5,39.6,,,-6.4342,,,,,4.8873,4.8873,0.1667,,,,,,,,,,,,,,1,10,,,,,0.625,,,,,,,
Brittain Brown,CHI,RB,3,No,No,No,3,1,No,,Yes,,,,0.3333,,,,,,4,,0.3333,,4,39.6,,,-6.6619,,,,,1.3496,1.3496,0.3333,,,,,,,,,,,,,,,2,0.6667,,,,,,,,,,,
AJ Dillon,PHI,RB,14,No,Yes,No,8,3,No,,Yes,3,1,,0.375,3,1,21,12,6,9,0.125,,,3,95.8,2.625,7,0.478,7,4,2,,5.4359,5.4359,0.2143,1.1,4.1,2.6,5.6,4.1,4.1,1.6,3.1,3.1,3.1,1.6,4.1,3.1,1,7,0.875,,1,0.3333,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,208,No,No,No,208,61,No,7,Yes,51,0.8361,2,0.2933,48,0.7869,432,180,94,343,0.2692,0.7067,49,5.623,88,2.0769,7.082,0.479,9,3.75,1.9583,22,103.0933,103.0933,0.2933,49.2,97.2,73.2,97.2,97.2,100.2,76.2,97.2,97.2,97.2,73.2,97.2,97.2,7,17,0.0144,5,8,0.1667,0.0096,1,1,2,0.0328,3,0.0492,
Sam LaPorta,DET,TE,128,Yes,No,No,121,30,Yes,3,Yes,24,0.8,,0.2479,23,0.7667,244,136,46,148,0.4215,0.2149,18,4.9333,99.9,2.0165,8.1333,1.4703,10.6087,5.913,2,12,42.9822,42.9822,0.2344,24.4,47.4,35.9,47.4,58.9,50.4,38.9,47.4,47.4,47.4,35.9,58.9,47.4,3,9,,3,4,0.1739,0.3636,,,1,0.0333,,,
Jackson Hawes,BUF,TE,46,Yes,No,No,32,10,No,,Yes,10,1,1,0.3125,9,0.9,96,60,21,42,0.1875,0.0938,3,4.2,146.3,3,9.6,3.2045,10.6667,6.6667,2.3333,8,18.7098,18.7098,0.2174,21.6,30.6,26.1,30.6,35.1,30.6,26.1,30.6,30.6,30.6,26.1,35.1,30.6,3,17,,,1,0.1111,0.7188,2,1,1,0.1,,,
Chris Blair,ATL,WR,3,No,No,No,3,,No,,Yes,,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Mitchell Tinsley,CIN,WR,49,No,Yes,No,47,4,No,,No,1,0.25,,0.0851,1,0.25,9,5,5,15,0.2128,0.7447,2,3.75,39.6,0.1915,2.25,-3.754,9,5,5,,5.2234,5.2234,0.0816,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,17,0.0213,,1,1,0.0213,,,,,,,
Brycen Tremayne,CAR,WR,41,Yes,No,Yes,41,9,No,1,Yes,9,1,,0.2195,9,1,75,27,8,48,0.4634,0.5366,7,5.3333,101.4,1.8293,8.3333,1.832,8.3333,3,0.8889,3,16.3747,16.3747,0.2195,7.5,16.5,12,16.5,16.5,16.5,12,16.5,16.5,16.5,12,16.5,16.5,1,16,,1,,,,,,,,,,
Tez Johnson,TB,WR,104,Yes,No,Yes,101,7,No,,Yes,7,1,,0.0693,6,0.8571,52,24,3,33,0.3663,0.6139,5,4.7143,97.6,0.5149,7.4286,1.1787,8.6667,4,0.5,2,10.4839,10.4839,0.0673,5.2,11.2,8.2,11.2,11.2,11.2,8.2,11.2,11.2,11.2,8.2,11.2,11.2,2,16,0.0198,,1,0.1667,,,,1,0.1429,,,
