Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,AlignmentWideRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerReceptionYardsAfterContact,AlignmentBackfieldRoutesPercentage,ReceptionsHero
Malachi Corley,CLV,WR,8,No,No,Yes,8,1,Yes,Yes,1,1,,0.125,1,1,11,,11,,,,,0.625,,11,112.5,1.375,11,2.6848,,11,,1,1.3525,1.3525,0.125,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,13,,,0.25,,,,,,,0.125,
Rachaad White,TB,RB,84,No,No,No,62,2,No,Yes,,,1,0.0323,,,,,25,,,,,0.0968,1,12.5,39.6,,,-7.9712,,,,,3.9392,3.9392,0.0238,,,,,,,,,,,,,,1,17,,,0.1129,,,,,,,0.7903,
Xavier Worthy,KC,WR,70,No,Yes,No,69,19,No,No,13,0.6842,1,0.2754,10,0.5263,204,57,274,,,,,0.2319,14,14.4211,90.7,2.9565,10.7368,0.9248,,20.4,5.7,10,37.9459,37.9459,0.2714,20.4,30.4,25.4,30.4,30.4,33.4,28.4,30.4,30.4,30.4,25.4,30.4,30.4,3,14,4,1,0.7536,,,4,,,0.4,0.0145,
Zach Charbonnet,SEA,RB,56,No,No,No,38,,Yes,Yes,,,,,,,,,,,,,0.0263,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,0.9211,
Chuba Hubbard,CAR,RB,56,No,No,No,49,2,No,Yes,2,1,,0.0408,,,,,30,,,2,,0.0204,1,15,39.6,,,-7.7946,1,,,,4.0232,4.0232,0.0357,,,,,,,,,,,,,,,15,,,0.2041,,,,,,,0.7755,
Jared Wayne,HST,WR,3,No,No,No,3,1,No,No,1,1,,0.3333,1,1,17,3,14,,,,,0.3333,1,14,118.8,5.6667,17,7.1866,,17,3,1,1.7719,1.7719,0.3333,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,1,,,0.6667,,,2,,,2,,
AJ Barner,SEA,TE,89,No,No,No,71,6,Yes,Yes,3,0.5,2,0.0845,3,0.5,29,1,78,2,1,,0.831,0.1408,3,13,63.9,0.4085,4.8333,-4.6197,,9.6667,0.3333,3,18.4059,18.4059,0.0674,14.9,17.9,16.4,17.9,19.4,17.9,16.4,17.9,17.9,17.9,16.4,19.4,17.9,3,17,,,0.0141,,,,,,,0.0141,
Drew Sample,CIN,TE,50,No,No,Yes,37,,Yes,Yes,,,,,,,,,,,,,0.6757,0.0811,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,0.027,,,,,,,0.2162,
Dylan Drummond,ATL,WR,16,No,No,No,16,3,Yes,No,3,1,1,0.1875,1,0.3333,15,1,36,,,1,,0.0625,1,12,50.7,0.9375,5,-3.7865,0.3333,15,1,1,5.4739,5.4739,0.1875,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2,9,3,1,0.9375,,,1,,,1,,
Daniel Bellinger,NYG,TE,54,No,No,Yes,45,10,No,No,8,0.8,2,0.2222,4,0.4,66,9,138,,,2,0.3556,0.3778,7,13.8,62.9,1.4667,6.6,-3.0452,0.2,16.5,2.25,4,22.5845,22.5845,0.1852,6.6,10.6,8.6,10.6,12.6,10.6,8.6,10.6,10.6,10.6,8.6,12.6,10.6,4,16,4,1,0.1333,,,4,,,1,0.1333,
Devontez Walker,BLT,WR,10,No,No,No,10,2,No,Yes,2,1,1,0.2,2,1,40,20,29,2,1,,,0.1,2,14.5,158.3,4,20,10.3929,,20,10,2,5.9126,5.9126,0.2,16,18,17,18,18,18,17,18,18,18,17,18,18,1,11,,,0.9,,,,,,,,
Austin Ekeler,WAS,RB,11,No,No,Yes,9,,No,No,,,,,,,,,,,,,,0.4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.1111,,,,,,,0.4444,
Chase Brown,CIN,RB,88,No,No,Yes,72,1,Yes,Yes,1,1,1,0.0139,1,1,10,,11,1,1,,0.0139,0.1667,,11,147.9,0.1389,10,2.7442,,10,,1,4.4,4.4,0.0114,7,8,7.5,8.5,8,8,7.5,8,8,8,7.5,8,8,1,17,1,1,0.0417,,,,,,,0.7778,1
Najee Harris,LAC,RB,8,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,
Tanner Hudson,CIN,TE,27,No,No,Yes,27,3,Yes,Yes,2,0.6667,2,0.1111,2,0.6667,35,14,41,1,1,,0.3704,0.4815,2,13.6667,106.3,1.2963,11.6667,2.6566,,17.5,7,2,8.2169,8.2169,0.1111,9.5,11.5,10.5,11.5,12.5,11.5,10.5,11.5,11.5,11.5,10.5,12.5,11.5,2,13,,,0.1111,,,8,,,4,0.037,
Curtis Samuel,BUF,WR,18,No,Yes,No,18,2,No,Yes,2,1,,0.1111,2,1,35,5,30,,,,,0.3889,1,15,118.8,1.9444,17.5,7.5457,,17.5,2.5,2,3.7777,3.7777,0.1111,3.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,,6,,,0.6111,,,1,,,0.5,,
Hunter Renfrow,CAR,WR,33,No,No,Yes,32,6,No,No,3,0.5,1,0.1875,1,0.1667,15,2,90,,,,,0.8125,3,15,39.6,0.4688,2.5,-7.6027,,15,2,1,13.1699,13.1699,0.1818,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,1,6,1,,0.1875,,,1,,,1,,
Isaac TeSlaa,DET,WR,60,Yes,Yes,Yes,60,16,No,Yes,11,0.6875,7,0.2667,9,0.5625,133,19,249,5,4,,,0.2833,14,15.5625,123.2,2.2167,8.3125,-2.102,,14.7778,2.1111,9,39.7654,39.7654,0.2667,43.3,52.3,47.8,52.3,52.3,55.3,50.8,52.3,52.3,52.3,47.8,52.3,52.3,8,17,4,2,0.7167,,,2,,,0.2222,,2
Allen Lazard,NYJ,WR,21,No,No,Yes,20,4,No,No,1,0.25,3,0.2,1,0.25,4,,50,1,1,,,0.35,2,12.5,39.6,0.2,1,-7.9803,,4,,1,12.0179,12.0179,0.1905,6.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,3,10,,,0.65,,,,,,,,
Andrei Iosivas,CIN,WR,112,No,No,Yes,108,17,Yes,Yes,15,0.8824,2,0.1574,10,0.5882,159,30,240,1,1,2,,0.6019,10,14.1176,70.1,1.4722,9.3529,-0.3907,0.1176,15.9,3,10,32.0156,32.0156,0.1518,21.9,31.9,26.9,31.9,31.9,34.9,29.9,31.9,31.9,31.9,26.9,31.9,31.9,2,17,4,1,0.3981,,,13,1,0.1,1.3,,
Jeremy Ruckert,NYJ,TE,30,No,No,No,23,1,No,Yes,1,1,,0.0435,1,1,12,1,11,,,,0.5652,0.1304,1,11,116.7,0.5217,12,3.2598,,12,1,1,1.8597,1.8597,0.0333,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,17,,,0.3043,,,1,,,1,,
Kalif Raymond,DET,WR,34,Yes,Yes,Yes,33,3,No,Yes,3,1,,0.0909,3,1,52,2,50,,,,,0.303,2,16.6667,118.8,1.5758,17.3333,6.342,,17.3333,0.6667,3,8.6797,8.6797,0.0882,5.2,8.2,6.7,8.2,8.2,8.2,6.7,8.2,8.2,8.2,6.7,8.2,8.2,,15,,,0.697,,,,,,,,
Darnell Mooney,ATL,WR,110,No,No,No,110,37,Yes,No,27,0.7297,3,0.3364,16,0.4324,237,20,503,,,4,,0.4636,30,13.5946,64.8,2.1545,6.4054,-3.0157,0.1081,14.8125,1.25,16,72.2713,72.2713,0.3364,23.7,39.7,31.7,39.7,39.7,42.7,34.7,39.7,39.7,39.7,31.7,39.7,39.7,5,15,8,2,0.5364,,,7,1,0.0625,0.4375,,
Kyle Monangai,CHI,RB,55,Yes,Yes,Yes,36,,No,Yes,,,,,,,,,,,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,0.0278,,,,,,,0.8889,
Ashton Jeanty,LV,RB,65,No,No,No,47,2,No,Yes,1,0.5,,0.0426,1,0.5,29,12,31,,,,,,1,15.5,95.8,0.617,14.5,6.9411,,29,12,1,4.3252,4.3252,0.0308,2.9,3.9,3.4,4.4,3.9,3.9,3.4,3.9,3.9,3.9,3.4,3.9,3.9,,17,,,,,,5,,,5,1,
Ben Sinnott,WAS,TE,28,No,No,No,22,1,No,No,1,1,,0.0455,1,1,7,-9,16,,,,0.5909,0.3182,,16,95.8,0.3182,7,-3.191,,7,-9,,1.4385,1.4385,0.0357,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,16,1,1,0.0909,,,,,,,,
Stefon Diggs,NE,WR,78,Yes,Yes,No,78,21,No,No,15,0.7143,1,0.2692,15,0.7143,295,74,302,,,,,0.4615,12,14.381,93.8,3.7821,14.0476,4.3298,,19.6667,4.9333,14,39.1095,39.1095,0.2692,29.5,44.5,37,44.5,44.5,47.5,40,44.5,44.5,44.5,37,44.5,44.5,1,17,4,4,0.5256,,,10,1,0.0667,0.6667,0.0128,1
Jaydon Blue,DAL,RB,5,No,No,Yes,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,0.25,,,,,,,0.75,
Jaylin Noel,HST,WR,31,Yes,No,Yes,31,2,No,Yes,1,0.5,,0.0645,,,,,30,,,1,,0.6452,1,15,39.6,,,-10.2899,0.5,,,,6.4983,6.4983,0.0645,,,,,,,,,,,,,,1,17,,,0.3548,,,,,,,,
Zay Jones,ARZ,WR,35,No,Yes,Yes,34,5,No,Yes,3,0.6,1,0.1471,2,0.4,42,10,71,,,,,0.4118,3,14.2,30.8,1.2353,8.4,-1.4116,,21,5,2,13.0434,13.0434,0.1429,4.2,6.2,5.2,6.2,6.2,6.2,5.2,6.2,6.2,6.2,5.2,6.2,6.2,2,8,1,,0.5882,,,4,,,2,,
Terry McLaurin,WAS,WR,64,No,No,No,64,28,No,No,22,0.7857,3,0.4375,19,0.6786,299,26,387,1,1,1,,0.2031,19,13.8214,115,4.6719,10.6786,1.1122,0.0357,15.7368,1.3684,17,56.9257,56.9257,0.4375,35.9,54.9,45.4,54.9,54.9,57.9,48.4,54.9,54.9,54.9,45.4,54.9,54.9,4,10,6,3,0.7969,,,18,2,0.1053,0.9474,,
Chris Godwin,TB,WR,55,No,No,No,54,13,No,Yes,9,0.6923,3,0.2407,5,0.3846,44,2,168,2,2,2,,0.4444,9,12.9231,87.8,0.8148,3.3846,-5.7585,0.1538,8.8,0.4,5,25.3622,25.3622,0.2364,16.4,21.4,18.9,21.4,21.4,21.4,18.9,21.4,21.4,21.4,18.9,21.4,21.4,3,9,5,2,0.5556,,,-1,,,-0.2,,
Harold Fannin,CLV,TE,82,No,No,No,78,22,Yes,Yes,15,0.6818,2,0.2821,11,0.5,185,50,282,2,1,2,0.359,0.4744,13,12.8182,71.2,2.3718,8.4091,-1.1107,0.0909,16.8182,4.5455,10,40.5827,40.5827,0.2683,30.5,41.5,36,41.5,47,44.5,39,41.5,41.5,41.5,36,47,41.5,5,16,3,2,0.141,,,25,,,2.2727,0.0256,
Dalen Cambre,NYG,WR,1,No,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,,
Kyle Pitts,ATL,TE,135,No,No,No,127,29,Yes,No,21,0.7241,1,0.2283,19,0.6552,362,94,412,1,,1,0.4803,0.3228,21,14.2069,120.2,2.8504,12.4828,2.6097,0.0345,19.0526,4.9474,19,55.7731,55.7731,0.2148,42.2,61.2,51.7,61.2,70.7,64.2,54.7,61.2,61.2,61.2,51.7,70.7,61.2,2,17,6,4,0.1969,,,22,,,1.1579,,
Dante Pettis,NO,WR,13,No,No,No,13,2,Yes,No,1,0.5,,0.1538,1,0.5,14,-1,32,,,,,0.2308,2,16,72.9,1.0769,7,-4.0375,,14,-1,,3.1665,3.1665,0.1538,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,8,,,0.7692,,,,,,,,
Devin Neal,NO,RB,38,No,No,No,30,,No,Yes,,,,,,,,,,,,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.9667,
Oronde Gadsden,LAC,TE,65,No,No,No,64,24,No,Yes,17,0.7083,5,0.375,12,0.5,209,62,303,2,1,1,0.4531,0.375,16,12.625,90.5,3.2656,8.7083,-0.4774,0.0417,17.4167,5.1667,12,52.6552,52.6552,0.3692,32.9,44.9,38.9,44.9,50.9,47.9,41.9,44.9,44.9,44.9,38.9,50.9,44.9,7,15,5,1,0.1562,,,39,2,0.1667,3.25,0.0156,
TreVeyon Henderson,NE,RB,56,Yes,Yes,No,51,2,No,No,1,0.5,1,0.0392,1,0.5,6,,32,1,1,,,0.0784,,16,95.8,0.1176,3,-6.572,,6,,1,4.067,4.067,0.0357,6.6,7.6,7.1,8.1,7.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,1,17,,,0.0588,,,,,,,0.8627,
Jayden Reed,GB,WR,26,Yes,No,Yes,26,7,No,Yes,5,0.7143,1,0.2692,5,0.7143,105,24,112,1,1,,0.0385,0.7692,6,16,153.3,4.0385,15,4.6277,,21,4.8,4,12.0083,12.0083,0.2692,16.5,21.5,19,21.5,21.5,24.5,22,21.5,21.5,21.5,19,21.5,21.5,1,7,1,1,0.1154,,,7,,,1.4,0.0769,
Jalen Coker,CAR,WR,61,No,No,No,61,14,No,Yes,9,0.6429,2,0.2295,9,0.6429,141,21,207,1,1,,,0.7213,10,14.7857,121.4,2.3115,10.0714,0.1267,,15.6667,2.3333,8,26.5337,26.5337,0.2295,20.1,29.1,24.6,29.1,29.1,32.1,27.6,29.1,29.1,29.1,24.6,29.1,29.1,2,11,2,2,0.2787,,,6,1,0.1111,0.6667,,2
Raheem Mostert,LV,RB,14,No,Yes,No,12,,No,Yes,,,,,,,,,,,,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.9167,
Arian Smith,NYJ,WR,27,No,No,No,27,3,No,Yes,2,0.6667,,0.1111,,,,,45,,,,,0.3333,2,15,,,,-10.0214,,,,,5.0282,5.0282,0.1111,,,,,,,,,,,,,,,16,1,,0.6667,,,,,,,,
Marvin Mims,DEN,WR,43,No,No,No,41,3,No,Yes,1,0.3333,,0.0732,1,0.3333,26,11,48,,,,,0.2195,3,16,66,0.6341,8.6667,-1.9061,,26,11,1,4.9283,4.9283,0.0698,2.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,,15,,,0.7805,,,3,,,3,,
Dallas Goedert,PHI,TE,79,Yes,No,No,74,12,No,Yes,5,0.4167,2,0.1622,4,0.3333,91,24,191,1,1,,0.3243,0.527,9,15.9167,89.2,1.2297,7.5833,-3.5583,,22.75,6,4,24.655,24.655,0.1519,15.1,19.1,17.1,19.1,21.1,19.1,17.1,19.1,19.1,19.1,17.1,21.1,19.1,2,15,2,1,0.1486,,,8,,,2,,
Zach Horton,DET,TE,1,Yes,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,
Cedric Tillman,CLV,WR,51,No,No,Yes,51,15,Yes,Yes,10,0.6667,1,0.2941,9,0.6,164,41,208,2,1,,,0.3725,12,13.8667,137.2,3.2157,10.9333,1.3782,,18.2222,4.5556,9,28.2434,28.2434,0.2941,28.4,37.4,32.9,37.4,37.4,40.4,35.9,37.4,37.4,37.4,32.9,37.4,37.4,2,13,2,1,0.6275,,,11,,,1.2222,,
Calvin Ridley,TEN,WR,32,No,No,No,32,15,Yes,Yes,10,0.6667,1,0.4688,5,0.3333,106,37,205,,,3,,0.25,14,13.6667,59.3,3.3125,7.0667,-2.4346,0.2,21.2,7.4,5,25.2275,25.2275,0.4688,10.6,15.6,13.1,15.6,15.6,18.6,16.1,15.6,15.6,15.6,13.1,15.6,15.6,1,7,2,,0.75,,,7,1,0.2,1.4,,
Kyren Williams,LA,RB,104,No,No,Yes,81,,No,No,,,,,,,,,,,,,,0.0864,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,0.9136,
Payne Durham,TB,TE,32,No,No,No,17,1,No,Yes,,,1,0.0588,,,,,19,,,,0.6471,0.2353,,19,39.6,,,-10.5955,,,,,4.0717,4.0717,0.0312,,,,,,,,,,,,,,1,17,,,0.0588,,,,,,,0.0588,
Tucker Kraft,GB,TE,41,No,No,Yes,31,9,No,No,8,0.8889,2,0.2903,8,0.8889,191,83,131,2,2,,0.3871,0.4839,6,14.5556,158.3,6.1613,21.2222,10.929,,23.875,10.375,7,17.8553,17.8553,0.2195,31.1,39.1,35.1,39.1,43.1,42.1,38.1,39.1,39.1,39.1,35.1,43.1,39.1,2,8,1,1,0.129,,,37,2,0.25,4.625,,
Will Shipley,PHI,RB,16,No,No,No,13,1,No,No,1,1,,0.0769,1,1,11,-2,13,,,,,0.0769,,13,112.5,0.8462,11,3.9524,,11,-2,1,1.275,1.275,0.0625,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,15,,,0.2308,,,,,,,0.6923,
Dontayvion Wicks,GB,WR,45,No,Yes,Yes,44,12,No,No,11,0.9167,1,0.2727,10,0.8333,146,7,167,,,,,0.4545,8,13.9167,82.6,3.3182,12.1667,2.4784,,14.6,0.7,10,22.3135,22.3135,0.2667,14.6,24.6,19.6,24.6,24.6,27.6,22.6,24.6,24.6,24.6,19.6,24.6,24.6,1,14,3,3,0.5455,,,7,,,0.7,,
Dawson Knox,BUF,TE,55,No,No,No,50,14,No,Yes,12,0.8571,3,0.28,9,0.6429,169,38,199,2,2,3,0.56,0.3,9,14.2143,115.8,3.38,12.0714,1.9163,0.2143,18.7778,4.2222,8,25.616,25.616,0.2545,28.9,37.9,33.4,37.9,42.4,40.9,36.4,37.9,37.9,37.9,33.4,42.4,37.9,3,17,2,1,0.12,,,10,,,1.1111,0.02,
Noah Brown,WAS,WR,17,Yes,Yes,No,17,3,Yes,Yes,3,1,,0.1765,2,0.6667,37,2,53,,,,,0.1765,2,17.6667,109,2.1765,12.3333,1.3579,,18.5,1,2,5.5429,5.5429,0.1765,3.7,5.7,4.7,5.7,5.7,5.7,4.7,5.7,5.7,5.7,4.7,5.7,5.7,,4,1,,0.8235,,,1,,,0.5,,
Emeka Egbuka,TB,WR,113,No,No,No,112,44,No,Yes,24,0.5455,6,0.3929,16,0.3636,361,115,686,1,,4,,0.4375,32,15.5909,55.2,3.2232,8.2045,-2.1486,0.0909,22.5625,7.1875,16,85.4217,85.4217,0.3894,42.1,58.1,50.1,58.1,58.1,61.1,53.1,58.1,58.1,58.1,50.1,58.1,58.1,6,17,7,1,0.5625,,,26,3,0.1875,1.625,,
Malik Davis,DAL,RB,15,No,Yes,No,8,,Yes,Yes,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.75,
Dont'e Thornton,LV,WR,37,No,No,No,37,10,No,Yes,4,0.4,,0.2703,2,0.2,34,1,157,,,1,,0.2973,10,15.7,41.3,0.9189,3.4,-7.1261,0.1,17,0.5,2,20.8288,20.8288,0.2703,3.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,,15,3,1,0.7027,,,,,,,,
Cam Skattebo,NYG,RB,16,Yes,Yes,No,12,1,No,No,1,1,,0.0833,1,1,18,8,10,1,,,,,1,10,158.3,1.5,18,10.8269,,18,8,1,1.59,1.59,0.0625,7.8,8.8,8.3,9.3,8.8,8.8,8.3,8.8,8.8,8.8,8.3,8.8,8.8,1,8,,,,,,,,,,1,
Trey McBride,ARZ,TE,120,No,No,Yes,117,37,No,No,25,0.6757,8,0.3162,20,0.5405,356,57,559,4,3,1,0.2051,0.7436,30,15.1081,123.3,3.0427,9.6216,-0.7895,0.027,17.8,2.85,20,79.9277,79.9277,0.3083,59.6,79.6,69.6,79.6,89.6,82.6,72.6,79.6,79.6,79.6,69.6,89.6,79.6,11,17,14,8,0.0513,1,0.027,13,1,0.05,0.65,,1
