Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,AlignmentWideRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerReceptionYardsAfterContact,AlignmentBackfieldRoutesPercentage,ReceptionsHero
Terrance Ferguson,LA,TE,40,No,No,No,39,8,No,No,4,0.5,2,0.2051,2,0.25,39,7,124,,,1,0.2564,0.5128,7,15.5,47.4,1,4.875,-5.5395,0.125,19.5,3.5,2,15.0701,15.0701,0.2,3.9,5.9,4.9,5.9,6.9,5.9,4.9,5.9,5.9,5.9,4.9,6.9,5.9,2,13,2,1,0.2308,,,3,,,1.5,,
Durham Smythe,CHI,TE,26,Yes,Yes,Yes,19,,No,Yes,,,,,,,,,,,,,0.4737,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,0.0526,,,,,,,0.3684,
Jalin Hyatt,NYG,WR,15,Yes,Yes,No,14,4,Yes,Yes,1,0.25,1,0.2857,1,0.25,14,-1,59,,,,,0.1429,4,14.75,2.1,1,3.5,-6.5084,,14,-1,1,7.6339,7.6339,0.2667,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,1,8,,,0.8571,,,-1,,,-1,,
David Njoku,CLV,TE,52,No,No,Yes,45,8,Yes,Yes,6,0.75,2,0.1778,5,0.625,74,12,100,2,2,1,0.5111,0.3333,7,12.5,132.3,1.6444,9.25,-0.1762,0.125,14.8,2.4,4,14.8587,14.8587,0.1538,19.4,24.4,21.9,24.4,26.9,24.4,21.9,24.4,24.4,24.4,21.9,26.9,24.4,3,12,2,2,0.1556,,,4,,,0.8,,
Brock Bowers,LV,TE,64,No,Yes,No,61,19,No,Yes,15,0.7895,8,0.3115,14,0.7368,216,45,263,4,4,,0.3934,0.4426,15,13.8421,128.5,3.541,11.3684,1.3017,,15.4286,3.2143,14,47.9711,47.9711,0.2969,45.6,59.6,52.6,59.6,66.6,62.6,55.6,59.6,59.6,59.6,52.6,66.6,59.6,9,12,5,3,0.1475,,,17,,,1.2143,0.0164,
Ryan Miller,TB,WR,4,No,Yes,No,3,2,No,No,1,0.5,,0.6667,1,0.5,14,,29,,,,,0.6667,1,14.5,72.9,4.6667,7,-3.1116,,14,,,3.5777,3.5777,0.5,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,13,,,0.3333,,,,,,,,
Brandin Cooks,BUF,WR,58,Yes,No,No,58,6,No,Yes,5,0.8333,,0.1034,4,0.6667,45,-2,77,,,1,,0.5172,4,12.8333,88.9,0.7759,7.5,-1.4316,0.1667,11.25,-0.5,3,10.4631,10.4631,0.1034,4.5,8.5,6.5,8.5,8.5,8.5,6.5,8.5,8.5,8.5,6.5,8.5,8.5,,15,2,1,0.4828,,,-1,,,-0.25,,
A.J. Brown,PHI,WR,75,Yes,No,No,73,34,No,Yes,25,0.7353,2,0.4658,20,0.5882,311,52,453,2,2,2,,0.1644,25,13.3235,96.6,4.2603,9.1471,-0.2215,0.0588,15.55,2.6,18,61.8943,61.8943,0.4533,43.1,63.1,53.1,63.1,63.1,66.1,56.1,63.1,63.1,63.1,53.1,63.1,63.1,3,15,9,5,0.8356,,,55,1,0.05,2.75,,
Luke McCaffrey,WAS,WR,15,No,Yes,Yes,15,7,No,Yes,5,0.7143,1,0.4667,5,0.7143,100,33,103,2,1,,,0.2667,3,14.7143,153.3,6.6667,14.2857,3.9676,,20,6.6,4,17.7448,17.7448,0.4667,22,27,24.5,27,27,30,27.5,27,27,27,24.5,27,27,1,9,,,0.7333,,,,,,,,1
Brock Wright,DET,TE,37,Yes,No,No,21,,No,No,,,,,,,,,,,,,0.5238,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,0.3333,,,,,,,,
Kylen Granson,PHI,TE,14,No,No,No,11,2,No,No,1,0.5,,0.1818,1,0.5,12,,22,,,,0.4545,0.1818,1,11,68.8,1.0909,6,-2.2173,,12,,1,2.9741,2.9741,0.1429,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,17,,,0.2727,,,,,,,0.0909,
Konata Mumpfield,LA,WR,42,No,No,Yes,42,10,No,No,6,0.6,1,0.2381,5,0.5,51,5,133,1,1,1,,0.2143,4,13.3,98.3,1.2143,5.1,-4.0079,0.1,10.2,1,5,24.042,24.042,0.2381,11.1,16.1,13.6,16.1,16.1,16.1,13.6,16.1,16.1,16.1,13.6,16.1,16.1,2,17,3,3,0.7857,,,2,,,0.4,,
Deven Thompkins,ATL,WR,2,No,No,No,2,1,Yes,No,1,1,,0.5,1,1,19,3,16,,,,,,1,16,118.8,9.5,19,8.9048,,19,3,1,2.465,2.465,0.5,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,7,,,1,,,1,,,1,,
Samori Toure,NO,WR,3,No,No,No,3,,Yes,No,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.6667,,,,,,,,
Derius Davis,LAC,WR,10,No,No,No,10,,No,Yes,,,,,,,,,,,,,,0.4,,,,,,,,,,,3.5889,3.5889,,,,,,,,,,,,,,,,11,,,0.6,,,,,,,,
Savion Williams,GB,WR,9,Yes,No,No,9,,No,Yes,,,,,,,,,,,,,,0.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,0.4444,,,,,,,,
Kimani Vidal,LAC,RB,45,No,No,No,27,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,1,
