Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero
Jacory Croskey-Merritt,WAS,RB,30,No,No,Yes,16,7,No,,Yes,5,0.7143,0.4375,5,,0.7143,26,50,8,-36,,,,0.8125,0.125,0.0625,6,6,0.8571,-5.1429,77.1,1.625,3.7143,-1.4995,5.2,10,1.6,2,9.5602,9.5602,0.2333,2.6,7.6,5.1,10.1,7.6,7.6,5.1,7.6,7.6,7.6,5.1,7.6,7.6,1,17,,,,
Rome Odunze,CHI,WR,61,No,No,Yes,24,2,No,,Yes,1,0.5,0.0833,1,,0.5,-4,-1,,-8,,,,,0.3333,0.6667,2,2,1,-4,56.3,-0.1667,-2,-6.5502,-4,-1,,,3.1107,3.1107,0.0328,-0.4,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,,12,,,,
Brenden Bates,CLV,TE,11,No,No,No,4,1,No,1,Yes,1,1,0.25,,,,,,,,,,,,,0.25,1,,,,39.6,,,-5.289,,,,,3.01,3.01,0.0909,,,,,,,,,,,,,,1,9,1,1,0.75,
Khalil Herbert,NYJ,RB,6,Yes,No,No,4,3,No,,Yes,2,0.6667,0.75,1,,0.3333,4,9,-1,-13,,,,1,,,1,,,-4.3333,42.4,1,1.3333,-4.337,4,9,-1,,4.3873,4.3873,0.5,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1,5,1,0.3333,,
Quinshon Judkins,CLV,RB,38,No,No,No,27,17,No,2,Yes,13,0.7647,0.6296,12,1,0.7059,74,120,18,-59,,3,0.25,1,,,11,11,0.6471,-3.4706,79,2.7407,4.3529,-1.3416,6.1667,10,1.5,3,23.6503,23.6503,0.4474,7.4,19.4,13.4,25.4,19.4,19.4,13.4,19.4,19.4,19.4,13.4,19.4,19.4,,14,,,,1
Devaughn Vele,NO,WR,37,No,No,No,30,2,No,,Yes,2,1,0.0667,1,,0.5,6,8,,-3,,,,,0.3,0.6333,2,,,-1.5,56.3,0.2,3,-2.8345,6,8,,,3.0346,3.0346,0.0541,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,13,1,0.5,0.0667,
Josh Downs,IND,WR,52,Yes,Yes,No,38,3,No,,Yes,2,0.6667,0.0789,2,,0.6667,7,12,2,-7,,,,,0.7105,0.2895,2,2,0.6667,-2.3333,70.1,0.1842,2.3333,-3.0513,3.5,6,1,,7.6007,7.6007,0.0577,0.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,,16,,,,
Tetairoa McMillan,CAR,WR,98,No,No,Yes,81,4,No,,Yes,4,1,0.0494,3,,0.75,28,36,1,-9,,1,0.3333,,0.1481,0.8519,4,3,0.75,-2.25,93.8,0.3457,7,1.5004,9.3333,12,0.3333,1,6.1474,6.1474,0.0408,2.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,,17,1,0.25,,1
Foster Moreau,NO,TE,20,No,No,Yes,12,3,No,,Yes,3,1,0.25,2,,0.6667,12,16,9,-5,,1,0.5,,0.0833,0.0833,,,,-1.6667,74.3,1,4,-1.2227,6,8,4.5,,4.4446,4.4446,0.15,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,,11,1,0.3333,0.8333,
Tyler Allgeier,ATL,RB,35,No,Yes,No,22,12,No,1,No,11,0.9167,0.5455,10,1,0.8333,78,116,19,-42,,,,0.9091,0.0909,,3,2,0.1667,-3.5,93.8,3.5455,6.5,0.8288,7.8,11.6,1.9,2,17.9572,17.9572,0.3429,7.8,17.8,12.8,22.8,17.8,17.8,12.8,17.8,17.8,17.8,12.8,17.8,17.8,,17,1,0.0833,,
KeAndre Lambert-Smith,LAC,WR,12,Yes,No,No,7,1,No,,Yes,1,1,0.1429,1,,1,1,3,1,-2,,,,,0.1429,0.8571,1,1,1,-2,79.2,0.1429,1,-4.4991,1,3,1,,1.6115,1.6115,0.0833,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1,10,,,,
Isaiah Hodgins,NYG,WR,35,No,No,No,22,1,No,,Yes,1,1,0.0455,1,,1,8,8,8,,,1,1,,0.3636,0.5909,1,,,,100,0.3636,8,1.9614,8,8,8,,1.4832,1.4832,0.0286,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,7,,,0.0455,
Devin Singletary,NYG,RB,30,No,No,No,22,16,No,,Yes,16,1,0.7273,15,,0.9375,109,147,82,-40,,5,0.3333,0.9091,0.0455,0.0455,10,5,0.3125,-2.5,95.1,4.9545,6.8125,0.9836,7.2667,9.8,5.4667,3,26.6707,26.6707,0.5333,10.9,25.9,18.4,33.4,25.9,28.9,21.4,25.9,25.9,25.9,18.4,25.9,25.9,2,17,1,0.0625,,
Gage Larvadain,CLV,WR,19,No,No,No,13,,No,,Yes,,,,,,,,,,,,,,,0.5385,0.4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,
Trayveon Williams,CLV,RB,10,No,No,No,10,9,No,,Yes,8,0.8889,0.9,8,,0.8889,55,84,14,-35,,,,1,,,6,6,0.6667,-3.8889,92.1,5.5,6.1111,0.4573,6.875,10.5,1.75,2,14.8816,14.8816,0.9,5.5,13.5,9.5,17.5,13.5,13.5,9.5,13.5,13.5,13.5,9.5,13.5,13.5,2,6,,,,
David Sills,ATL,WR,61,No,Yes,No,34,3,No,1,No,3,1,0.0882,2,,0.6667,15,17,12,-3,1,2,1,,0.4118,0.5882,3,2,0.6667,-1,78.5,0.4412,5,-1.1699,7.5,8.5,6,1,5.4382,5.4382,0.0492,7.5,9.5,8.5,9.5,9.5,9.5,8.5,9.5,9.5,9.5,8.5,9.5,9.5,1,17,1,0.3333,,
Zamir White,LV,RB,6,Yes,No,No,5,4,No,,Yes,3,0.75,0.8,3,,0.75,20,26,8,-11,,,,1,,,1,,,-2.75,85.4,4,5,-0.7698,6.6667,8.6667,2.6667,,5.6883,5.6883,0.6667,2,5,3.5,6.5,5,5,3.5,5,5,5,3.5,5,5,,5,,,,
Ameer Abdullah,IND,RB,15,Yes,Yes,No,13,9,No,,Yes,9,1,0.6923,9,,1,44,70,10,-26,,2,0.2222,0.7692,0.2308,,4,2,0.2222,-2.8889,87,3.3846,4.8889,-0.8833,4.8889,7.7778,1.1111,3,13.1341,13.1341,0.6,4.4,13.4,8.9,17.9,13.4,13.4,8.9,13.4,13.4,13.4,8.9,13.4,13.4,,13,,,,
Teagan Quitoriano,ATL,TE,3,No,Yes,No,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,1,
Ashton Dulin,IND,WR,20,Yes,Yes,No,16,1,No,,Yes,1,1,0.0625,1,,1,-8,,,-8,,1,1,,0.5,0.5,1,1,1,-8,79.2,-0.5,-8,-10.5405,-8,,,,2.0889,2.0889,0.05,-0.8,0.2,-0.3,0.2,0.2,0.2,-0.3,0.2,0.2,0.2,-0.3,0.2,0.2,1,12,,,,
Jauan Jennings,SF,WR,63,Yes,No,Yes,39,5,No,,Yes,5,1,0.1282,3,,0.6,8,14,5,-7,,,,,0.2821,0.7179,5,,,-1.4,25,0.2051,1.6,-4.1153,2.6667,4.6667,1.6667,,7.6987,7.6987,0.0794,0.8,3.8,2.3,3.8,3.8,3.8,2.3,3.8,3.8,3.8,2.3,3.8,3.8,,15,2,0.4,,
Ja'Tavion Sanders,CAR,TE,38,Yes,No,No,22,6,No,,Yes,6,1,0.2727,6,,1,15,27,5,-12,,3,0.5,,0.5909,0.0909,3,2,0.3333,-2,79.2,0.6818,2.5,-2.5302,2.5,4.5,0.8333,,10.4084,10.4084,0.1579,1.5,7.5,4.5,7.5,10.5,7.5,4.5,7.5,7.5,7.5,4.5,10.5,7.5,1,13,,,0.3182,
Jahdae Walker,CHI,WR,7,No,No,No,3,,No,,No,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
Moliki Matavao,NO,TE,6,No,Yes,No,2,1,No,,No,1,1,0.5,1,,1,6,6,1,,,,,,,,,,,,91.7,3,6,0.711,6,6,1,,1.4316,1.4316,0.1667,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,6,,,1,
Tahj Washington,MIA,WR,7,Yes,No,Yes,5,,No,,Yes,,,,,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
Tanner Conner,MIA,TE,34,No,No,No,20,4,No,,No,3,0.75,0.2,3,,0.75,7,9,3,-2,,,,,0.35,0.15,1,,,-0.5,77.1,0.35,1.75,-3.3452,2.3333,3,1,,6.1926,6.1926,0.1176,0.7,3.7,2.2,3.7,5.2,3.7,2.2,3.7,3.7,3.7,2.2,5.2,3.7,1,9,,,0.5,
Quintin Morris,JAX,TE,10,No,No,No,3,,No,,Yes,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,0.6667,
Mack Hollins,NE,WR,29,No,No,Yes,19,1,No,,Yes,1,1,0.0526,1,,1,3,4,2,-1,,,,,0.4211,0.5789,1,,,-1,79.2,0.1579,3,-3.1699,3,4,2,,1.4407,1.4407,0.0345,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,15,,,,
Juwan Johnson,NO,TE,73,No,Yes,No,49,12,No,1,No,12,1,0.2449,11,1,0.9167,58,78,19,-20,,1,0.0909,0.0612,0.3673,0.102,8,3,0.25,-1.6667,86.8,1.1837,4.8333,-0.5461,5.2727,7.0909,1.7273,2,19.293,19.293,0.1644,5.8,16.8,11.3,16.8,22.3,16.8,11.3,16.8,16.8,16.8,11.3,22.3,16.8,2,17,1,0.0833,0.4694,1
David Montgomery,DET,RB,37,No,No,No,22,12,No,,No,12,1,0.5455,12,,1,69,113,33,-44,,3,0.25,1,,,6,6,0.5,-3.6667,90.6,3.1364,5.75,-0.0126,5.75,9.4167,2.75,4,17.0735,17.0735,0.3243,6.9,18.9,12.9,24.9,18.9,18.9,12.9,18.9,18.9,18.9,12.9,18.9,18.9,,17,,,,
Dareke Young,SEA,WR,5,Yes,No,Yes,4,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
Hassan Haskins,LAC,RB,5,Yes,No,No,2,2,No,,Yes,2,1,1,2,,1,2,9,4,-7,,1,0.5,1,,,,,,-3.5,79.2,1,1,-4.8445,1,4.5,2,,2.8892,2.8892,0.4,0.2,2.2,1.2,3.2,2.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,,11,,,,
Jack Bech,LV,WR,34,Yes,No,No,21,,No,,Yes,,,,,,,,,,,,,,,0.2857,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,
Andrew Ogletree,IND,TE,15,Yes,No,No,8,,No,,Yes,,,,,,,,,,,,,,,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,0.625,
Jaylen Warren,PIT,RB,76,No,No,No,47,34,No,2,Yes,34,1,0.7234,33,2,0.9706,226,359,137,-138,1,21,0.6364,0.8298,0.1277,0.0213,16,9,0.2647,-4.0588,104.2,4.8085,6.6471,1.2491,6.8485,10.8788,4.1515,8,51.4916,51.4916,0.4474,28.6,61.6,45.1,78.1,61.6,64.6,48.1,61.6,61.6,61.6,45.1,61.6,61.6,3,16,1,0.0294,0.0213,
Kendrick Bourne,SF,WR,42,Yes,No,Yes,27,3,No,,Yes,3,1,0.1111,1,,0.3333,6,9,,-4,,,,,0.3333,0.6667,2,1,0.3333,-1.3333,2.8,0.2222,2,-3.7164,6,9,,,4.1631,4.1631,0.0714,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,16,2,0.6667,,
Tyler Badie,DEN,RB,30,Yes,No,No,26,20,No,,Yes,18,0.9,0.7692,16,,0.8,114,201,31,-97,,2,0.125,1,,,11,10,0.5,-4.85,90.4,4.3846,5.7,0.2518,7.125,12.5625,1.9375,7,31.1697,31.1697,0.6667,11.4,27.4,19.4,35.4,27.4,30.4,22.4,27.4,27.4,27.4,19.4,27.4,27.4,3,16,2,0.1,,
Jalen Brooks,ARZ,WR,7,Yes,No,No,3,,No,,Yes,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
Owen Wright,TB,RB,1,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
Kevin Austin,NO,WR,34,No,Yes,No,19,4,No,1,No,4,1,0.2105,2,,0.5,5,9,1,-13,,,,,0.4211,0.5789,3,1,0.25,-3.25,56.3,0.2632,1.25,-3.6443,2.5,4.5,0.5,,5.7761,5.7761,0.1176,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,,8,1,0.25,,
Bhayshul Tuten,JAX,RB,12,No,No,No,6,4,No,,Yes,4,1,0.6667,4,,1,34,58,4,-24,1,3,0.75,0.5,0.5,,4,3,0.75,-6,141.7,5.6667,8.5,3.4107,8.5,14.5,1,2,5.2351,5.2351,0.3333,9.4,13.4,11.4,15.4,13.4,13.4,11.4,13.4,13.4,13.4,11.4,13.4,13.4,1,15,,,,
Casey Washington,ATL,WR,13,Yes,No,No,8,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
Kenneth Gainwell,PIT,RB,77,No,No,No,59,43,No,,Yes,43,1,0.7288,41,,0.9535,227,377,97,-157,2,8,0.1951,0.7119,0.1356,0.0508,24,18,0.4186,-3.6512,104.2,3.8475,5.2791,-0.2769,5.5366,9.1951,2.3659,15,71.4454,71.4454,0.5584,34.7,75.7,55.2,96.2,75.7,78.7,58.2,75.7,75.7,75.7,55.2,75.7,75.7,9,17,2,0.0465,0.1017,
Marquise Brown,KC,WR,85,Yes,No,No,64,12,No,,Yes,12,1,0.1875,12,,1,52,84,15,-32,1,1,0.0833,,0.3438,0.6562,9,7,0.5833,-2.6667,112.5,0.8125,4.3333,-0.7984,4.3333,7,1.25,3,17.5682,17.5682,0.1412,11.2,23.2,17.2,23.2,23.2,23.2,17.2,23.2,23.2,23.2,17.2,23.2,23.2,2,16,,,,
John Metchie,NYJ,WR,39,Yes,No,No,23,9,No,,Yes,9,1,0.3913,8,,0.8889,27,55,9,-30,,1,0.125,,0.3913,0.6087,8,7,0.7778,-3.3333,79.2,1.1739,3,-1.7993,3.375,6.875,1.125,3,14.8635,14.8635,0.2308,2.7,10.7,6.7,10.7,10.7,10.7,6.7,10.7,10.7,10.7,6.7,10.7,10.7,1,16,1,0.1111,,
Jalen Nailor,MIN,WR,67,Yes,No,Yes,36,2,No,,Yes,2,1,0.0556,2,,1,13,16,12,-3,,2,1,,0.5,0.4722,1,1,0.5,-1.5,93.8,0.3611,6.5,1.0103,6.5,8,6,,2.9903,2.9903,0.0299,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,,17,,,0.0278,
KaVontae Turpin,DAL,WR,33,No,No,No,30,9,No,,Yes,9,1,0.3,8,,0.8889,52,76,30,-26,,3,0.375,0.0667,0.7,0.2333,5,3,0.3333,-2.8889,90.7,1.7333,5.7778,0.6765,6.5,9.5,3.75,3,14.2619,14.2619,0.2727,5.2,13.2,9.2,13.2,13.2,13.2,9.2,13.2,13.2,13.2,9.2,13.2,13.2,,15,1,0.1111,,
Jake Ferguson,DAL,TE,90,No,No,No,70,34,No,2,Yes,33,0.9706,0.4857,32,1,0.9412,146,191,66,-52,1,2,0.0625,0.0286,0.3714,0.0714,21,7,0.2059,-1.5294,94.4,2.0857,4.2941,-0.9369,4.5625,5.9688,2.0625,2,51.4078,51.4078,0.3778,19.6,51.6,35.6,51.6,67.6,54.6,37.6,50.6,50.6,50.6,34.6,67.6,50.6,5,17,,,0.5286,
Davante Adams,LA,WR,57,No,Yes,No,30,2,No,,Yes,1,0.5,0.0667,,,,,,,-2,,,,,0.1667,0.8333,2,1,0.5,-1,39.6,,,-5.7688,,,,,3.8709,3.8709,0.0351,,,,,,,,,,,,,,2,14,,,,
Dare Ogunbowale,HST,RB,9,Yes,Yes,No,5,4,No,,Yes,4,1,0.8,3,,0.75,28,32,5,-10,,,,0.6,0.4,,1,1,0.25,-2.5,93.8,5.6,7,1.2864,9.3333,10.6667,1.6667,1,5.0326,5.0326,0.4444,2.8,5.8,4.3,7.3,5.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,,17,1,0.25,,
Jerry Jeudy,CLV,WR,96,No,No,No,66,3,No,,Yes,3,1,0.0455,3,,1,4,11,1,-7,,,,,0.0758,0.9242,3,2,0.6667,-2.3333,79.2,0.0606,1.3333,-3.8215,1.3333,3.6667,0.3333,,6.1581,6.1581,0.0312,0.4,3.4,1.9,3.4,3.4,3.4,1.9,3.4,3.4,3.4,1.9,3.4,3.4,,17,,,,
Nico Collins,HST,WR,54,No,No,Yes,41,5,No,1,Yes,5,1,0.122,5,1,1,28,51,12,-23,,1,0.2,,0.2195,0.7805,5,3,0.6,-4.6,90,0.6829,5.6,1.1187,5.6,10.2,2.4,1,12.2564,12.2564,0.0926,2.8,7.8,5.3,7.8,7.8,7.8,5.3,7.8,7.8,7.8,5.3,7.8,7.8,,15,,,,
Elijah Arroyo,SEA,TE,25,No,No,No,10,3,No,,Yes,3,1,0.3,3,,1,28,31,3,-3,,,,,,0.2,2,,,-1,105.6,2.8,9.3333,4.3195,9.3333,10.3333,1,1,4.8045,4.8045,0.12,2.8,5.8,4.3,5.8,7.3,5.8,4.3,5.8,5.8,5.8,4.3,7.3,5.8,1,13,,,0.8,
Bam Knight,ARZ,RB,33,No,Yes,Yes,23,15,Yes,,Yes,13,0.8667,0.6522,12,,0.8,82,109,24,-37,,2,0.1667,0.8696,0.087,0.0435,5,1,0.0667,-2.4667,89.4,3.5652,5.4667,-0.2152,6.8333,9.0833,2,5,23.1454,23.1454,0.4545,8.2,20.2,14.2,26.2,20.2,20.2,14.2,20.2,20.2,20.2,14.2,20.2,20.2,3,12,1,0.0667,,
Jaret Patterson,LAC,RB,12,Yes,No,No,6,4,No,,Yes,3,0.75,0.6667,3,,0.75,8,10,3,-4,,,,1,,,2,1,0.25,-1,77.1,1.3333,2,-3.9158,2.6667,3.3333,1,1,5.8314,5.8314,0.3333,0.8,3.8,2.3,5.3,3.8,3.8,2.3,3.8,3.8,3.8,2.3,3.8,3.8,,6,,,,
Samaje Perine,CIN,RB,37,No,No,No,22,13,No,1,Yes,11,0.8462,0.5909,10,,0.7692,35,66,18,-38,,2,0.2,1,,,3,3,0.2308,-2.9231,78.7,1.5909,2.6923,-3.1983,3.5,6.6,1.8,2,19.6228,19.6228,0.3514,3.5,13.5,8.5,18.5,13.5,13.5,8.5,13.5,13.5,13.5,8.5,13.5,13.5,1,15,1,0.0769,,
Travis Etienne,JAX,RB,57,No,No,No,42,34,No,1,Yes,30,0.8824,0.8095,27,,0.7941,218,304,46,-111,4,7,0.2593,0.7857,0.1667,0.0476,26,22,0.6471,-3.2647,132.6,5.1905,6.4118,0.5928,8.0741,11.2593,1.7037,10,55.833,55.833,0.5965,45.8,72.8,59.3,86.3,72.8,75.8,62.3,72.8,72.8,72.8,59.3,72.8,72.8,4,17,2,0.0588,,
Josh Whyle,GB,TE,13,Yes,No,Yes,12,2,No,,Yes,2,1,0.1667,2,,1,5,11,2,-6,,,,,0.1667,0.0833,1,1,0.5,-3,79.2,0.4167,2.5,-2.1374,2.5,5.5,1,,3.426,3.426,0.1538,0.5,2.5,1.5,2.5,3.5,2.5,1.5,2.5,2.5,2.5,1.5,3.5,2.5,,8,,,0.75,
