teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingTouchdownsTotal,opponentStatsPassingRunPassOptionPercentage
30,Tampa Bay,Buccaneers,True,NO,NFC,NFC South,Open,Open,Cover 2,17,105,94,0.8297872340425532,,70,0.7446808510638298,0.8131868131868132,0.04910903396703292,1,1,24,0.0425531914893617,713,7.585106382978723,0.485273492286115,6.65,640,1,6,2,1,-43,0.05714285714285714,No,No,27,0.2571428571428571,-0.05605666666666668,No,0.13829787234042554,7,0.07446808510638298,0.031914893617021274,0.05319148936170213,0.5531914893617021,0.18085106382978725,0.648936170212766,2.603191489361702,3.6333333333333333,4.62,2.759259259259259,6.956521739130435,98.4,No,Yes,29,2,0.01904761904761905
20,Miami,Dolphins,,NYJ,AFC,AFC East,Closed,Open,Cover 2,17,143,130,0.8307692307692308,2,92,0.7076923076923077,0.865546218487395,0.09474151191596647,7,2,87,0.08461538461538462,862,6.630769230769231,0.580046403712297,4.905109489051095,689,4,7,4,10,-50,0.04895104895104895,Yes,Yes,48,0.3356643356643357,0.022944055944055936,Yes,0.06923076923076923,12,0.09230769230769231,0.03076923076923077,0.038461538461538464,0.5923076923076923,0.1076923076923077,0.6076923076923076,2.5692307692307694,3.6714285714285713,5.066666666666666,2.3958333333333335,5.7190082644628095,81,Yes,Yes,38,2,0.027972027972027972
3,Baltimore,Ravens,True,CLV,AFC,AFC North,Open,Open,Cover 2,17,97,90,0.7666666666666667,2,62,0.6888888888888889,0.8481012658227848,0.08277731086075946,7,4,19,0.05555555555555555,571,6.344444444444444,0.5499124343257443,3.9157894736842107,493,4,5,,1,-39,0.05154639175257732,No,No,20,0.20618556701030927,-0.10172422680412373,Yes,0.1,8,0.08888888888888889,0.06666666666666667,0.022222222222222223,0.6,0.12222222222222222,0.5777777777777777,2.498888888888889,2.96,3.8,2.45,6.2405063291139244,71.1,No,Yes,25,1,0.030927835051546393
12,Green Bay,Packers,True,CHI,NFC,NFC North,Closed,Open,Cover 2,17,165,141,0.7872340425531915,,103,0.7304964539007093,0.7954545454545454,0.00410037846212119,6,3,30,0.014184397163120567,991,7.028368794326241,0.5751765893037336,4.923076923076923,677,3,15,2,5,-108,0.09090909090909091,No,No,55,0.3333333333333333,0.03734969696969698,No,0.12056737588652482,9,0.06382978723404255,0.028368794326241134,0.0070921985815602835,0.574468085106383,0.10638297872340426,0.5886524822695035,2.5829787234042554,3.146666666666667,5.044444444444444,2.5090909090909093,5.128787878787879,85.7,No,Yes,39,1,0.006060606060606061
25,New York,Jets,True,MIA,AFC,AFC East,Closed,Open,Cover 2,17,33,30,0.8,,23,0.7666666666666667,0.9230769230769231,0.15095915915384628,2,1,10,0.03333333333333333,229,7.633333333333334,0.49344978165938863,7.258064516129032,163,,1,,6,-4,0.030303030303030304,Yes,Yes,14,0.42424242424242425,0.058606060606060585,Yes,0.03333333333333333,2,0.06666666666666667,,0.03333333333333333,0.5666666666666667,0.06666666666666667,0.6,2.9066666666666667,8.7,5.2,2.5,6.037037037037037,97.8,Yes,Yes,11,,0.09090909090909091
18,Los Angeles,Chargers,,LV,AFC,AFC West,Closed,Open,Cover 2,17,99,89,0.7303370786516854,5,57,0.6404494382022472,0.7560975609756098,0.015815350951219553,4,3,43,0.056179775280898875,554,6.224719101123595,0.38086642599277976,3.59375,655,5,7,1,4,-44,0.0707070707070707,No,No,27,0.2727272727272727,-0.0361671717171717,No,0.1797752808988764,11,0.12359550561797752,0.0449438202247191,0.0449438202247191,0.5842696629213483,0.11235955056179775,0.5393258426966292,2.5669662921348317,3.5142857142857147,4.8,2.4703703703703703,7.987804878048781,69.2,No,Yes,26,3,0.010101010101010102
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Open,Open,Cover 2,17,178,159,0.8427672955974843,5,122,0.7672955974842768,0.847682119205298,0.09026770841721854,6,1,31,0.03773584905660377,1403,8.823899371069182,0.5295794725588026,8.335329341317365,1104,1,8,3,5,-46,0.0449438202247191,No,Yes,60,0.33707865168539325,-0.01156853932584268,No,0.1069182389937107,20,0.12578616352201258,0.025157232704402517,0.03773584905660377,0.5534591194968553,0.1949685534591195,0.6226415094339622,2.8377358490566036,3.3625,4.945454545454545,2.695,7.2631578947368425,108.6,No,Yes,59,4,
13,Houston,Texans,,TEN,AFC,AFC South,Open,Open,Cover 2,17,69,65,0.7538461538461538,,47,0.7230769230769231,0.7903225806451613,0.027180285564516127,2,,10,0.03076923076923077,434,6.676923076923077,0.47465437788018433,6.253731343283582,433,1,2,1,,-10,0.028985507246376812,No,No,22,0.3188405797101449,0.021039855072463774,No,0.2,4,0.06153846153846154,0.06153846153846154,0.03076923076923077,0.6307692307692307,0.12307692307692308,0.5384615384615384,2.4076923076923076,3.5,4.8,2.3272727272727276,6.936507936507937,94,No,Yes,18,2,0.028985507246376812
23,New Orleans,Saints,,TB,NFC,NFC South,Open,Open,Cover 2,17,160,145,0.7862068965517242,5,106,0.7310344827586207,0.8604651162790697,0.08939048393023252,7,6,34,0.034482758620689655,1088,7.503448275862069,0.5450367647058824,6.837662337662338,796,1,9,2,5,-50,0.05625,No,No,55,0.34375,-0.03156093750000002,No,0.1103448275862069,17,0.11724137931034483,0.034482758620689655,0.034482758620689655,0.4896551724137931,0.1724137931034483,0.5793103448275863,2.975862068965517,3.9111111111111114,5,2.7454545454545456,6.068181818181818,98.3,No,Yes,42,3,0.0125
11,Detroit,Lions,True,MIN,NFC,NFC North,Open,Open,Cover 2,17,87,78,0.8076923076923077,,59,0.7564102564102564,0.863013698630137,0.08687681357534249,5,,22,0.05128205128205128,628,8.051282051282051,0.4840764331210191,6.804878048780488,439,1,4,1,4,-25,0.04597701149425287,No,No,28,0.3218390804597701,-0.049619540229885024,No,0.1282051282051282,5,0.0641025641025641,0.02564102564102564,0.02564102564102564,0.5128205128205128,0.08974358974358974,0.5512820512820513,2.9769230769230766,3.125,4.68,2.835714285714286,6.013698630136986,93.3,No,Yes,22,,0.04597701149425287
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 2,17,174,154,0.7662337662337663,5,108,0.7012987012987013,0.7931034482758621,0.057033182041379304,4,4,57,0.045454545454545456,1013,6.577922077922078,0.46100691016781836,4.048780487804878,1218,6,10,3,4,-79,0.05747126436781609,No,No,61,0.3505747126436782,0.020406896551724153,No,0.15584415584415584,20,0.12987012987012986,0.05194805194805195,0.025974025974025976,0.6168831168831169,0.12987012987012986,0.512987012987013,2.737662337662338,3.8,4.5600000000000005,2.5655737704918034,8.383561643835616,71.7,No,Yes,43,,0.028735632183908046
19,Las Vegas,Raiders,True,LAC,AFC,AFC West,Closed,Open,Cover 2,17,123,109,0.8073394495412844,1,85,0.7798165137614679,0.8431372549019608,0.06265239016666668,3,4,4,0.009174311926605505,841,7.715596330275229,0.4863258026159334,5.786324786324786,570,3,8,4,3,-69,0.06504065040650407,No,No,36,0.2926829268292683,-0.023184349593495936,No,0.12844036697247707,8,0.07339449541284404,0.03669724770642202,0.03669724770642202,0.45871559633027525,0.14678899082568808,0.5871559633027523,2.641376146788991,3.6125,5.3500000000000005,2.566666666666667,5.588235294117647,93.5,No,Yes,35,2,0.024390243902439025
