Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,InterceptionsTotal,TowThrowPercentage,HeroThrowPercentage,TouchdownsTotal,RunPassOptionPercentage
Michael Penix,ATL,QB,33,33,33,0.6364,1,17,0.5152,0.7308,0.0021,33,177,5.3636,0.3785,5.9697,214,No,Yes,19,0.5758,20.3934,-0.0422,No,0.1515,4,0.1212,0.3939,0.0303,0.4848,4.1576,2.8211,7.9259,77.5,No,No,7,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,12.85,12.85,9,6,,6,0.0606,,,,1,
Tyrod Taylor,NYJ,QB,26,26,26,0.7692,1,16,0.6154,0.8696,0.1809,26,166,6.3846,0.3313,7.1538,235,Yes,No,19,0.7308,18.7246,0.0106,No,0.1154,5,0.1923,0.1923,0.1538,0.5769,4.75,2.8368,10.2174,92.8,No,Yes,8,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,12.3,12.3,6,3,,65,0.1538,,,,1,
Shedeur Sanders,CLV,QB,44,44,44,0.4773,1,16,0.3636,0.5312,-0.15,44,258,5.8636,0.3643,3.25,377,Yes,Yes,32,0.7273,28.3239,0.0835,Yes,0.25,7,0.1591,0.2727,0.0455,0.3864,4.3068,3.0094,11.2727,36,No,Yes,9,11.32,11.32,11.32,11.32,11.32,11.32,11.32,8.32,8.32,8.32,8.32,13.9,10.9,8,10,1,,0.0227,3,0.1136,0.0455,1,
Clayton Tune,GB,QB,5,5,5,0.6,,3,0.6,0.75,-0.0679,5,20,4,0.7,4,14,Yes,Yes,2,0.4,2.8333,-0.1667,Yes,0.2,,,0.4,0.2,0.4,3.86,3.1,3.5,68.8,No,No,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,2,1,,,,,0.2,,,
Jameis Winston,NYG,QB,12,11,11,0.6364,1,6,0.5455,0.7778,0.1188,11,109,9.9091,0.0826,7.6364,129,Yes,Yes,8,0.7273,6.4988,0.1365,Yes,0.1818,2,0.1818,0.6364,,0.4545,4,3.1625,14.3333,81.3,No,No,4,16.66,17.66,17.16,17.66,17.66,17.66,17.16,16.66,16.66,16.66,16.16,18.75,17.75,3,2,,11,0.0909,1,0.0909,0.2727,1,
Mac Jones,SF,QB,21,21,21,0.8095,3,17,0.8095,0.9444,0.1545,21,114,5.4286,0.4561,10.1905,96,No,No,9,0.4286,10.5438,-0.0735,No,0.0476,1,0.0476,0.3333,0.1429,0.5714,3.4857,2.8,5.3333,128.9,No,No,9,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,25.7,25.7,11,3,,,,,0.0476,,5,
Joshua Dobbs,NE,QB,1,1,1,1,,1,1,1,0.1052,1,,,,,,Yes,No,,,0.4701,-0.4701,Yes,,,,1,,,3.3,,,79.2,No,Yes,,,,,,,,,,,,,,,4,,,,,,,,,
Kirk Cousins,ATL,QB,11,11,11,0.4545,,4,0.3636,0.5714,-0.2498,11,31,2.8182,0.9677,2.8182,29,No,Yes,7,0.6364,5.9295,0.0973,Yes,0.1818,1,0.0909,0.3636,0.0909,0.4545,3.7,2.6143,4.1429,44.9,No,No,1,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.55,1.55,10,4,,,,,,,,
Philip Rivers,IND,QB,3,3,3,0.6667,,2,0.6667,1,0.1404,3,18,6,0.7778,6,4,No,No,2,0.6667,1.5309,0.1564,No,,,,,,0.3333,3.5333,2.4,2,82.6,No,No,,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,3,1,,,,,,,,
Joe Burrow,CIN,QB,31,31,31,0.5806,5,18,0.5806,0.75,0.0787,31,253,8.1613,0.3834,10.0968,274,No,Yes,23,0.7419,20.9886,0.0649,No,0.1935,7,0.2258,0.3226,,0.4839,4.5,2.8174,10.96,116.7,No,No,14,22.12,22.12,22.12,22.12,22.12,22.12,22.12,22.12,22.12,22.12,22.12,24.65,24.65,8,6,,,,,,0.0645,3,
Russell Wilson,NYG,QB,19,19,19,0.4211,1,6,0.3158,0.6364,-0.1409,19,85,4.4737,0.7647,4.4737,69,No,Yes,16,0.8421,9.621,0.3357,No,0.1579,1,0.0526,0.2105,0.0526,0.3684,3.5105,2.4062,6.2727,47,No,No,3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4.25,4.25,6,7,1,4,0.0526,,,,,
Bo Nix,DEN,QB,142,141,141,0.6383,10,71,0.5035,0.6975,-0.0073,141,747,5.2979,0.4592,5.156,1295,Yes,Yes,79,0.5603,78.7315,0.0019,No,0.2057,23,0.1631,0.3901,0.0851,0.4681,3.8121,2.5367,10.719,73.2,No,No,38,57.88,57.88,57.88,57.88,57.88,60.88,60.88,53.88,53.88,53.88,53.88,65.35,61.35,17,19,1,126,0.0851,4,0.0426,0.0284,8,0.0355
Trevor Lawrence,JAX,QB,66,66,66,0.7121,8,35,0.5303,0.7586,0.0998,66,479,7.2576,0.3257,7.1818,736,Yes,Yes,38,0.5758,38.7341,-0.0111,No,0.1515,15,0.2273,0.3939,0.0758,0.4697,3.9773,2.7868,12.4746,80.3,No,Yes,24,26.16,26.16,26.16,26.16,26.16,29.16,29.16,25.16,25.16,25.16,25.16,30.95,29.95,17,5,2,84,0.1364,1,0.0455,0.0909,2,0.0152
Andy Dalton,CAR,QB,6,6,6,0.6667,,2,0.3333,0.4,-0.236,6,22,3.6667,0.3182,3.6667,71,Yes,Yes,5,0.8333,3.355,0.2742,No,0.1667,1,0.1667,0.1667,,0.5,3.8167,2.8,14.2,45.1,No,Yes,1,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.1,1.1,4,1,,,,,,,,
Sam Darnold,SEA,QB,92,91,91,0.6923,6,57,0.6264,0.7867,0.0983,91,978,10.7473,0.4908,11.2418,734,No,Yes,50,0.5495,49.916,0.0009,No,0.1209,9,0.0989,0.3846,0.0659,0.5604,3.7549,2.742,9.7867,118.3,No,Yes,37,72.12,72.12,72.12,72.12,72.12,75.12,75.12,69.12,69.12,69.12,69.12,81.9,78.9,17,13,3,-1,0.022,3,0.033,0.044,9,
Jayden Daniels,WAS,QB,27,27,27,0.6296,2,16,0.5926,0.85,0.162,27,244,9.037,0.3443,10.5185,217,No,Yes,19,0.7037,14.4336,0.1691,No,0.1111,3,0.1111,0.2593,0.037,0.3704,3.6741,2.8316,10.85,113.8,No,No,13,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.76,20.2,20.2,7,7,,21,0.037,,,0.0741,2,0.0741
Brandon Allen,TEN,QB,6,6,6,0.1667,,1,0.1667,0.1667,-0.596,6,5,0.8333,2.6,0.8333,30,No,Yes,5,0.8333,3.5448,0.2425,No,0.8333,,,0.3333,0.3333,,4,2.88,5,39.6,No,No,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,1,,,,,,0.3333,,,
Chris Oladokun,KC,QB,12,12,12,0.6667,,7,0.5833,0.7778,0.0661,12,94,7.8333,0.3723,7.8333,75,No,Yes,10,0.8333,8.4006,0.1333,No,0.0833,,,0.0833,,0.5833,4.6333,2.57,8.3333,83.3,No,Yes,4,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,4.7,4.7,3,2,1,,,,0.0833,,,
Lamar Jackson,BLT,QB,49,48,48,0.6458,7,28,0.5833,0.7436,0.1452,48,518,10.7917,0.2355,11.9375,600,No,Yes,34,0.7083,33.2056,0.0165,Yes,0.1667,11,0.2292,0.2708,0.0625,0.4167,4.5854,2.6971,15.3846,121.7,No,No,21,39.72,39.72,39.72,39.72,39.72,42.72,42.72,38.72,38.72,38.72,38.72,44.9,43.9,13,8,1,8,0.0208,1,0.0417,0.1042,5,
