Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage,TargetedReadCheckdownPercentage,playerStatsFirstDownsPassing,DropsYardsLost,DropsPercentage,OffTargetThrowAttemptsPercentage,TowThrowPercentage,TouchdownsTotal,InterceptionsTotal
Anthony Richardson,IND,QB,4,4,4,0.75,3,0.75,0.75,-0.1514,4,19,4.75,1.3684,4.75,-4,No,No,1,0.25,1.5352,-0.1338,No,0.5,0.25,2.8,2.7,-1,84.4,No,No,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.95,0.95,11,,,1,,,0.25,,,
Bo Nix,DEN,QB,27,27,27,1,26,0.963,1,0.0714,27,188,6.963,1.6277,7.7037,-123,No,No,1,0.037,7.2404,-0.2311,No,0.5185,0.8148,2.1296,2.4,-4.5556,108,No,Yes,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,13.4,13.4,17,0.037,0.2963,5,-5,0.037,,,1,
Trevor Lawrence,JAX,QB,7,7,7,0.8571,6,0.8571,0.8571,-0.061,7,16,2.2857,2.375,2.2857,-23,No,No,,,1.7206,-0.2458,No,0.7143,0.2857,2,,-3.2857,79.2,No,No,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,10,,0.1429,1,,,0.1429,,,
Andy Dalton,CAR,QB,5,5,5,1,5,1,1,0.0613,5,29,5.8,1.7931,9.8,-23,No,No,1,0.2,1.5913,-0.1183,No,,0.8,2.42,2.5,-4.6,130.4,No,No,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.45,5.45,6,,0.6,1,,,,,1,
Sam Darnold,MIN,QB,14,14,14,0.9286,12,0.8571,0.9286,-0.0042,14,63,4.5,2,4.5,-73,No,No,2,0.1429,4.4245,-0.1732,No,0.6429,0.7143,2.4071,2.9,-5.2143,85.4,No,Yes,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,3.15,3.15,17,,0.1429,3,-6,0.0714,0.0714,,,
Jayden Daniels,WAS,QB,18,18,18,0.9444,16,0.8889,0.9444,0.0102,18,104,5.7778,1.6538,5.7778,-78,No,No,1,0.0556,4.8556,-0.2142,No,0.4444,0.7222,2.1389,3.4,-4.3333,90.7,No,No,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,5.2,5.2,17,0.1111,0.3889,3,-5,0.0556,0.0556,,,
Jared Goff,DET,QB,24,24,24,0.9167,22,0.9167,0.9167,-0.0125,24,214,8.9167,1.3645,9.75,-89,Yes,No,5,0.2083,7.1929,-0.0914,Yes,0.4583,0.6667,2.3125,2.52,-3.7083,117.7,No,Yes,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,14.7,14.7,17,,0.2917,11,,,0.0833,,1,
Kyler Murray,ARZ,QB,16,16,16,0.9375,14,0.875,0.9375,0.001,16,69,4.3125,1.8986,1.5,-71,No,No,2,0.125,4.5883,-0.1618,No,0.3125,0.8125,2.2375,2.15,-4.4375,58.6,No,Yes,1.76,1.76,1.76,1.76,1.76,1.76,1.76,0.76,0.76,0.76,0.76,2.45,1.45,17,0.0625,0.3125,2,-3,0.0625,0.0625,0.0625,,1
Tanner McKee,PHI,QB,1,1,1,1,1,1,1,0.0689,1,13,13,1.4615,13,-6,Yes,Yes,1,1,0.3493,0.6507,Yes,,1,2.6,2.1,-6,118.8,No,Yes,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,2,,1,1,,,,,,
Daniel Jones,NYG,QB,4,4,4,1,4,1,1,0.0598,4,15,3.75,1.8,3.75,-12,Yes,No,1,0.25,1.035,-0.0087,Yes,0.25,0.25,2.075,2.7,-3,82.3,No,Yes,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,10,0.25,0.25,1,,,,,,
Joe Flacco,IND,QB,5,5,5,0.8,4,0.8,0.8,-0.1136,5,9,1.8,2.8889,1.8,-15,No,No,,,0.8668,-0.1734,No,1,0.4,1.58,,-3,79.2,No,No,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,8,0.2,,,,,0.2,,,
Jacoby Brissett,NE,QB,7,7,7,1,7,1,1,0.0767,7,32,4.5714,1.6562,4.5714,-21,No,No,1,0.1429,1.8069,-0.1153,No,0.7143,0.7143,2.0714,2.7,-3,85.7,No,No,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.6,1.6,8,0.1429,0.1429,2,,,,,,
C.J. Stroud,HST,QB,18,18,18,0.8333,15,0.8333,0.8333,-0.0286,18,108,6,1.5741,6,-51,Yes,Yes,3,0.1667,6.7187,-0.2066,No,0.2778,0.4444,2.7389,2.3333,-2.8333,91.7,No,Yes,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,5.4,5.4,17,0.0556,0.4444,2,,,0.1667,,,
Justin Fields,PIT,QB,5,5,5,0.8,3,0.6,0.8,-0.1274,5,15,3,1.6,3,-15,No,No,2,0.4,1.8845,0.0231,No,0.4,0.4,2.76,3.1,-3,64.6,No,No,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,10,0.2,0.6,1,-3,0.2,0.2,,,
Brock Purdy,SF,QB,5,5,5,1,5,1,1,0.0646,5,31,6.2,1.6452,6.2,-20,No,No,2,0.4,1.574,0.0852,No,0.2,0.6,2.4,2.7,-4,92.5,No,No,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.55,1.55,15,,0.6,2,,,,,,
Tua Tagovailoa,MIA,QB,25,25,25,0.96,23,0.92,0.96,0.028,25,106,4.24,1.8774,5.04,-100,Yes,No,4,0.16,8.8532,-0.1941,No,0.24,0.84,2.628,2.825,-4,97.7,No,Yes,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,9.3,9.3,11,,0.72,8,-5,0.04,0.04,,1,
Gardner Minshew,LV,QB,11,11,11,1,10,0.9091,1,0.0671,11,80,7.2727,1.4375,9.0909,-41,No,No,1,0.0909,3.1523,-0.1957,No,0.3636,0.7273,2.2364,2.4,-3.7273,127.3,No,No,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,8,8,10,,0.4545,7,-6,0.0909,,,1,
Caleb Williams,CHI,QB,13,13,13,0.9231,11,0.8462,0.9231,0.0141,13,71,5.4615,1.7887,5.4615,-44,No,Yes,2,0.1538,3.4024,-0.1079,No,0.5385,0.6923,2.0923,2.55,-3.3846,89.4,No,Yes,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,3.55,3.55,17,0.2308,0.3846,1,4,0.0769,0.0769,,,
Marcus Mariota,WAS,QB,1,1,1,1,1,1,1,0.0628,1,6,6,1.8333,6,-5,No,No,,,0.1768,-0.1768,Yes,,1,1.6,,-5,91.7,No,Yes,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,3,,,,,,,,,
Tyler Huntley,MIA,QB,1,1,1,1,1,1,1,0.0762,1,4,4,1.25,4,-1,No,No,,,0.4873,-0.4873,No,,,3.4,,-1,83.3,No,No,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.2,0.2,5,,1,,,,,,,
Justin Herbert,LAC,QB,14,14,14,1,13,0.9286,1,0.0751,14,69,4.9286,1.7681,4.9286,-51,No,No,3,0.2143,4.4245,-0.1017,No,0.1429,0.7143,2.4071,2.2667,-3.6429,87.2,No,No,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,3.45,3.45,17,,0.3571,2,2,0.0714,,,,
Geno Smith,SEA,QB,17,17,17,1,17,1,1,0.0715,17,76,4.4706,2.0921,4.4706,-83,Yes,No,,,4.0233,-0.2367,No,0.4118,0.8235,1.9471,,-4.8824,85.3,No,Yes,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.8,3.8,17,0.0588,0.1176,3,,,,,,
Drake Maye,NE,QB,7,7,7,1,7,1,1,0.0651,7,78,11.1429,1.5385,11.1429,-42,No,No,2,0.2857,1.7206,0.0399,No,0.5714,1,2,2,-6,113.1,No,No,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.9,3.9,13,,0.4286,4,,,,,,
Aidan O'Connell,LV,QB,11,11,11,1,10,0.9091,0.9091,-0.024,11,17,1.5455,2.7647,1.5455,-33,No,No,3,0.2727,3.2903,-0.0264,No,0.4545,0.5455,2.3091,2.2667,-3,79.2,No,Yes,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,9,,0.1818,1,,,,,,
Matthew Stafford,LA,QB,11,11,11,1,11,1,1,0.0649,11,82,7.4545,1.439,7.4545,-36,No,No,2,0.1818,3.549,-0.1408,No,0.3636,1,2.4455,2.15,-3.2727,97.7,No,No,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,4.1,4.1,16,,0.3636,3,,,,,,
Patrick Mahomes,KC,QB,22,22,22,0.9091,19,0.8636,0.9091,-0.0114,22,110,5,1.4091,5.9091,-44,No,No,6,0.2727,7.8571,-0.0844,No,0.1818,0.5455,2.6455,3.35,-2,102.7,No,Yes,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,9.5,9.5,16,,0.4545,6,-2,0.0455,0.0909,0.0455,1,
Tommy DeVito,NYG,QB,2,2,2,1,2,1,1,0.0582,2,,,,,-7,No,No,1,0.5,0.7504,0.1248,No,0.5,1,2.75,2.8,-3.5,79.2,No,No,,,,,,,,,,,,,,3,,0.5,,,,,,,
Bryce Young,CAR,QB,17,17,17,0.9412,15,0.8824,0.8824,-0.0543,17,7,0.4118,12.1429,0.4118,-86,No,No,2,0.1176,4.1613,-0.1271,No,0.5882,0.7647,1.9941,2,-5.0588,79.2,No,Yes,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,14,0.1176,0.2353,,,,0.0588,,,
Derek Carr,NO,QB,8,8,8,1,8,1,1,0.0667,8,9,1.125,5.3333,1.125,-39,No,No,3,0.375,2.7426,0.0322,No,0.25,0.75,2.5625,2.3333,-4.875,79.2,No,No,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,10,,0.625,,,,,,,
Tim Boyle,NYG,QB,1,1,1,1,1,1,1,0.0628,1,5,5,2,5,-5,Yes,No,,,0.0733,-0.0733,No,1,1,1,,-5,87.5,No,Yes,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,3,1,,,,,,,,
Jordan Love,GB,QB,20,20,20,0.9,15,0.75,0.9,-0.0298,20,98,4.9,1.7959,4.9,-102,No,No,7,0.35,6.434,0.0283,No,0.35,0.65,2.44,2.6429,-5.1,85,No,No,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,4.9,4.9,15,0.1,0.65,3,-22,0.15,0.1,,,
Mason Rudolph,TEN,QB,10,10,10,0.7,6,0.6,0.7,-0.2247,10,85,8.5,1.1765,8.5,-30,No,No,5,0.5,3.9242,0.1076,No,0.1,0.5,2.85,2.48,-3,87.5,No,No,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4.25,4.25,8,,0.7,3,-6,0.1,0.3,0.1,,
Aaron Rodgers,NYJ,QB,25,25,25,0.96,21,0.84,0.96,0.0272,25,125,5,1.704,5,-96,No,Yes,4,0.16,6.5245,-0.101,Yes,0.48,0.76,2.088,1.925,-3.84,87.5,No,Yes,5,5,5,5,5,5,5,5,5,5,5,6.25,6.25,17,0.04,0.16,5,-7,0.12,0.04,,,
Baker Mayfield,TB,QB,23,23,23,0.9565,22,0.9565,0.9565,0.0329,23,256,11.1304,1.3203,12.8696,-86,No,Yes,3,0.1304,6.3779,-0.1469,No,0.5652,0.7391,2.1826,2.5667,-3.7391,142,No,No,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,18.24,20.8,20.8,17,0.0435,0.3478,12,,,0.0435,,2,
Deshaun Watson,CLV,QB,9,9,9,1,9,1,1,0.0691,9,62,6.8889,1.6129,6.8889,-38,No,No,,,2.6435,-0.2937,No,0.5556,0.6667,2.2778,,-4.2222,95.4,No,No,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,3.1,3.1,7,,0.3333,2,,,,,,
Dak Prescott,DAL,QB,6,6,6,0.8333,5,0.8333,0.8333,-0.105,6,19,3.1667,2.1053,3.1667,-24,No,No,,,1.2678,-0.2113,No,0.5,0.6667,1.8,,-4,79.9,No,Yes,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.95,0.95,8,,0.3333,1,,,0.1667,,,
Spencer Rattler,NO,QB,7,7,7,0.8571,6,0.8571,0.8571,-0.0789,7,35,5,1.9429,5,-40,No,No,,,2.1001,-0.3,No,0.2857,0.7143,2.3143,,-5.7143,87.5,No,No,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.75,1.75,7,,0.5714,1,,,0.1429,,,
