Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,RunPassOptionPercentage,InterceptionsTotal,TowThrowPercentage
Caleb Williams,CHI,QB,10,10,10,0.6,2,4,0.4,0.4,-0.1325,10,82,8.2,0.061,10.2,179,1,No,No,1,0.1,3.0272,-0.2027,No,0.3,4,0.4,0.4,0.9,0.5,2.33,2.6,17.9,102.9,No,No,4,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,8.1,8.1,17,,,,,
Brock Purdy,SF,QB,1,1,1,,1,,,,-0.4693,1,,,,,21,,No,No,,,0.4701,-0.4701,No,1,1,1,,1,,3.3,,21,39.6,No,No,,,,,,,,,,,,,,,15,,,,,
Justin Fields,PIT,QB,4,4,4,1,2,1,0.25,0.75,0.1518,4,5,1.25,,6.25,62,1,No,No,1,0.25,1.1902,-0.0475,No,,2,0.5,,1,0.25,2.3,2.3,15.5,79.2,No,No,1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.25,4.25,10,28,0.5,,,
Geno Smith,SEA,QB,13,13,13,0.7692,,5,0.3846,0.5385,-0.0175,13,95,7.3077,0.0947,7.3077,230,,No,No,4,0.3077,3.7819,0.0168,No,0.2308,3,0.2308,0.2308,0.9231,0.3077,2.2615,2.25,17.6923,64.6,No,No,5,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4.75,4.75,17,39,0.1538,,,
Drake Maye,NE,QB,2,2,2,0.5,1,1,0.5,0.5,-0.1567,2,18,9,0.1111,9,23,,No,No,,,0.5778,-0.2889,No,0.5,,,,1,0.5,2.25,,11.5,81.3,No,No,1,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,13,,,,,
Justin Herbert,LAC,QB,9,9,9,0.7778,,4,0.4444,0.6667,0.1646,9,125,13.8889,0.32,16.1111,178,1,No,No,1,0.1111,2.678,-0.1864,No,0.2222,5,0.5556,0.3333,0.8889,0.3333,2.3,2.6,19.7778,128.2,No,No,4,9,9,9,9,9,9,9,9,9,9,9,10.25,10.25,17,35,0.2222,,,
Patrick Mahomes,KC,QB,2,2,2,0.5,,1,0.5,0.5,-0.1443,2,15,7.5,,7.5,24,,No,No,1,0.5,0.8194,0.0903,No,0.5,,,0.5,0.5,0.5,2.95,2.3,12,75,No,No,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,16,,,,,
Aidan O'Connell,LV,QB,4,4,4,0.25,,1,0.25,0.25,-0.2066,4,29,7.25,0.069,7.25,91,,No,No,1,0.25,1.5869,-0.1467,No,0.5,3,0.75,,0.5,,2.875,2.7,22.75,57.3,No,No,1,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.45,1.45,9,,,,,
Tyler Huntley,MIA,QB,2,2,2,1,,1,0.5,0.5,-0.0412,2,11,5.5,0.1818,5.5,32,,No,Yes,2,1,0.9573,0.5213,Yes,,1,0.5,,0.5,,3.35,2.1,16,66.7,No,Yes,1,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,5,,,,,
Aaron Rodgers,NYJ,QB,16,16,16,0.5,1,6,0.375,0.375,-0.2224,16,110,6.875,0.1455,6.875,240,,No,Yes,3,0.1875,4.5366,-0.096,Yes,0.375,2,0.125,0.1875,0.875,0.5,2.2188,2.4667,15,62,No,Yes,5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,5.5,5.5,17,,,,,
Baker Mayfield,TB,QB,6,6,6,0.5,4,3,0.5,0.5,-0.1266,6,8,1.3333,,3.8333,78,3,No,No,1,0.1667,1.5438,-0.0906,No,0.3333,1,0.1667,0.1667,1,0.1667,2.0667,1.5,13,56.3,No,No,3,11.32,11.32,11.32,11.32,11.32,11.32,11.32,10.32,10.32,10.32,10.32,11.4,10.4,17,,,0.1667,1,0.1667
Mason Rudolph,TEN,QB,1,1,1,1,,1,1,1,0.453,1,18,18,,18,18,,No,No,,,0.2286,-0.2286,No,,,,1,1,1,1.9,,18,118.8,No,No,1,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,8,,,,,
Deshaun Watson,CLV,QB,1,1,1,,,,,,-0.5378,1,,,,,19,,No,No,1,1,0.8496,0.1504,No,1,,,,,,5.5,2.5,19,39.6,No,No,,,,,,,,,,,,,,,7,,,,,
Dak Prescott,DAL,QB,2,2,2,0.5,,1,0.5,0.5,0.0411,2,26,13,0.0769,13,45,,No,No,1,0.5,0.5433,0.2283,No,,2,1,0.5,1,0.5,2.15,1.6,22.5,95.8,No,No,1,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.3,1.3,8,,,,,
Spencer Rattler,NO,QB,2,2,2,0.5,1,1,0.5,0.5,0.0491,2,10,5,,15,45,1,No,No,,,0.7849,-0.3924,No,0.5,1,0.5,0.5,0.5,0.5,2.85,,22.5,104.2,No,No,1,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,7,,,,,
Tommy DeVito,NYG,QB,1,1,1,1,,1,1,1,0.3547,1,13,13,0.0769,13,12,,No,No,,,0.2113,-0.2113,No,,,,,1,1,1.8,,12,118.8,No,No,1,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,3,,,1,,
Tim Boyle,NYG,QB,1,1,1,,,,,,-0.547,1,,,,,18,,No,No,,,0.2286,-0.2286,No,,,,,1,,1.9,,18,39.6,Yes,Yes,,,,,,,,,,,,,,,3,,,,,
Bryce Young,CAR,QB,5,5,5,0.6,2,2,0.4,0.4,-0.1949,5,35,7,0.0857,11,76,1,No,No,1,0.2,0.9185,0.0163,No,0.2,,,0.2,1,0.2,1.64,1.3,15.2,104.2,No,No,2,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.75,5.75,14,,,,,
Jordan Love,GB,QB,4,4,4,0.75,2,2,0.5,0.5,0.0149,4,48,12,0.1458,17,83,1,No,No,1,0.25,1.242,-0.0605,No,0.25,2,0.5,0.25,1,0.25,2.375,1.6,20.75,133.3,No,No,2,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,6.4,6.4,15,,,,,
Mitchell Trubisky,BUF,QB,1,1,1,1,,,,,-0.3581,1,,,,,29,,No,No,,,0.3838,-0.3838,No,,1,1,1,1,1,2.8,,29,39.6,No,Yes,,,,,,,,,,,,,,,9,,,,,
Jameis Winston,CLV,QB,4,4,4,0.75,1,2,0.5,0.5,-0.1231,4,27,6.75,0.0741,16.75,51,2,No,No,,,1.1557,-0.2889,No,0.25,1,0.25,0.25,1,0.25,2.25,,12.75,111.5,No,No,2,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.35,9.35,12,,,,,
Josh Allen,BUF,QB,14,14,14,0.5714,5,3,0.2143,0.2143,-0.3391,14,73,5.2143,0.0959,5.2143,247,,No,No,4,0.2857,3.5792,0.0301,No,0.3571,5,0.3571,0.1429,0.8571,0.2857,2.0571,2.125,17.6429,48.8,No,No,3,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,3.65,3.65,17,,,0.0714,,0.0714
Skylar Thompson,MIA,QB,1,1,1,1,,1,1,1,0.395,1,16,16,0.0625,16,15,,No,No,1,1,0.5046,0.4954,No,,,,,,,3.5,2.3,15,118.8,No,No,1,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,3,,,,,
Drew Lock,NYG,QB,5,5,5,1,,4,0.8,0.8,0.3015,5,82,16.4,0.061,16.4,102,,No,No,2,0.4,1.574,0.0852,No,,2,0.4,0.4,1,0.6,2.4,2,20.4,118.8,No,No,3,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,4.1,4.1,7,,,,,
Michael Penix,ATL,QB,3,3,3,1,2,2,0.6667,0.6667,0.0878,3,44,14.6667,0.0682,21.3333,50,1,No,No,,,0.7719,-0.2573,No,,2,0.6667,0.6667,1,1,2.0667,,16.6667,149.3,Yes,Yes,2,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,6.2,6.2,5,,,,,
Tyrod Taylor,NYJ,QB,1,1,1,1,1,1,1,1,0.3547,1,9,9,,29,12,1,No,No,,,0.2286,-0.2286,Yes,,,,,1,1,1.9,,12,143.8,Yes,Yes,1,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.45,4.45,2,,,,,
Jalen Hurts,PHI,QB,8,8,8,0.5,1,2,0.25,0.375,-0.1737,8,47,5.875,0.1064,5.875,143,,No,No,2,0.25,2.9842,-0.123,No,0.375,2,0.25,0.125,0.875,0.375,2.7375,2.1,17.875,51.6,No,No,2,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,2.35,2.35,15,19,0.125,,,
Cooper Rush,DAL,QB,5,5,5,0.8,1,4,0.8,0.8,0.3232,5,101,20.2,0.1683,24.2,108,1,No,No,,,1.574,-0.3148,Yes,0.2,3,0.6,0.4,0.8,0.4,2.4,,21.6,158.3,No,Yes,4,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,9.05,9.05,12,,,,,
Malik Willis,GB,QB,2,2,2,1,,1,0.5,0.5,-0.077,2,20,10,0.15,10,33,,No,No,,,0.7504,-0.3752,Yes,,,,0.5,0.5,0.5,2.75,,16.5,85.4,No,Yes,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,7,,,,,
Will Levis,TEN,QB,6,6,6,0.5,,2,0.3333,0.3333,-0.267,6,32,5.3333,0.125,8.6667,90,1,No,No,,,1.2937,-0.2156,Yes,0.5,,,,1,0.3333,1.825,,15,91.7,Yes,Yes,2,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.6,5.6,12,,,,,
Mike White,BUF,QB,1,1,1,,,,,,-0.6278,1,,,,,13,,No,No,,,0.2975,-0.2975,No,1,,,,1,,2.3,,13,39.6,Yes,No,,,,,,,,,,,,,,,1,,,,,
Lamar Jackson,BLT,QB,3,3,3,0.6667,,1,0.3333,0.3333,-0.1034,3,29,9.6667,0.0345,9.6667,69,,No,No,1,0.3333,1.1514,-0.0505,No,0.3333,2,0.6667,,1,0.3333,2.8,1.7,23,70.1,No,No,1,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.45,1.45,17,,,,,
Trevor Lawrence,JAX,QB,3,3,3,0.6667,1,1,0.3333,0.3333,-0.2388,3,21,7,0.2857,7,49,,No,No,,,0.7547,-0.2515,No,0.3333,1,0.3333,,1,0.3333,2.0333,,16.3333,59,No,No,1,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,10,,,,,
Bo Nix,DEN,QB,7,7,7,0.7143,1,4,0.5714,0.7143,0.1424,7,92,13.1429,0.1196,13.1429,111,,No,No,,,1.9448,-0.2778,Yes,0.2857,3,0.4286,0.1429,0.8571,0.1429,2.1857,,15.8571,101.8,No,No,4,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,4.6,4.6,17,8,0.1429,,,
Jayden Daniels,WAS,QB,2,2,2,0.5,1,1,0.5,0.5,-0.0749,2,6,3,,13,31,1,No,No,,,0.5089,-0.2544,No,0.5,1,0.5,,1,,2.05,,15.5,95.8,No,No,1,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.3,4.3,17,,,,,
Brandon Allen,SF,QB,1,1,1,1,,1,1,1,0.4622,1,21,21,0.0952,21,19,,No,No,,,0.2113,-0.2113,No,,,,1,1,1,1.8,,19,118.8,No,No,1,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,3,,,,,
Andy Dalton,CAR,QB,1,1,1,,1,,,,-0.6364,1,,,,,11,,No,No,,,0.1078,-0.1078,No,1,,,,1,,1.2,,11,39.6,No,No,,,,,,,,,,,,,,,6,,,1,,
Sam Darnold,MIN,QB,2,2,2,1,,1,0.5,0.5,0.0136,2,26,13,0.0385,13,42,,No,No,,,0.5089,-0.2544,No,,1,0.5,0.5,1,1,2.05,,21,95.8,No,No,1,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.3,1.3,17,,,,,
Kirk Cousins,ATL,QB,5,5,5,0.6,,1,0.2,0.4,-0.126,5,31,6.2,0.0968,6.2,93,,No,No,2,0.4,1.5223,0.0955,No,0.4,2,0.4,0.2,0.8,0.4,2.34,2.15,18.6,52.9,No,No,1,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.55,1.55,14,14,0.2,,,
Mac Jones,JAX,QB,5,5,5,0.6,,2,0.4,0.6,0.0811,5,47,9.4,0.1915,9.4,95,,No,No,,,1.5222,-0.3044,No,0.4,2,0.4,0.4,1,,2.34,,19,74.6,No,Yes,2,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,2.35,2.35,10,23,0.2,,,
Russell Wilson,PIT,QB,4,4,4,1,1,2,0.5,0.5,-0.0093,4,57,14.25,0.0702,14.25,82,,No,No,,,0.897,-0.2242,No,,3,0.75,0.5,1,0.5,1.875,,20.5,95.8,No,No,2,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.85,2.85,11,,,0.25,,
Anthony Richardson,IND,QB,3,3,3,,,,,,-0.4442,3,,,,,73,,No,No,1,0.3333,1.1514,-0.0505,No,0.6667,2,0.6667,,1,,2.8,2.7,24.3333,39.6,No,No,,,,,,,,,,,,,,,11,,,,,
