Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,InterceptionsTotal,TowThrowPercentage,TouchdownsTotal,RunPassOptionPercentage
Tua Tagovailoa,MIA,QB,20,20,20,1,18,0.9,1,0.1101,20,87,4.35,1.023,5.35,-1,Yes,Yes,9,0.45,7.2965,0.0852,Yes,,,1,0.75,2.69,2.2,-0.05,101.5,No,Yes,6,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,8.35,8.35,11,1,0.1,,,1,0.1
Caleb Williams,CHI,QB,31,31,31,0.9355,28,0.9032,0.9032,0.0215,31,159,5.129,0.7925,5.129,30,No,Yes,10,0.3226,12.95,-0.0952,No,0.0645,,1,0.7097,2.9968,2.53,0.9677,88,No,Yes,7,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,7.95,7.95,17,,,,,,
Brock Purdy,SF,QB,26,26,26,0.8462,19,0.7308,0.8077,-0.0537,26,149,5.7308,0.7718,5.7308,45,No,No,11,0.4231,11.5313,-0.0204,No,0.1154,,1,0.5769,3.1462,2.5273,1.7308,86.9,No,No,6,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,7.45,7.45,15,-3,0.0769,,,,
Justin Fields,PIT,QB,21,21,21,1,19,0.9048,1,0.1076,21,135,6.4286,0.963,6.4286,2,No,No,6,0.2857,9.2673,-0.1556,No,,,1,0.7143,3.1333,2.8333,0.0952,93.5,No,No,5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,6.75,6.75,10,-3,0.0952,,,,
Geno Smith,SEA,QB,48,48,48,0.9167,44,0.9167,0.9167,0.0469,48,331,6.8958,1.0514,6.375,-16,No,No,19,0.3958,21.6826,-0.0559,No,0.0833,,0.9583,0.7708,3.1938,2.6737,-0.3333,93.7,No,No,15,16.24,16.24,16.24,16.24,16.24,19.24,19.24,15.24,15.24,15.24,15.24,19.55,18.55,17,,,1,,1,
Drake Maye,NE,QB,28,28,28,1,27,0.9643,1,0.0929,28,170,6.0714,1.1294,6.7857,-27,No,No,14,0.5,10.9879,0.1076,No,,,1,0.6786,2.85,2.4429,-0.9643,103.9,No,No,7,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,12.5,12.5,13,-5,0.0357,,,1,
Justin Herbert,LAC,QB,33,33,33,0.9697,30,0.9091,0.9091,0.0195,33,165,5,1.0061,5,1,No,No,14,0.4242,15.0632,-0.0322,No,0.0303,,1,0.8182,3.2212,2.7714,0.0303,87.5,No,No,7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,8.25,8.25,17,,,,,,
Patrick Mahomes,KC,QB,35,35,35,0.8571,29,0.8286,0.8286,-0.0675,35,178,5.0857,1.0843,5.0857,-12,No,Yes,17,0.4857,15.986,0.029,No,0.1143,,0.9714,0.4286,3.2229,2.7529,-0.3429,87.9,No,Yes,7,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,8.9,8.9,16,,,,,,
Matthew Stafford,LA,QB,23,23,23,0.9565,22,0.9565,0.9565,0.078,23,159,6.913,0.9119,6.913,18,Yes,No,8,0.3478,10.4316,-0.1057,No,0.0435,,1,0.8696,3.2043,2.5375,0.7826,95.5,No,Yes,6,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,7.95,7.95,16,,,,,,
Aidan O'Connell,LV,QB,12,12,12,0.75,9,0.75,0.75,-0.1329,12,83,6.9167,0.988,3.1667,5,No,No,3,0.25,4.5711,-0.1309,No,0.25,,1,0.3333,2.7833,2.8667,0.4167,58.7,No,No,2,2.32,2.32,2.32,2.32,2.32,2.32,2.32,1.32,1.32,1.32,1.32,3.15,2.15,9,,,1,0.0833,,
Tyler Huntley,MIA,QB,6,6,6,0.8333,4,0.6667,0.8333,-0.0687,6,35,5.8333,0.8857,5.8333,-3,No,Yes,4,0.6667,2.8721,0.188,No,0.1667,,1,0.5,3.35,2.75,-0.5,81.9,No,Yes,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.75,1.75,5,-1,0.1667,,,,
Aaron Rodgers,NYJ,QB,49,49,49,0.8571,37,0.7551,0.8163,-0.0553,49,343,7,1.0641,7.8163,-14,Yes,Yes,20,0.4082,20.8935,-0.0182,No,0.1224,,1,0.6327,3.0469,2.73,-0.2857,107.8,No,Yes,11,21.72,21.72,21.72,21.72,21.72,24.72,24.72,21.72,21.72,21.72,21.72,25.15,25.15,17,-1,0.0612,,,2,
Baker Mayfield,TB,QB,40,40,40,0.9,33,0.825,0.875,-0.016,40,205,5.125,1.078,4.5,-13,Yes,Yes,14,0.35,16.9735,-0.0743,No,0.1,,1,0.7,3.035,2.7786,-0.325,85.9,No,Yes,6,11.2,11.2,11.2,11.2,11.2,11.2,11.2,10.2,10.2,10.2,10.2,13.25,12.25,17,,0.05,1,0.025,1,
Mason Rudolph,TEN,QB,13,13,13,0.9231,12,0.9231,1,0.1082,13,48,3.6923,0.875,0.2308,6,No,No,6,0.4615,5.8002,0.0154,No,,,1,0.6923,3.1615,2.4833,0.3846,50,No,No,3,0.92,0.92,0.92,0.92,0.92,0.92,0.92,-0.08,-0.08,-0.08,-0.08,1.4,0.4,8,,,1,,,
Carson Wentz,KC,QB,1,1,1,1,1,1,1,0.0762,1,1,1,2,1,-1,No,No,,,0.2113,-0.2113,No,,,1,1,1.8,,-1,79.2,No,Yes,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,3,,,,,,
Dak Prescott,DAL,QB,21,21,21,0.8095,16,0.7619,0.7619,-0.0745,21,104,4.9524,1.1058,4.9524,1,No,No,10,0.4762,9.4398,0.0267,No,0.1429,,1,0.5238,3.181,2.85,0.0476,86.2,No,No,2,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,5.2,5.2,8,,,,,,
Deshaun Watson,CLV,QB,16,16,16,0.875,13,0.8125,0.8125,-0.0783,16,36,2.25,1.3056,2.25,2,No,No,8,0.5,6.8998,0.0688,No,0.125,,0.9375,0.4375,3.075,2.2625,0.125,79.2,No,Yes,,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.8,1.8,7,,,,,,
Spencer Rattler,NO,QB,21,21,21,0.9524,17,0.8095,0.9048,0.0283,21,101,4.8095,0.9208,4.8095,13,No,No,11,0.5238,8.7153,0.1088,No,0.0476,,1,0.7143,2.981,2.5818,0.619,86.7,No,Yes,5,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,5.05,5.05,7,2,0.0952,,,,
Tommy DeVito,NYG,QB,4,4,4,1,3,0.75,1,0.1745,4,31,7.75,0.5161,7.75,17,No,No,2,0.5,1.5697,0.1076,No,,,1,0.75,2.85,2.9,4.25,96.9,No,No,3,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.55,1.55,3,2,0.25,,,,
Joe Milton,NE,QB,2,2,2,1,2,1,1,0.1261,2,16,8,0.75,8,4,No,No,1,0.5,0.9746,0.0127,No,,,1,0.5,3.4,2.5,2,100,No,Yes,1,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,1,,,,,,
Derek Carr,NO,QB,28,28,28,0.8929,22,0.7857,0.8571,-0.0247,28,136,4.8571,1.0147,4.8571,11,No,No,10,0.3571,11.6607,-0.0593,Yes,0.1071,,1,0.6071,2.9893,2.46,0.3929,86.9,No,Yes,6,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,6.8,6.8,10,3,0.0714,,,,
Bryce Young,CAR,QB,20,20,20,0.85,15,0.75,0.8,-0.1031,20,114,5.7,1.0789,5.7,-18,Yes,Yes,7,0.35,7.6242,-0.0312,No,0.1,,0.95,0.5,2.785,2.2286,-0.9,88.3,No,Yes,4,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,5.7,5.7,14,-6,0.05,,,,
Jordan Love,GB,QB,26,26,26,0.8077,21,0.8077,0.8077,-0.0779,26,203,7.8077,0.8966,6.0769,6,No,Yes,14,0.5385,12.0488,0.075,No,0.1923,,0.9615,0.4231,3.2615,2.6786,0.2308,83.2,No,No,8,7.12,7.12,7.12,7.12,7.12,7.12,7.12,6.12,6.12,6.12,6.12,9.15,8.15,15,,,1,0.0769,,
Jameis Winston,CLV,QB,14,14,14,0.9286,11,0.7857,0.9286,0.0699,14,86,6.1429,0.7674,2.9286,31,No,Yes,5,0.3571,5.4422,-0.0316,Yes,0.0714,,1,0.7143,2.8286,2.28,2.2143,62.5,No,Yes,4,2.44,2.44,2.44,2.44,2.44,2.44,2.44,1.44,1.44,1.44,1.44,3.3,2.3,12,8,0.1429,1,,,
Sam Howell,SEA,QB,1,1,1,1,1,1,1,0.173,1,5,5,0.4,5,3,No,Yes,1,1,0.4011,0.5989,Yes,,,1,1,2.9,2.8,3,87.5,No,Yes,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,2,,,,,,
Jake Haener,NO,QB,6,6,6,0.6667,2,0.3333,0.5,-0.369,6,8,1.3333,0.625,1.3333,10,No,No,4,0.6667,2.5098,0.2484,No,0.3333,,1,0.5,3,2.725,1.6667,42.4,No,No,1,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,8,2,0.1667,,,,
Josh Allen,BUF,QB,33,33,33,0.8485,27,0.8182,0.8485,-0.0262,33,216,6.5455,0.9676,7.7576,15,No,No,11,0.3333,12.9931,-0.0604,No,0.1515,,0.9394,0.6667,2.8576,2.1818,0.4545,114.1,No,No,14,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,16.64,18.8,18.8,17,1,0.0303,,,2,
Drew Lock,NYG,QB,12,12,12,0.9167,11,0.9167,0.9167,0.0284,12,69,5.75,0.913,5.75,5,No,Yes,7,0.5833,6.0028,0.0831,No,0.0833,,1,0.75,3.475,2.6429,0.4167,90.6,No,Yes,2,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,3.45,3.45,7,,,,,,
Skylar Thompson,MIA,QB,3,3,3,1,3,1,1,0.0869,3,6,2,1.3333,2,-2,No,No,,,1.1341,-0.378,No,,,1,0.6667,2.7667,,-0.6667,79.2,No,No,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,3,,,,,,
Michael Penix,ATL,QB,2,2,2,1,2,1,1,0.1011,2,12,6,0.9167,6,1,Yes,Yes,1,0.5,1.0436,-0.0218,No,,,1,1,3.6,3.7,0.5,91.7,No,Yes,,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,5,,,,,,
Taylor Heinicke,LAC,QB,1,1,1,1,1,1,1,0.1202,1,6,6,0.8333,6,1,No,No,,,0.2975,-0.2975,No,,,1,1,2.3,,1,91.7,No,No,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,4,,,,,,
Jalen Hurts,PHI,QB,30,30,30,0.9333,27,0.9,0.9333,0.057,30,162,5.4,0.9815,5.4,11,No,No,9,0.3,13.2908,-0.143,No,0.0667,,0.9667,0.6333,3.1433,2.5111,0.3667,89.2,No,No,9,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,8.1,8.1,15,4,0.0333,,0.0333,,
Cooper Rush,DAL,QB,14,14,14,0.9286,13,0.9286,0.9286,0.0385,14,88,6.2857,0.875,6.2857,9,No,No,6,0.4286,5.7699,0.0164,No,0.0714,,1,0.7857,2.9643,2.1667,0.6429,92.9,No,No,2,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,4.4,4.4,12,,,,,,
Davis Mills,HST,QB,2,2,2,0.5,1,0.5,1,0.1756,2,10,5,0.6,5,4,No,Yes,2,1,0.9746,0.5127,No,,,1,,3.4,2.85,3,64.6,No,No,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,4,,,,,,
Malik Willis,GB,QB,2,2,2,1,2,1,1,0.1259,2,12,6,0.75,6,3,No,No,1,0.5,0.9574,0.0213,No,,0.5,0.5,1,3.35,2.3,1.5,91.7,No,Yes,,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,7,,,,,,
Will Levis,TEN,QB,17,17,17,0.8824,13,0.7647,0.8824,-0.0284,17,56,3.2941,1.3929,3.2941,-24,No,No,9,0.5294,7.4216,0.0928,No,0.1176,,1,0.5882,3.1059,2.6889,-1.4118,79.5,No,No,3,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.8,2.8,12,-4,0.1176,,,,
Desmond Ridder,LV,QB,9,9,9,0.8889,8,0.8889,0.8889,0.0058,9,35,3.8889,0.7143,3.8889,11,No,No,1,0.1111,2.5054,-0.1673,No,0.1111,,1,0.7778,2.1889,2.1,1.2222,82.9,No,No,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.75,1.75,5,,,,,,
Trey Lance,DAL,QB,1,1,1,1,1,1,1,0.1202,1,1,1,,1,1,No,No,1,1,0.4873,0.5127,No,,,1,1,3.4,2.8,1,79.2,No,No,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,4,,,,,,
Kenny Pickett,PHI,QB,1,1,1,1,1,1,1,0.1261,1,6,6,0.6667,6,2,No,No,,,0.4701,-0.4701,No,,,1,,3.3,,2,91.7,No,No,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,5,,,,,,
Dorian Thompson-Robinson,CLV,QB,6,6,6,0.6667,3,0.5,0.5,-0.3407,6,34,5.6667,0.7647,5.6667,18,No,No,2,0.3333,2.6823,-0.1137,No,0.3333,,1,0.5,3.1667,2.55,3,67.4,No,No,1,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.7,1.7,7,,,,,,
Lamar Jackson,BLT,QB,30,30,30,0.8333,24,0.8,0.8333,-0.024,30,175,5.8333,1.0171,6.5,-6,No,Yes,17,0.5667,12.9285,0.1357,No,0.1333,,0.9667,0.6667,3.0733,2.5176,-0.2,102.1,No,Yes,9,11,11,11,11,11,11,11,11,11,11,11,12.75,12.75,17,,0.0333,,,1,
Trevor Lawrence,JAX,QB,21,21,21,0.8571,16,0.7619,0.7619,-0.1103,21,101,4.8095,0.8812,4.8095,20,Yes,No,7,0.3333,8.0253,-0.0488,Yes,0.1429,,0.9524,0.619,2.7905,2.4,0.9524,85.6,No,Yes,4,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,5.05,5.05,10,,,,,,
Bo Nix,DEN,QB,61,61,61,0.9016,52,0.8525,0.8689,-0.0135,61,293,4.8033,0.9044,4.8033,36,Yes,No,16,0.2623,26.1891,-0.167,No,0.082,,0.9508,0.6066,3.0639,2.95,0.5902,86.7,No,Yes,12,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,14.65,14.65,17,-1,0.0164,,,,
Bailey Zappe,CLV,QB,4,4,4,0.25,1,0.25,0.25,-0.6159,4,8,2,0.75,-9.25,6,No,No,1,0.25,1.7595,-0.1899,Yes,0.75,,1,0.25,3.125,3.5,1.5,,No,No,,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-1.68,-1.68,-1.68,-1.68,-0.6,-1.6,1,,,1,0.25,,
Brandon Allen,SF,QB,2,2,2,1,2,1,1,0.1756,2,10,5,0.2,5,8,No,No,1,0.5,0.5433,0.2283,No,,,1,1,2.15,1.9,4,87.5,No,No,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,3,,,,,,
Jayden Daniels,WAS,QB,30,30,30,0.8333,24,0.8,0.8333,-0.0559,30,201,6.7,0.9701,6.7,10,No,No,8,0.2667,11.2725,-0.1091,No,0.1667,,1,0.6333,2.7533,2.45,0.3333,94.6,No,No,6,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,10.05,10.05,17,-1,0.0333,,,,
Sam Darnold,MIN,QB,26,26,26,0.9615,23,0.8846,0.9615,0.0743,26,151,5.8077,0.9007,5.8077,7,No,No,8,0.3077,12.3593,-0.1677,No,0.0385,,1,0.6154,3.3308,2.7875,0.2692,90.9,No,Yes,1,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,7.55,7.55,17,-7,0.0769,,,,
Andy Dalton,CAR,QB,27,27,27,0.9259,25,0.9259,0.9259,0.0231,27,102,3.7778,1.1078,3.7778,-12,Yes,No,3,0.1111,9.2241,-0.2305,No,0.0741,,1,0.7407,2.5556,2.9333,-0.4444,82.4,No,Yes,4,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,5.1,5.1,6,,,,,,
Kirk Cousins,ATL,QB,30,30,30,0.9667,27,0.9,0.9333,0.0683,30,197,6.5667,0.8477,7.2333,42,No,No,8,0.2667,13.4633,-0.1821,Yes,0.0333,,1,0.5667,3.1767,2.9875,1.4,105.1,Yes,Yes,8,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,13.85,13.85,14,3,0.0333,,,1,
Anthony Richardson,IND,QB,8,8,8,1,5,0.625,0.875,-0.0085,8,42,5.25,0.7381,5.25,9,No,Yes,3,0.375,3.3982,-0.0498,No,,,0.75,0.875,3.0375,2.1667,1.125,76,No,Yes,2,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,2.1,2.1,11,-2,0.25,,,,
Mac Jones,JAX,QB,15,15,15,0.6667,10,0.6667,0.6667,-0.2265,15,57,3.8,0.807,0.8,2,No,Yes,7,0.4667,6.1193,0.0587,Yes,0.3333,,0.8,0.5333,2.94,2.1857,0.1333,45.7,No,No,1,1.28,1.28,1.28,1.28,1.28,1.28,1.28,0.28,0.28,0.28,0.28,1.85,0.85,10,,,1,,,
Joe Burrow,CIN,QB,46,46,46,0.9783,39,0.8478,0.9565,0.0737,46,273,5.9348,0.9304,5.9348,24,No,Yes,20,0.4348,20.7253,-0.0158,Yes,0.0217,,0.9565,0.7174,3.187,2.5,0.5217,91.4,No,Yes,16,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,13.65,13.65,17,2,0.1087,,,,
