teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Open,Cover 6,17,95,No,Yes,No,305,95,No,,No,91,0.9579,0.3115,86,0.9053,478,794,199,-352,3,5,19,0.2209,0.4421,0.1579,0.2526,0.1474,64,0.6737,51,0.5368,-3.7053,93.8,1.5672,5.0316,-0.2844,0.0526,5.5581,9.2326,2.314,22,14,,,
21,Minnesota,Vikings,GB,NFC,NFC North,Closed,Closed,Cover 3,17,91,Yes,No,Yes,288,91,No,1,Yes,85,0.9341,0.316,80,0.8791,403,617,199,-253,2,5,13,0.1625,0.4066,0.2198,0.2527,0.1209,56,0.6154,40,0.4396,-2.7802,92.4,1.3993,4.4286,-0.8616,0.0549,5.0375,7.7125,2.4875,20,6,1,1,
9,Dallas,Cowboys,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,102,No,No,No,326,102,No,,Yes,98,0.9608,0.3129,96,0.9412,699,986,243,-301,3,2,26,0.2708,0.5294,0.1078,0.2549,0.1078,65,0.6373,54,0.5294,-2.951,105,2.1442,6.8529,1.4544,0.0196,7.2812,10.2708,2.5312,34,18,,,
19,Las Vegas,Raiders,KC,AFC,AFC West,Closed,Closed,Cover 3,17,109,Yes,No,No,346,109,No,1,Yes,103,0.945,0.315,95,0.8716,412,703,141,-328,4,7,15,0.1579,0.4954,0.1009,0.2477,0.1468,66,0.6055,50,0.4587,-3.0092,94.6,1.1908,3.7798,-1.5371,0.0642,4.3368,7.4,1.4842,15,19,1,1,
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 6,17,95,No,Yes,No,318,95,No,4,No,92,0.9684,0.2987,78,0.8211,488,721,184,-279,5,12,20,0.2564,0.4947,0.1053,0.2421,0.1368,62,0.6526,44,0.4632,-2.9368,101.2,1.5346,5.1368,-0.1868,0.1263,6.2564,9.2436,2.359,21,17,1,1,
32,Washington,Commanders,PHI,NFC,NFC East,Open,Closed,Cover 1,17,93,No,No,Yes,289,93,No,4,Yes,88,0.9462,0.3218,83,0.8925,498,759,201,-291,1,5,15,0.1807,0.3871,0.1613,0.2688,0.172,67,0.7204,45,0.4839,-3.129,92.6,1.7232,5.3548,0.2259,0.0538,6,9.1446,2.4217,22,11,,4,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Cover 6,17,111,No,No,No,322,111,No,1,Yes,105,0.9459,0.3447,100,0.9009,744,1077,314,-373,8,5,37,0.37,0.4595,0.1171,0.2613,0.1532,77,0.6937,64,0.5766,-3.3604,118.6,2.3106,6.7027,1.3374,0.045,7.44,10.77,3.14,33,22,1,1,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Closed,Cover 1,17,101,No,No,Yes,356,101,No,3,Yes,92,0.9109,0.2837,83,0.8218,521,750,252,-272,2,8,29,0.3494,0.4554,0.1287,0.297,0.1188,67,0.6634,42,0.4158,-2.6931,90.6,1.4635,5.1584,-0.2707,0.0792,6.2771,9.0361,3.0361,25,8,1,2,
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Open,Cover 6,17,112,No,No,No,366,112,No,,Yes,102,0.9107,0.306,92,0.8214,507,813,212,-354,3,10,12,0.1304,0.4554,0.2143,0.2143,0.1161,78,0.6964,55,0.4911,-3.1607,90.7,1.3852,4.5268,-0.8498,0.0893,5.5109,8.837,2.3043,21,9,,,
16,Kansas City,Chiefs,LV,AFC,AFC West,Closed,Closed,Cover 3,17,115,Yes,No,No,324,115,No,2,Yes,109,0.9478,0.3549,107,0.9304,605,925,202,-358,2,2,11,0.1028,0.3478,0.1391,0.3391,0.1739,89,0.7739,68,0.5913,-3.113,90.8,1.8673,5.2609,-0.1135,0.0174,5.6542,8.6449,1.8879,26,14,,2,
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,97,No,No,No,316,97,No,1,Yes,89,0.9175,0.307,88,0.9072,533,772,174,-262,3,1,23,0.2614,0.433,0.1134,0.1649,0.2887,56,0.5773,46,0.4742,-2.701,99.9,1.6867,5.4948,-0.0582,0.0103,6.0568,8.7727,1.9773,21,15,1,1,
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Closed,Cover 3,17,112,Yes,No,Yes,369,112,No,,Yes,109,0.9732,0.3035,107,0.9554,604,918,274,-326,3,2,37,0.3458,0.4464,0.1786,0.2321,0.1429,72,0.6429,56,0.5,-2.9107,98.1,1.6369,5.3929,-0.1107,0.0179,5.6449,8.5794,2.5607,30,19,1,,1
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,86,Yes,No,No,285,86,No,3,Yes,78,0.907,0.3018,73,0.8488,393,645,149,-277,1,5,20,0.274,0.4767,0.0581,0.314,0.1512,59,0.686,43,0.5,-3.2209,84.7,1.3789,4.5698,-0.7941,0.0581,5.3836,8.8356,2.0411,16,14,1,2,
1,Arizona,Cardinals,LA,NFC,NFC West,Closed,Open,Cover 6,17,86,Yes,No,No,285,86,No,8,Yes,86,1,0.3018,79,0.9186,588,804,228,-237,3,4,26,0.3291,0.4302,0.1163,0.2674,0.186,59,0.686,36,0.4186,-2.7558,106.8,2.0632,6.8372,1.3415,0.0465,7.443,10.1772,2.8861,24,16,,5,
24,New York,Giants,DAL,NFC,NFC East,Closed,Closed,Cover 1,17,105,No,No,No,351,105,No,3,Yes,102,0.9714,0.2991,97,0.9238,497,814,205,-334,4,3,20,0.2062,0.5048,0.1619,0.219,0.1048,75,0.7143,52,0.4952,-3.181,99.1,1.416,4.7333,-0.4867,0.0286,5.1237,8.3918,2.1134,27,17,1,1,1
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Cover 3,17,94,No,No,Yes,310,94,No,4,Yes,90,0.9574,0.3032,83,0.883,439,666,164,-261,,7,17,0.2048,0.4787,0.1277,0.2234,0.1702,55,0.5851,45,0.4787,-2.7766,81.7,1.4161,4.6702,-0.7569,0.0745,5.2892,8.0241,1.9759,21,10,,3,1
10,Denver,Broncos,LAC,AFC,AFC West,Closed,Closed,Cover 3,17,101,Yes,No,No,325,101,No,5,Yes,89,0.8812,0.3108,80,0.7921,389,593,141,-268,4,7,14,0.175,0.4158,0.2079,0.198,0.1782,72,0.7129,48,0.4752,-2.6535,95.9,1.1969,3.8515,-1.6525,0.0693,4.8625,7.4125,1.7625,20,18,1,3,
6,Chicago,Bears,DET,NFC,NFC North,Closed,Open,Cover 2,17,88,No,No,No,310,88,No,3,No,83,0.9432,0.2839,79,0.8977,412,621,190,-233,,4,20,0.2532,0.4545,0.1705,0.2045,0.1705,56,0.6364,35,0.3977,-2.6477,86.2,1.329,4.6818,-0.7454,0.0455,5.2152,7.8608,2.4051,14,14,1,3,
14,Indianapolis,Colts,HST,AFC,AFC South,Closed,Closed,Cover 1,17,98,Yes,Yes,No,322,98,No,2,Yes,89,0.9082,0.3043,82,0.8367,359,608,194,-277,1,6,15,0.1829,0.4388,0.102,0.2653,0.1939,62,0.6327,48,0.4898,-2.8265,76.8,1.1149,3.6633,-1.6738,0.0612,4.378,7.4146,2.3659,12,18,,2,
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Closed,Cover 3,17,145,Yes,No,Yes,473,145,No,4,Yes,135,0.931,0.3066,127,0.8759,715,1131,292,-474,3,7,40,0.315,0.4552,0.1379,0.2414,0.1655,91,0.6276,70,0.4828,-3.269,91.2,1.5116,4.931,-0.3764,0.0483,5.6299,8.9055,2.2992,30,19,,1,
17,Los Angeles,Rams,ARZ,NFC,NFC West,Closed,Open,Cover 6,17,85,Yes,No,No,249,85,No,2,Yes,80,0.9412,0.3414,74,0.8706,415,648,188,-264,2,5,19,0.2568,0.3882,0.1294,0.3294,0.1412,60,0.7059,49,0.5765,-3.1059,94.9,1.6667,4.8824,-0.5417,0.0588,5.6081,8.7568,2.5405,13,8,1,1,
22,New England,Patriots,MIA,AFC,AFC East,Open,Closed,Cover 3,17,106,Yes,No,Yes,345,106,No,1,Yes,102,0.9623,0.3072,94,0.8868,452,748,194,-348,1,6,11,0.117,0.4717,0.1132,0.2547,0.1415,72,0.6792,50,0.4717,-3.283,83.6,1.3101,4.2642,-1.1685,0.0566,4.8085,7.9574,2.0638,20,9,1,,1
