teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage
6,Chicago,Bears,,GB,NFC,NFC North,Open,Closed,Cover 1,10,4,No,No,Yes,19,4,No,,Yes,1,0.25,1,0.2105,1,,0.25,20,3,3,69,,0.75,4,1,17.25,47.9,1.0526,5,-5.8875,20,3,3,1,1,,,,,,0.25,,,
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Cover 4,9,5,No,No,No,21,5,Yes,2,Yes,5,1,3,0.2381,5,1,1,85,5,,92,0.4,0.6,5,1,18.4,158.3,4.0476,17,6.3158,17,1,,5,3,2,3,3,,,,,,
1,Arizona,Cardinals,1,SF,NFC,NFC West,Closed,Closed,Cover 1,15,9,No,No,No,40,9,Yes,3,Yes,5,0.5556,3,0.225,3,1,0.3333,68,5,3,161,0.3333,0.6667,8,0.8889,17.8889,98.4,1.7,7.5556,-3.3725,22.6667,1.6667,1,3,3,1,1,,,,,,,
4,Buffalo,Bills,,NE,AFC,AFC East,Closed,Closed,Cover 1,13,9,No,No,No,40,9,Yes,4,No,5,0.5556,3,0.225,2,1,0.2222,25,1,1,150,0.2222,0.7778,8,0.8889,16.6667,76.6,0.625,2.7778,-7.1983,12.5,0.5,0.5,2,3,2,1,1,,,,,,
32,Washington,Commanders,,NO,NFC,NFC South,Open,Closed,Cover 3,6,7,No,No,Yes,31,7,No,2,No,2,0.2857,2,0.2258,2,1,0.2857,28,1,1,129,0.8571,0.1429,5,0.7143,18.4286,83.3,0.9032,4,-5.1162,14,0.5,0.5,2,2,2,1,1,,,,,,
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Open,Open,Cover 4,9,2,No,No,No,9,2,Yes,,Yes,1,0.5,,0.2222,1,,0.5,21,2,2,38,0.5,0.5,2,1,19,47.9,2.3333,10.5,-1.4321,21,2,2,1,,,,,,,,,,
24,New York,Giants,1,IND,AFC,AFC South,Closed,Closed,Cover 1,8,5,No,No,No,22,5,Yes,4,Yes,5,1,2,0.2273,2,,0.4,55,10,6,89,,1,5,1,17.8,81.3,2.5,11,1.7594,27.5,5,3,2,2,2,,,,,,,,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Closed,Closed,Cover 1,11,2,No,Yes,Yes,8,2,No,1,Yes,2,1,,0.25,,,,,,,29,0.5,0.5,2,1,14.5,39.6,,,-10.237,,,,,,,,,1,0.5,,,,
26,Philadelphia,Eagles,1,DAL,NFC,NFC East,Open,Closed,Cover 1,8,2,No,No,No,7,2,No,,Yes,1,0.5,,0.2857,1,,0.5,22,4,2,39,0.5,0.5,1,0.5,19.5,89.6,3.1429,11,-0.0692,22,4,2,1,,,,,,,,,,
8,Cleveland,Browns,,BLT,AFC,AFC North,Closed,Closed,Cover 1,13,11,No,No,No,50,11,No,1,Yes,8,0.7273,,0.22,6,,0.5455,149,12,1,223,0.3636,0.6364,10,0.9091,20.2727,129.9,2.98,13.5455,2.2384,24.8333,2,0.1667,6,1,,1,,2,0.1818,,,,
9,Dallas,Cowboys,,PHI,NFC,NFC East,Open,Closed,Cover 1,10,5,No,No,No,22,5,No,1,Yes,4,0.8,1,0.2273,2,,0.4,47,1,,110,0.2,0.8,5,1,22,114.2,2.1364,9.4,-1.891,23.5,0.5,,2,1,,1,1,1,0.2,,,,
19,Las Vegas,Raiders,,NO,NFC,NFC South,Open,Open,Bracket,10,6,No,No,No,23,6,No,3,No,4,0.6667,3,0.2609,1,,0.1667,1,,,81,0.5,0.5,6,1,13.5,79.2,0.0435,0.1667,-8.8258,1,,,1,3,,1,1,1,0.1667,,,,
13,Houston,Texans,,TEN,AFC,AFC South,Open,Closed,Cover 3,12,14,No,No,Yes,66,14,Yes,3,Yes,6,0.4286,1,0.2121,4,1,0.2857,82,18,8,261,0.2143,0.7857,12,0.8571,18.6429,51.5,1.2424,5.8571,-4.7559,20.5,4.5,2,4,2,1,,,,,,,,
21,Minnesota,Vikings,,SEA,NFC,NFC West,Open,Open,Cover 2 Man,7,7,No,No,No,32,7,Yes,3,Yes,4,0.5714,,0.2188,1,,0.1429,21,2,2,121,0.2857,0.7143,7,1,17.2857,39.6,0.6562,3,-7.4477,21,2,2,1,,1,,,,,,,,
11,Detroit,Lions,1,BUF,AFC,AFC East,Open,Open,Cover 0,8,9,No,No,Yes,40,9,No,3,No,3,0.3333,,0.225,2,,0.2222,54,8,4,170,0.2222,0.7778,9,1,18.8889,52.1,1.35,6,-5.1685,27,4,2,2,1,2,,,1,0.1111,,,,
23,New Orleans,Saints,1,LV,AFC,AFC West,Open,Open,Bracket,9,11,No,No,No,47,11,No,5,No,8,0.7273,1,0.234,4,2,0.3636,126,38,16,206,0.1818,0.8182,10,0.9091,18.7273,110.4,2.6809,11.4545,0.8601,31.5,9.5,4,4,1,2,1,,1,0.0909,,1,0.25,
18,Los Angeles,Chargers,,NE,AFC,AFC East,Closed,Closed,Cover 1,8,2,No,No,No,9,2,No,1,Yes,1,0.5,,0.2222,1,1,0.5,23,1,,33,0.5,0.5,2,1,16.5,91.7,2.5556,11.5,1.3804,23,1,,1,,1,,,,,,,,
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Closed,Open,Cover 2,12,9,No,No,No,42,9,No,2,Yes,4,0.4444,3,0.2143,4,2,0.4444,74,2,1,191,0.1111,0.7778,7,0.7778,21.2222,113,1.7619,8.2222,-2.9464,18.5,0.5,0.25,4,3,2,2,2,,,,,,0.1111
3,Baltimore,Ravens,1,CLV,AFC,AFC North,Closed,Closed,Cover 1,14,11,No,No,No,51,11,No,3,Yes,8,0.7273,1,0.2157,7,4,0.6364,169,13,4,238,0.0909,0.6364,7,0.6364,21.6364,146.8,3.3137,15.3636,4.7124,24.1429,1.8571,0.5714,7,1,2,2,1,,,0.1818,,,0.0909
12,Green Bay,Packers,1,CHI,NFC,NFC North,Open,Closed,Cover 1,11,8,No,No,Yes,38,8,No,2,Yes,5,0.625,,0.2105,5,,0.625,89,12,6,117,0.375,0.5,7,0.875,14.625,140.1,2.3421,11.125,1.2227,17.8,2.4,1.2,5,2,1,1,,,,0.125,1,0.2,
20,Miami,Dolphins,,NYJ,AFC,AFC East,Open,Closed,Cover 1,8,5,No,Yes,Yes,21,5,No,,Yes,2,0.4,,0.2381,2,,0.4,43,4,2,117,0.2,0.8,4,0.8,23.4,71.3,2.0476,8.6,-2.2545,21.5,2,1,1,,,,,,,,,,
25,New York,Jets,1,MIA,AFC,AFC East,Open,Closed,Cover 1,12,6,No,Yes,Yes,17,6,No,4,Yes,6,1,3,0.3529,1,,0.1667,11,2,,61,0.1667,0.6667,6,1,10.1667,39.6,0.6471,1.8333,-6.4534,11,2,,1,4,,,,1,0.1667,0.1667,,,
