teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingReceptionsContested
15,Jacksonville,Jaguars,IND,AFC,AFC South,Closed,Closed,Cover 3,17,35,Yes,No,No,74,35,No,No,34,0.9714,0.473,31,0.8857,224,333,111,-126,,3,10,0.3226,0.4286,0.0857,0.2286,0.2571,35,1,35,1,-3.6,93.3,3.027,6.4,1.098,0.0857,7.2258,10.7419,3.5806,8,3,,,
20,Miami,Dolphins,NYJ,AFC,AFC East,Closed,Open,Cover 2,17,40,Yes,No,No,78,40,No,Yes,38,0.95,0.5128,37,0.925,218,353,113,-148,,,13,0.3514,0.275,0.075,0.325,0.325,40,1,40,1,-3.7,89.4,2.7949,5.45,0.3751,,5.8919,9.5405,3.0541,8,4,,2,1
3,Baltimore,Ravens,CLV,AFC,AFC North,Open,Open,Cover 2,17,38,No,No,No,86,38,No,No,36,0.9474,0.4419,33,0.8684,220,334,61,-136,1,2,4,0.1212,0.4474,0.0789,0.2368,0.2368,38,1,38,1,-3.5789,99.6,2.5581,5.7895,0.3615,0.0526,6.6667,10.1212,1.8485,12,9,1,,
12,Green Bay,Packers,CHI,NFC,NFC North,Closed,Open,Cover 2,17,54,No,No,No,94,54,No,Yes,52,0.963,0.5745,50,0.9259,399,586,126,-201,3,1,11,0.22,0.5185,0.0556,0.2778,0.1481,54,1,54,1,-3.7222,116,4.2447,7.3889,1.9493,0.0185,7.98,11.72,2.52,19,9,1,,
25,New York,Jets,MIA,AFC,AFC East,Closed,Open,Cover 2,17,52,Yes,No,No,101,52,No,Yes,49,0.9423,0.5149,45,0.8654,392,543,194,-163,1,2,11,0.2444,0.3269,0.0962,0.25,0.3269,52,1,52,1,-3.1346,104.5,3.8812,7.5385,2.3395,0.0385,8.7111,12.0667,4.3111,14,10,1,2,
19,Las Vegas,Raiders,LAC,AFC,AFC West,Open,Open,Cover 0,17,38,Yes,No,Yes,69,38,No,Yes,36,0.9474,0.5507,35,0.9211,208,341,96,-143,1,1,8,0.2286,0.3947,0.0526,0.2105,0.3421,38,1,38,1,-3.7632,87.3,3.0145,5.4737,0.0907,0.0263,5.9429,9.7429,2.7429,10,2,1,,
9,Dallas,Cowboys,WAS,NFC,NFC East,Open,Open,Cover 2,17,46,No,No,No,96,46,No,Yes,44,0.9565,0.4792,41,0.8913,399,533,138,-153,1,3,11,0.2683,0.413,0.0435,0.1957,0.3478,46,1,46,1,-3.3261,91.9,4.1562,8.6739,3.258,0.0652,9.7317,13,3.3659,14,4,1,1,
13,Houston,Texans,TEN,AFC,AFC South,Open,Closed,Cover 1,17,56,No,No,No,119,56,No,No,53,0.9464,0.4706,51,0.9107,336,513,142,-204,2,2,9,0.1765,0.4464,0.0536,0.2857,0.2143,56,1,56,1,-3.6429,103.6,2.8235,6,0.5331,0.0357,6.5882,10.0588,2.7843,16,7,,1,1
23,New Orleans,Saints,TB,NFC,NFC South,Open,Closed,Cover 3,17,38,Yes,No,Yes,79,38,Yes,Yes,34,0.8947,0.481,32,0.8421,251,365,147,-138,1,1,12,0.375,0.3684,0.1316,0.2895,0.2105,38,1,38,1,-3.6316,103,3.1772,6.6053,1.3279,0.0263,7.8438,11.4062,4.5938,9,1,,1,
11,Detroit,Lions,MIN,NFC,NFC North,Open,Open,Cover 0,17,33,No,No,Yes,76,33,No,Yes,32,0.9697,0.4342,31,0.9394,152,267,99,-126,,1,7,0.2258,0.3333,0.0909,0.303,0.2424,33,1,33,1,-3.8182,85.9,2,4.6061,-0.651,0.0303,4.9032,8.6129,3.1935,5,4,1,,
