teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsSpiked,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing
3,Baltimore,Ravens,True,CLV,AFC,AFC North,Open,Open,Cover 4,17,561,528,0.7821969696969697,36,351,0.6647727272727273,0.7514910536779325,0.020776529361829166,8,1,11,221,0.05113636363636364,3941,7.464015151515151,0.45597564070032987,7.007130124777183,4237,25,6,33,7,6,-240,0.058823529411764705,No,No,104,0.18538324420677363,-0.09920695187165776,Yes,0.0285204991087344,0.16287878787878787,62,0.11742424242424243,0.03598484848484849,0.04734848484848485,0.7083333333333334,0.08143939393939394,0.48863636363636365,2.327651515151515,3.024242424242424,2.3442307692307693,8.364173228346457,99.6,No,No,191
12,Green Bay,Packers,True,CHI,NFC,NFC North,Open,Open,Miscellaneous,17,535,500,0.78,28,355,0.71,0.7703549060542797,0.022300296118997864,9,3,5,114,0.028,3731,7.462,0.4910211739480032,6.08411214953271,3599,22,15,35,5,5,-241,0.06542056074766354,No,No,129,0.2411214953271028,-0.048900700934579454,No,0.028037383177570093,0.162,48,0.096,0.044,0.034,0.702,0.074,0.546,2.3719,2.96,2.4596899224806203,7.451345755693581,94.5,No,No,188
20,Miami,Dolphins,,NYJ,AFC,AFC East,Open,Open,Cover 6,17,518,491,0.7393075356415478,20,323,0.6578411405295316,0.77728285077951,0.005535628309576768,17,6,14,174,0.05295315682281059,3251,6.621181262729125,0.5761304214087973,5.573359073359073,2720,15,10,27,7,6,-214,0.052123552123552123,No,Yes,136,0.2625482625482625,-0.019142857142857135,No,0.05405405405405406,0.164969450101833,41,0.0835030549898167,0.012219959266802444,0.028513238289205704,0.6313645621181263,0.12627291242362526,0.5417515274949084,2.2955193482688387,2.8814814814814813,2.347058823529412,5.997797356828194,86.2,No,No,158
25,New York,Jets,True,MIA,AFC,AFC East,Open,Open,Cover 6,17,441,416,0.7716346153846154,31,272,0.6538461538461539,0.7245657568238213,-0.007419873069478999,5,1,4,210,0.04807692307692308,2932,7.048076923076923,0.5160300136425648,6.1315192743764175,3411,14,7,25,2,6,-193,0.05668934240362812,No,Yes,110,0.2494331065759637,-0.030095124716553297,No,0.03854875283446712,0.1875,58,0.13942307692307693,0.014423076923076924,0.038461538461538464,0.7764423076923077,0.0673076923076923,0.53125,2.292307692307692,2.948,2.428181818181818,8.401477832512315,90.1,No,No,143
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2 Man,17,501,476,0.75,29,319,0.6701680672268907,0.7505567928730512,-0.013987925122494471,11,,12,152,0.037815126050420166,3368,7.07563025210084,0.5834323040380047,6.033932135728543,2880,18,11,25,9,3,-210,0.0499001996007984,No,No,124,0.24750499001996007,-0.03462564870259483,No,0.04590818363273453,0.17647058823529413,44,0.09243697478991597,0.029411764705882353,0.04201680672268908,0.6911764705882353,0.06302521008403361,0.49159663865546216,2.296512605042017,3.032,2.387903225806452,6.375275938189845,90.4,No,No,164
22,New England,Patriots,True,BUF,AFC,AFC East,Open,Closed,Cover 1,17,472,450,0.7866666666666666,31,303,0.6733333333333333,0.7872340425531915,0.056906274475177265,14,1,8,304,0.06666666666666667,3277,7.282222222222222,0.47238327738785474,7.122881355932203,3565,22,5,22,3,4,-130,0.046610169491525424,No,Yes,93,0.19703389830508475,-0.08652849576271188,No,0.0423728813559322,0.14888888888888888,56,0.12444444444444444,0.02,0.04666666666666667,0.7288888888888889,0.06222222222222222,0.56,2.298888888888889,3.3454545454545452,2.453763440860215,8.440281030444964,100.2,No,No,158
30,Tampa Bay,Buccaneers,True,NO,NFC,NFC South,Closed,Closed,Cover 1,17,588,552,0.802536231884058,26,381,0.6902173913043478,0.7835249042145593,0.03765040863409963,18,4,5,278,0.050724637681159424,3946,7.148550724637682,0.4738976178408515,6.505102040816326,3991,23,7,36,11,4,-266,0.061224489795918366,No,No,159,0.27040816326530615,-0.006078911564625845,Yes,0.030612244897959183,0.13405797101449277,49,0.08876811594202899,0.02355072463768116,0.03804347826086957,0.7282608695652174,0.09057971014492754,0.5905797101449275,2.2809782608695652,3.261111111111111,2.4075471698113207,7.647619047619048,98,No,Yes,187
17,Los Angeles,Rams,True,SEA,NFC,NFC West,Open,Open,Cover 2 Man,17,507,475,0.7557894736842106,31,314,0.6610526315789473,0.7556053811659192,0.010534879984304912,13,,12,257,0.04842105263157895,3545,7.463157894736842,0.5503526093088857,6.609467455621302,3478,24,9,32,11,1,-269,0.0631163708086785,No,No,119,0.23471400394477318,-0.052995463510848106,No,0.02564102564102564,0.16210526315789472,48,0.10105263157894737,0.02736842105263158,0.04421052631578947,0.7157894736842105,0.06736842105263158,0.5642105263157895,2.3549473684210525,3.4625,2.4268907563025213,7.771111111111111,97.2,No,No,165
31,Tennessee,Titans,True,HST,AFC,AFC South,Open,Closed,Cover 3,17,442,421,0.7743467933491687,27,287,0.6817102137767221,0.7725,0.013159847747500009,5,2,9,133,0.052256532066508314,2820,6.69833729216152,0.575531914893617,6.0610859728506785,2785,23,10,21,6,8,-151,0.04751131221719457,No,Yes,92,0.2081447963800905,-0.06630180995475114,No,0.04751131221719457,0.17339667458432304,43,0.1021377672209026,0.028503562945368172,0.030878859857482184,0.7577197149643705,0.07125890736342043,0.5439429928741093,2.244418052256532,3.1238095238095234,2.484782608695652,6.881481481481481,95.1,No,Yes,136
14,Indianapolis,Colts,True,JAX,AFC,AFC South,Closed,Closed,Prevent,17,500,475,0.783157894736842,21,340,0.7157894736842105,0.7906458797327395,0.0364486197349666,14,3,6,119,0.031578947368421054,3592,7.562105263157894,0.5061247216035635,6.326,3182,22,15,25,7,2,-194,0.05,No,No,90,0.18,-0.0961952,No,0.04,0.15157894736842106,45,0.09473684210526316,0.03368421052631579,0.04,0.7136842105263158,0.08842105263157894,0.5431578947368421,2.259157894736842,3.216,2.471111111111111,7.097345132743363,95.5,Yes,Yes,164
10,Denver,Broncos,True,KC,AFC,AFC West,Closed,Open,Cover 2,17,559,514,0.7529182879377432,24,346,0.6731517509727627,0.7551440329218106,0.0022155379753086013,15,2,8,146,0.04085603112840467,3540,6.88715953307393,0.5008474576271187,5.382826475849732,3458,18,13,45,11,12,-306,0.08050089445438283,No,Yes,124,0.22182468694096602,-0.02630617173524151,No,0.028622540250447227,0.17704280155642024,44,0.08560311284046693,0.023346303501945526,0.04085603112840467,0.7237354085603113,0.0933852140077821,0.5408560311284046,2.1391050583657587,3.1688888888888886,2.3048387096774197,7.071574642126789,88,No,No,176
27,Pittsburgh,Steelers,True,CIN,AFC,AFC North,Open,Open,Cover 6,17,545,519,0.7456647398843931,30,351,0.6763005780346821,0.7745302713987474,0.022628490025052184,12,1,20,160,0.038535645472061654,3674,7.0789980732177264,0.5089820359281437,5.6422018348623855,3417,18,17,26,8,10,-194,0.047706422018348627,No,No,133,0.24403669724770644,-0.03807596330275227,No,0.04036697247706422,0.16570327552986513,38,0.07321772639691715,0.04431599229287091,0.036608863198458574,0.6820809248554913,0.08285163776493257,0.49710982658959535,2.292100192678227,2.9384615384615387,2.3345864661654137,7.109053497942387,85.9,No,Yes,172
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Closed,Cover 3,17,471,446,0.8004484304932735,31,301,0.6748878923766816,0.755868544600939,0.011057746206572738,12,2,3,275,0.04708520179372197,3178,7.125560538116592,0.5434235368156073,6.53927813163482,3304,23,9,25,7,3,-153,0.05307855626326964,No,No,89,0.18895966029723993,-0.08643343949044585,No,0.027600849256900213,0.14798206278026907,45,0.10089686098654709,0.03139013452914798,0.04708520179372197,0.7309417040358744,0.07399103139013453,0.5605381165919282,2.2591928251121076,3.3,2.493258426966292,7.701631701631702,96.8,No,No,163
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Open,Cover 2,17,509,485,0.7608247422680412,32,331,0.6824742268041237,0.7728285077951003,0.02844706404008912,12,3,15,185,0.032989690721649485,3489,7.193814432989691,0.524505588993981,6.294695481335953,3526,18,11,24,5,6,-150,0.047151277013752456,No,Yes,106,0.2082514734774067,-0.060636738703339896,No,0.05697445972495088,0.15051546391752577,58,0.11958762886597939,0.024742268041237112,0.0577319587628866,0.6969072164948453,0.08041237113402062,0.4927835051546392,2.209896907216495,3.0208333333333335,2.233018867924528,7.764835164835165,91.9,No,No,169
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Cover 4,17,480,462,0.7987012987012987,34,322,0.696969696969697,0.7790432801822323,0.03789705138952171,10,2,10,176,0.04329004329004329,3550,7.683982683982684,0.48422535211267603,7.816666666666666,3422,28,5,18,9,4,-133,0.0375,No,No,75,0.15625,-0.13885677083333334,No,0.041666666666666664,0.1406926406926407,44,0.09523809523809523,0.01948051948051948,0.032467532467532464,0.70995670995671,0.09090909090909091,0.5303030303030303,2.3515151515151516,3.361111111111111,2.4386666666666668,7.8090909090909095,107.9,No,Yes,176
6,Chicago,Bears,,GB,NFC,NFC North,Open,Open,Miscellaneous,17,457,433,0.7528868360277137,26,293,0.6766743648960739,0.7692307692307693,0.031464620550868516,18,,7,131,0.03926096997690531,3427,7.914549653579677,0.5048147067405895,7.0568927789934355,3163,15,7,24,7,3,-187,0.0525164113785558,No,No,110,0.24070021881838075,-0.0706277899343545,No,0.03282275711159737,0.18013856812933027,44,0.10161662817551963,0.03695150115473441,0.04157043879907621,0.6974595842956121,0.09699769053117784,0.5334872979214781,2.479907621247113,3.0583333333333336,2.5036363636363634,7.786764705882353,96.3,No,No,153
1,Arizona,Cardinals,True,SF,NFC,NFC West,Open,Closed,Cover 3,17,493,467,0.7730192719486081,34,330,0.7066381156316917,0.785876993166287,0.036260483763097984,11,2,13,173,0.032119914346895075,3571,7.646680942184155,0.5009801176141137,6.837728194726166,3248,18,8,26,11,4,-200,0.05273833671399594,No,No,89,0.18052738336713997,-0.10996587221095336,No,0.030425963488843813,0.15203426124197003,43,0.09207708779443255,0.014989293361884369,0.044967880085653104,0.6466809421841542,0.09421841541755889,0.5139186295503212,2.352098501070664,3.0307692307692307,2.4179775280898874,7.365079365079365,98.5,No,No,180
2,Atlanta,Falcons,True,CAR,NFC,NFC South,Open,Open,Cover 4,17,501,483,0.8033126293995859,26,347,0.7184265010351967,0.7956043956043956,0.041464430375824146,15,3,7,163,0.031055900621118012,3283,6.797101449275362,0.5102040816326531,6.351297405189621,3196,26,11,18,4,5,-126,0.03592814371257485,No,No,95,0.18962075848303392,-0.10165469061876248,No,0.04590818363273453,0.13664596273291926,49,0.10144927536231885,0.031055900621118012,0.035196687370600416,0.7163561076604554,0.10559006211180125,0.5507246376811594,2.3256728778467908,3.511111111111111,2.463157894736842,6.989082969432315,98.7,No,Yes,165
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Closed,Cover 1,17,530,499,0.7955911823647295,28,353,0.7074148296593187,0.8004246284501062,0.040089487324840745,14,4,7,168,0.04809619238476954,3649,7.312625250501002,0.5160317895313785,6.003773584905661,3212,19,14,31,6,2,-217,0.05849056603773585,No,Yes,136,0.25660377358490566,-0.031060849056603796,No,0.03018867924528302,0.1402805611222445,41,0.08216432865731463,0.03807615230460922,0.052104208416833664,0.7294589178356713,0.10420841683366733,0.6052104208416834,2.344889779559118,2.929032258064516,2.3742647058823527,6.867088607594937,92.5,No,No,188
24,New York,Giants,,PHI,NFC,NFC East,Open,Open,Cover 6,17,463,438,0.8013698630136986,25,315,0.7191780821917808,0.7952380952380952,0.039178300616666606,5,1,7,98,0.04337899543378995,3371,7.69634703196347,0.4891723524176802,7.282937365010799,2999,21,5,25,3,3,-194,0.05399568034557235,No,No,114,0.24622030237580994,-0.030038012958963287,No,0.038876889848812095,0.1552511415525114,43,0.09817351598173515,0.0182648401826484,0.03424657534246575,0.730593607305936,0.07990867579908675,0.5273972602739726,2.267579908675799,2.9360000000000004,2.349122807017544,7.141176470588236,105.3,No,No,156
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Cover 0,17,454,424,0.7594339622641509,33,276,0.6509433962264151,0.7375,0.01770485615750006,11,1,8,140,0.04481132075471698,3134,7.3915094339622645,0.4454371410338226,7.11453744493392,3521,25,4,30,8,3,-224,0.06607929515418502,No,No,88,0.19383259911894274,-0.065456718061674,Yes,0.02643171806167401,0.16981132075471697,51,0.12028301886792453,0.01179245283018868,0.030660377358490566,0.7735849056603774,0.05660377358490566,0.46462264150943394,2.1834905660377357,3.2666666666666666,2.3988636363636364,8.715346534653465,102.8,Yes,Yes,157
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Open,Cover 6,17,508,485,0.7484536082474227,22,321,0.6618556701030928,0.7477876106194691,-0.0007462597345131439,13,4,13,97,0.03505154639175258,3436,7.0845360824742265,0.5372526193247963,6.0137795275590555,3353,18,13,23,4,2,-156,0.045275590551181105,No,No,101,0.19881889763779528,-0.08879094488188974,No,0.03937007874015748,0.1711340206185567,50,0.10309278350515463,0.03505154639175258,0.03917525773195876,0.6845360824742268,0.088659793814433,0.51340206185567,2.3202061855670104,2.9695652173913043,2.407920792079208,7.391208791208792,88,No,Yes,159
