teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedPercentage,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingAverageTimeToSack,opponentStatsPassingSackedYardsLost,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingSackedFaultTotal,opponentStatsPassingIncompletionsBatted
32,Washington,Commanders,ATL,NFC,NFC South,Closed,Closed,Cover 1,11,9,8,0.875,,7,0.875,0.875,-0.006990689250000015,45,5.625,0.9333333333333333,4.333333333333333,5,,Yes,No,2,0.2222222222222222,-0.009683333333333315,Yes,0.125,0.875,0.875,2.0875,,2.4,0.625,90.1,No,Yes,3,True,,,,1,,0.1111111111111111,,,,,3.6,-6,,0.125,,,
26,Philadelphia,Eagles,NYG,NFC,NFC East,Open,Open,Cover 6,8,6,4,0.75,,2,0.5,0.75,-0.12611535375000005,2,0.5,1,-1.8,5,,No,No,1,0.16666666666666666,-0.10070000000000001,No,0.25,0.5,0.75,2.9,2.8,2.1,1.25,56.3,No,Yes,,True,3,0.25,,1,,0.16666666666666666,,,,,2.5,-11,,0.25,,,
5,Carolina,Panthers,ATL,NFC,NFC South,Closed,Open,Cover 4,12,12,9,0.6666666666666666,2,6,0.6666666666666666,0.8571428571428571,0.06210194271428571,70,7.777777777777778,0.5571428571428572,6.909090909090909,39,1,Yes,No,5,0.4166666666666667,0.0382541666666667,No,,0.5555555555555556,0.2222222222222222,3.5,5.7,3.2399999999999998,5.571428571428571,127.1,No,Yes,4,,,,,2,,0.16666666666666666,,,,,3.6500000000000004,-14,,,2,1,
4,Buffalo,Bills,NE,AFC,AFC East,Open,Closed,Cover 1,10,12,12,0.9166666666666666,3,10,0.8333333333333334,0.9166666666666666,0.12002941999999994,119,9.916666666666666,0.5798319327731093,13.25,62,2,Yes,Yes,2,0.16666666666666666,-0.2343833333333333,No,,1,0.75,2.9,,3.4,5.166666666666667,147.6,No,Yes,9,,2,0.08333333333333333,,,,,,,,,,,,,,,
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 6,10,14,13,0.8461538461538461,,9,0.6923076923076923,0.7692307692307693,-0.10401014530769237,42,3.230769230769231,1.1428571428571428,3.230769230769231,10,,Yes,No,4,0.2857142857142857,-0.05958214285714287,No,0.15384615384615385,0.7692307692307693,0.5384615384615384,2.730769230769231,4.7,2.475,0.7692307692307693,73.2,Yes,Yes,2,,6,0.07692307692307693,,,,,0.07142857142857142,,,0.07692307692307693,,,,0.07692307692307693,,,
24,New York,Giants,PHI,NFC,NFC East,Open,Open,Cover 6,13,11,9,0.7777777777777778,,5,0.5555555555555556,0.7777777777777778,0.023572186999999967,48,5.333333333333333,0.5625,4.545454545454546,64,1,No,No,5,0.45454545454545453,0.10602727272727273,No,0.2222222222222222,0.8888888888888888,0.5555555555555556,3.0444444444444443,,2.96,7.111111111111111,107.6,No,Yes,4,,30,0.2222222222222222,,2,1,0.18181818181818182,,,,,3.7,-18,,,,1,
27,Pittsburgh,Steelers,KC,AFC,AFC West,Open,Open,Cover 4,12,10,9,0.8888888888888888,2,6,0.6666666666666666,0.7777777777777778,0.0866003757777778,61,6.777777777777778,0.36065573770491804,9,104,1,Yes,No,1,0.1,-0.236795,No,0.1111111111111111,0.8888888888888888,0.5555555555555556,2.7444444444444445,4,2.2,11.555555555555555,122.9,No,Yes,3,True,7,0.1111111111111111,,,,,,2,0.2222222222222222,,,,0.1111111111111111,,,,
29,San Francisco,49ers,DET,NFC,NFC North,Open,Open,Cover 2,14,10,10,0.7,1,7,0.7,0.7,-0.06778806110000002,76,7.6,0.7105263157894737,7.1,60,2,Yes,No,1,0.1,-0.30622499999999997,No,0.3,0.8,0.5,2.93,,2,6,92.1,No,Yes,5,True,,,1,,,,,,,0.1,,,,,,,
16,Kansas City,Chiefs,DEN,AFC,AFC West,Open,Open,Cover 4,15,9,8,0.875,1,7,0.875,0.875,0.12459797950000007,66,8.25,0.6363636363636364,8.25,73,,Yes,No,,,-0.33348888888888895,No,0.125,0.875,0.625,2.75,3.6,,9.125,101,No,Yes,3,,,,,,,,,1,0.125,,,,,,,,
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Goal Line,10,12,12,0.4166666666666667,,4,0.3333333333333333,0.5,-0.19269692930000004,60,5,0.36666666666666664,1.25,112,,Yes,No,5,0.4166666666666667,-0.01600833333333333,No,0.4166666666666667,0.75,0.08333333333333333,3.0833333333333335,,2.34,11.2,16,No,Yes,2,True,4,0.08333333333333333,1,,,,,2,0.16666666666666666,0.16666666666666666,,,,0.08333333333333333,,,2
21,Minnesota,Vikings,DET,NFC,NFC North,Open,Open,Red Zone,12,3,2,0.5,1,1,0.5,0.5,-0.1385082904999999,18,9,0.4444444444444444,9,21,,Yes,No,2,0.6666666666666666,0.3188,No,0.5,0.5,,3.5999999999999996,5.1,3.95,10.5,81.3,No,Yes,1,,,,,,,,,,,,,,,,,,
11,Detroit,Lions,MIN,NFC,NFC North,Open,Open,Red Zone,13,15,15,1,3,15,1,1,0.20220867613333326,146,9.733333333333333,0.5616438356164384,15.066666666666666,79,4,Yes,No,2,0.13333333333333333,-0.22516666666666663,No,,0.8666666666666667,0.6,2.6533333333333333,,3.1,5.266666666666667,146.8,No,Yes,9,True,,,,,,,,1,0.06666666666666667,,,,,,,,
23,New Orleans,Saints,TB,NFC,NFC South,Closed,Open,Cover 0,14,7,6,0.6666666666666666,,4,0.6666666666666666,1,0.20527402549999996,47,7.833333333333333,0.574468085106383,7.833333333333333,20,,Yes,No,3,0.42857142857142855,0.05277857142857144,Yes,,0.3333333333333333,0.16666666666666666,3.1166666666666667,9.8,3.1,5,90.3,No,No,3,,,,,,,,,,,,,,,0.16666666666666666,2,,
13,Houston,Texans,TEN,AFC,AFC South,Open,Open,Cover 0,15,11,9,0.5555555555555556,,5,0.5555555555555556,0.625,-0.09612691075000002,61,6.777777777777778,0.47540983606557374,5.3,85,,Yes,No,5,0.45454545454545453,0.09818636363636363,No,0.3333333333333333,0.6666666666666666,0.1111111111111111,3.0999999999999996,4.8,2.56,10.625,76.6,No,No,3,,,,,1,,0.09090909090909091,,1,0.1111111111111111,,2.3,-8,,0.1111111111111111,1,,
9,Dallas,Cowboys,PHI,NFC,NFC East,Open,Closed,Cover 3,15,13,11,0.6363636363636364,,6,0.5454545454545454,0.75,-0.12431148537500003,33,3,0.7272727272727273,4.818181818181818,12,1,Yes,No,6,0.46153846153846156,0.11688076923076923,No,0.09090909090909091,0.5454545454545454,0.45454545454545453,2.936363636363636,5.45,3.1,1.5,90.3,No,No,1,,,,,,,,0.07692307692307693,,,,,,,0.09090909090909091,3,,
19,Las Vegas,Raiders,NO,NFC,NFC South,Open,Closed,Cover 3,11,11,11,0.9090909090909091,2,9,0.8181818181818182,0.9,0.0983626138,113,10.272727272727273,0.584070796460177,15.727272727272727,55,3,Yes,No,1,0.09090909090909091,-0.33680000000000004,Yes,,0.7272727272727273,0.5454545454545454,3.0545454545454547,,2.6,5.5,149.1,No,Yes,6,,,,,,,,,1,0.09090909090909091,,,,,0.09090909090909091,1,,
25,New York,Jets,MIA,AFC,AFC East,Open,Open,Red Zone,13,16,13,0.8461538461538461,,10,0.7692307692307693,0.8461538461538461,0.04643257523076916,115,8.846153846153847,0.5043478260869565,7.6,92,1,Yes,No,8,0.5,0.209725,Yes,0.15384615384615385,0.7692307692307693,0.46153846153846156,2.646153846153846,5,2.5875,7.076923076923077,128.7,No,No,4,True,-5,0.07692307692307693,,2,,0.125,0.0625,2,0.15384615384615385,,4,-21,0.07692307692307693,0.23076923076923078,,1,
3,Baltimore,Ravens,HST,AFC,AFC South,Open,Open,Cover 2,10,13,10,0.7,2,7,0.7,0.7,-0.0478353653000001,46,4.6,0.6304347826086957,0.3333333333333333,70,1,Yes,No,4,0.3076923076923077,0.007153846153846151,No,0.3,0.9,0.4,2.84,2.2,3.125,7,73.3,No,Yes,4,,,,1,2,,0.15384615384615385,0.15384615384615385,1,0.1,0.1,5.05,-17,,0.1,,1,
12,Green Bay,Packers,MIN,NFC,NFC North,Open,Open,Cover 6,9,5,5,0.8,,4,0.8,0.8,-0.09310043340000007,26,5.2,1.0384615384615385,5.2,-1,,Yes,No,2,0.4,0.01964999999999999,No,0.2,0.8,0.4,2.7800000000000002,,2.3499999999999996,-0.2,88.3,No,Yes,2,,,,,,,,,,,,,,,,,,
20,Miami,Dolphins,NYJ,AFC,AFC East,Open,Open,Red Zone,12,11,11,0.8181818181818182,1,7,0.6363636363636364,0.8,0.11305846530000008,116,10.545454545454545,0.31896551724137934,10.545454545454545,94,,Yes,No,2,0.18181818181818182,-0.4152545454545455,Yes,0.09090909090909091,0.8181818181818182,0.6363636363636364,4.036363636363636,,5.15,9.4,99.1,No,No,6,,13,0.09090909090909091,,,,,,,,,,,,,1,,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Closed,Closed,Cover 3,12,13,11,0.8181818181818182,1,6,0.5454545454545454,0.8888888888888888,0.12681560877777776,62,5.636363636363637,0.3225806451612903,6.083333333333333,59,1,Yes,No,6,0.46153846153846156,0.0717653846153846,Yes,,0.45454545454545453,0.5454545454545454,3.2454545454545456,7.3,2.4,5.9,101.3,No,Yes,4,True,4,0.18181818181818182,,1,,0.07692307692307693,0.07692307692307693,,,,3.3,-9,,,1,,
18,Los Angeles,Chargers,NE,AFC,AFC East,Open,Open,Cover 6,8,7,7,0.7142857142857143,1,5,0.7142857142857143,0.7142857142857143,-0.06323338871428574,39,5.571428571428571,0.6410256410256411,8.428571428571429,38,1,Yes,Yes,3,0.42857142857142855,-0.05379999999999997,No,0.2857142857142857,0.5714285714285714,,3.3714285714285714,,2.6,5.428571428571429,124.4,No,Yes,3,,,,,,,,0.14285714285714285,,,,,,,,,,
