gameGameId,gameSeason,gameSeasonTypeSeasonTypeId,gameWeek,teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,teamStatsGamesPlayed,opponentStatsRushingAttemptsTotal,opponentStatsRushingAttemptsStuffsPercentage,opponentStatsRushingAttemptsSuccessPercentage,opponentStatsRushingYardsTotal,opponentStatsRushingYardsPerAttempt,opponentStatsRushingYardsBeforeContactPerAttempt,opponentStatsRushingYardsAfterContactTotal,opponentStatsRushingYardsAfterContactPerAttempt,opponentStatsRushingYardsAfterContactPercentage,opponentStatsRushingYardsExplosiveTotal,opponentStatsRushingYardsExplosivePercentage,opponentStatsRushingTouchdownsTotal,opponentStatsRushingTouchdownsPercentage,opponentStatsRushingMissedTacklesForcedTotal,opponentStatsRushingMissedTacklesForcedPerAttempt,opponentStatsRushingFumblesTotal,opponentStatsRushingRunsExplosivePercentage,opponentStatsRushingConceptZoneAttemptsTotal,opponentStatsRushingConceptZoneAttemptsPercentage,opponentStatsRushingConceptZoneAttemptsSuccessPercentage,opponentStatsRushingConceptZoneYardsTotal,opponentStatsRushingConceptZoneYardsPerAttempt,opponentStatsRushingConceptZoneTouchdownsTotal,opponentStatsRushingConceptManAttemptsTotal,opponentStatsRushingConceptManAttemptsPercentage,opponentStatsRushingConceptManAttemptsSuccessPercentage,opponentStatsRushingConceptManYardsTotal,opponentStatsRushingConceptManYardsPerAttempt,opponentStatsRushingConceptManTouchdownsTotal,opponentStatsFirstDownsRushing,opponentStatsInside5RushingAttemptsTotal
2024316,2024,1,18,1,Arizona,Cardinals,True,SF,NFC,NFC West,17,465,0.4326710816777042,0.5032258064516129,2149,4.621505376344086,1.9225806451612903,1003,2.156989247311828,0.4667287110283853,580,0.26989297347603536,18,0.03870967741935484,80,0.17204301075268819,7,0.053763440860215055,217,0.4666666666666667,0.511520737327189,985,4.539170506912442,4,173,0.3720430107526882,0.5086705202312138,853,4.930635838150289,9,124,25
2024308,2024,1,18,5,Carolina,Panthers,,ATL,NFC,NFC South,17,592,0.3117338003502627,0.6097972972972973,3057,5.163851351351352,2.2837837837837838,1459,2.464527027027027,0.47726529277069024,729,0.23846908734052993,24,0.04054054054054054,94,0.15878378378378377,8,0.052364864864864864,292,0.49324324324324326,0.6404109589041096,1493,5.113013698630137,7,224,0.3783783783783784,0.6205357142857143,1233,5.504464285714286,14,179,36
2024310,2024,1,18,6,Chicago,Bears,,GB,NFC,NFC North,17,485,0.3755274261603376,0.5298969072164949,2317,4.777319587628866,2.375257731958763,1023,2.109278350515464,0.44151920586965904,593,0.25593439792835565,20,0.041237113402061855,66,0.1360824742268041,5,0.05360824742268041,207,0.4268041237113402,0.5507246376811594,1010,4.879227053140097,11,222,0.4577319587628866,0.527027027027027,1075,4.842342342342342,8,129,28
2024313,2024,1,18,24,New York,Giants,,PHI,NFC,NFC East,17,503,0.4731404958677686,0.46520874751491054,2316,4.604373757455268,1.5188866799204772,1266,2.5168986083499005,0.5466321243523317,844,0.3644214162348877,18,0.03578528827037773,89,0.17693836978131214,10,0.06560636182902585,238,0.4731610337972167,0.48739495798319327,1044,4.38655462184874,7,196,0.38966202783300197,0.4489795918367347,916,4.673469387755102,7,129,28
2024317,2024,1,18,10,Denver,Broncos,True,KC,AFC,AFC West,17,424,0.4975728155339806,0.3938679245283019,1639,3.865566037735849,1.1910377358490567,910,2.1462264150943398,0.5552165954850519,492,0.300183038438072,10,0.02358490566037736,64,0.1509433962264151,8,0.049528301886792456,194,0.45754716981132076,0.34536082474226804,694,3.577319587628866,2,160,0.37735849056603776,0.44375,657,4.10625,6,82,13
2024311,2024,1,18,14,Indianapolis,Colts,True,JAX,AFC,AFC South,17,531,0.4748062015503876,0.4689265536723164,2241,4.220338983050848,1.5329566854990584,1223,2.303201506591337,0.5457385095939313,623,0.2780008924587238,18,0.03389830508474576,76,0.1431261770244821,7,0.05273069679849341,227,0.4274952919020716,0.47577092511013214,895,3.94273127753304,5,225,0.423728813559322,0.4577777777777778,973,4.3244444444444445,9,127,26
2024318,2024,1,18,28,Seattle,Seahawks,,LA,NFC,NFC West,17,451,0.42105263157894735,0.5077605321507761,2053,4.55210643015521,1.951219512195122,1015,2.2505543237250554,0.4943984413054067,463,0.22552362396492937,11,0.024390243902439025,72,0.15964523281596452,10,0.03991130820399113,219,0.48558758314855877,0.4611872146118721,973,4.442922374429224,5,163,0.3614190687361419,0.5766871165644172,821,5.03680981595092,3,107,23
2024318,2024,1,18,17,Los Angeles,Rams,True,SEA,NFC,NFC West,17,477,0.37044967880085655,0.5324947589098532,2210,4.633123689727463,2.111111111111111,960,2.0125786163522013,0.4343891402714932,469,0.21221719457013574,13,0.027253668763102725,87,0.18238993710691823,4,0.03563941299790356,207,0.4339622641509434,0.5217391304347826,926,4.473429951690822,4,201,0.42138364779874216,0.5223880597014925,902,4.487562189054726,5,117,19
2024312,2024,1,18,22,New England,Patriots,True,BUF,AFC,AFC East,17,507,0.4112903225806452,0.5266272189349113,2233,4.404339250493097,1.7357001972386588,1214,2.3944773175542404,0.5436632333184057,495,0.22167487684729065,16,0.03155818540433925,46,0.09072978303747535,15,0.03550295857988166,242,0.47731755424063116,0.5041322314049587,1052,4.347107438016529,5,191,0.3767258382642998,0.5654450261780105,936,4.900523560209424,10,127,24
2024314,2024,1,18,30,Tampa Bay,Buccaneers,True,NO,NFC,NFC South,17,389,0.45,0.4781491002570694,1663,4.275064267352185,1.480719794344473,846,2.1748071979434447,0.5087191822008419,529,0.3180998196031269,13,0.033419023136246784,53,0.13624678663239073,11,0.05141388174807198,201,0.5167095115681234,0.4577114427860697,801,3.985074626865672,5,117,0.30077120822622105,0.452991452991453,533,4.555555555555555,4,94,27
