Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,ScramblesTouchdowns,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage
Trey Lance,DAL,QB,3,3,1,,,,,,-0.3161,3,,,,,,,,-0.5,43,,,1,1,0.3333,-1,0.3333,1,1,,No,Yes,3,1,0.7116,0.7628,No,1,1,1,,,,,,4.7,6.8,8.7,2.5333,43,39.6,No,No,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4,
Malik Willis,GB,QB,9,9,5,,,,,,,9,1,,,,,,,-0.75,,,,3,1,0.375,-3,0.3333,5,55,,No,Yes,8,0.8889,0.5563,0.8271,No,,,,,,,,,3.8,6.3,5.06,3.0375,,39.6,No,No,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,7,
Davis Mills,HST,QB,1,1,1,1,,1,1,1,0.5104,1,,,,,24,24,0.1667,24,20,,,,,,,,,,,Yes,Yes,1,1,0.5908,0.4092,No,,1,1,,,,,1,4,,,2.7,20,118.8,No,Yes,,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.2,1.2,4,
Cooper Rush,DAL,QB,12,12,2,0.7143,1,4,0.5714,0.7143,-0.0272,12,,,5,0.1429,53,7.5714,0.3962,5,56,1,,3,,0.3,-23,0.25,2,5,,Yes,Yes,10,0.8333,4.4806,0.46,Yes,0.2857,1,0.1429,0.1429,0.1429,0.1429,0.1429,0.4286,4.2857,3.2667,3.25,2.2,8,120.8,No,No,3,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,7.15,7.15,12,
Jalen Hurts,PHI,QB,60,60,19,0.3871,4,9,0.2903,0.5556,-0.0374,60,12,,14,0.0323,102,3.2903,0.1961,0.3415,281,1,1,10,3,0.2083,-63,0.1667,19,196,,No,No,48,0.8,25.9393,0.3677,No,0.1935,5,0.1613,0.0323,,0.0323,0.0645,0.2581,5.4258,4.78,4.5526,2.8417,14.7895,38.1,No,No,7,26.68,26.68,26.68,26.68,26.68,29.68,29.68,25.68,25.68,25.68,25.68,27.7,26.7,15,0.0333
Tyrod Taylor,NYJ,QB,3,3,1,1,,1,0.5,0.5,-0.3257,3,,,,,3,1.5,-0.3333,1.5,7,,,,,,,,1,7,,Yes,Yes,3,1,1.3541,0.5486,No,,,,,,,,,4.5,,3.5,2.1667,3.5,56.3,No,Yes,,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.85,0.85,2,
Michael Penix,ATL,QB,4,4,2,1,,,,1,0.0762,4,,,-1,1,,,,,-1,,,1,1,0.3333,,0.25,2,4,,No,Yes,3,0.75,0.8151,0.5462,No,,,,,,,1,,5.3,4.6,4.7,2.5667,-1,39.6,No,Yes,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,5,
Skylar Thompson,MIA,QB,3,3,1,,,,,,,3,1,,,,,,,-2.6667,,,,2,2,1,-8,0.6667,,,,No,No,2,0.6667,0.8323,0.3892,No,,,,,,,,,5.4,5.55,,5.15,,39.6,No,No,,,,,,,,,,,,,,,3,
Jake Haener,NO,QB,6,6,3,,,,,,-0.4729,6,1,,,,,,,-15,41,,1,,,,,,3,16,,No,Yes,4,0.6667,2.4969,0.2505,No,0.6667,1,0.3333,0.3333,,,,,5.4,,5,2.925,20.5,,No,No,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,-0.4,-0.4,-0.4,-0.4,0.6,-0.4,8,
Josh Allen,BUF,QB,75,75,25,0.5,7,17,0.3542,0.475,-0.0793,75,7,1,46,0.0417,345,7.1875,0.2,7.18,761,4,1,2,,0.0286,-21,0.0267,25,226,2,No,No,70,0.9333,38.7257,0.417,No,0.3333,18,0.375,0.0417,0.1458,,,0.2292,5.2521,4.25,4.572,2.5243,19.025,80.6,No,No,15,63.4,63.4,63.4,63.4,63.4,69.4,69.4,62.4,62.4,62.4,62.4,66.85,65.85,17,0.0133
