Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,AttemptsInEndzoneTotal,InterceptionsTotal,SackedTotal,SackedPressuredPercentage,SackedPercentage,TowThrowPercentage,HeroThrowPercentage,AverageTimeToSack,SackedYardsLost,SackedFaultTotal,TargetedReadCheckdownPercentage,DropsYardsLost,DropsPercentage,RunPassOptionPercentage,IncompletionsBatted
Davis Mills,HST,QB,1,1,1,,,,,-0.6837,1,,,,,,9,,,,Yes,No,,,0.3838,-0.3838,No,1,1,,2.8,,,9,39.6,No,No,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,
Malik Willis,GB,QB,2,2,2,0.5,1,0.5,0.5,-0.2613,2,,21,10.5,1,10.5,13,,,,No,No,1,0.5,0.8194,0.0903,No,0.5,0.5,0.5,2.95,,2.6,6.5,87.5,No,No,1,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,7,,,,,,,,,,,,,,,,,
Will Levis,TEN,QB,5,5,4,1,4,1,1,0.3133,5,,59,14.75,0.3051,10.2,41,,,,Yes,Yes,2,0.4,1.7422,0.0516,No,,0.75,0.5,3.1,,2.4,10.25,118.8,No,No,4,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.95,2.95,12,,,,,1,0.5,0.2,,,2.3,-8,,,,,,
Desmond Ridder,LV,QB,1,1,1,,,,,-0.3161,1,,,,,,43,,,,No,No,,,0.608,-0.608,No,1,1,,4.1,,,43,39.6,No,No,,,,,,,,,,,,,,,5,1,1,1,,,,,,,,,,,,,,
Trey Lance,DAL,QB,1,1,1,,,,,-0.8739,1,,,,,,2,,,,No,No,,,0.4011,-0.4011,No,1,,,2.9,,,2,39.6,No,No,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Kenny Pickett,PHI,QB,2,2,2,,,,,-0.8798,2,1,,,,,1,,,,Yes,No,1,0.5,1.2161,-0.108,No,0.5,0.5,,4.1,,4,1,39.6,No,No,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,0.5,
Dorian Thompson-Robinson,CLV,QB,1,1,1,,,,,,1,1,,,,,,,,,No,No,,,0.6425,-0.6425,No,,,,4.3,,,,39.6,No,No,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
Lamar Jackson,BLT,QB,5,5,5,0.8,4,0.8,0.8,-0.077,5,,49,9.8,0.9184,9.8,6,,,,No,No,2,0.4,1.574,0.0852,No,0.2,1,0.6,2.4,,2.5,1.2,107.5,No,No,3,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,2.45,2.45,17,,,,,,,,,,,,,,,,,
Trevor Lawrence,JAX,QB,5,5,1,0.5,2,0.5,0.5,-0.0592,5,,12,3,0.5833,3,87,,1,6,Yes,Yes,2,0.4,1.9147,0.0171,No,0.5,1,,3.35,4.8,3.3,21.75,56.3,No,No,1,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.2,1.2,10,2,0.5,,,,,,,,,,,,,,,
Bo Nix,DEN,QB,15,13,12,0.75,9,0.75,0.75,0.0016,13,,100,8.3333,0.72,11.3077,94,3,,,Yes,No,5,0.3846,4.7781,0.0171,No,0.25,0.6667,0.4167,2.8833,,2.92,7.8333,138.9,No,Yes,4,22.2,23.2,22.7,23.2,23.2,23.2,22.7,23.2,23.2,23.2,22.7,24.2,24.2,17,1,0.0833,3,,1,0.2,0.0769,,,6.2,-13,1,0.1667,,,0.1538,
Jayden Daniels,WAS,QB,5,5,2,1,3,1,1,0.295,5,,24,8,0.1667,21.3333,28,2,2,2,No,No,1,0.2,1.0652,-0.013,No,,1,0.6667,2.6333,6.3,3.9,9.3333,139.6,No,No,3,9.16,9.16,9.16,9.16,9.16,9.16,9.16,9.16,9.16,9.16,9.16,9.4,9.4,17,,,2,,,,,,,,,,,,,0.2,
Andy Dalton,CAR,QB,2,2,2,1,2,1,1,0.1875,2,,5,2.5,,12.5,6,1,,,Yes,No,1,0.5,0.7504,0.1248,No,,0.5,1,2.75,,3.2,3,118.8,No,Yes,1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.25,4.25,6,,,1,,,,,,,,,,0.5,,,,
Sam Darnold,MIN,QB,13,13,13,0.7692,9,0.6923,0.7692,-0.037,13,,92,7.0769,0.7826,8.6154,51,1,,,Yes,No,,,5.0412,-0.3878,No,0.2308,0.7692,0.6154,2.8231,,,3.9231,114.9,No,Yes,5,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,8.6,8.6,17,,,1,,,,,,,,,,0.0769,10,0.0769,,
Mac Jones,JAX,QB,3,3,3,1,3,1,1,0.0992,3,,21,7,1.0952,7,-2,,,,No,No,1,0.3333,1.1169,-0.039,No,,0.6667,0.6667,2.7333,,2.6,-0.6667,95.8,No,No,1,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,10,,,,,,,,,,,,,,,,,
Russell Wilson,PIT,QB,9,9,9,0.8889,8,0.8889,0.8889,0.0466,9,,64,7.1111,0.7969,7.1111,24,,,,No,No,1,0.1111,3.2472,-0.2497,No,0.1111,0.8889,0.7778,2.6667,,2.2,2.6667,96.3,No,No,4,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,3.2,3.2,11,,,,,,,,,,,,,0.1111,,,,
Anthony Richardson,IND,QB,3,3,3,0.3333,1,0.3333,0.5,-0.3873,3,,5,1.6667,0.8,-13.3333,1,,,,No,No,1,0.3333,0.9099,0.03,No,0.3333,0.6667,0.3333,2.3333,,2.3,0.5,2.8,No,No,,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-1.8,-1.8,-1.8,-1.8,-0.75,-1.75,11,,,,1,,,,0.3333,,,,,,,,0.3333,1
Joe Burrow,CIN,QB,9,9,1,1,4,0.5714,0.8571,0.0149,9,,12,1.7143,1.4167,0.75,13,,1,5,No,No,3,0.3333,2.9453,0.0061,No,,0.4286,0.5714,3.0143,5.4,2.8333,1.8571,62.2,No,No,,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,1.1,1.1,17,,,1,,1,0.3333,0.1111,,,3.6,-6,,0.2857,18,0.2857,,
Jacoby Brissett,NE,QB,4,4,4,0.75,3,0.75,0.75,-0.0565,4,,29,7.25,0.4828,12.25,18,1,,,No,No,2,0.5,1.932,0.017,No,0.25,0.75,0.25,3.375,,2.7,4.5,134.4,No,No,3,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.45,5.45,8,,,,,,,,,,,,,,,,,
Daniel Jones,NYG,QB,3,3,1,0.5,1,0.5,1,0.1052,3,1,3,1.5,1,1.5,,,1,4,No,No,2,0.6667,0.8538,0.3821,No,,0.5,0.5,3.05,5.1,3.85,,56.3,No,No,,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.55,0.55,10,,,,,,,,,,,,,,,,,
Joe Flacco,IND,QB,3,3,3,0.6667,2,0.6667,0.6667,-0.1959,3,,3,1,,14.3333,7,2,,,No,No,1,0.3333,0.8064,0.0645,No,0.3333,1,0.3333,2.1333,,1.8,2.3333,109.7,No,No,2,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.12,8.15,8.15,8,,,2,,,,,,,,,,,,,,
Jimmy Garoppolo,LA,QB,2,2,2,1,2,1,1,0.1052,2,,10,5,1,5,,,,,Yes,No,,,0.6469,-0.3234,No,,1,1,2.45,,,,87.5,No,Yes,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,1,,,,,,,,,,,,,,,,,
C.J. Stroud,HST,QB,15,15,15,0.8667,13,0.8667,0.8667,0.1731,15,,146,9.7333,0.1438,11.0667,192,1,,,Yes,No,1,0.0667,6.1365,-0.3424,Yes,0.1333,0.9333,0.6667,2.9467,,3.6,12.8,129.4,No,Yes,10,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,11.3,11.3,17,2,0.1333,2,,,,,0.0667,0.0667,,,,,,,,
Kyler Murray,ARZ,QB,13,13,13,0.8462,10,0.7692,0.9167,0.1933,13,1,155,11.9231,0.4452,15,106,2,,,No,No,4,0.3077,5.8692,-0.1438,No,0.0769,0.7692,0.3846,3.1923,,2.35,8.8333,155.4,No,No,10,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,15.75,15.75,17,2,0.1538,2,,,,,,0.0769,,,,0.0769,4,0.0769,,
Jared Goff,DET,QB,9,9,1,0.875,7,0.875,0.875,0.0371,9,,55,6.875,0.5455,9.375,26,1,1,1,No,No,,,3.8121,-0.4236,No,0.125,0.625,0.625,3.3375,5.2,,3.25,134.9,No,No,3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.85,6.85,17,,,,,,,,,,,,,0.125,,,,
Tanner McKee,PHI,QB,2,2,2,1,2,1,1,0.2387,2,,18,9,0.2778,19,13,1,,,Yes,No,,,0.8538,-0.4269,No,,1,1,3.05,,,6.5,143.8,No,Yes,1,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.9,4.9,2,,,,,,,,,,,,,,,,,
Tua Tagovailoa,MIA,QB,18,18,18,0.8889,11,0.6111,0.7778,-0.0619,18,,55,3.0556,0.6909,3.0556,52,,,,Yes,No,7,0.3889,7.0291,-0.0016,No,0.1111,0.6667,0.7222,2.8389,,2.3143,2.8889,65.7,No,No,1,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.75,2.75,11,,,,,,,,,,,,,0.0556,10,0.1667,0.1111,
Gardner Minshew,LV,QB,6,6,6,0.8333,5,0.8333,0.8333,0.036,6,,62,10.3333,0.7419,2.8333,22,,,,No,No,,,2.9928,-0.4988,No,0.1667,0.6667,0.3333,3.4667,,,3.6667,70.1,No,No,3,1.48,1.48,1.48,1.48,1.48,1.48,1.48,0.48,0.48,0.48,0.48,2.1,1.1,10,,,1,1,,,,0.1667,,,,,0.1667,,,,
Caleb Williams,CHI,QB,6,6,5,0.8,4,0.8,1,0.1339,6,1,23,4.6,1.2174,6.1667,2,1,,,No,No,2,0.3333,1.5395,0.0767,No,,0.8,0.6,2.36,,2.2,0.5,125.4,No,No,2,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,5.15,5.15,17,,,1,,1,0.5,0.1667,,,2.9,-6,,,,,,
Brock Purdy,SF,QB,18,18,2,0.8,11,0.7333,0.8,-0.0099,18,,135,9,0.5926,11.8125,65,3,2,16,Yes,No,7,0.3889,5.1188,0.1045,No,0.2,0.8667,0.2667,2.5533,4.3,2.6,4.3333,140.3,No,Yes,7,19,19,19,19,19,19,19,19,19,19,19,20.35,20.35,15,1,0.0667,2,,1,0.1429,0.0556,,,4.9,-6,1,0.0667,-5,0.0667,,
Justin Fields,PIT,QB,8,8,1,0.8571,6,0.8571,0.8571,0.1734,8,,77,11,0.2078,13.8571,80,1,1,4,No,No,2,0.25,3.1006,-0.1376,No,0.1429,0.8571,0.7143,3.1429,4.3,3.35,11.4286,152.1,No,No,4,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,8.25,8.25,10,1,0.1429,,,,,,,,,,,,,,,
Geno Smith,SEA,QB,7,7,6,1,6,1,1,0.1303,7,,53,8.8333,0.8113,8.2857,10,1,,,Yes,No,1,0.1429,2.182,-0.1689,No,,0.5,0.6667,2.6833,,2.1,1.6667,143.1,No,Yes,5,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.65,6.65,17,,,,,1,1,0.1429,,,3.1,-15,,0.1667,,,,
Drake Maye,NE,QB,5,5,2,0.6667,1,0.3333,1,0.1261,5,1,5,1.6667,0.6,1.6667,4,,2,20,No,No,2,0.4,1.1341,0.1732,No,,0.6667,,2.7667,5.05,2.2,2,42.4,No,No,,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.25,2.25,13,,,1,,,,,,,,,,,2,0.3333,,
Justin Herbert,LAC,QB,2,2,2,0.5,1,0.5,0.5,-0.2538,2,,-6,-3,0.1667,-3,11,,,,No,No,,,0.7331,-0.3666,No,0.5,1,0.5,2.7,,,5.5,56.3,No,No,,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.3,-0.3,17,,,,,,,,,,,,,,,,,
Patrick Mahomes,KC,QB,14,14,1,0.75,8,0.6667,0.8182,0.0358,14,1,71,5.9167,0.3803,6.5385,61,1,1,4,Yes,No,5,0.3571,5.0196,-0.0014,No,0.0833,0.6667,0.3333,3,2.2,2.84,5.5455,110.1,No,Yes,7,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.95,7.95,16,,,1,,1,0.2,0.0714,,,4.7,-6,1,,3,0.0833,0.0714,
Aidan O'Connell,LV,QB,2,2,2,1,1,0.5,0.5,-0.0515,2,,7,3.5,0.8571,3.5,48,,,,No,No,,,1.3024,-0.6512,No,,1,0.5,4.35,,,24,58.3,No,No,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,9,1,0.5,,,,,,,,,,,,,,,
Matthew Stafford,LA,QB,20,20,20,0.8,14,0.7,0.8889,0.1133,20,1,164,8.2,0.5061,10.2,117,2,,,Yes,No,2,0.1,7.814,-0.2907,Yes,0.1,0.85,0.5,2.84,,2,6.5,127.9,No,No,7,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,16.2,16.2,16,2,0.1,2,,,,,0.05,0.1,,,,,16,0.1,,1
Hendon Hooker,DET,QB,1,1,1,,,,,-0.7119,1,,,,,,8,,,,No,No,1,1,0.4701,0.5299,No,1,1,,3.3,,3.2,8,39.6,No,No,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Tyler Huntley,MIA,QB,3,3,3,0.6667,2,0.6667,0.6667,-0.1282,3,,14,4.6667,0.2857,4.6667,14,,,,No,No,,,1.3757,-0.4586,No,0.3333,0.3333,,3.2333,,,4.6667,77.1,No,No,1,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.7,0.7,5,,,,,,,,,,,,,0.3333,,,,
Aaron Rodgers,NYJ,QB,11,11,11,0.7273,7,0.6364,0.6364,-0.1185,11,,79,7.1818,0.3038,9,68,1,,,Yes,No,2,0.1818,6.3263,-0.3933,Yes,0.1818,0.8182,0.6364,3.9091,,5.5,6.1818,115.3,No,No,5,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.95,7.95,17,,,3,,,,,,,,,,0.0909,,,,
Baker Mayfield,TB,QB,2,2,1,,,,,-0.8739,2,,,,,-5.5,2,,,,No,No,2,1,0.2458,0.8771,No,1,1,,2,,1.95,2,39.6,No,No,,,,,,,,,,,,,,,17,,,,,1,0.5,0.5,,,2.5,-11,,,,,,
Mason Rudolph,TEN,QB,5,5,5,1,5,1,1,0.201,5,,76,15.2,0.7105,15.2,22,,,,No,No,,,2.0225,-0.4045,No,,0.8,0.8,2.92,,,4.4,118.8,No,No,5,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.8,3.8,8,,,,,,,,,,,,,,,,,
Deshaun Watson,CLV,QB,6,6,5,0.6,3,0.6,1,0.1672,6,1,22,4.4,0.7273,5.5,11,1,,,No,No,4,0.6667,2.195,0.3008,No,,0.6,0.4,3.12,,2.675,2.75,110,No,No,2,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,5.1,5.1,7,,,1,,1,0.25,0.1667,,,3.3,-9,,,,,,
Dak Prescott,DAL,QB,7,7,1,0.8333,5,0.8333,0.8333,0.1174,7,,81,13.5,0.5309,6,52,,1,3,Yes,No,,,2.8548,-0.4078,No,0.1667,0.5,0.1667,3.3333,4,,8.6667,79.2,No,Yes,4,2.54,2.54,2.54,2.54,2.54,2.54,2.54,1.54,1.54,1.54,1.54,3.35,2.35,8,,,,1,,,,0.1667,,,,,0.1667,,,,
Spencer Rattler,NO,QB,5,5,5,0.8,4,0.8,0.8,0.2732,5,,111,22.2,0.2793,26.2,96,1,,,Yes,No,1,0.2,2.816,-0.3632,Yes,0.2,0.8,0.6,3.84,,3.9,19.2,158.3,No,No,3,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,9.55,9.55,7,3,0.6,1,,,,,,,,,,,,,,
Tommy DeVito,NYG,QB,2,2,2,1,2,1,1,0.1942,2,,10,5,0.1,5,9,,,,No,No,1,0.5,0.6814,0.1593,No,,1,0.5,2.55,,2.9,4.5,87.5,No,Yes,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,3,,,,,,,,,,,,,,,,,
Joe Milton,NE,QB,1,1,1,1,1,1,1,0.3722,1,,15,15,0.1333,15,13,,,,Yes,Yes,1,1,0.4528,0.5472,No,,1,,3.2,,3,13,118.8,No,Yes,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,1,,,,,,,,,,,,,,,,,
Tim Boyle,NYG,QB,2,2,2,0.5,1,0.5,0.5,-0.018,2,,17,8.5,0.4706,-14,43,,,,Yes,No,,,0.6986,-0.3493,No,0.5,1,0.5,2.6,,,21.5,39.6,No,No,1,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-1.32,-1.32,-1.32,-1.32,-0.15,-1.15,3,1,0.5,,1,,,,0.5,,,,,,,,,
Bryce Young,CAR,QB,10,9,1,0.5714,4,0.5714,0.5714,-0.2881,9,,15,2.1429,1.4,0.875,11,,1,3,Yes,No,4,0.4444,3.0144,0.1095,No,0.4286,0.7143,0.1429,3.0714,5.7,2.65,1.5714,62.2,No,Yes,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.05,1.05,14,,,,,1,0.25,0.1111,,,3.5,-8,,,,,0.1111,
