teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage
1,Arizona,Cardinals,1,SF,NFC,NFC West,Open,Open,Cover 6,14,16,Yes,No,No,73,16,No,1,Yes,9,0.5625,1,0.2192,8,1,0.5,196,21,10,407,1,,1,0.0625,0.3125,0.625,11,0.6875,25.4375,89.6,2.6849,12.25,0.6326,0.0625,24.5,2.625,1.25,8,,,,,
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Open,Cover 6,16,28,No,No,Yes,132,28,No,9,Yes,20,0.7143,3,0.2121,16,6,0.5714,485,106,49,613,5,2,2,0.0357,0.5714,0.3571,25,0.8929,21.8929,111.6,3.6742,17.3214,5.6035,0.0714,30.3125,6.625,3.0625,15,3,1,1,0.0625,0.0357
14,Indianapolis,Colts,1,JAX,AFC,AFC South,Closed,Closed,Cover 3,16,15,Yes,Yes,No,72,15,No,2,Yes,7,0.4667,1,0.2083,6,1,0.4,217,35,14,382,,,,0.0667,0.3333,0.6,13,0.8667,25.4667,59.7,3.0139,14.4667,2.7291,,36.1667,5.8333,2.3333,5,,1,1,0.1667,
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Closed,Cover 3,15,27,Yes,Yes,Yes,123,27,No,3,Yes,16,0.5926,,0.2195,12,2,0.4444,368,65,20,633,2,,2,,0.4074,0.5926,23,0.8519,23.4444,115.9,2.9919,13.6296,2.0434,0.0741,30.6667,5.4167,1.6667,12,1,2,1,0.0833,
10,Denver,Broncos,,CIN,AFC,AFC North,Open,Open,Cover 4,16,18,Yes,Yes,No,83,17,Yes,2,Yes,12,0.7059,1,0.2048,11,2,0.6471,338,114,43,398,2,,,,0.2941,0.7059,13,0.7647,23.4118,122.8,4.0723,19.8824,8.0115,,30.7273,10.3636,3.9091,11,,,2,0.1818,
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 6,17,16,Yes,No,No,73,16,No,2,No,9,0.5625,2,0.2192,8,1,0.5,168,23,11,299,1,1,,,0.3125,0.6875,9,0.5625,18.6875,82.3,2.3014,10.5,0.1011,,21,2.875,1.375,8,,2,1,0.125,
31,Tennessee,Titans,1,HST,AFC,AFC South,Open,Closed,Cover 3,15,14,No,Yes,No,64,14,No,3,Yes,8,0.5714,1,0.2188,6,1,0.4286,152,43,7,292,1,,,0.0714,0.4286,0.5,11,0.7857,20.8571,67.3,2.375,10.8571,-0.2482,,25.3333,7.1667,1.1667,5,,,,,
22,New England,Patriots,1,BUF,AFC,AFC East,Open,Open,Cover 6,17,21,No,No,Yes,92,20,No,5,Yes,13,0.65,2,0.2174,10,2,0.5,341,82,18,548,1,,1,0.05,0.5,0.45,14,0.7,27.4,72.9,3.7065,17.05,4.4416,0.05,34.1,8.2,1.8,10,,2,1,0.1,
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Open,Open,Cover 6,14,20,Yes,No,No,82,19,No,4,Yes,15,0.7895,1,0.2317,12,1,0.6316,386,110,27,456,4,1,1,0.1053,0.3684,0.5263,15,0.7895,24,124.5,4.7073,20.3158,8.7396,0.0526,32.1667,9.1667,2.25,12,,1,2,0.1667,
17,Los Angeles,Rams,1,SEA,NFC,NFC West,Open,Open,Cover 6,14,19,Yes,No,No,84,19,No,2,No,12,0.6316,2,0.2262,9,1,0.4737,202,39,7,431,2,2,1,0.0526,0.3684,0.5789,11,0.5789,22.6842,99,2.4048,10.6316,-0.7652,0.0526,22.4444,4.3333,0.7778,9,1,,,,
3,Baltimore,Ravens,1,CLV,AFC,AFC North,Closed,Closed,Cover 3,16,25,No,No,Yes,108,25,No,2,No,18,0.72,1,0.2315,16,1,0.64,463,126,23,583,3,1,,0.08,0.4,0.52,20,0.8,23.32,130.4,4.287,18.52,6.5353,,28.9375,7.875,1.4375,15,,,2,0.125,
12,Green Bay,Packers,1,CHI,NFC,NFC North,Closed,Closed,Cover 3,16,28,Yes,Yes,Yes,130,28,No,4,Yes,17,0.6071,2,0.2154,15,2,0.5357,320,64,22,532,1,1,1,0.0714,0.3214,0.6071,23,0.8214,19,66.7,2.4615,11.4286,0.4488,0.0357,21.3333,4.2667,1.4667,15,2,,1,0.0667,
20,Miami,Dolphins,,NYJ,AFC,AFC East,Closed,Open,Cover 2,17,19,Yes,No,No,85,19,No,2,Yes,12,0.6316,1,0.2235,10,1,0.5263,261,40,14,400,1,,1,0.1053,0.5789,0.3158,12,0.6316,21.0526,93.6,3.0706,13.7368,3.0713,0.0526,26.1,4,1.4,8,2,,,,
25,New York,Jets,1,MIA,AFC,AFC East,Closed,Open,Cover 2,17,17,Yes,No,No,79,16,No,1,Yes,10,0.625,,0.2025,9,,0.5625,205,39,15,363,,,1,,0.4375,0.5625,11,0.6875,22.6875,75,2.5949,12.8125,1.5284,0.0625,22.7778,4.3333,1.6667,9,,,1,0.1111,
18,Los Angeles,Chargers,,LV,AFC,AFC West,Open,Open,Cover 2,16,24,No,No,No,112,24,Yes,4,No,18,0.75,6,0.2143,15,1,0.625,406,42,10,607,4,2,1,0.0417,0.375,0.5833,20,0.8333,25.2917,111.1,3.625,16.9167,4.9076,0.0417,27.0667,2.8,0.6667,15,3,1,,,
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Closed,Closed,Cover 3,17,31,Yes,Yes,No,144,31,No,2,Yes,17,0.5484,2,0.2153,16,1,0.5161,519,178,47,726,5,1,,0.0968,0.4839,0.4194,25,0.8065,23.4194,136.8,3.6042,16.7419,5.4777,,32.4375,11.125,2.9375,16,1,2,6,0.375,
13,Houston,Texans,,TEN,AFC,AFC South,Open,Closed,Cover 3,17,23,No,Yes,No,102,23,No,2,Yes,11,0.4783,2,0.2255,7,1,0.3043,257,32,19,696,2,,3,,0.3913,0.6087,15,0.6522,30.2609,66.8,2.5196,11.1739,-0.5041,0.1304,36.7143,4.5714,2.7143,7,,,2,0.2857,
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 0,17,44,No,Yes,Yes,187,43,No,6,No,29,0.6744,4,0.2299,23,3,0.5349,489,51,17,909,3,2,3,0.0698,0.5116,0.4186,38,0.8837,21.1395,97.9,2.615,11.3721,-0.0158,0.0698,21.2609,2.2174,0.7391,23,5,3,,,
23,New Orleans,Saints,1,LV,AFC,AFC West,Open,Closed,Cover 3,16,18,No,Yes,No,84,18,Yes,5,Yes,10,0.5556,2,0.2143,5,,0.2778,107,10,3,366,,,,,0.5,0.5,13,0.7222,20.3333,12.3,1.2738,5.9444,-5.3829,,21.4,2,0.6,5,1,,,,
11,Detroit,Lions,1,MIN,NFC,NFC North,Open,Open,Cover 0,15,21,No,Yes,Yes,92,21,No,,No,4,0.1905,2,0.2283,4,,0.1905,97,16,5,430,1,,,,0.381,0.619,16,0.7619,20.4762,22.6,1.0543,4.619,-6.0075,,24.25,4,1.25,4,1,,2,0.5,
19,Las Vegas,Raiders,1,LAC,AFC,AFC West,Open,Open,Cover 2,15,18,No,No,No,82,18,Yes,6,No,14,0.7778,1,0.2195,11,4,0.6111,264,54,7,320,1,,1,0.0556,0.5556,0.3889,14,0.7778,17.7778,123.6,3.2195,14.6667,3.4796,0.0556,24,4.9091,0.6364,11,2,,,,
9,Dallas,Cowboys,1,WAS,NFC,NFC East,Closed,Closed,Cover 3,12,15,Yes,No,No,70,15,No,1,Yes,7,0.4667,1,0.2143,5,,0.3333,165,43,5,421,1,,1,,0.4,0.6,13,0.8667,28.0667,58.3,2.3571,11,-1.2473,0.0667,33,8.6,1,5,,,,,
