Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage
Rhamondre Stevenson,NE,RB,95,Yes,No,No,65,8,No,Yes,2,0.25,0.1231,32,2,0.7385,0.0923,0.1385,3,2,0.25,4,39.6,-6.967,0.25,16.48,16.48,0.1067,2,15,,1,1,0.0308
Brenton Strange,JAX,TE,103,No,Yes,No,83,14,Yes,Yes,6,0.4286,0.1687,158,3,0.012,0.4819,0.1325,10,,,11.2857,39.6,-7.4931,0.2143,33.7266,33.7266,0.1538,4,17,3,3,2,0.3735
Mike Williams,PIT,WR,111,No,No,No,103,11,No,Yes,3,0.2727,0.1068,236,1,,0.165,0.835,8,,,21.4545,39.6,-10.9671,0.0909,33.2002,33.2002,0.1279,2,18,3,2,5,
Derius Davis,LAC,WR,13,No,No,Yes,12,2,No,No,,,0.1667,51,,,0.3333,0.6667,2,,,25.5,39.6,-12.25,,3.5306,3.5306,0.4,,15,,,2,
Kylen Granson,IND,TE,93,No,Yes,No,84,14,Yes,Yes,7,0.5,0.1667,240,4,0.0119,0.4524,0.1548,8,,,17.1429,39.6,-9.0011,0.2857,24.4211,24.4211,0.1795,2,17,3,,5,0.381
John Ross,PHI,WR,1,No,No,Yes,1,1,No,No,,,1,48,,,,1,1,,,48,39.6,-15,,4.1091,4.1091,1,,1,,1,1,
Devin Thompkins,CAR,WR,7,Yes,No,No,7,,No,No,,,,,,,0.8571,0.1429,,,,,,,,,,,,7,,,,
Terrace Marshall,LV,WR,24,No,No,Yes,22,2,No,No,,,0.0909,8,,,0.2273,0.7727,1,,,4,39.6,-6.628,,4.5937,4.5937,0.125,,7,,,,
Kimani Vidal,LAC,RB,33,No,No,Yes,22,3,No,No,3,1,0.1364,4,2,0.9091,,0.0909,1,,,1.3333,39.6,-6.241,0.6667,4.3314,4.3314,0.1304,,10,1,,,
Mason Tipton,NO,WR,83,No,Yes,No,81,12,No,Yes,2,0.1667,0.1481,247,1,,0.2716,0.7284,8,,,20.5833,39.6,-9.8794,0.0833,23.6936,23.6936,0.1791,,11,,,6,
