Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage
Jonathan Taylor,IND,RB,107,No,Yes,No,84,11,Yes,Yes,4,0.3636,0.131,-3,2,0.9524,0.0119,0.0357,5,2,0.1818,-0.2727,39.6,-5.9808,0.1818,15.7881,15.7881,0.1236,1,14,,,,
Troy Franklin,DEN,WR,80,No,No,No,77,20,No,Yes,4,0.2,0.2597,570,3,,0.3247,0.6753,17,1,0.05,28.5,39.6,-11.6599,0.15,44.2799,44.2799,0.3226,3,16,1,4,15,
Javon Baker,NE,WR,13,No,Yes,No,13,3,No,No,,,0.2308,41,,,0.0769,0.9231,3,,,13.6667,39.6,-9.8378,,5.0181,5.0181,0.2727,,10,,,,
Laquon Treadwell,IND,WR,2,No,No,No,2,,No,No,,,,,,,0.5,0.5,,,,,,,,,,,,2,,,,
Dante Pettis,NO,WR,43,No,Yes,Yes,43,12,No,Yes,2,0.1667,0.2791,157,1,,0.4651,0.5349,10,1,0.0833,13.0833,39.6,-8.6653,0.0833,20.9497,20.9497,0.3636,2,8,,2,4,
Tyler Goodson,IND,RB,30,No,Yes,No,25,3,Yes,Yes,1,0.3333,0.12,20,1,0.84,,0.16,3,1,0.3333,6.6667,39.6,-7.9224,0.3333,5.4859,5.4859,0.1429,,16,,,1,
Jordan Mason,SF,RB,55,No,No,No,44,3,No,Yes,,,0.0682,22,,0.6591,0.1591,0.1818,,,,7.3333,39.6,-7.2337,,5.394,5.394,0.0682,1,12,,,,
Grant DuBose,MIA,WR,9,No,Yes,No,7,1,No,Yes,,,0.1429,16,,,0.7143,0.2857,1,,,16,39.6,-10.0952,,3.6503,3.6503,0.1111,,3,,,,
Feleipe Franks,CAR,TE,6,No,No,No,4,2,Yes,Yes,1,0.5,0.5,33,,0.25,0.5,,2,,,16.5,39.6,-11.8062,,3.5837,3.5837,0.5,,15,1,,,0.25
Tre Tucker,LV,WR,197,No,No,Yes,184,32,No,No,8,0.25,0.1739,630,2,,0.2337,0.7663,25,1,0.0312,19.6875,39.6,-10.232,0.0625,65.2527,65.2527,0.2238,,17,6,1,14,
Tim Jones,JAX,WR,18,No,Yes,No,18,2,Yes,Yes,,,0.1111,14,,,0.3333,0.6111,2,,,7,39.6,-7.2299,,2.501,2.501,0.1429,,16,,,,0.0556
Michael Pittman,IND,WR,178,No,Yes,No,170,35,Yes,Yes,15,0.4286,0.2059,541,3,,0.3059,0.6941,30,1,0.0286,15.4571,39.6,-9.5701,0.0857,68.1658,68.1658,0.2381,6,16,11,4,9,
Malik Washington,MIA,WR,67,No,Yes,No,59,10,No,No,4,0.4,0.1695,97,2,,0.5085,0.4746,9,1,0.1,9.7,39.6,-7.8335,0.2,18.4756,18.4756,0.2041,,14,3,1,2,0.0169
Greg Dortch,ARZ,WR,80,No,Yes,No,78,11,No,No,5,0.4545,0.141,149,2,0.0256,0.5769,0.3974,6,,,13.5455,39.6,-8.8243,0.1818,18.7018,18.7018,0.1618,,17,4,,4,
Terrell Jennings,NE,RB,6,No,Yes,No,5,2,No,No,,,0.4,22,,1,,,1,1,0.5,11,39.6,-6.5447,,5.0535,5.0535,0.5,,2,,,1,
Tip Reiman,ARZ,TE,39,No,Yes,No,19,1,No,No,,,0.0526,4,,,0.1053,0.1053,,,,4,39.6,-6.0667,,2.9117,2.9117,0.037,,17,,,,0.7895
Tyrell Shavers,BUF,WR,6,No,Yes,No,6,,No,Yes,,,,,,,0.8333,0.1667,,,,,,,,,,,,3,,,,
Javonte Williams,DEN,RB,125,No,No,No,81,14,No,Yes,6,0.4286,0.1728,35,4,0.9506,0.0123,0.0123,3,1,0.0714,2.5,39.6,-6.2477,0.2857,26.8026,26.8026,0.1414,3,17,,,,0.0247
Cam Akers,MIN,RB,40,No,Yes,Yes,27,2,No,No,,,0.0741,-5,,0.9259,,0.037,2,1,0.5,-2.5,39.6,-5.6945,,2.933,2.933,0.0769,1,16,,,,0.037
JaMycal Hasty,NE,RB,21,Yes,No,No,17,2,No,Yes,,,0.1176,4,,0.5882,,0.2941,1,,,2,39.6,-6.2445,,3.0993,3.0993,0.1538,,13,,,,0.1176
Courtland Sutton,DEN,WR,158,No,No,No,147,45,No,Yes,17,0.3778,0.3061,759,8,,0.1973,0.8027,36,,,16.8667,39.6,-9.8318,0.1778,99.7722,99.7722,0.3659,8,17,8,8,12,
DJ Chark,LAC,WR,15,No,No,Yes,15,5,No,No,,,0.3333,84,,,0.2,0.8,3,,,16.8,39.6,-10.0673,,10.9781,10.9781,0.3846,1,7,,1,1,
Audric Estime,DEN,RB,6,No,No,No,1,,No,Yes,,,,,,1,,,,,,,,,,,,,,13,,,,
Charlie Kolar,BLT,TE,14,No,No,Yes,8,2,No,No,1,0.5,0.25,11,,,0.25,,1,,,5.5,39.6,-6.6873,,2.866,2.866,0.1667,,13,1,,,0.75
Darnell Washington,PIT,TE,68,No,No,No,41,3,No,Yes,1,0.3333,0.0732,27,,,0.0732,0.122,3,1,0.3333,9,39.6,-8.5854,,7.7311,7.7311,0.0667,,17,,,1,0.8049
Zach Ertz,WAS,TE,116,No,No,No,110,19,No,No,6,0.3158,0.1727,198,3,0.0091,0.5273,0.1364,13,,,10.4211,39.6,-8.3379,0.1579,41.0826,41.0826,0.2088,5,17,4,3,3,0.3273
Davis Allen,LA,TE,46,No,No,No,40,7,No,No,1,0.1429,0.175,43,,0.025,0.15,0.175,5,1,0.1429,6.1429,39.6,-7.2811,,13.6578,13.6578,0.1944,4,14,,2,1,0.65
Brady Russell,SEA,TE,1,No,No,No,1,,No,No,,,,,,1,,,,,,,,,,,,,,11,,,,
John Samuel Shenker,LV,TE,11,No,No,No,4,,No,No,,,,,,,0.25,,,,,,,,,,,,,7,,,,0.75
Hunter Henry,NE,TE,142,Yes,No,No,127,20,No,Yes,7,0.35,0.1575,230,1,,0.5748,0.0551,14,1,0.05,11.5,39.6,-8.225,0.05,40.456,40.456,0.1923,5,16,7,5,4,0.3701
Dalton Kincaid,BUF,TE,97,No,Yes,No,91,27,No,Yes,5,0.1852,0.2967,414,3,0.022,0.6264,0.1538,14,,,15.3333,39.6,-8.9968,0.1111,57.1011,57.1011,0.3506,4,13,3,3,7,0.1978
Nelson Agholor,BLT,WR,68,No,No,No,64,13,No,No,8,0.6154,0.2031,228,1,,0.5312,0.4375,8,,,17.5385,39.6,-9.5897,0.0769,21.1616,21.1616,0.25,,14,5,,7,0.0312
Jakobi Meyers,LV,WR,171,No,No,Yes,158,34,No,No,7,0.2059,0.2152,465,2,,0.3038,0.6962,25,,,13.6765,39.6,-9.2177,0.0588,71.7183,71.7183,0.2656,7,15,5,6,8,
Jahmyr Gibbs,DET,RB,90,No,Yes,Yes,73,9,No,No,2,0.2222,0.1233,41,1,0.8904,0.0548,0.0548,3,1,0.1111,4.5556,39.6,-7.0811,0.1111,16.3466,16.3466,0.1364,3,17,1,,1,
D.J. Turner,LV,WR,81,No,No,No,79,9,No,No,1,0.1111,0.1139,132,,0.0253,0.6835,0.2911,4,,,14.6667,39.6,-9.016,,16.0622,16.0622,0.1837,2,12,,,4,
Gabe Davis,JAX,WR,79,No,Yes,Yes,72,20,Yes,Yes,7,0.35,0.2778,349,2,,0.1944,0.8056,15,,,17.45,39.6,-10.2711,0.1,46.0794,46.0794,0.2899,6,10,3,6,5,
Ian Thomas,CAR,TE,10,No,Yes,Yes,4,1,No,No,1,1,0.25,4,1,,,,1,,,4,39.6,-6.0667,1,1.4953,1.4953,0.125,,5,,,,1
Zay Flowers,BLT,WR,133,No,No,Yes,129,41,No,No,9,0.2195,0.3178,633,6,,0.4574,0.5426,25,3,0.0732,15.439,39.6,-9.2045,0.1463,89.1747,89.1747,0.3981,4,17,4,5,13,
Odell Beckham,MIA,WR,26,No,Yes,No,26,9,No,No,2,0.2222,0.3462,126,2,,0.5,0.5,8,,,14,39.6,-9.5105,0.2222,19.4022,19.4022,0.4091,3,9,,3,1,
Michael Wilson,ARZ,WR,134,Yes,No,No,128,19,No,No,5,0.2632,0.1484,319,2,,0.3359,0.6641,17,,,16.7895,39.6,-9.3954,0.1053,43.9547,43.9547,0.1827,2,16,5,4,6,
Cody White,SEA,WR,8,No,Yes,No,7,1,No,No,,,0.1429,9,,,,1,1,,,9,39.6,-7.4539,,3.3651,3.3651,0.2,,4,,,,
River Cracraft,MIA,WR,21,No,Yes,No,17,1,No,No,1,1,0.0588,14,1,0.0588,0.3529,0.5882,1,,,14,39.6,-9.8134,1,1.7719,1.7719,0.0909,,8,,,,
Eric Tomlinson,LAC,TE,17,No,Yes,Yes,9,2,No,No,2,1,0.2222,9,1,,,0.1111,1,,,4.5,39.6,-6.2734,0.5,3.6046,3.6046,0.1667,1,9,1,,,0.8889
Xavier Hutchinson,HST,WR,90,No,Yes,No,86,11,No,No,2,0.1818,0.1279,166,1,0.0116,0.314,0.6744,8,,,15.0909,39.6,-9.3521,0.0909,30.5973,30.5973,0.1549,2,16,1,3,2,
Simi Fehoko,LAC,WR,40,No,No,No,36,11,No,Yes,3,0.2727,0.3056,214,,,0.1389,0.8611,10,,,19.4545,39.6,-10.3626,,26.1637,26.1637,0.3667,2,8,4,4,4,
Tay Martin,TEN,WR,2,No,Yes,No,2,1,No,No,1,1,0.5,40,,,,1,1,,,40,39.6,-15,,2.7778,2.7778,0.5,,1,1,,1,
Ezekiel Elliott,DAL,RB,45,No,No,No,30,3,No,No,,,0.1,-1,,0.7667,0.1,0.1333,2,,,-0.3333,39.6,-5.9182,,5.1607,5.1607,0.0833,1,15,,,,
Stone Smartt,LAC,TE,31,No,No,Yes,27,3,No,No,2,0.6667,0.1111,52,1,,0.4074,0.2963,2,,,17.3333,39.6,-12.0458,0.3333,8.2113,8.2113,0.1304,,14,,,,0.2963
T.J. Hockenson,MIN,TE,94,No,Yes,Yes,90,15,No,No,8,0.5333,0.1667,174,4,,0.4,0.1,9,,,11.6,39.6,-9.0452,0.2667,29.0053,29.0053,0.2381,3,10,4,2,2,0.5
Tim Patrick,DET,WR,75,No,Yes,Yes,71,9,No,No,3,0.3333,0.1268,171,1,,0.2113,0.7887,8,,,19,39.6,-10.9685,0.1111,23.6278,23.6278,0.1579,2,16,2,2,5,
Josh Reynolds,JAX,WR,68,No,Yes,No,66,11,Yes,Yes,3,0.2727,0.1667,100,1,,0.2273,0.7727,9,,,9.0909,39.6,-8.0378,0.0909,19.205,19.205,0.1897,1,9,2,1,,
Noah Gray,KC,TE,95,No,No,No,77,5,No,Yes,1,0.2,0.0649,48,1,0.026,0.2338,0.1558,4,,,9.6,39.6,-8.0768,0.2,9.2845,9.2845,0.0704,,17,,,1,0.5844
Brian Thomas,JAX,WR,162,No,Yes,No,157,37,Yes,Yes,17,0.4595,0.2357,610,10,,0.2611,0.7389,35,,,16.4865,39.6,-9.3915,0.2703,77.1997,77.1997,0.2741,4,17,7,6,14,
DeAndre Hopkins,KC,WR,97,No,Yes,No,92,22,No,No,7,0.3182,0.2391,398,1,,0.1957,0.8043,16,,,18.0909,39.6,-9.8619,0.0455,65.0535,65.0535,0.2716,6,16,7,6,7,
Devin Culp,TB,TE,5,No,Yes,Yes,5,1,No,Yes,,,0.2,15,,,0.6,0.4,,,,15,39.6,-10.6391,,3.9148,3.9148,0.2,1,5,,,,
Tyrone Tracy,NYG,RB,122,No,Yes,No,78,12,No,No,6,0.5,0.1538,17,5,0.8333,0.0641,0.1026,5,2,0.1667,1.4167,39.6,-6.4065,0.4167,19.4433,19.4433,0.1304,,17,1,,,
Michael Mayer,LV,TE,81,No,No,Yes,58,11,No,No,4,0.3636,0.1897,95,2,0.0172,0.3966,0.0862,5,,,8.6364,39.6,-7.6787,0.1818,20.3602,20.3602,0.1746,2,11,3,,1,0.5
Marvin Harrison,ARZ,WR,142,No,Yes,No,137,48,No,No,20,0.4167,0.3504,728,3,,0.2482,0.7518,45,,,15.1667,39.6,-9.5969,0.0625,106.0411,106.0411,0.4528,8,17,17,9,13,
Collin Johnson,CHI,WR,5,No,No,No,5,1,No,No,1,1,0.2,13,,,0.4,0.6,,,,13,39.6,-8.9145,,1.7237,1.7237,0.5,,9,1,,,
Mo Alie-Cox,IND,TE,74,No,Yes,No,46,9,Yes,Yes,2,0.2222,0.1957,110,1,,0.2826,0.0217,6,,,12.2222,39.6,-9.2406,0.1111,18.0541,18.0541,0.15,4,17,2,3,3,0.6957
Bryce Oliver,TEN,WR,6,No,Yes,No,6,2,No,No,,,0.3333,23,,,,1,2,,,11.5,39.6,-8.9602,,3.4244,3.4244,0.5,1,10,,,,
Austin Hooper,NE,TE,77,No,Yes,No,70,13,No,No,3,0.2308,0.1857,173,1,,0.3,0.0714,11,,,13.3077,39.6,-8.3178,0.0769,24.8478,24.8478,0.2167,4,17,2,3,3,0.6286
Justin Watson,KC,WR,112,No,No,No,102,9,No,Yes,4,0.4444,0.0882,242,3,,0.3137,0.6765,5,,,26.8889,39.6,-11.1881,0.3333,16.4626,16.4626,0.1059,,17,1,2,6,0.0098
Rashee Rice,KC,WR,22,Yes,Yes,Yes,22,4,No,No,3,0.75,0.1818,32,2,,0.5,0.5,4,,,8,39.6,-7.4398,0.5,7.9685,7.9685,0.3077,,4,1,,,
Ty Chandler,MIN,RB,26,No,No,No,20,,No,No,,,,,,0.65,0.05,,,,,,,,,3.8848,3.8848,,,15,,,,0.3
Britain Covey,PHI,WR,2,No,No,No,2,1,No,Yes,1,1,0.5,4,1,,1,,1,,,4,39.6,-6.0498,1,1.4508,1.4508,0.5,,5,,,,
Jaylen Wright,MIA,RB,23,No,Yes,No,19,3,No,No,2,0.6667,0.1579,-8,2,0.6842,0.2105,0.1053,,,,-2.6667,39.6,-5.9627,0.6667,4.6768,4.6768,0.1667,,15,,,,
Tyler Scott,CHI,WR,2,No,No,No,1,,No,No,,,,,,,,1,,,,,,,,,,,,11,,,,
Ihmir Smith-Marsette,NYG,WR,1,No,Yes,No,1,,No,No,,,,,,,1,,,,,,,,,,,,,15,,,,
Keon Coleman,BUF,WR,109,No,Yes,No,108,25,No,No,10,0.4,0.2315,461,4,,0.1019,0.8981,21,,,18.44,39.6,-9.5573,0.16,66.4684,66.4684,0.2874,6,13,7,5,12,
Lil'Jordan Humphrey,DEN,WR,82,No,No,No,72,11,No,Yes,4,0.3636,0.1528,163,1,,0.625,0.3611,6,,,14.8182,39.6,-8.9776,0.0909,25.9064,25.9064,0.1774,4,17,2,3,3,0.0139
Jordan Addison,MIN,WR,137,No,Yes,Yes,134,29,No,No,9,0.3103,0.2164,588,3,,0.3209,0.6791,19,,,20.2759,39.6,-10.5913,0.1034,65.5036,65.5036,0.29,2,15,4,7,13,
Tyler Lockett,SEA,WR,129,No,No,No,125,17,No,No,5,0.2941,0.136,266,2,,0.296,0.704,13,,,15.6471,39.6,-9.1408,0.1176,51.6855,51.6855,0.1828,5,17,3,5,5,
De'Von Achane,MIA,RB,98,No,Yes,No,81,7,No,No,3,0.4286,0.0864,38,1,0.5926,0.2593,0.1481,5,2,0.2857,5.4286,39.6,-7.3421,0.1429,19.4794,19.4794,0.0959,2,17,1,2,1,
Mike Evans,TB,WR,93,No,Yes,Yes,92,27,No,Yes,10,0.3704,0.2935,430,6,,0.3261,0.6739,22,,,15.9259,39.6,-9.7597,0.2222,69.8109,69.8109,0.3253,6,14,4,8,7,
Xavier Smith,LA,WR,2,No,No,No,2,,No,No,,,,,,,1,,,,,,,,,,,,,15,,,,
Kenneth Walker,SEA,RB,61,No,Yes,No,45,5,No,No,1,0.2,0.1111,3,1,0.8,0.0444,0.1556,1,1,0.2,0.6,39.6,-6.1301,0.2,8.116,8.116,0.102,2,11,,,,
Sean Tucker,TB,RB,13,No,Yes,Yes,12,2,No,Yes,1,0.5,0.1667,9,,1,,,,,,4.5,39.6,-6.9474,,2.9111,2.9111,0.1818,,17,1,,,
Ramel Keyton,LV,WR,4,No,No,Yes,3,2,No,No,,,0.6667,28,,,,1,1,,,14,39.6,-9.1995,,4.8999,4.8999,0.5,1,8,,1,,
Joseph Fortson,KC,TE,4,No,No,No,4,,No,No,,,,,,,0.5,0.5,,,,,,,,,,,,3,,,,
John FitzPatrick,GB,TE,8,No,No,No,6,,No,No,,,,,,,,0.1667,,,,,,,,,,,,9,,,,0.8333
Tank Bigsby,JAX,RB,48,No,Yes,No,37,3,Yes,Yes,3,1,0.0811,5,2,0.9459,,0.0541,2,1,0.3333,1.6667,39.6,-6.1117,0.6667,3.939,3.939,0.0714,,16,1,,,
Mike Woods,CLV,WR,65,No,No,Yes,60,9,No,No,2,0.2222,0.15,110,1,,0.1667,0.8167,7,,,12.2222,39.6,-8.8818,0.1111,22.7797,22.7797,0.1698,2,5,1,,1,0.0167
Zach Pascal,ARZ,WR,3,No,Yes,No,2,,No,No,,,,,,,,1,,,,,,,,,,,,14,,,,
Xavier Gipson,NYJ,WR,34,No,Yes,No,32,4,No,No,1,0.25,0.125,89,1,,0.4688,0.5312,3,,,22.25,39.6,-10.3633,0.25,5.4855,5.4855,0.1379,,17,1,,2,
Cedrick Wilson,NO,WR,66,No,Yes,Yes,64,6,No,Yes,3,0.5,0.0938,75,3,,0.4688,0.5312,5,,,12.5,39.6,-8.6724,0.5,9.8196,9.8196,0.1333,,15,1,,1,
Luke Schoonmaker,DAL,TE,63,No,No,No,52,7,No,No,,,0.1346,58,,0.0192,0.3846,0.1346,4,,,8.2857,39.6,-7.8896,,12.9971,12.9971,0.1373,1,17,,1,,0.4615
Nate Adkins,DEN,TE,38,No,No,No,24,1,No,Yes,,,0.0417,20,,,,0.0833,1,,,20,39.6,-11.7623,,1.6194,1.6194,0.037,,17,,,1,0.9167
Trent Taylor,SF,WR,5,No,Yes,No,5,,No,No,,,,,,,0.6,0.4,,,,,,,,,,,,2,,,,
Jack Stoll,MIA,TE,15,No,No,Yes,9,1,No,No,,,0.1111,4,,,0.5556,,1,,,4,39.6,-6.0667,,1.4492,1.4492,0.1429,,9,,,,0.4444
Mecole Hardman,KC,WR,19,No,No,No,16,1,No,No,,,0.0625,,,0.0625,0.375,0.5625,1,,,,39.6,-6.0386,,4.3582,4.3582,0.1,1,12,,,,
Shane Zylstra,DET,TE,10,No,Yes,Yes,10,,No,No,,,,,,,0.2,0.4,,,,,,,,,,,,12,,,,0.4
Malik Heath,GB,WR,18,No,No,No,17,2,No,No,,,0.1176,10,,,0.0588,0.9412,2,,,5,39.6,-6.4995,,2.8143,2.8143,0.1429,,10,,,,
Skyy Moore,KC,WR,10,No,No,No,10,3,No,No,2,0.6667,0.3,19,2,,0.4,0.6,1,,,6.3333,39.6,-6.7663,0.6667,4.6003,4.6003,0.5,,6,,,,
Chris Conley,SF,WR,29,No,Yes,No,27,5,No,No,2,0.4,0.1852,142,,,0.1481,0.8148,4,,,28.4,39.6,-12.2868,,10.769,10.769,0.2083,,15,2,,3,0.037
Travis Homer,CHI,RB,17,No,No,No,11,,No,No,,,,,,0.6364,0.0909,0.2727,,,,,,,,,,,,9,,,,
Jaelon Darden,SEA,WR,4,No,No,No,4,,No,No,,,,,,,,1,,,,,,,,,,,,11,,,,
David Martin-Robinson,TEN,TE,5,No,Yes,No,3,,No,No,,,,,,,0.3333,,,,,,,,,,,,,5,,,,0.6667
James Proche,CLV,WR,2,No,No,Yes,2,,No,No,,,,,,,0.5,0.5,,,,,,,,,,,,9,,,,
Puka Nacua,LA,WR,89,Yes,No,No,86,24,No,No,7,0.2917,0.2791,339,3,,0.3256,0.6744,22,,,14.125,39.6,-8.8666,0.125,59.9713,59.9713,0.3529,3,11,4,5,5,
Joe Mixon,HST,RB,75,No,Yes,No,54,13,No,No,5,0.3846,0.2407,47,4,0.8333,0.1111,0.0556,6,2,0.1538,3.6154,39.6,-6.7219,0.3077,23.064,23.064,0.2281,4,14,1,1,,
Kristian Wilkerson,LV,WR,8,No,Yes,Yes,8,1,Yes,Yes,1,1,0.125,9,,,0.125,0.875,1,,,9,39.6,-7.4539,,2.6333,2.6333,0.25,1,2,,1,,
Aaron Jones,MIN,RB,91,No,Yes,Yes,68,7,No,No,5,0.7143,0.1029,44,3,0.8529,0.0588,0.0588,2,,,6.2857,39.6,-7.5445,0.4286,11.799,11.799,0.1014,3,17,1,1,1,0.0294
Luke Farrell,JAX,TE,42,No,Yes,No,29,4,Yes,Yes,1,0.25,0.1379,13,1,,0.1379,0.0345,3,,,3.25,39.6,-6.2063,0.25,5.3004,5.3004,0.1176,,17,,,,0.8276
Luke Musgrave,GB,TE,17,No,No,No,16,1,No,No,,,0.0625,20,,,0.0625,0.0625,1,,,20,39.6,-11.7623,,1.4918,1.4918,0.0769,,7,,,1,0.875
Christian Kirk,JAX,WR,77,No,Yes,No,72,18,Yes,No,10,0.5556,0.25,337,2,,0.8472,0.1528,17,,,18.7222,39.6,-9.8515,0.1111,40.5598,40.5598,0.2727,3,8,6,3,6,
Jalen McMillan,TB,WR,81,No,Yes,Yes,75,15,No,Yes,7,0.4667,0.2,291,4,0.0133,0.2667,0.72,10,,,19.4,39.6,-10.3619,0.2667,35.6292,35.6292,0.2206,,13,3,2,6,
E.J. Jenkins,PHI,TE,12,No,Yes,No,9,1,No,No,,,0.1111,6,,,0.3333,0.2222,1,,,6,39.6,-7.093,,2.0213,2.0213,0.1,1,8,,,,0.4444
D'Ernest Johnson,JAX,RB,41,No,Yes,No,31,4,Yes,Yes,1,0.25,0.129,1,,1,,,1,,,0.25,39.6,-5.9931,,5.7333,5.7333,0.1143,1,13,1,,,
Theo Johnson,NYG,TE,127,No,No,Yes,96,12,No,No,6,0.5,0.125,106,4,0.0208,0.5521,0.0833,8,1,0.0833,8.8333,39.6,-8.1774,0.3333,21.0341,21.0341,0.1263,1,12,2,1,1,0.3438
Jahan Dotson,PHI,WR,109,No,Yes,No,99,12,No,No,2,0.1667,0.1212,171,,,0.2929,0.7071,6,,,14.25,39.6,-9.0243,,19.6833,19.6833,0.1538,1,17,2,2,3,
DeVonta Smith,PHI,WR,92,No,No,No,85,13,No,No,8,0.6154,0.1529,192,3,,0.5529,0.4353,11,,,14.7692,39.6,-8.9764,0.2308,29.4303,29.4303,0.2131,2,13,5,2,5,0.0118
Eric Gray,NYG,RB,18,No,Yes,No,13,1,No,No,1,1,0.0769,,,0.8462,,0.1538,1,,,,39.6,-5.8271,,2.8028,2.8028,0.0667,1,16,1,,,
Trenton Irwin,CIN,WR,19,No,Yes,Yes,18,7,Yes,Yes,2,0.2857,0.3889,87,1,,0.5,0.5,2,,,12.4286,39.6,-8.4665,0.1429,19.0073,19.0073,0.4375,4,7,2,5,1,
Jameson Williams,DET,WR,115,No,Yes,Yes,107,29,No,No,9,0.3103,0.271,436,2,,0.2897,0.7103,27,1,0.0345,15.0345,39.6,-9.1491,0.069,60.7059,60.7059,0.3372,5,15,5,5,7,
Brian Robinson,WAS,RB,49,No,No,No,32,3,No,No,,,0.0938,8,,0.7812,0.125,0.0938,1,,,2.6667,39.6,-7.0351,,4.7812,4.7812,0.075,1,14,,,,
Alvin Kamara,NO,RB,111,No,No,No,85,18,No,No,8,0.4444,0.2118,42,7,0.8235,0.1176,0.0588,8,3,0.1667,2.3333,39.6,-6.7263,0.3889,26.6468,26.6468,0.2195,3,14,2,,1,
Aaron Shampklin,PIT,RB,6,No,Yes,Yes,1,,No,No,,,,,,1,,,,,,,,,,,,,,3,,,,
Tucker Fisk,LAC,TE,17,No,No,Yes,9,1,No,No,1,1,0.1111,9,,,0.1111,,1,,,9,39.6,-7.2596,,4.2411,4.2411,0.0833,1,9,1,1,,0.8889
Chris Collier,LV,RB,3,No,No,Yes,2,1,No,No,,,0.5,,,1,,,,,,,39.6,-5.8271,,1.5191,1.5191,0.5,,6,,,,
Justyn Ross,KC,WR,4,No,No,No,4,1,No,No,,,0.25,18,,,0.25,0.75,1,,,18,39.6,-10.8991,,3.4783,3.4783,0.3333,1,2,,1,,
Ray-Ray McCloud,ATL,WR,164,No,No,No,149,19,Yes,Yes,9,0.4737,0.1275,202,4,,0.4631,0.5369,14,2,0.1053,10.6316,39.6,-8.3523,0.2105,33.6134,33.6134,0.1484,1,17,7,1,4,
Eric Saubert,SF,TE,33,No,Yes,No,26,3,No,No,2,0.6667,0.1154,37,,0.0385,0.2692,0.0769,2,,,12.3333,39.6,-8.4796,,5.5108,5.5108,0.1071,1,17,1,1,1,0.6154
Demario Douglas,NE,WR,123,No,Yes,No,115,14,No,No,4,0.2857,0.1217,171,4,,0.7739,0.2261,12,,,12.2143,39.6,-8.279,0.2857,40.2309,40.2309,0.1538,2,17,1,2,2,
Sione Vaki,DET,RB,4,No,No,No,3,,No,No,,,,,,0.3333,0.3333,0.3333,,,,,,,,,,,,11,,,,
Alexander Mattison,LV,RB,68,No,No,Yes,48,9,No,No,4,0.4444,0.1875,19,3,0.8542,0.0625,0.0833,3,2,0.2222,2.1111,39.6,-6.6865,0.3333,16.0044,16.0044,0.1698,,14,1,,,
Cade Otton,TB,TE,121,No,Yes,Yes,102,23,No,No,10,0.4348,0.2255,164,6,,0.3431,0.1275,16,2,0.087,7.1304,39.6,-7.4409,0.2609,43.2246,43.2246,0.2212,4,14,3,3,3,0.5294
James Mitchell,DET,TE,1,No,Yes,Yes,1,,Yes,Yes,,,,,,,,1,,,,,,,,,,,,1,,,,
Malik Nabers,NYG,WR,174,No,Yes,No,165,56,No,No,23,0.4107,0.3394,836,14,,0.2485,0.7515,48,4,0.0714,14.9286,39.6,-9.0691,0.25,115.5094,115.5094,0.4211,9,15,11,7,21,
Raheem Blackshear,CAR,RB,8,No,No,No,4,,Yes,Yes,,,,,,1,,,,,,,,,,,,,,16,,,,
Tank Dell,HST,WR,126,No,Yes,Yes,123,26,No,No,6,0.2308,0.2114,485,3,,0.2927,0.7073,18,,,18.6538,39.6,-10.1195,0.1154,63.6272,63.6272,0.2549,4,14,4,3,8,
Gus Edwards,LAC,RB,21,No,No,Yes,15,1,No,No,,,0.0667,-5,,1,,,1,1,1,-5,39.6,-5.8711,,1.72,1.72,0.0556,,11,,,,
Dylan Laube,LV,RB,1,No,No,Yes,1,,No,No,,,,,,,,1,,,,,,,,,,,,6,,,,
Xavier Weaver,ARZ,WR,7,No,Yes,No,7,2,No,No,1,0.5,0.2857,41,,,0.2857,0.7143,2,,,20.5,39.6,-11.0523,,7.4054,7.4054,0.2857,,2,1,1,2,
Kadarius Toney,CLV,WR,6,No,No,No,6,1,No,No,,,0.1667,-5,,,0.5,0.5,,,,-5,39.6,-4.1596,,1.5767,1.5767,0.2,,3,,,,
Taysom Hill,NO,TE,37,No,Yes,Yes,35,7,No,No,4,0.5714,0.2,50,3,0.1429,0.4286,0.2857,6,,,7.1429,39.6,-7.3043,0.4286,12.1197,12.1197,0.3182,,8,2,1,1,0.1429
Dameon Pierce,HST,RB,23,No,Yes,No,15,2,No,No,,,0.1333,-1,,0.7333,0.2,0.0667,2,1,0.5,-0.5,39.6,-6.0397,,3.0357,3.0357,0.0909,1,11,,,,
