Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,DropsTotal,TargetedReadFirstTotal,AveragesPerTargetDropsTotal,TargetsInEndzone,AlignmentBackfieldRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Durham Smythe,MIA,TE,3,No,Yes,Yes,2,,No,No,,,0.5,,,,,,,17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Legette,CAR,WR,8,No,Yes,Yes,8,1,No,Yes,0.125,21,0.625,21,1,-11.2393,3.3418,3.3418,0.1429,16,,0.375,1,1,1,,1,,,,,,,,,,,,,,,,,,,
Alex Bachman,LV,WR,3,No,No,No,3,,No,No,,,0.6667,,,,,,,5,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,
Austin Trammell,JAX,WR,2,No,Yes,No,2,,No,No,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DeeJay Dallas,ARZ,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,16,,,,,,,,,,1,,,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,12,No,No,No,8,1,No,No,0.125,4,,4,,-6.6619,1.4146,1.4146,0.0909,16,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,
Romeo Doubs,GB,WR,9,No,Yes,No,9,2,No,No,0.2222,16,0.2222,8,,-7.339,3.554,3.554,0.2222,13,,0.7778,,1,0.5,1,2,0.5,,,1,,,,,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,4,No,No,No,4,1,No,No,0.25,1,0.25,1,,-5.1211,3.4365,3.4365,0.25,14,,0.75,1,1,1,,1,,,,1,,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,3,No,No,No,3,1,No,No,0.3333,16,0.6667,16,,-10.0952,1.8248,1.8248,0.3333,16,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Krull,DEN,TE,2,No,No,No,2,,No,No,,,,,,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,LA,WR,4,No,No,Yes,4,2,No,No,0.5,28,,14,,-9.5706,5.21,5.21,0.5,15,,1,,1,0.5,,2,,1,,1,,,,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,15,No,No,No,14,4,No,No,0.2857,44,0.5,11,1,-9.2794,9.0606,9.0606,0.2857,17,0.2143,0.2143,,1,0.25,1,4,0.25,,0.0714,1,,,,,,,,,,,,,,,
Gerald Everett,CHI,TE,2,Yes,No,No,2,,No,No,,,1,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Treylon Burks,TEN,WR,4,No,Yes,No,4,1,No,No,0.25,45,,45,1,-15,1.8203,1.8203,0.3333,5,,1,,,,,1,,,,,,,,,,,,,,,,,,,
James Cook,BUF,RB,3,No,No,No,2,,No,No,,,,,,,,,,16,,,,,,,,,,1,,,,,,,,,,,,,,,,
Ja'Lynn Polk,NE,WR,4,No,No,No,4,,No,No,,,0.25,,,,,,,15,,0.75,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Likely,BLT,TE,1,No,No,Yes,1,,No,No,,,,,,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle,SF,TE,13,No,No,Yes,10,1,No,No,0.1,15,0.4,15,,-10.6391,2.0314,2.0314,0.0909,15,0.5,0.1,,,,,1,,,,,,,,,,,,,,,,,,,
Keenan Allen,CHI,WR,2,Yes,No,No,1,,No,No,,,1,,,,,,,15,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Dalton Schultz,HST,TE,10,No,No,No,9,1,No,No,0.1111,27,0.2222,27,1,-13.5682,6.0209,6.0209,0.1111,17,0.6667,0.1111,1,1,1,,,,1,,,,,,,,,,,,,,,,,
CeeDee Lamb,DAL,WR,9,No,No,No,9,6,No,No,0.6667,78,0.3333,13,,-9.4861,13.2521,13.2521,0.6667,16,,0.6667,1,1,0.1667,,6,,2,,3,,,,,,,,,,,,,,,
Noah Fant,SEA,TE,8,No,No,Yes,7,3,No,No,0.4286,44,0.5714,14.6667,,-10.6379,6.3796,6.3796,0.5,14,0.2857,0.1429,,,,,2,,1,,1,,,,,,,,,,,,,,,
Jordan Akins,CLV,TE,6,No,No,Yes,6,1,No,No,0.1667,-1,0.1667,-1,,-4.9014,1.3511,1.3511,0.1667,17,0.6667,0.1667,,,,,,,,,,,,,,,,,,,,,,,,
Nick Vannett,TEN,TE,6,No,No,No,5,1,No,No,0.2,-1,0.2,-1,,-4.9014,1.4518,1.4518,0.1667,17,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,6,Yes,No,No,6,1,No,No,0.1667,21,0.3333,21,1,-11.2393,3.7161,3.7161,0.2,17,,0.6667,1,1,1,,1,,,,,,,,,,,,,,,,,,,
Brenden Bates,CLV,TE,1,No,No,Yes,1,,No,No,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,2,No,Yes,Yes,1,,No,No,,,,,,,,,,13,,1,,,,,,,,,,,,,,,,,,,,,,,,
Colby Parkinson,LA,TE,4,No,No,Yes,4,,No,No,,,,,,,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Oliver,MIN,TE,5,Yes,No,Yes,4,,No,No,,,,,,,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Chubb,CLV,RB,4,No,No,No,3,2,No,No,0.6667,2,,1,,-6.676,2.7992,2.7992,0.5,8,,,,1,0.5,1,1,0.5,,1,,1,0.5,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,7,No,No,No,5,,No,No,,,,,,,,,,12,,,,,,,,,,1,,,,,,,,,,,,,,,,
Laviska Shenault,LAC,WR,1,Yes,Yes,Yes,1,,No,No,,,1,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Moore,CHI,WR,7,Yes,No,No,7,2,No,No,0.2857,59,0.1429,29.5,2,-12.7267,3.4778,3.4778,0.3333,17,,0.8571,,,,,2,,,,,,,,,,,,,,,,,,,
Bucky Irving,TB,RB,5,No,No,No,4,,No,No,,,,,,,,,,17,,,,,,,,,,1,,,,,,,,,,,,,,,,
Zamir White,LV,RB,1,No,No,No,1,,No,No,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,
Ameer Abdullah,LV,RB,6,No,No,No,6,,No,No,,,0.1667,,,,,,,16,,0.1667,,,,,,,,0.6667,,,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,2,No,No,Yes,2,,No,Yes,,,0.5,,,,,,,3,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,6,No,No,No,4,2,No,No,0.5,-4,,-2,,-5.8808,3.0235,3.0235,0.3333,15,,0.25,,,,,1,,,0.75,,1,0.5,,,,,,,,,,,,,
Tyler Allgeier,ATL,RB,6,No,Yes,Yes,6,,No,Yes,,,,,,,,,,17,,0.1667,,,,,,,,0.8333,,,,,,,,,,,,,,,,
Foster Moreau,NO,TE,5,No,No,No,3,1,No,No,0.3333,17,0.3333,17,,-11.6807,2.3387,2.3387,0.2,17,0.6667,,,,,,1,,,,,,,,,,,,,,,,,,,
Trey Sermon,IND,RB,5,No,No,Yes,3,,No,No,,,,,,,,,,17,,,,,,,,,,1,,,,,,,,,,,,,,,,
Josh Downs,IND,WR,6,No,No,Yes,6,3,No,No,0.5,38,1,12.6667,,-9.1397,5.4464,5.4464,0.5,14,,,,,,,3,,,,,,,,,,,,,,,,,,,
Khalil Herbert,CIN,RB,1,No,No,No,1,,Yes,Yes,,,,,,,,,,13,,,,,,,,,,1,,,,,,,,,,,,,,,,
Devaughn Vele,DEN,WR,5,No,No,No,5,,No,No,,,0.8,,,,,,,13,,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,7,No,No,Yes,5,1,No,No,0.2,22,0.4,22,1,-10.5749,2.0708,2.0708,0.1667,17,0.6,,,,,,1,,,,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,4,No,No,No,4,,Yes,Yes,,,0.25,,,,,,,15,,,,,,,,,,0.75,,,,,,,,,,,,,,,,
Kendrick Bourne,NE,WR,6,No,No,No,5,,No,No,,,,,,,,,,12,,1,,,,,,,,,,,,,,,,,,,,,,,,
Mack Hollins,BUF,WR,3,No,No,No,3,,No,No,,,0.6667,,,,,,,17,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,11,No,No,No,8,1,No,No,0.125,11,0.375,11,,-8.7402,1.6075,1.6075,0.1,17,0.5,0.125,,,,,1,,,,,,,,,,,,,,,,,,,
David Montgomery,DET,RB,2,No,No,No,2,,No,No,,,,,,,,,,14,,,,,,,,,,1,,,,,,,,,,,,,,,,
Tyler Boyd,TEN,WR,14,No,No,No,14,3,No,No,0.2143,37,1,12.3333,,-9.1448,4.8635,4.8635,0.25,16,,,,,,,3,,,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,9,No,Yes,Yes,5,,No,Yes,,,0.6,,,,,,,16,,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,11,No,No,Yes,11,3,No,No,0.2727,57,0.0909,19,1,-10.5721,7.9144,7.9144,0.3333,15,,0.9091,1,,,,2,,,,,,,,,,,,,,,,,,,
Teagan Quitoriano,HST,TE,2,No,No,No,2,,No,No,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,3,No,No,Yes,3,,No,No,,,0.3333,,,,,,,15,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,4,No,No,No,4,2,No,No,0.5,49,0.5,24.5,1,-11.9334,4.2589,4.2589,0.5,17,,0.5,,,,,1,,1,,1,,,,,,,,,,,,,,,
Jamison Crowder,WAS,WR,2,No,No,No,2,1,No,No,0.5,8,1,8,,-7.5106,1.2556,1.2556,0.5,6,,,,,,,1,,,,,,,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,5,Yes,No,Yes,5,,No,No,,,1,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
John Metchie,HST,WR,5,No,No,No,5,1,No,No,0.2,4,0.2,4,,-6.0498,1.3255,1.3255,0.2,13,,0.8,,,,,1,,,,,,,,,,,,,,,,,,,
Jordan Mims,NO,RB,2,No,No,No,1,,No,No,,,,,,,,,,9,,,,,,,,,,1,,,,,,,,,,,,,,,,
Jalen Brooks,DAL,WR,8,No,No,No,8,2,No,No,0.25,27,0.25,13.5,,-9.2052,3.3813,3.3813,0.25,14,,0.75,,,,,1,,,,,,,,,,,,,,,,,,,
Kevin Austin,NO,WR,2,No,No,No,2,1,No,No,0.5,32,0.5,32,1,-9.9663,2.2389,2.2389,0.5,8,,0.5,,,,,1,,,,,,,,,,,,,,,,,,,
J.K. Dobbins,LAC,RB,1,No,No,No,1,,No,No,,,,,,,,,,13,,,,,,,,,,1,,,,,,,,,,,,,,,,
Emari Demercado,ARZ,RB,3,Yes,No,No,1,,No,No,,,,,,,,,,13,,,,,,,,,,1,,,,,,,,,,,,,,,,
Josh Whyle,TEN,TE,6,No,No,No,5,,No,No,,,0.4,,,,,,,17,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Whittington,LA,WR,2,No,No,Yes,2,,No,No,,,,,,,,,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,
Travis Etienne,JAX,RB,6,No,No,Yes,4,1,No,No,0.25,4,,4,,-6.6619,1.3485,1.3485,0.1667,15,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,
Samaje Perine,KC,RB,3,No,No,No,1,,No,No,,,,,,,,,,17,,,,,,,,,,1,,,,,,,,,,,,,,,,
Amari Cooper,BUF,WR,6,No,No,No,6,2,No,No,0.3333,21,0.1667,10.5,,-8.1745,3.1198,3.1198,0.4,14,,0.8333,,1,0.5,1,2,0.5,,,,,,,,,,,,,,,,,,
Darius Slayton,NYG,WR,10,No,No,No,7,2,No,No,0.2857,32,0.4286,16,1,-9.9556,10.2857,10.2857,0.25,16,,0.5714,,,,,2,,1,,1,,,,,,,,,,,,,,,
Jerry Jeudy,CLV,WR,21,No,No,Yes,21,3,No,No,0.1429,59,0.2857,19.6667,2,-10.6082,7.193,7.193,0.15,17,0.0476,0.6667,,,,,3,,1,,1,,,,,,,,,,,,,,,
Dare Ogunbowale,HST,RB,7,No,No,No,4,,No,No,,,,,,,,,,17,,,,,,,,,,1,,,,,,,,,,,,,,,,
Nico Collins,HST,WR,8,No,No,No,8,5,No,No,0.625,89,0.5,17.8,3,-9.9335,8.2184,8.2184,0.7143,12,,0.5,,,,,3,,,,,,,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,11,No,No,No,11,,No,No,,,0.5455,,,,1.3328,1.3328,,14,0.2727,0.1818,,,,,,,,,,,,,,,,,,,,,,,,
Davante Adams,NYJ,WR,9,No,Yes,Yes,9,2,No,No,0.2222,16,0.5556,8,,-7.339,3.2427,3.2427,0.2857,14,,0.4444,,,,,2,,,,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,3,No,No,No,3,1,No,No,0.3333,39,0.3333,39,1,-14.8918,1.3156,1.3156,0.3333,14,,0.6667,,,,,1,,,,,,,,,,,,,,,,,,,
Adonai Mitchell,IND,WR,8,No,No,Yes,7,,No,No,,,0.2857,,,,,,,17,,0.7143,,,,,,,,,,,,,,,,,,,,,,,,
Connor Heyward,PIT,TE,1,No,No,No,1,,No,No,,,1,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,14,No,No,No,14,3,No,No,0.2143,19,,6.3333,,-6.875,4.4518,4.4518,0.2308,17,,1,2,,,,3,,,,1,,,,,,,,,,,,,,,
Tyler Higbee,LA,TE,1,No,No,Yes,1,,No,No,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Bobo,SEA,WR,3,No,No,Yes,3,,No,No,,,,,,,,,,17,,1,,,,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,6,No,No,No,6,,No,No,,,,,,,,,,16,,0.3333,,,,,,,,0.6667,,,,,,,,,,,,,,,,
Evan Engram,JAX,TE,9,No,Yes,No,8,,No,No,,,0.375,,,,,,,9,0.5,0.125,,,,,,,,,,,,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,6,No,No,Yes,6,,No,No,,,0.5,,,,,,,9,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
KhaDarel Hodge,ATL,WR,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,16,,1,,,,,,,,,,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,1,No,No,No,1,,No,No,,,,,,,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Sanders,CAR,RB,3,No,Yes,Yes,1,1,No,Yes,1,-10,,-10,,-4.5287,1.6536,1.6536,0.5,11,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,
Jonathan Mingo,DAL,WR,7,No,No,No,6,1,No,No,0.1667,42,0.5,42,1,-15,1.53,1.53,0.1667,17,,0.5,,,,,1,,,,,,,,,,,,,,,,,,,
Cooper Kupp,LA,WR,5,No,No,Yes,5,,Yes,Yes,,,0.8,,,,2.9238,2.9238,,12,,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,4,No,Yes,Yes,3,1,No,Yes,0.3333,11,,11,,-8.7402,2.2057,2.2057,0.25,12,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,9,No,No,No,9,7,Yes,Yes,0.7778,110,0.5556,15.7143,3,-8.9391,11.8215,11.8215,0.875,17,,0.4444,1,1,0.1429,,6,,,,,1,0.1429,,,,,,,,,,,,,
D'Andre Swift,CHI,RB,3,Yes,No,No,3,1,No,No,0.3333,19,,19,,-8.3333,1.8756,1.8756,0.3333,17,,,,,,,1,,,1,,,,,,,,,,,,,,,,
Adam Trautman,DEN,TE,4,No,No,No,3,,No,No,,,,,,,,,,17,,1,,,,,,,,,,,,,,,,,,,,,,,,
Ben Sims,GB,TE,2,Yes,No,No,2,,No,No,,,,,,,,,,16,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Carter,CHI,WR,2,No,No,Yes,2,1,No,No,0.5,4,1,4,,-6.0498,1.3486,1.3486,0.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Chosen,MIA,WR,2,No,Yes,No,2,1,No,No,0.5,16,0.5,16,,-10.0952,1.4851,1.4851,0.5,2,,0.5,,,,,1,,,,,,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,9,No,No,No,9,2,No,No,0.2222,56,0.2222,28,1,-11.6576,4.4091,4.4091,0.2857,15,0.1111,0.6667,,1,0.5,1,2,0.5,,,,,,,,,,,,,,,,,,
Hunter Long,LA,TE,1,No,No,Yes,1,,No,No,,,,,,,,,,17,,1,,,,,,,,,,,,,,,,,,,,,,,,
Chris Brooks,GB,RB,1,Yes,No,No,1,,No,No,,,1,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,7,Yes,No,No,7,2,No,No,0.2857,32,,16,1,-9.7773,6.559,6.559,0.2857,15,,1,,,,,1,,,,,,,,,,,,,,,,,,,
Dallin Holker,NO,TE,2,No,No,No,1,,No,No,,,,,,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Kennedy,DET,WR,1,Yes,No,No,1,,No,No,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,
Justice Hill,BLT,RB,2,No,Yes,Yes,2,1,No,No,0.5,17,,17,,-5.186,1.9275,1.9275,0.5,16,,,1,1,1,,1,,,1,,,,,,,,,,,,,,,,
Tyler Conklin,NYJ,TE,11,No,Yes,Yes,8,,No,No,,,0.5,,,,,,,16,0.375,0.125,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,ARZ,RB,6,No,No,Yes,4,1,Yes,Yes,0.25,-6,,-6,,-5.0893,0.9524,0.9524,0.2,16,,,,,,,1,,,1,,,,,,,,,,,,,,,,
Jonathan Taylor,IND,RB,13,No,No,Yes,8,1,No,No,0.125,-5,,-5,,-5.8711,1.176,1.176,0.0833,14,,0.25,,,,,1,,,0.75,,1,1,,,,,,,,,,,,,
Troy Franklin,DEN,WR,2,No,No,No,2,1,No,No,0.5,13,,13,,-8.9145,1.8868,1.8868,0.5,16,,1,,,,,1,,,,,,,,,,,,,,,,,,,
Grant DuBose,MIA,WR,2,No,No,No,2,1,Yes,No,0.5,21,,21,1,-11.2393,1.8457,1.8457,0.5,3,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,
Tyler Goodson,IND,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,16,,1,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason,SF,RB,5,No,Yes,No,2,,No,No,,,,,,,,,,12,,,,,,,,,,1,,,,,,,,,,,,,,,,
Tre Tucker,LV,WR,14,No,No,No,14,1,No,No,0.0714,19,,19,,-11.9321,2.131,2.131,0.0769,17,,1,,,,,1,,,,,,,,,,,,,,,,,,,
Michael Pittman,IND,WR,15,No,No,Yes,14,4,No,No,0.2857,61,0.2143,15.25,1,-9.8516,6.8311,6.8311,0.2667,16,,0.7857,1,1,0.25,,4,,,,,,,,,,,,,,,,,,,
Malik Washington,MIA,WR,6,No,Yes,Yes,5,,No,No,,,0.6,,,,,,,14,,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Greg Dortch,ARZ,WR,3,No,No,Yes,3,,No,No,,,1,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Tip Reiman,ARZ,TE,3,No,No,Yes,1,,No,No,,,,,,,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Akers,MIN,RB,3,Yes,No,Yes,2,,No,No,,,,,,,,,,16,,,,,,,,,,1,,,,,,,,,,,,,,,,
Javonte Williams,DEN,RB,9,No,No,No,8,,No,No,,,0.125,,,,,,,17,,,,,,,,,,0.875,,,,,,,,,,,,,,,,
JaMycal Hasty,NE,RB,1,No,No,No,1,,No,No,,,,,,,,,,13,,,,,,,,,,1,,,,,,,,,,,,,,,,
Courtland Sutton,DEN,WR,12,No,No,No,12,7,No,No,0.5833,132,0.3333,18.8571,2,-10.9305,14.7965,14.7965,0.5833,17,,0.6667,,,,,7,,2,,1,,,,,,,,,,,,,,,
Zach Ertz,WAS,TE,8,No,No,No,7,3,No,No,0.4286,69,0.5714,23,1,-8.1289,6.4613,6.4613,0.375,17,0.4286,,,,,,1,,1,,1,,,,,,,,,,,,,,,
Davis Allen,LA,TE,3,No,No,Yes,3,,No,No,,,0.3333,,,,,,,14,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,
Brady Russell,SEA,TE,3,Yes,No,No,1,,No,No,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Henry,NE,TE,10,No,No,No,8,1,No,No,0.125,6,0.5,6,,-7.093,3.0417,3.0417,0.125,16,0.125,0.375,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,
Nelson Agholor,BLT,WR,1,Yes,No,No,1,,No,No,,,,,,,,,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers,LV,WR,12,No,No,No,12,4,No,No,0.3333,88,0.5833,22,2,-10.2229,7.447,7.447,0.3636,15,,0.4167,1,,,,4,,1,,,,,,,,,,,,,,,,,
Gabe Davis,JAX,WR,5,Yes,No,No,5,2,No,No,0.4,59,0.2,29.5,1,-13.3326,4.3032,4.3032,0.4,10,,0.8,,,,,2,,,,,,,,,,,,,,,,,,,
D.J. Turner,LV,WR,7,No,No,No,7,2,No,No,0.2857,31,0.7143,15.5,1,-9.6871,3.5709,3.5709,0.2857,12,,0.1429,,,,,1,,,0.1429,,,,,,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,10,Yes,No,Yes,6,,No,No,,,0.3333,,,,,,,17,,0.1667,,,,,,,,0.5,,,,,,,,,,,,,,,,
Ian Thomas,CAR,TE,1,No,No,Yes,1,1,No,Yes,1,17,,17,,-11.6807,1.5826,1.5826,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Flowers,BLT,WR,4,No,No,Yes,4,,No,No,,,0.5,,,,,,,17,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Washington,PIT,TE,2,No,No,No,2,1,Yes,Yes,0.5,11,0.5,11,,-8.7402,2.9847,2.9847,0.5,17,0.5,,,,,,,,1,,1,,,,,,,,,,,,,,,
Odell Beckham,MIA,WR,1,No,No,No,1,1,No,No,1,9,,9,,-7.4539,1.3842,1.3842,1,9,,1,,,,,1,,,,,,,,,,,,,,,,,,,
Cody White,SEA,WR,1,No,No,Yes,1,,No,No,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,
River Cracraft,MIA,WR,2,No,Yes,Yes,2,,No,No,,,1,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,11,No,No,Yes,11,3,Yes,Yes,0.2727,67,0.3636,22.3333,2,-10.4907,7.2804,7.2804,0.3,16,,0.6364,,,,,1,,,,,,,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,4,No,No,No,4,1,No,No,0.25,28,0.5,28,1,-11.0769,1.0026,1.0026,0.25,16,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Ezekiel Elliott,DAL,RB,4,No,No,No,4,,No,No,,,0.25,,,,,,,15,,,,,,,,,,0.75,,,,,,,,,,,,,,,,
Stone Smartt,LAC,TE,2,No,No,No,2,,No,No,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,5,Yes,No,Yes,5,2,No,No,0.4,41,0.4,20.5,2,-12.3629,5.6267,5.6267,0.4,10,0.4,0.2,,,,,1,,1,,1,,,,,,,,,,,,,,,
Tim Patrick,DET,WR,4,Yes,No,Yes,3,3,No,No,1,79,0.3333,26.3333,1,-10.9878,4.9421,4.9421,0.75,16,,0.6667,,,,,2,,,,,,,,,,,,,,,,,,,
Brian Thomas,JAX,WR,15,No,No,Yes,15,5,No,No,0.3333,164,0.2667,32.8,4,-12.9201,8.5432,8.5432,0.3333,17,,0.7333,,,,,4,,,,,,,,,,,,,,,,,,,
DeAndre Hopkins,KC,WR,5,No,No,No,5,2,No,No,0.4,12,0.2,6,,-6.7137,2.876,2.876,0.5,16,,0.8,,,,,2,,,,,,,,,,,,,,,,,,,
Josh Reynolds,JAX,WR,4,No,No,Yes,4,,No,No,,,,,,,,,,9,,1,,,,,,,,,,,,,,,,,,,,,,,,
Noah Gray,KC,TE,9,No,No,No,7,2,No,No,0.2857,29,0.5714,14.5,,-10.0779,5.8938,5.8938,0.2857,17,0.2857,,,,,,1,,1,0.1429,1,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,6,No,No,No,4,1,No,No,0.25,-1,,-1,,-5.819,1.9571,1.9571,0.3333,17,,,,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,
Michael Mayer,LV,TE,6,No,No,No,6,,No,No,,,0.5,,,,,,,11,0.3333,0.1667,,,,,,,,,,,,,,,,,,,,,,,,
Devin Culp,TB,TE,1,No,No,No,1,,No,No,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,10,No,No,Yes,9,4,No,No,0.4444,113,,28.25,3,-12.3212,9.3844,9.3844,0.4444,17,,1,,,,,3,,1,,,,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,11,No,No,Yes,8,1,No,No,0.125,21,0.125,21,1,-12.9635,2.9952,2.9952,0.1,17,0.875,,,,,,1,,,,,,,,,,,,,,,,,,,
Austin Hooper,NE,TE,5,No,No,No,4,2,No,No,0.5,30,0.25,15,1,-9.7654,1.9897,1.9897,0.5,17,0.75,,,,,,2,,1,,1,,,,,,,,,,,,,,,
Justin Watson,KC,WR,3,No,No,No,3,,No,No,,,0.3333,,,,3.8691,3.8691,,17,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,
Rashee Rice,KC,WR,4,Yes,No,No,4,1,No,No,0.25,12,0.25,12,,-9.0461,1.3646,1.3646,0.25,4,,0.75,,,,,,,,,,,,,,,,,,,,,,,,
Ty Chandler,MIN,RB,2,No,Yes,No,1,,No,No,,,,,,,,,,15,,,,,,,,,,1,,,,,,,,,,,,,,,,
Britain Covey,PHI,WR,1,No,No,No,1,,No,No,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
