Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentBackfieldRoutesPercentage,playerStatsXfpPprTotal,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Elijah Higgins,ARZ,TE,12,No,No,No,12,No,No,0.25,0.25,17,0.4167,0.0833,,,,,,,,,,,,,,
Adam Thielen,CAR,WR,24,Yes,Yes,Yes,24,No,No,0.7083,0.2917,10,,,,,,,,,,,,,,,,
Jonnu Smith,MIA,TE,15,No,Yes,Yes,10,No,No,0.3,0.4,17,0.3,,,,,,,,,,,,,,,
Harrison Bryant,LV,TE,2,Yes,No,No,1,No,No,,1,13,,,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,15,No,Yes,No,12,No,No,0.0833,0.9167,17,,,,,,,,,,,,,,,,
Mason Kinsey,TEN,WR,2,No,Yes,No,2,No,No,0.5,0.5,6,,,,,,,,,,,,,,,,
Josh Palmer,LAC,WR,25,Yes,Yes,No,25,No,No,0.28,0.72,15,,,,,,,,,,,,,,,,
Antonio Gibson,NE,RB,16,No,Yes,No,10,No,No,0.1,,17,0.1,0.8,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,1,Yes,Yes,No,1,No,No,,1,17,,,,,,,,,,,,,,,,
David Moore,CAR,WR,28,Yes,Yes,Yes,28,No,No,0.2143,0.7857,17,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,14,No,Yes,No,14,No,No,0.7143,0.2857,17,,,,,,,,,,,,,,,,
Jacob Cowing,SF,WR,5,No,No,No,5,No,No,0.2,0.8,15,,,,,,,,,,,,,,,,
Calvin Austin,PIT,WR,19,No,Yes,No,18,No,No,0.5556,0.4444,17,,,,,,,,,,,,,,,,
Ronnie Bell,SF,WR,11,No,No,No,11,No,No,0.2727,0.7273,8,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,6,Yes,Yes,Yes,5,No,No,,,17,,1,,,,,,,,,,,,,,
Jaleel McLaughlin,DEN,RB,10,Yes,No,No,6,No,No,,0.3333,16,,0.6667,,,,,,,,,,,,,,
Geoff Swaim,CLV,TE,7,No,Yes,No,4,No,No,,,8,1,,,,,,,,,,,,,,,
Jalen Virgil,BUF,WR,1,No,Yes,No,1,No,No,,1,7,,,,,,,,,,,,,,,,
Pat Freiermuth,PIT,TE,29,No,Yes,No,27,No,No,0.5926,0.2222,17,0.1852,,,,,,,,,,,,,,,
Cordarrelle Patterson,PIT,RB,2,No,Yes,No,2,No,No,0.5,,13,,0.5,,,,,,,,,,,,,,
Isiah Pacheco,KC,RB,5,No,Yes,No,4,No,No,,0.25,7,,0.75,,,,,,,,,,,,,,
Zach Charbonnet,SEA,RB,14,Yes,Yes,No,11,No,No,,0.3636,17,,0.6364,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,30,No,Yes,No,18,No,No,0.0556,0.2222,15,,0.7222,,,,,,,,,,,,,,
Jared Wayne,HST,WR,1,Yes,Yes,No,1,No,No,,1,3,,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,8,Yes,Yes,No,7,No,No,0.4286,0.1429,17,0.4286,,,,,,,,,,,,,,,
