Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage
AJ Barner,SEA,TE,35,Yes,Yes,Yes,29,No,No,0.0345,17,0.3448,0.4828,0.1379,8.4,10.4,9.4,10.4,11.4,10.4,9.4,10.4,10.4,10.4,9.4,11.4,10.4,4,2,4,1,1,0.1379,2,0.5,24,3,2,55,1,3,13.75,108.3,0.8276,6,-4.0133,0.25,12,1.5,1,2,9.4466,9.4466,0.1143,1,,,1,1,,,,
Zach Charbonnet,SEA,RB,53,Yes,Yes,Yes,36,No,No,0.7778,17,0.0278,0.0833,0.1111,9,10,9.5,10.5,10,10,9.5,10,10,10,9.5,10,10,1,,1,1,,0.0278,1,1,30,11,,19,,,19,158.3,0.8333,30,21.6667,,30,11,,1,4.0829,4.0829,0.0189,,,,1,,,,,
Chuba Hubbard,CAR,RB,85,Yes,No,No,62,No,No,0.7581,15,,0.129,0.1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8333,1.8333,,,,,,,,,,
Derrick Henry,BLT,RB,58,No,No,No,38,No,No,0.9474,17,,0.0263,0.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Wayne,HST,WR,2,Yes,No,Yes,2,No,Yes,,3,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Powell,MIN,WR,27,No,Yes,Yes,27,No,No,,17,,0.4815,0.5185,3.8,6.8,5.3,6.8,6.8,6.8,5.3,6.8,6.8,6.8,5.3,6.8,6.8,5,1,4,0.8,,0.1852,3,0.6,38,2,,59,,4,11.8,83.8,1.4074,7.6,-1.1274,,12.6667,0.6667,,2,8.812,8.812,0.1852,,,,,,,,,
Kareem Hunt,KC,RB,33,No,Yes,No,24,No,Yes,0.9167,13,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Johnson,BUF,RB,38,No,No,No,35,No,No,0.7143,17,0.0286,0.1429,0.1143,12.6,15.6,14.1,17.1,15.6,15.6,14.1,15.6,15.6,15.6,14.1,15.6,15.6,4,,3,0.75,2,0.1143,3,0.75,66,17,1,63,,1,15.75,156.3,1.8857,16.5,7.3872,,22,5.6667,0.3333,3,9.0672,9.0672,0.1053,2,,,1,1,,,,
Nick Muse,MIN,TE,3,Yes,Yes,No,2,No,No,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Jefferson,PIT,WR,43,No,No,No,43,No,Yes,,17,,0.2558,0.7442,7.5,10.5,9,10.5,10.5,10.5,9,10.5,10.5,10.5,9,10.5,10.5,4,1,3,0.75,1,0.093,3,0.75,75,27,3,63,,4,15.75,116.7,1.7442,18.75,7.9867,,25,9,1,3,7.9402,7.9402,0.093,1,1,,,,,,,
