Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage
George Pickens,PIT,WR,55,No,No,No,55,No,Yes,,14,,0.2,0.8,16.2,22.2,19.2,22.2,22.2,25.2,22.2,22.2,22.2,22.2,19.2,22.2,22.2,20,5,11,0.55,6,0.3636,6,0.3,102,25,21,278,1,15,13.9,65,1.8545,5.1,-4.5185,0.05,17,4.1667,3.5,5,46.533,46.533,0.3636,6,2,1,1,1,4,0.6667,,
Jermaine Burton,CIN,WR,25,No,No,Yes,25,No,No,,14,,0.16,0.84,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,3,2,3,1,2,0.12,1,0.3333,8,-2,,43,,3,14.3333,42.4,0.32,2.6667,-7.0868,,8,-2,,1,8.2713,8.2713,0.12,2,,,,,,,,
Pharaoh Brown,SEA,TE,13,Yes,Yes,Yes,7,No,No,,15,1,,,1.7,2.7,2.2,2.7,3.2,2.7,2.2,2.7,2.7,2.7,2.2,3.2,2.7,1,,1,1,,0.1429,1,1,17,3,,14,,1,14,118.8,2.4286,17,6.7183,,17,3,,1,1.7121,1.7121,0.0769,,,,,,,,,
Rico Dowdle,DAL,RB,63,No,No,Yes,42,Yes,Yes,0.9286,16,,0.0238,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Olave,NO,WR,34,No,Yes,No,34,No,No,,8,,0.1176,0.8824,15,24,19.5,24,24,27,22.5,24,24,24,19.5,24,24,14,2,10,0.7143,1,0.4118,9,0.6429,150,21,9,215,,13,15.3571,70.5,4.4118,10.7143,0.4476,,16.6667,2.3333,1,9,27.2325,27.2325,0.4118,3,1,1,,,,,,
Ricky Pearsall,SF,WR,68,No,Yes,Yes,67,Yes,No,,11,,0.2537,0.7463,24.3,33.3,28.8,33.3,33.3,36.3,31.8,33.3,33.3,33.3,28.8,33.3,33.3,18,1,10,0.5556,1,0.2687,9,0.5,183,58,10,239,,15,13.2778,65,2.7313,10.1667,0.9747,,20.3333,6.4444,1.1111,8,31.0707,31.0707,0.2647,1,,1,1,,,,,
Jordan Matthews,CAR,TE,2,No,Yes,No,2,No,No,,3,,0.5,0.5,,,,,,,,,,,,,,1,1,1,1,,0.5,,,,,,16,,,16,39.6,,,-10.191,,,,,,1.8642,1.8642,0.5,,,,,,,,,
David Njoku,CLV,TE,88,No,No,No,86,No,No,,11,0.6279,0.2907,0.0814,31.1,40.1,35.6,40.1,44.6,43.1,38.6,40.1,40.1,40.1,35.6,44.6,40.1,16,1,10,0.625,3,0.186,9,0.5625,131,27,10,217,,11,13.5625,122.7,1.5233,8.1875,-1.5232,,14.5556,3,1.1111,8,33.3875,33.3875,0.1818,4,,2,3,3,2,0.2222,,
Brock Bowers,LV,TE,87,No,No,No,77,Yes,Yes,0.013,17,0.2597,0.5065,0.2208,25.9,40.9,33.4,40.9,48.4,43.9,36.4,40.9,40.9,40.9,33.4,48.4,40.9,21,5,18,0.8571,,0.2727,15,0.7143,259,68,26,275,1,14,13.0952,93.2,3.3636,12.3333,2.6998,0.0476,17.2667,4.5333,1.7333,14,41.76,41.76,0.2414,1,3,2,,,1,0.0667,,
Jalin Hyatt,NYG,WR,30,Yes,No,No,30,No,Yes,,16,,0.2667,0.7333,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2,,2,1,,0.0667,1,0.5,19,,,36,1,2,18,83.3,0.6333,9.5,-2.2987,0.5,19,,,1,6.8797,6.8797,0.0667,,,,,,,,,
Isaac Guerendo,SF,RB,21,No,Yes,Yes,16,Yes,No,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Wright,DET,TE,54,No,Yes,Yes,32,No,No,0.0312,17,0.7812,0.0938,0.0938,6.5,7.5,7,7.5,8,7.5,7,7.5,7.5,7.5,7,8,7.5,2,,1,0.5,1,0.0625,1,0.5,5,,,30,,2,15,95.8,0.1562,2.5,-8.3196,,5,,,1,4.0415,4.0415,0.037,1,,,1,1,,,,
Kenny Yeboah,NYJ,TE,13,No,No,No,12,No,Yes,,9,0.75,0.0833,0.1667,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,3,1,2,0.6667,,0.25,1,0.3333,13,1,,36,,1,12,47.9,1.0833,4.3333,-4.5721,,13,1,,1,4.8584,4.8584,0.2308,,,,,,,,,
A.J. Brown,PHI,WR,57,Yes,No,No,57,No,Yes,,13,,0.1579,0.8421,49.5,72.5,61,72.5,72.5,75.5,64,72.5,72.5,72.5,61,72.5,72.5,34,5,25,0.7353,5,0.5965,23,0.6765,375,80,51,479,,27,14.0882,111.8,6.5789,11.0294,1.2457,,16.3043,3.4783,2.2174,20,68.4013,68.4013,0.5965,5,3,,2,2,3,0.1304,,
Jamaal Williams,NO,RB,20,No,Yes,Yes,12,No,Yes,0.75,14,0.0833,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke McCaffrey,WAS,WR,43,No,No,Yes,42,Yes,Yes,,17,,0.7381,0.2619,8.1,12.1,10.1,12.1,12.1,12.1,10.1,12.1,12.1,12.1,10.1,12.1,12.1,8,1,6,0.75,1,0.1905,4,0.5,81,26,8,117,,2,14.625,46.4,1.9286,10.125,0.2362,,20.25,6.5,2,4,15.6884,15.6884,0.186,1,,,,,,,,
Brandin Cooks,DAL,WR,59,No,No,Yes,59,Yes,Yes,,10,,0.2542,0.7458,19.5,28.5,24,28.5,28.5,31.5,27,28.5,28.5,28.5,24,28.5,28.5,16,2,11,0.6875,3,0.2712,9,0.5625,135,17,3,227,,14,14.1875,104.9,2.2881,8.4375,-1.0946,,15,1.8889,0.3333,8,34.5138,34.5138,0.2712,3,,,1,1,1,0.1111,,
Rashid Shaheed,NO,WR,28,No,No,No,28,No,No,0.0357,6,,0.2143,0.75,9.6,14.6,12.1,14.6,14.6,14.6,12.1,14.6,14.6,14.6,12.1,14.6,14.6,11,2,7,0.6364,2,0.3929,5,0.4545,96,21,4,173,,9,15.7273,76.3,3.4286,8.7273,-1.5596,,19.2,4.2,0.8,5,21.664,21.664,0.3929,2,,,,,,,,
Justin Jefferson,MIN,WR,128,No,Yes,Yes,128,No,No,0.0156,17,,0.2891,0.6953,82.6,114.6,98.6,114.6,114.6,117.6,101.6,114.6,114.6,114.6,98.6,114.6,114.6,56,9,37,0.6607,12,0.4375,32,0.5714,586,126,64,821,2,46,14.6607,102.2,4.5781,10.4643,0.598,0.0357,18.3125,3.9375,2,31,131.5071,131.5071,0.4375,13,6,4,4,4,4,0.125,,
Ryan Miller,TB,WR,30,No,Yes,Yes,30,No,Yes,,11,,0.5333,0.4667,8.7,10.7,9.7,10.7,10.7,10.7,9.7,10.7,10.7,10.7,9.7,10.7,10.7,5,2,3,0.6,1,0.1667,2,0.4,27,,,76,,4,15.2,97.5,0.9,5.4,-4.721,,13.5,,,2,10.727,10.727,0.1667,2,1,,1,1,1,0.5,,
Greg Dulcich,NYG,TE,17,Yes,No,No,15,No,Yes,,9,0.3333,0.6,0.0667,,,,,,,,,,,,,,1,,,,,0.0667,,,,,,10,,,10,39.6,,,-7.7685,,,,,,1.3981,1.3981,0.0588,,,,,,,,,
Craig Reynolds,DET,RB,6,No,Yes,Yes,3,No,No,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Mundt,MIN,TE,50,No,Yes,Yes,44,No,No,,17,0.5909,0.2273,0.1818,2,3,2.5,3,3.5,3,2.5,3,3,3,2.5,3.5,3,3,,2,0.6667,1,0.0682,1,0.3333,20,3,1,49,,3,16.3333,57.6,0.4545,6.6667,-4.6669,,20,3,1,1,5.6412,5.6412,0.06,1,,,,,,,,
Durham Smythe,MIA,TE,27,No,No,No,14,No,Yes,,17,0.5,0.5,,,,,,,,,,,,,,,3,1,2,0.6667,1,0.2143,,,,,,38,1,2,12.6667,39.6,,,-9.3485,0.3333,,,,,7.0449,7.0449,0.1111,1,,,,,,,,
Xavier Legette,CAR,WR,90,No,No,No,88,No,Yes,,16,,0.3182,0.6818,27.4,39.4,33.4,39.4,39.4,42.4,36.4,39.4,39.4,39.4,33.4,39.4,39.4,21,2,16,0.7619,3,0.2386,12,0.5714,154,13,5,281,2,17,13.381,112,1.75,7.3333,-2.1597,0.0952,12.8333,1.0833,0.4167,12,39.02,39.02,0.2333,4,,,2,2,1,0.0833,,
J.J. Taylor,HST,RB,6,Yes,Yes,No,3,No,No,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce,KC,TE,101,No,Yes,No,92,No,Yes,0.0217,16,0.3152,0.3804,0.2826,30.2,45.2,37.7,45.2,52.7,48.2,40.7,45.2,45.2,45.2,37.7,52.7,45.2,28,5,16,0.5714,4,0.3043,15,0.5357,242,45,8,401,,17,14.3214,64.9,2.6304,8.6429,-1.504,,16.1333,3,0.5333,13,57.7505,57.7505,0.2772,5,4,,1,1,,,,
Cole Kmet,CHI,TE,91,No,No,No,74,No,Yes,0.0135,17,0.1892,0.7297,0.0676,19.1,26.1,22.6,26.1,29.6,29.1,25.6,26.1,26.1,26.1,22.6,29.6,26.1,10,1,7,0.7,,0.1351,7,0.7,131,31,17,150,,6,15,145.8,1.7703,13.1,2.8983,,18.7143,4.4286,2.4286,7,19.7235,19.7235,0.1099,,1,,1,,1,0.1429,,
Demarcus Robinson,LA,WR,102,Yes,Yes,Yes,102,No,No,,17,,0.3137,0.6863,24.4,36.4,30.4,36.4,36.4,39.4,33.4,36.4,36.4,36.4,30.4,36.4,36.4,22,2,16,0.7273,3,0.2157,12,0.5455,184,17,9,304,2,16,13.8182,59.7,1.8039,8.3636,-1.2497,0.0909,15.3333,1.4167,0.75,12,49.963,49.963,0.2157,5,2,,1,1,,,,
Tyreek Hill,MIA,WR,115,No,No,No,111,No,Yes,,17,,0.3243,0.6757,52.1,82.1,67.1,82.1,82.1,85.1,70.1,82.1,82.1,82.1,67.1,82.1,82.1,51,4,36,0.7059,7,0.4595,30,0.5882,521,50,29,768,1,40,15.0588,77.3,4.6937,10.2157,0.1217,0.0196,17.3667,1.6667,0.9667,30,96.6859,96.6859,0.4435,8,,,,,4,0.1333,,
Zack Moss,CIN,RB,38,Yes,No,No,26,No,Yes,0.8077,8,0.1154,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,49,No,No,No,34,No,No,0.7353,15,0.0588,0.1471,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8667,1.8667,,,,,,,,,,
Brenton Strange,JAX,TE,59,No,Yes,No,49,Yes,Yes,0.0204,17,0.2653,0.551,0.1633,19.8,24.8,22.3,24.8,27.3,24.8,22.3,24.8,24.8,24.8,22.3,27.3,24.8,10,,6,0.6,3,0.2041,5,0.5,78,21,7,145,1,9,14.5,115.8,1.5918,7.8,-2.1225,0.1,15.6,4.2,1.4,5,22.1134,22.1134,0.1695,4,,,2,2,,,,
Derius Davis,LAC,WR,8,No,No,No,8,Yes,Yes,,15,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Williams,PIT,WR,57,No,No,No,56,No,Yes,,18,,0.2321,0.7679,12.6,19.6,16.1,19.6,19.6,22.6,19.1,19.6,19.6,19.6,16.1,19.6,19.6,13,3,8,0.6154,1,0.2321,7,0.5385,126,18,9,195,,11,15,55.3,2.25,9.6923,-0.3851,,18,2.5714,1.2857,6,27.8909,27.8909,0.2281,2,2,,,,,,,
Devin Thompkins,CAR,WR,6,Yes,No,No,6,No,No,,7,,0.8333,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kylen Granson,IND,TE,54,No,Yes,No,49,Yes,Yes,0.0204,17,0.4082,0.449,0.1224,7.7,10.7,9.2,10.7,12.2,10.7,9.2,10.7,10.7,10.7,9.2,12.2,10.7,8,2,5,0.625,,0.1633,3,0.375,77,28,5,115,1,6,14.375,73.4,1.5714,9.625,-0.2981,0.125,25.6667,9.3333,1.6667,3,18.93,18.93,0.1481,2,1,,,,,,,
John Ross,PHI,WR,1,No,No,Yes,1,No,No,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimani Vidal,LAC,RB,19,No,No,No,14,Yes,Yes,0.9286,10,,,0.0714,9.8,10.8,10.3,11.3,10.8,10.8,10.3,10.8,10.8,10.8,10.3,10.8,10.8,1,,1,1,,0.0714,1,1,38,20,4,18,,1,18,158.3,2.7143,38,28.7879,,38,20,4,1,2.0207,2.0207,0.0526,,,,1,,,,,
Mason Tipton,NO,WR,39,No,Yes,No,39,No,Yes,,11,,0.2051,0.7949,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,2,,1,0.5,,0.0513,1,0.5,10,,,27,,1,13.5,64.6,0.2564,5,-4.5826,,10,,,,3.5529,3.5529,0.0513,,,,,,,,,
Terrace Marshall,LV,WR,7,No,No,No,7,Yes,Yes,,7,,,1,,,,,,,,,,,,,,1,,,,,0.1429,,,,,,11,,,11,39.6,,,-8.3152,,,,,,1.5607,1.5607,0.1429,,,,,,,,,
Joshua Kelley,TEN,RB,1,No,No,Yes,1,No,Yes,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treylon Burks,TEN,WR,11,Yes,No,Yes,11,Yes,Yes,,5,,0.0909,0.9091,2.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,3,1,3,1,,0.2727,2,0.6667,23,1,1,33,1,,11,89.6,2.0909,7.6667,-0.6204,0.3333,11.5,0.5,0.5,2,4.2135,4.2135,0.2727,,1,,,,,,,
James Cook,BUF,RB,35,No,No,No,33,No,No,0.9091,16,,0.0606,0.0303,5.3,7.3,6.3,8.3,7.3,7.3,6.3,7.3,7.3,7.3,6.3,7.3,7.3,3,1,3,1,,0.0909,2,0.6667,53,24,,41,,1,13.6667,109.7,1.6061,17.6667,9.6864,,26.5,12,,2,5.3446,5.3446,0.0857,1,,,,,,,,
Jared Wiley,KC,TE,3,No,Yes,Yes,3,Yes,Yes,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Lynn Polk,NE,WR,36,No,No,No,36,No,No,,15,,0.3056,0.6944,10.8,14.8,12.8,14.8,14.8,14.8,12.8,14.8,14.8,14.8,12.8,14.8,14.8,11,4,8,0.7273,2,0.3056,4,0.3636,48,7,1,142,2,9,12.9091,80.9,1.3333,4.3636,-4.6293,0.1818,12,1.75,0.25,3,21.486,21.486,0.3056,2,1,,1,1,,,,
Isaiah Likely,BLT,TE,70,No,No,No,65,No,No,0.0154,16,0.1846,0.6769,0.1231,46,57,51.5,57,62.5,60,54.5,57,57,57,51.5,62.5,57,19,2,14,0.7368,5,0.2923,11,0.5789,220,77,25,290,1,10,15.2632,138.2,3.3846,11.5789,1.3352,0.0526,20,7,2.2727,11,43.6971,43.6971,0.2714,5,,,4,3,4,0.3636,,
George Kittle,SF,TE,113,No,Yes,Yes,94,Yes,No,,15,0.4787,0.4255,0.0957,73.3,100.3,86.8,100.3,113.8,103.3,89.8,100.3,100.3,100.3,86.8,113.8,100.3,33,5,29,0.8788,5,0.3511,27,0.8182,493,144,37,462,1,26,14,145.7,5.2447,14.9394,5.3033,0.0303,18.2593,5.3333,1.3704,26,66.3238,66.3238,0.292,7,4,1,4,4,1,0.037,,
Keenan Allen,CHI,WR,84,No,No,No,81,No,Yes,,15,,0.5679,0.4321,38.5,55.5,47,55.5,55.5,58.5,50,54.5,54.5,54.5,46,55.5,54.5,25,3,19,0.76,4,0.3086,17,0.68,275,63,15,333,,18,13.32,131.3,3.3951,11,1.6062,,16.1765,3.7059,0.8824,16,57.2932,57.2932,0.2976,4,2,3,2,2,,,,
Dalton Schultz,HST,TE,129,No,No,Yes,108,No,Yes,0.0463,17,0.4815,0.3056,0.1667,23.4,33.4,28.4,33.4,38.4,36.4,31.4,33.4,33.4,33.4,28.4,38.4,33.4,18,4,13,0.7222,2,0.1667,10,0.5556,174,40,18,254,2,12,14.1111,107.2,1.6111,9.6667,-0.4195,0.1111,17.4,4,1.8,10,36.775,36.775,0.1395,2,2,,1,1,1,0.1,,
Anthony Gould,IND,WR,2,No,Yes,No,2,Yes,Yes,,8,,0.5,0.5,2.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,1,,1,1,,0.5,1,1,23,6,,17,,1,17,118.8,11.5,23,11.3347,,23,6,,1,1.8638,1.8638,0.5,,,,,,,,,
CeeDee Lamb,DAL,WR,88,Yes,No,No,87,No,Yes,,16,,0.5172,0.4828,68.6,89.6,79.1,89.6,89.6,92.6,82.1,89.6,89.6,89.6,79.1,89.6,89.6,33,6,24,0.7273,6,0.3793,21,0.6364,386,121,28,457,,28,13.8485,103.9,4.4368,11.697,2.0645,,18.381,5.7619,1.3333,18,64.9458,64.9458,0.375,7,3,,5,3,7,0.3333,,
Noah Fant,SEA,TE,72,Yes,Yes,Yes,65,No,No,0.0615,14,0.2462,0.5385,0.1538,15.5,20.5,18,20.5,23,20.5,18,20.5,20.5,20.5,18,23,20.5,10,1,5,0.5,2,0.1538,5,0.5,95,32,7,144,,9,14.4,77.1,1.4615,9.5,-0.4214,,19,6.4,1.4,5,25.7353,25.7353,0.1389,3,1,,1,,,,,
Jordan Akins,CLV,TE,59,No,No,No,56,No,No,,17,0.4464,0.375,0.1786,27.3,36.3,31.8,36.3,40.8,39.3,34.8,36.3,36.3,36.3,31.8,40.8,36.3,17,4,11,0.6471,2,0.3036,9,0.5294,153,33,9,224,,15,13.1765,122.9,2.7321,9,-0.5742,,17,3.6667,1,9,34.8351,34.8351,0.2881,5,2,,2,1,,,,
Nick Vannett,TEN,TE,31,No,No,Yes,17,No,Yes,,17,0.8824,0.0588,0.0588,2.4,3.4,2.9,3.4,3.9,3.4,2.9,3.4,3.4,3.4,2.9,3.9,3.4,1,,1,1,,0.0588,1,1,24,12,5,12,,1,12,118.8,1.4118,24,15.3339,,24,12,5,1,1.5434,1.5434,0.0323,,,,,,,,,
Elijah Cooks,JAX,WR,1,No,No,No,1,No,Yes,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peyton Hendershot,KC,TE,6,Yes,No,No,5,No,Yes,,7,0.2,0.6,0.2,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,1,1,1,1,,0.2,1,1,11,,,11,,,11,112.5,2.2,11,2.2598,,11,,,1,1.98,1.98,0.1667,1,1,,,,,,,
Alex Bachman,LV,WR,2,No,Yes,Yes,2,Yes,Yes,,5,,0.5,0.5,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,1,,1,1,,0.5,1,1,11,,,11,,1,11,112.5,5.5,11,2.6848,,11,,,1,1.5019,1.5019,0.5,,,,,,,,,
Austin Trammell,JAX,WR,12,No,Yes,No,12,No,No,,1,,0.6667,0.3333,4,6,5,6,6,6,5,6,6,6,5,6,6,3,1,3,1,,0.25,2,0.6667,40,9,3,44,1,2,14.6667,109.7,3.3333,13.3333,3.2023,0.3333,20,4.5,1.5,2,5.9274,5.9274,0.25,,,,,,,,,
Brandon Johnson,PIT,WR,2,No,No,No,2,No,Yes,,3,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendric Pryor,CIN,WR,1,No,No,No,1,No,Yes,,2,,,1,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1,,1,1,,1,1,1,9,-1,-1,10,,,10,104.2,9,9,1.5,,9,-1,-1,,1.9113,1.9113,1,,,,,,,,,
Ray Davis,BUF,RB,17,No,No,No,14,No,No,0.9286,17,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,34,Yes,No,No,34,No,Yes,,14,,0.5588,0.4412,12,16,14,16,16,19,17,16,16,16,14,16,16,7,1,5,0.7143,1,0.2059,4,0.5714,120,61,3,93,,2,13.2857,101.8,3.5294,17.1429,8.0211,,30,15.25,0.75,4,18.9942,18.9942,0.2059,1,,,,,,,,
Tony Pollard,TEN,RB,64,No,No,Yes,45,No,Yes,0.8444,16,,0.0444,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo Doubs,GB,WR,52,No,Yes,No,52,No,Yes,,13,,0.1538,0.8462,29.5,43.5,36.5,43.5,43.5,46.5,39.5,43.5,43.5,43.5,36.5,43.5,43.5,22,4,18,0.8182,1,0.4231,14,0.6364,235,33,7,311,1,18,14.1364,95.8,4.5192,10.6818,0.8571,0.0455,16.7857,2.3571,0.5,13,42.5388,42.5388,0.4231,3,2,2,1,,,,,
DeeJay Dallas,ARZ,RB,3,No,Yes,Yes,2,Yes,No,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,110,No,No,No,110,Yes,Yes,,16,0.0182,0.7,0.2818,77.6,110.6,94.1,110.6,110.6,113.6,97.1,110.6,110.6,110.6,94.1,110.6,110.6,43,5,35,0.814,4,0.3909,33,0.7674,596,155,43,616,2,32,14.3256,131.7,5.4182,13.8605,4.046,0.0465,18.0606,4.697,1.303,31,77.3234,77.3234,0.3909,5,5,1,3,3,6,0.1818,,
Ko Kieft,TB,TE,6,No,Yes,Yes,2,No,Yes,,17,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Krull,DEN,TE,35,Yes,No,No,32,No,Yes,0.0312,13,0.5,0.3125,0.1562,4.8,7.8,6.3,7.8,9.3,7.8,6.3,7.8,7.8,7.8,6.3,9.3,7.8,3,,3,1,,0.0938,3,1,48,6,1,42,,3,14,118.8,1.5,16,5.6589,,16,2,0.3333,3,5.075,5.075,0.0857,,,,,,,,,
Tyler Johnson,LA,WR,40,Yes,Yes,Yes,39,No,No,,15,0.0256,0.2821,0.6923,12.1,17.1,14.6,17.1,17.1,17.1,14.6,17.1,17.1,17.1,14.6,17.1,17.1,14,4,7,0.5,4,0.359,5,0.3571,61,7,5,171,,9,12.2143,34.2,1.5641,4.3571,-4.3268,,12.2,1.4,1,5,31.6317,31.6317,0.35,5,3,,1,1,2,0.4,,
Chig Okonkwo,TEN,TE,72,No,No,Yes,68,No,Yes,0.0147,17,0.3676,0.3824,0.2353,5.3,8.3,6.8,8.3,9.8,8.3,6.8,8.3,8.3,8.3,6.8,9.8,8.3,5,,3,0.6,1,0.0735,3,0.6,53,12,5,72,,4,14.4,56.7,0.7794,10.6,-0.0648,,17.6667,4,1.6667,3,12.67,12.67,0.0694,1,,,,,,,,
Gerald Everett,CHI,TE,15,No,No,No,12,No,Yes,0.0833,17,0.3333,0.3333,0.25,,,,,,,,,,,,,,1,,,,1,0.0833,,,,,,18,,1,18,39.6,,,-12.9732,,,,,,3.132,3.132,0.0667,1,,,,,,,,
C.J. Uzomah,PHI,TE,6,Yes,No,No,1,No,Yes,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zamir White,LV,RB,10,No,No,No,8,No,No,0.875,8,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameer Abdullah,LV,RB,44,No,No,No,32,No,No,0.9062,16,,0.0625,0.0312,3.6,5.6,4.6,6.6,5.6,5.6,4.6,5.6,5.6,5.6,4.6,5.6,5.6,2,,2,1,,0.0625,2,1,36,9,1,27,,1,13.5,118.8,1.125,18,8.9267,,18,4.5,0.5,2,3.9506,3.9506,0.0455,,,,,,,,,
Isaiah Hodgins,NYG,WR,4,No,No,No,4,No,Yes,,3,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,39,Yes,No,No,25,No,Yes,0.84,15,,0.12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Allgeier,ATL,RB,31,No,No,No,27,No,Yes,0.8889,17,,0.037,0.0741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Sullivan,CAR,TE,3,Yes,No,No,2,No,Yes,,1,0.5,,0.5,,,,,,,,,,,,,,1,,,,,0.5,,,,,,16,,1,16,39.6,,,-10.191,,,,,,1.9169,1.9169,0.3333,,,,,,,,,
Foster Moreau,NO,TE,60,No,Yes,Yes,41,No,Yes,,17,0.561,0.3902,0.0488,20.7,28.7,24.7,28.7,32.7,31.7,27.7,28.7,28.7,28.7,24.7,32.7,28.7,14,2,9,0.6429,3,0.3415,8,0.5714,147,35,8,194,,13,13.8571,87.5,3.5854,10.5,0.5687,,18.375,4.375,1,7,27.5976,27.5976,0.2333,4,1,1,1,1,,,,
Trey Sermon,IND,RB,47,No,Yes,No,30,Yes,Yes,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Downs,IND,WR,80,No,Yes,No,80,Yes,Yes,0.0125,14,,0.8875,0.1,17.8,27.8,22.8,27.8,27.8,30.8,25.8,27.8,27.8,27.8,22.8,27.8,27.8,20,2,12,0.6,2,0.25,10,0.5,178,25,2,296,,18,14.8,41.3,2.225,8.9,-1.1554,,17.8,2.5,0.2,10,40.4732,40.4732,0.25,3,,,,,,,,
