Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,ReceptionsHero,TouchdownsTotal,TargetsInEndzone,TouchdownsInEndzone
Ezekiel Elliott,DAL,RB,60,Yes,Yes,No,46,4,No,Yes,3,0.75,0.087,3,0.75,9,4,1,6,,0.0435,0.1087,1,1.5,77.1,0.1957,2.25,-3.812,3,1.3333,0.3333,5.6201,5.6201,0.0667,0.9,3.9,2.4,5.4,3.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,15,1,1,,,,,,,,,0.8478,,,,
Stone Smartt,LAC,TE,47,No,No,No,43,8,No,Yes,8,1,0.186,8,1,59,23,3,36,0.4651,0.3953,0.1395,3,4.5,97.4,1.3721,7.375,0.8765,7.375,2.875,0.375,11.728,11.728,0.1702,4.9,12.9,8.9,12.9,16.9,12.9,7.9,11.9,11.9,11.9,7.9,16.9,11.9,14,,,,,,,,,5,1,,,,,
T.J. Hockenson,MIN,TE,116,No,No,No,112,39,Yes,Yes,37,0.9487,0.3482,32,0.8205,266,97,43,212,0.5893,0.2679,0.1429,24,5.4359,95.1,2.375,6.8205,-0.0236,8.3125,3.0312,1.3438,61.6531,61.6531,0.3362,26.6,58.6,42.6,58.6,74.6,61.6,45.6,58.6,58.6,58.6,42.6,74.6,58.6,10,7,5,3,3,0.0938,,,0.0769,21,5,,2,,,
Ian Thomas,CAR,TE,10,No,No,No,8,3,No,Yes,3,1,0.375,2,0.6667,5,1,1,8,0.875,0.125,,2,2.6667,70.1,0.625,1.6667,-4.6023,2.5,0.5,0.5,4.0396,4.0396,0.3,0.5,2.5,1.5,2.5,3.5,2.5,1.5,2.5,2.5,2.5,1.5,3.5,2.5,5,,,1,,,,,0.3333,1,,,,,,
Zay Flowers,BLT,WR,128,No,No,Yes,128,30,No,No,25,0.8333,0.2344,21,0.7,215,108,50,143,,0.3438,0.6562,27,4.7667,90.3,1.6797,7.1667,0.8566,10.2381,5.1429,2.381,46.2642,46.2642,0.2344,21.5,42.5,32,42.5,42.5,45.5,35,42.5,42.5,42.5,32,42.5,42.5,17,1,,3,6,0.2857,,,0.1,9,1,,,,,
Dez Fitzpatrick,LAC,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,193,No,No,Yes,193,35,Yes,Yes,30,0.8571,0.1813,27,0.7714,171,53,22,155,,0.342,0.658,28,4.4286,74.8,0.886,4.8857,-1.276,6.3333,1.963,0.8148,54.526,54.526,0.1813,17.1,44.1,30.6,44.1,44.1,47.1,33.6,44.1,44.1,44.1,30.6,44.1,44.1,16,5,2,1,1,0.037,,,0.0286,12,3,,,,1,
Dalton Kincaid,BUF,TE,100,No,Yes,No,95,27,No,Yes,23,0.8519,0.2842,20,0.7407,183,105,45,118,0.2421,0.6211,0.1263,19,4.3704,104.4,1.9263,6.7778,0.3452,9.15,5.25,2.25,41.4866,41.4866,0.27,24.3,44.3,34.3,44.3,54.3,47.3,37.3,44.3,44.3,44.3,34.3,54.3,44.3,13,2,1,2,3,0.15,,,0.0741,13,3,0.0105,,1,1,
Jakobi Meyers,LV,WR,243,No,No,No,241,62,No,Yes,54,0.871,0.2573,50,0.8065,437,177,71,327,,0.3278,0.668,54,5.2742,100.1,1.8133,7.0484,0.565,8.74,3.54,1.42,98.3617,98.3617,0.2551,55.7,105.7,80.7,105.7,105.7,108.7,83.7,105.7,105.7,105.7,80.7,105.7,105.7,15,7,5,1,7,0.14,,,0.0161,23,10,0.0041,,2,4,1
Hunter Henry,NE,TE,190,No,No,No,176,56,No,Yes,50,0.8929,0.3182,46,0.8214,407,148,61,303,0.3636,0.6023,0.0284,43,5.4107,95.5,2.3125,7.2679,0.4985,8.8478,3.2174,1.3261,93.4347,93.4347,0.2947,46.7,92.7,69.7,92.7,115.7,95.7,72.7,92.7,92.7,92.7,69.7,115.7,92.7,16,5,1,1,3,0.0652,,,0.0179,26,9,0.0057,,1,2,
Nelson Agholor,BLT,WR,57,No,No,No,57,8,No,No,5,0.625,0.1404,3,0.375,66,51,50,43,0.0351,0.5088,0.4561,5,5.375,67.7,1.1579,8.25,1.7624,22,17,16.6667,11.8042,11.8042,0.1404,6.6,9.6,8.1,9.6,9.6,9.6,8.1,9.6,9.6,9.6,8.1,9.6,9.6,14,1,,1,1,0.3333,,,0.125,1,,,,,,
Jahmyr Gibbs,DET,RB,135,No,No,No,110,19,Yes,Yes,18,0.9474,0.1727,17,0.8947,216,111,51,74,,0.0818,0.1091,6,3.8947,153.6,1.9636,11.3684,4.0489,12.7059,6.5294,3,32.089,32.089,0.1407,45.6,62.6,54.1,71.1,62.6,65.6,57.1,62.6,62.6,62.6,54.1,62.6,62.6,17,1,,,9,0.5294,,,,13,4,0.8091,,4,1,1
Gabe Davis,JAX,WR,95,Yes,No,No,92,12,No,Yes,12,1,0.1304,12,1,81,28,15,62,,0.1739,0.8261,12,5.1667,122.6,0.8804,6.75,-0.3053,6.75,2.3333,1.25,18.9463,18.9463,0.1263,14.1,26.1,20.1,26.1,26.1,26.1,20.1,26.1,26.1,26.1,20.1,26.1,26.1,10,1,1,,1,0.0833,,,,6,3,,,1,1,1
Odell Beckham,MIA,WR,43,Yes,No,No,43,10,No,Yes,7,0.7,0.2326,6,0.6,40,9,3,59,,0.5116,0.4884,10,5.9,29.2,0.9302,4,-2.7115,6.6667,1.5,0.5,17.8538,17.8538,0.2326,4,10,7,10,10,10,7,10,10,10,7,10,10,9,1,1,1,,,,,0.1,2,3,,,,1,
D.J. Turner,LV,WR,104,No,No,Yes,102,14,No,Yes,11,0.7857,0.1373,10,0.7143,80,34,12,65,,0.7647,0.2255,10,4.6429,55.7,0.7843,5.7143,-0.57,8,3.4,1.2,21.8585,21.8585,0.1346,8,18,13,18,18,18,13,18,18,18,13,18,18,12,2,2,,,,,,,6,2,0.0098,,,,
Tyler Scott,CHI,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
Jaylen Wright,MIA,RB,23,No,No,Yes,18,2,No,Yes,2,1,0.1111,2,1,8,4,10,4,,0.2778,0.2222,1,2,83.3,0.4444,4,-2.3947,4,2,5,2.725,2.725,0.087,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,15,,,,,,,,,1,,0.5,,,,
Ihmir Smith-Marsette,NYG,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
Cody White,SEA,WR,7,No,No,No,7,2,No,No,1,0.5,0.2857,1,0.5,16,11,8,14,,0.4286,0.5714,1,7,77.1,2.2857,8,1.0917,16,11,8,3.0136,3.0136,0.2857,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,4,,,,2,2,,,,1,,,,,,
Austin Hooper,NE,TE,127,No,No,Yes,118,38,No,Yes,33,0.8684,0.322,30,0.7895,211,75,33,176,0.5763,0.2712,0.1525,31,4.6316,98.6,1.7881,5.5526,-0.9917,7.0333,2.5,1.1,55.6603,55.6603,0.2992,26.1,56.1,41.1,56.1,71.1,59.1,43.1,55.1,55.1,55.1,40.1,71.1,55.1,17,4,2,1,3,0.1,,,0.0263,12,4,,,1,,
Justin Watson,KC,WR,122,No,No,No,117,10,No,Yes,9,0.9,0.0855,7,0.7,54,22,5,51,0.0256,0.3419,0.6325,6,5.1,82.9,0.4615,5.4,-1.1021,7.7143,3.1429,0.7143,14.1512,14.1512,0.082,5.4,12.4,8.9,12.4,12.4,12.4,8.9,12.4,12.4,12.4,8.9,12.4,12.4,17,2,1,1,,,,,0.1,1,1,,,,,
Rashee Rice,KC,WR,27,No,No,No,27,13,No,Yes,12,0.9231,0.4815,11,0.8462,114,72,11,48,,0.6296,0.3704,13,3.6923,128.8,4.2222,8.7692,2.933,10.3636,6.5455,1,18.2292,18.2292,0.4815,17.4,28.4,22.9,28.4,28.4,31.4,25.9,28.4,28.4,28.4,22.9,28.4,28.4,4,,,1,2,0.1818,,,0.0769,8,1,,,1,,
Ty Chandler,MIN,RB,22,Yes,No,No,19,1,Yes,Yes,1,1,0.0526,1,1,10,8,1,2,0.1579,0.0526,,1,2,108.3,0.5263,10,3.6053,10,8,1,5.2844,5.2844,0.0455,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,15,,,,,,,,,1,,0.7895,,,,
Britain Covey,PHI,WR,15,Yes,No,No,15,5,No,Yes,5,1,0.3333,4,0.8,18,3,,19,,1,,3,3.8,81.7,1.2,3.6,-2.2818,4.5,0.75,,8.0334,8.0334,0.3333,1.8,5.8,3.8,5.8,5.8,5.8,3.8,5.8,5.8,5.8,3.8,5.8,5.8,5,2,2,1,,,,,0.2,1,,,,,,
Mo Alie-Cox,IND,TE,65,No,No,No,49,11,No,Yes,7,0.6364,0.2245,6,0.5455,48,22,9,51,0.7959,0.2041,,7,4.6364,65.7,0.9796,4.3636,-2.2762,8,3.6667,1.5,17.013,17.013,0.1692,4.8,10.8,7.8,10.8,13.8,10.8,7.8,10.8,10.8,10.8,7.8,13.8,10.8,17,1,,1,,,,,0.0909,2,2,,,,1,
Bryce Oliver,TEN,WR,12,No,No,No,12,4,No,Yes,3,0.75,0.3333,3,0.75,28,13,6,23,,0.0833,0.9167,4,5.75,93.8,2.3333,7,0.3698,9.3333,4.3333,2,6.1911,6.1911,0.3333,2.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,10,,,,,,,,,1,1,,,,,
Devin Culp,TB,TE,8,No,No,Yes,8,1,No,Yes,1,1,0.125,1,1,9,4,2,5,,0.5,0.5,,5,104.2,1.125,9,2.52,9,4,2,1.4025,1.4025,0.125,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,5,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,137,No,No,No,97,21,No,Yes,18,0.8571,0.2165,16,0.7619,119,75,20,63,,0.0619,0.268,6,3,89.2,1.2268,5.6667,-0.8455,7.4375,4.6875,1.25,30.5877,30.5877,0.1533,11.9,27.9,19.9,35.9,27.9,30.9,22.9,27.9,27.9,27.9,19.9,27.9,27.9,17,1,,1,3,0.1875,,,0.0476,5,1,0.6701,,,,
Michael Mayer,LV,TE,110,No,No,No,101,23,No,Yes,21,0.913,0.2277,18,0.7826,127,52,22,91,0.5941,0.3663,0.0297,15,3.9565,89.7,1.2574,5.5217,-0.8702,7.0556,2.8889,1.2222,35.7814,35.7814,0.2091,12.7,30.7,21.7,30.7,39.7,33.7,24.7,30.7,30.7,30.7,21.7,39.7,30.7,11,4,2,1,3,0.1667,,,0.0435,7,5,0.0099,,,,
Marvin Harrison,ARZ,WR,199,No,Yes,No,197,36,No,No,32,0.8889,0.1827,26,0.7222,230,85,33,209,,0.3249,0.6751,33,5.8056,98.1,1.1675,6.3889,-0.2823,8.8462,3.2692,1.2692,63.1541,63.1541,0.1809,29,55,42,55,55,58,45,55,55,55,42,55,55,17,9,4,2,1,0.0385,,,0.0556,10,4,,,1,3,1
Collin Johnson,CHI,WR,4,Yes,No,No,4,1,No,Yes,1,1,0.25,1,1,6,3,1,3,,0.25,0.75,1,3,91.7,1.5,6,0.5501,6,3,1,1.3214,1.3214,0.25,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,9,,,,,,,,,1,,,,,,
Tank Bigsby,JAX,RB,53,No,No,No,40,1,No,Yes,1,1,0.025,1,1,6,2,-1,4,,,0.075,,4,91.7,0.15,6,-0.6619,6,2,-1,1.3662,1.3662,0.0189,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,16,,,,,,,,,,,0.925,,,,
Mike Woods,CLV,WR,87,No,No,No,84,9,No,Yes,7,0.7778,0.1071,5,0.5556,45,24,16,43,,0.2619,0.7381,6,4.7778,69.2,0.5357,5,-1.2971,9,4.8,3.2,16.3343,16.3343,0.1034,4.5,9.5,7,9.5,9.5,9.5,7,9.5,9.5,9.5,7,9.5,9.5,5,1,,1,2,0.4,,,0.1111,3,3,,,,,
Zach Pascal,ARZ,WR,9,No,Yes,No,9,,No,No,,,,,,,,,,,0.1111,0.8889,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
Xavier Gipson,NYJ,WR,56,No,No,Yes,54,3,No,Yes,3,1,0.0556,2,0.6667,12,4,3,13,,0.463,0.537,3,4.3333,113.9,0.2222,4,-2.1496,6,2,1.5,8.264,8.264,0.0536,7.2,9.2,8.2,9.2,9.2,9.2,8.2,9.2,9.2,9.2,8.2,9.2,9.2,17,,,1,,,,,0.3333,2,1,,,1,1,1
Cedrick Wilson,NO,WR,75,No,No,Yes,73,13,No,Yes,11,0.8462,0.1781,10,0.7692,88,34,17,66,,0.4795,0.5205,11,5.0769,62.3,1.2055,6.7692,0.2977,8.8,3.4,1.7,22.2467,22.2467,0.1733,8.8,18.8,13.8,18.8,18.8,18.8,13.8,18.8,18.8,18.8,13.8,18.8,18.8,15,,,1,1,0.1,,,0.0769,3,,,,,,
Sean Tucker,TB,RB,14,No,No,Yes,14,7,No,Yes,6,0.8571,0.5,5,0.7143,75,60,22,24,,,,2,3.4286,145.8,5.3571,10.7143,4.0091,15,12,4.4,9.7852,9.7852,0.5,13.5,18.5,16,21,18.5,18.5,16,18.5,18.5,18.5,16,18.5,18.5,17,1,,,3,0.6,,,,3,,1,,1,,
Ramel Keyton,LV,WR,8,No,No,No,7,1,No,Yes,1,1,0.1429,1,1,7,,,7,0.1429,,0.8571,1,7,95.8,1,7,-0.0645,7,,,1.5941,1.5941,0.125,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,8,,,,,,,,,1,,,,,,
Joseph Fortson,KC,TE,7,No,No,No,7,1,Yes,Yes,1,1,0.1429,1,1,5,2,,3,0.1429,0.2857,0.5714,1,3,87.5,0.7143,5,-1.3218,5,2,,1.251,1.251,0.1429,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,3,,,,,,,,,1,,,,,,
John FitzPatrick,GB,TE,7,Yes,No,No,4,1,No,Yes,1,1,0.25,1,1,2,,,2,0.75,,0.25,,2,79.2,0.5,2,-4.3701,2,,,1.4542,1.4542,0.1429,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,9,,,,2,2,,,,,,,,,,
De'Von Achane,MIA,RB,146,No,No,Yes,133,23,No,Yes,21,0.913,0.1729,20,0.8696,164,91,16,82,,0.2406,0.1805,11,3.5652,96.4,1.2331,7.1304,0.4419,8.2,4.55,0.8,37.3561,37.3561,0.1575,16.4,36.4,26.4,46.4,36.4,39.4,29.4,36.4,36.4,36.4,26.4,36.4,36.4,17,1,1,,1,0.05,,,,9,1,0.5789,,,1,
Mike Evans,TB,WR,148,No,No,Yes,146,43,No,Yes,39,0.907,0.2945,35,0.814,270,74,38,279,,0.3699,0.6301,36,6.4884,121.9,1.8493,6.2791,-0.5544,7.7143,2.1143,1.0857,82.8833,82.8833,0.2905,57,92,74.5,92,92,95,77.5,92,92,92,74.5,92,92,14,8,7,2,2,0.0571,,,0.0465,18,8,,2,5,7,5
Xavier Smith,LA,WR,2,No,No,No,2,1,No,No,1,1,0.5,1,1,11,6,3,5,,1,,1,5,112.5,5.5,11,4.6372,11,6,3,1.5535,1.5535,0.5,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,15,,,,,,,,,1,,,,,,
Kenneth Walker,SEA,RB,97,No,Yes,No,85,14,No,Yes,11,0.7857,0.1647,11,0.7857,76,50,26,32,,0.0588,0.2588,3,2.2857,89.3,0.8941,5.4286,-0.8796,6.9091,4.5455,2.3636,19.3199,19.3199,0.1443,7.6,18.6,13.1,24.1,18.6,18.6,13.1,18.6,18.6,18.6,13.1,18.6,18.6,11,1,1,,1,0.0909,,,,6,2,0.6824,,,,
Keon Coleman,BUF,WR,107,No,No,Yes,106,22,No,Yes,17,0.7727,0.2075,13,0.5909,188,130,105,115,,0.1132,0.8868,19,5.2273,98.3,1.7736,8.5455,2.0508,14.4615,10,8.0769,47.9738,47.9738,0.2056,30.8,43.8,37.3,43.8,43.8,46.8,40.3,43.8,43.8,43.8,37.3,43.8,43.8,13,4,2,2,3,0.2308,,,0.0909,8,8,,1,2,4,1
Lil'Jordan Humphrey,DEN,WR,113,No,No,No,103,20,No,Yes,19,0.95,0.1942,17,0.85,146,60,25,101,,0.6602,0.3398,13,5.05,76.3,1.4175,7.3,0.9124,8.5882,3.5294,1.4706,30.0099,30.0099,0.177,13.6,30.6,22.1,30.6,30.6,33.6,24.1,29.6,29.6,29.6,21.1,30.6,29.6,17,1,1,2,3,0.1765,,,0.1,7,2,,,,,
Jordan Addison,MIN,WR,166,No,No,No,162,28,Yes,Yes,26,0.9286,0.1728,25,0.8929,178,36,26,168,,0.3148,0.679,18,6,128.9,1.0988,6.3571,-0.3547,7.12,1.44,1.04,57.1106,57.1106,0.1687,35.8,60.8,48.3,60.8,60.8,63.8,51.3,60.8,60.8,60.8,48.3,60.8,60.8,15,1,1,1,1,0.04,,,0.0357,12,9,0.0062,,3,3,2
Tyler Lockett,SEA,WR,202,No,No,No,196,28,No,No,23,0.8214,0.1429,21,0.75,171,49,2,164,,0.3265,0.6735,27,5.8571,90,0.8724,6.1071,-0.6019,8.1429,2.3333,0.0952,43.2221,43.2221,0.1386,17.1,38.1,27.6,38.1,38.1,41.1,30.6,38.1,38.1,38.1,27.6,38.1,38.1,17,3,1,,,,,,,14,3,,1,,1,
Jaelon Darden,SEA,WR,7,No,No,No,7,,No,No,,,,,,,,,,,0.1429,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
David Martin-Robinson,TEN,TE,3,No,No,No,2,,No,Yes,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Skyy Moore,KC,WR,10,No,No,No,10,3,No,Yes,2,0.6667,0.3,,,,,,19,,0.3,0.6,1,6.3333,39.6,,,-6.7663,,,,4.6003,4.6003,0.3,,,,,,,,,,,,,,6,,,2,,,,,0.6667,,,0.1,,,,
Chris Conley,SF,WR,40,No,Yes,No,40,5,No,No,4,0.8,0.125,4,0.8,32,12,2,27,,0.275,0.725,1,5.4,53.8,0.8,6.4,-0.1578,8,3,0.5,9.1719,9.1719,0.125,3.2,7.2,5.2,7.2,7.2,7.2,5.2,7.2,7.2,7.2,5.2,7.2,7.2,15,,,,,,,,,1,1,,,,1,
Travis Homer,CHI,RB,19,No,No,No,16,2,No,Yes,2,1,0.125,2,1,5,2,,3,,,0.0625,,1.5,79.2,0.3125,2.5,-3.562,2.5,1,,2.7741,2.7741,0.1053,0.5,2.5,1.5,3.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,9,,,,,,,,,,,0.9375,,,,
Mecole Hardman,KC,WR,20,No,No,Yes,20,4,No,Yes,4,1,0.2,4,1,44,32,4,12,,0.35,0.65,2,3,112.5,2.2,11,5.3109,11,8,1,5.8757,5.8757,0.2,4.4,8.4,6.4,8.4,8.4,8.4,6.4,8.4,8.4,8.4,6.4,8.4,8.4,12,,,,2,0.5,,,,3,,,,,,
Shane Zylstra,DET,TE,21,No,No,No,19,1,Yes,Yes,1,1,0.0526,1,1,22,13,9,9,0.4211,0.2105,0.2632,,9,118.8,1.1579,22,14.7404,22,13,9,1.658,1.658,0.0476,2.2,3.2,2.7,3.2,3.7,3.2,2.7,3.2,3.2,3.2,2.7,3.7,3.2,12,,,,1,1,,,,1,,0.1053,,,,
Malik Heath,GB,WR,25,Yes,No,No,24,10,No,Yes,8,0.8,0.4167,8,0.8,50,10,3,60,,0.125,0.875,10,6,127.1,2.0833,5,-1.8147,6.25,1.25,0.375,17.7709,17.7709,0.4,17,25,21,25,25,25,21,25,25,25,21,25,25,10,2,2,,,,,,,4,2,,,2,2,2
Luke Schoonmaker,DAL,TE,87,No,No,Yes,81,23,Yes,Yes,20,0.8696,0.284,20,0.8696,156,86,38,81,0.4938,0.358,0.1358,14,3.5217,94.9,1.9259,6.7826,0.4934,7.8,4.3,1.9,32.2603,32.2603,0.2644,15.6,35.6,25.6,35.6,45.6,38.6,28.6,35.6,35.6,35.6,25.6,45.6,35.6,17,3,3,,,,,,,6,,0.0123,,,,
Nate Adkins,DEN,TE,49,No,No,No,31,12,No,Yes,12,1,0.3871,12,1,108,69,18,41,0.7742,0.1613,0.0645,5,3.4167,143.8,3.4839,9,2.7323,9,5.75,1.5,20.4245,20.4245,0.2449,28.8,40.8,34.8,40.8,46.8,43.8,37.8,40.8,40.8,40.8,34.8,46.8,40.8,17,,,,2,0.1667,,,,6,4,,,3,1,1
Trent Taylor,SF,WR,6,No,Yes,No,6,1,No,No,1,1,0.1667,1,1,11,2,1,9,,0.3333,0.6667,,9,112.5,1.8333,11,3.5461,11,2,1,1.4621,1.4621,0.1667,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2,,,,,,,,,,,,,,,
Jack Stoll,MIA,TE,25,No,No,No,21,3,No,Yes,2,0.6667,0.1429,2,0.6667,10,3,1,11,0.619,0.2857,0.0952,1,3.6667,71.5,0.4762,3.3333,-2.8184,5,1.5,0.5,4.2494,4.2494,0.12,1,3,2,3,4,3,2,3,3,3,2,4,3,9,,,,,,,,,,,,,,,
Eric Gray,NYG,RB,30,No,No,No,22,3,No,Yes,3,1,0.1364,3,1,19,12,3,7,,,0.1364,1,2.3333,93.1,0.8636,6.3333,0.0713,6.3333,4,1,4.0253,4.0253,0.1,1.9,4.9,3.4,6.4,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,16,,,,,,,,,1,1,0.8636,,,,
Trenton Irwin,CIN,WR,31,No,No,Yes,31,5,No,Yes,3,0.6,0.1613,3,0.6,15,5,1,17,,0.6774,0.3226,2,3.4,64.6,0.4839,3,-2.8263,5,1.6667,0.3333,12.1972,12.1972,0.1613,1.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,7,,,,,,,,,1,3,,,,1,
Jameson Williams,DET,WR,188,No,No,No,188,31,Yes,Yes,27,0.871,0.1649,24,0.7742,288,135,33,131,,0.3883,0.6117,26,4.2258,116.1,1.5319,9.2903,2.7815,12,5.625,1.375,47.4721,47.4721,0.1649,34.8,58.8,46.8,58.8,58.8,61.8,49.8,58.8,58.8,58.8,46.8,58.8,58.8,15,2,,1,3,0.125,,,0.0323,15,6,,,1,1,
Jalen McMillan,TB,WR,126,No,No,Yes,119,16,No,Yes,15,0.9375,0.1345,13,0.8125,106,42,11,81,,0.2185,0.7647,14,5.0625,89.1,0.8908,6.625,0.2156,8.1538,3.2308,0.8462,28.1167,28.1167,0.127,16.6,29.6,23.1,29.6,29.6,32.6,26.1,29.6,29.6,29.6,23.1,29.6,29.6,13,3,2,1,1,0.0769,1,0.0625,0.0625,4,3,0.0168,,1,,
E.J. Jenkins,PHI,TE,17,No,No,No,15,2,No,Yes,1,0.5,0.1333,1,0.5,7,3,1,10,0.4667,0.4,0.1333,2,5,97.9,0.4667,3.5,-3.0799,7,3,1,4.2981,4.2981,0.1176,6.7,7.7,7.2,7.7,8.2,7.7,7.2,7.7,7.7,7.7,7.2,8.2,7.7,8,,,,,,,,,1,2,,,1,,
D'Ernest Johnson,JAX,RB,56,No,No,No,45,8,No,Yes,6,0.75,0.1778,5,0.625,60,42,22,22,,,,2,2.75,85.4,1.3333,7.5,1.0975,12,8.4,4.4,11.2737,11.2737,0.1429,6,11,8.5,13.5,11,11,8.5,11,11,11,8.5,11,11,13,1,,,3,0.6,,,,2,1,1,,,,
Theo Johnson,NYG,TE,157,No,No,No,136,21,No,Yes,19,0.9048,0.1544,17,0.8095,142,77,30,82,0.2868,0.6618,0.0441,9,3.9048,94.8,1.0441,6.7619,0.2739,8.3529,4.5294,1.7647,30.6454,30.6454,0.1338,14.2,31.2,22.7,31.2,39.7,34.2,25.7,31.2,31.2,31.2,22.7,39.7,31.2,12,2,2,2,4,0.2353,,,0.0952,6,,0.0074,,,,
Jahan Dotson,PHI,WR,158,No,No,No,148,10,No,Yes,8,0.8,0.0676,7,0.7,57,22,5,48,0.0068,0.2635,0.7297,7,4.8,84.2,0.3851,5.7,-0.6754,8.1429,3.1429,0.7143,14.0022,14.0022,0.0633,5.7,12.7,9.2,12.7,12.7,12.7,9.2,12.7,12.7,12.7,9.2,12.7,12.7,17,1,,,2,0.2857,,,,3,,,,,,
DeVonta Smith,PHI,WR,148,Yes,Yes,No,144,49,No,Yes,47,0.9592,0.3403,43,0.8776,409,208,61,237,,0.5903,0.4097,43,4.8367,128.7,2.8403,8.3469,2.0379,9.5116,4.8372,1.4186,77.6014,77.6014,0.3311,64.9,107.9,86.4,107.9,107.9,110.9,89.4,107.9,107.9,107.9,86.4,107.9,107.9,13,8,5,2,5,0.1163,,,0.0408,24,6,,,4,3,2
Aaron Jones,MIN,RB,135,No,No,No,102,18,Yes,Yes,18,1,0.1765,17,0.9444,155,107,25,55,0.0784,0.0196,0.0588,5,3.0556,121.1,1.5196,8.6111,2.0469,9.1176,6.2941,1.4706,26.125,26.125,0.1333,20.5,37.5,29,46,37.5,40.5,31,36.5,36.5,36.5,28,37.5,36.5,17,1,,,1,0.0588,2,0.1111,,7,3,0.8431,,1,,
Luke Farrell,JAX,TE,49,No,No,No,36,15,No,Yes,12,0.8,0.4167,11,0.7333,62,25,14,50,0.8889,0.0556,0.0556,10,3.3333,80.4,1.7222,4.1333,-2.1452,5.6364,2.2727,1.2727,20.6791,20.6791,0.3061,6.2,17.2,11.7,17.2,22.7,17.2,11.7,17.2,17.2,17.2,11.7,22.7,17.2,17,1,1,1,,,,,0.0667,4,1,,,,,
