Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,ReceptionsHero,TouchdownsTotal,TargetsInEndzone,TouchdownsInEndzone
Hassan Haskins,LAC,RB,22,No,No,No,14,2,No,Yes,2,1,0.1429,2,1,15,9,3,6,,,0.1429,,3,97.9,1.0714,7.5,0.9906,7.5,4.5,1.5,2.8137,2.8137,0.0909,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,15,,,,,,,,,1,,0.8571,,,,
Jordan Mims,NO,RB,28,No,No,Yes,19,7,No,Yes,6,0.8571,0.3684,4,0.5714,45,31,1,23,0.0526,0.2105,0.0526,3,3.2857,76.5,2.3684,6.4286,-0.2466,11.25,7.75,0.25,12.8898,12.8898,0.25,4.5,8.5,6.5,10.5,8.5,8.5,6.5,8.5,8.5,8.5,6.5,8.5,8.5,9,,,,,,1,0.1429,,3,,0.6842,,,,
David Bell,CLV,WR,2,No,No,No,2,1,Yes,Yes,1,1,0.5,1,1,9,2,1,7,,0.5,0.5,1,7,104.2,4.5,9,1.9355,9,2,1,1.6222,1.6222,0.5,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1,,,,,,,,,1,,,,,,
Kevin Austin,NO,WR,71,No,No,Yes,68,9,No,Yes,6,0.6667,0.1324,5,0.5556,41,17,8,44,,0.1618,0.8382,9,4.8889,67.4,0.6029,4.5556,-1.7021,8.2,3.4,1.6,13.6639,13.6639,0.1268,4.1,9.1,6.6,9.1,9.1,9.1,6.6,9.1,9.1,9.1,6.6,9.1,9.1,8,,,,,,,,,4,,,,,,
Tyler Badie,DEN,RB,1,No,No,Yes,1,1,No,Yes,1,1,1,1,1,2,,,2,,,,,2,79.2,2,2,-4.3947,2,,,1.3189,1.3189,1,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,3,,,,,,,,,,1,1,,,,
Jalen Brooks,DAL,WR,87,No,No,Yes,87,8,Yes,Yes,5,0.625,0.092,4,0.5,61,36,17,47,0.0115,0.1954,0.7931,7,5.875,75.5,0.7011,7.625,0.8925,15.25,9,4.25,17.1936,17.1936,0.092,6.1,10.1,8.1,10.1,10.1,10.1,8.1,10.1,10.1,10.1,8.1,10.1,10.1,14,1,,1,2,0.5,,,0.125,3,1,,,,,
Kenneth Gainwell,PHI,RB,60,No,No,No,39,10,No,Yes,8,0.8,0.2564,8,0.8,55,33,13,28,,,0.2308,1,2.8,89.6,1.4103,5.5,-1.034,6.875,4.125,1.625,15.554,15.554,0.1667,5.5,13.5,9.5,17.5,13.5,13.5,9.5,13.5,13.5,13.5,9.5,13.5,13.5,17,,,,2,0.25,,,,2,2,0.7692,,,,
Casey Washington,ATL,WR,1,No,No,Yes,1,1,Yes,Yes,1,1,1,1,1,14,11,10,3,,,1,1,3,118.8,14,14,8.5501,14,11,10,1.4062,1.4062,1,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2,,,,,,,,,1,,,,,,
Jalen Nailor,MIN,WR,138,No,No,No,137,18,Yes,Yes,14,0.7778,0.1314,12,0.6667,102,43,17,93,,0.4599,0.5401,13,5.1667,118.3,0.7445,5.6667,-0.7848,8.5,3.5833,1.4167,29.3151,29.3151,0.1304,22.2,34.2,28.2,34.2,34.2,37.2,31.2,34.2,34.2,34.2,28.2,34.2,34.2,17,,,2,,,,,0.1111,7,3,,,2,1,1
John Metchie,HST,WR,89,No,No,No,89,21,No,Yes,17,0.8095,0.236,14,0.6667,107,29,8,116,,0.6292,0.3708,11,5.5238,59,1.2022,5.0952,-1.5045,7.6429,2.0714,0.5714,36.9062,36.9062,0.236,10.7,24.7,17.7,24.7,24.7,27.7,20.7,24.7,24.7,24.7,17.7,24.7,24.7,13,5,3,,,,,,,4,7,,1,,3,
Marquise Brown,KC,WR,13,No,No,No,13,4,No,Yes,3,0.75,0.3077,3,0.75,26,6,1,26,,0.4615,0.5385,4,6.5,91.7,2,6.5,-0.4287,8.6667,2,0.3333,5.8683,5.8683,0.3077,2.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,2,,,,,,,,,1,,,,,,
KaVontae Turpin,DAL,WR,71,No,No,Yes,71,9,Yes,Yes,8,0.8889,0.1268,8,0.8889,113,72,6,45,,0.7465,0.2113,6,5,155.8,1.5915,12.5556,6.1711,14.125,9,0.75,12.9707,12.9707,0.1268,16.3,24.3,20.3,24.3,24.3,27.3,22.3,23.3,23.3,23.3,19.3,24.3,23.3,17,,,,,,1,0.1111,,3,1,0.0423,,1,,
Jamison Crowder,WAS,WR,21,No,No,Yes,19,5,Yes,Yes,4,0.8,0.2632,4,0.8,30,4,2,34,,0.8947,0.1053,4,6.8,52.1,1.5789,6,-1.0134,7.5,1,0.5,7.6578,7.6578,0.2381,3,7,5,7,7,7,5,7,7,7,5,7,7,6,2,2,,,,,,,1,1,,,,,
Dare Ogunbowale,HST,RB,81,No,No,No,56,15,No,Yes,12,0.8,0.2679,11,0.7333,139,97,26,52,,0.125,0.0357,3,3.4667,101.8,2.4821,9.2667,2.5834,12.6364,8.8182,2.3636,25.5545,25.5545,0.1852,13.9,24.9,19.4,30.4,24.9,27.9,22.4,24.9,24.9,24.9,19.4,24.9,24.9,17,1,1,1,2,0.1818,,,0.0667,6,3,0.8393,,,,
Nico Collins,HST,WR,114,No,No,No,113,22,No,Yes,18,0.8182,0.1947,16,0.7273,141,50,21,126,,0.2566,0.7434,21,5.7273,85.6,1.2478,6.4091,-0.266,8.8125,3.125,1.3125,35.2007,35.2007,0.193,20.1,36.1,28.1,36.1,36.1,39.1,31.1,36.1,36.1,36.1,28.1,36.1,36.1,12,2,1,1,,,,,0.0455,9,1,,,1,1,1
