Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,TargetsInEndzone,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,ReceptionsHero,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,TouchdownsInEndzone
Carson Steele,KC,RB,5,No,No,Yes,4,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,1,,,
Trey McBride,ARZ,TE,49,No,No,No,47,5,Yes,,Yes,1,0.2,0.1064,1,,0.2,29,133,0.617,,3,26.6,5,51.3,0.617,5.8,-5.4726,29,1,11.8548,11.8548,0.102,2.9,3.9,3.4,3.9,4.4,3.9,3.4,3.9,3.9,3.9,3.4,4.4,3.9,16,0.383,1,8,4,8,4,,,,,,,,,
John Bates,WAS,TE,15,Yes,Yes,No,10,1,No,1,No,1,1,0.1,,,,,32,,,,32,1,39.6,,,-12.8846,,,2.0808,2.0808,0.0667,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,
Alex Erickson,NE,WR,2,No,No,No,2,,Yes,,No,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Jalen Reagor,LAC,WR,13,No,No,No,13,3,Yes,1,Yes,2,0.6667,0.2308,2,1,0.6667,65,84,0.4615,0.5385,3,28,3,109.7,5,21.6667,9.2481,32.5,1,7.6778,7.6778,0.2308,5.5,7.5,6.5,7.5,7.5,7.5,5.5,6.5,6.5,6.5,5.5,7.5,6.5,8,,,5,,2.5,,1,,,,,,,,
Marcedes Lewis,CHI,TE,7,No,Yes,No,2,,No,,Yes,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,40,No,Yes,No,39,4,No,,Yes,3,0.75,0.1026,3,,0.75,85,105,0.4359,0.1282,3,26.25,4,116.7,2.1795,21.25,10.7631,28.3333,3,4.7519,4.7519,0.1,8.5,11.5,10,11.5,13,11.5,10,11.5,11.5,11.5,10,13,11.5,16,0.3846,,14,5,4.6667,1.6667,,,,,,0.0513,,,
Noah Brown,WAS,WR,22,No,Yes,No,22,8,No,2,No,4,0.5,0.3636,3,,0.375,111,233,,1,5,29.125,8,125,5.0455,13.875,1.5226,37,3,25.3255,25.3255,0.3636,17.1,20.1,18.6,20.1,20.1,23.1,21.6,20.1,20.1,20.1,18.6,20.1,20.1,11,,,9,4,3,1.3333,,1,1,,,,0.125,,
Dontayvion Wicks,GB,WR,41,No,Yes,No,41,15,No,3,Yes,6,0.4,0.3659,3,,0.2,83,432,0.3659,0.6341,12,28.8,15,61.9,2.0244,5.5333,-6.5029,27.6667,3,33.0679,33.0679,0.3659,20.3,23.3,21.8,23.3,23.3,23.3,21.8,23.3,23.3,23.3,21.8,23.3,23.3,17,,4,9,4,3,1.3333,,2,2,,,,0.1333,1,1
Will Shipley,PHI,RB,1,No,No,No,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,1,,,
Trey Palmer,TB,WR,22,No,Yes,Yes,22,5,No,,No,2,0.4,0.2273,2,,0.4,52,149,0.1364,0.8636,4,29.8,5,78.8,2.3636,10.4,-1.9957,26,2,14.1385,14.1385,0.2273,5.2,7.2,6.2,7.2,7.2,7.2,6.2,7.2,7.2,7.2,6.2,7.2,7.2,15,,1,1,8,0.5,4,,,,,,,,,
Kyren Williams,LA,RB,51,No,Yes,Yes,38,,No,,No,,,,,,,,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,0.8947,,,
Tucker Kraft,GB,TE,70,No,Yes,No,65,5,No,2,Yes,5,1,0.0769,4,1,0.8,142,115,0.4462,0.1692,4,23,5,158.3,2.1846,28.4,15.7559,35.5,4,10.5364,10.5364,0.0714,20.2,24.2,22.2,24.2,26.2,27.2,25.2,24.2,24.2,24.2,22.2,26.2,24.2,17,0.3846,1,53,11,13.25,2.75,1,1,,1,0.25,,,1,1
Payne Durham,TB,TE,13,No,Yes,Yes,10,1,No,1,No,1,1,0.1,1,1,1,26,22,0.2,0.1,,22,1,118.8,2.6,26,15.4251,26,1,1.328,1.328,0.0769,2.6,3.6,3.1,3.6,4.1,3.6,3.1,3.6,3.6,3.6,3.1,4.1,3.6,16,0.7,,4,1,4,1,1,,,,,,,,
Dallas Goedert,PHI,TE,17,No,No,No,16,3,No,,No,2,0.6667,0.1875,2,,0.6667,75,75,0.625,0.0625,3,25,3,109.7,4.6875,25,12.8846,37.5,2,6.7568,6.7568,0.1765,7.5,9.5,8.5,9.5,10.5,9.5,8.5,9.5,9.5,9.5,8.5,10.5,9.5,10,0.25,1,23,5,11.5,2.5,,,,,,0.0625,,1,
Roschon Johnson,CHI,RB,27,No,Yes,No,16,,No,,Yes,,,,,,,,,0.0625,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,0.8125,,,
Cedric Tillman,CLV,WR,27,No,Yes,Yes,27,10,Yes,1,No,3,0.3,0.3704,3,1,0.3,77,284,0.2593,0.7407,10,28.4,10,98.8,2.8519,7.7,-4.4959,25.6667,3,22.6409,22.6409,0.3704,19.7,22.7,21.2,22.7,22.7,22.7,21.2,22.7,22.7,22.7,21.2,22.7,22.7,11,,5,2,,0.6667,,1,2,,,,,,2,2
Marvin Mims,DEN,WR,22,No,No,Yes,22,9,No,3,Yes,3,0.3333,0.4091,3,1,0.3333,169,384,0.5455,0.3636,7,42.6667,9,81.9,7.6818,18.7778,4.9497,56.3333,3,20.6805,20.6805,0.4091,34.9,37.9,36.4,37.9,37.9,40.9,39.4,37.9,37.9,37.9,36.4,37.9,37.9,17,0.0455,2,58,,19.3333,,1,3,,,,0.0455,,,2
Raheem Mostert,MIA,RB,10,No,Yes,Yes,8,,No,,Yes,,,,,,,,,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,0.75,,,
Calvin Ridley,TEN,WR,53,No,Yes,No,52,30,No,3,Yes,14,0.4667,0.5769,11,2,0.3667,397,1012,0.1923,0.8077,27,33.7333,30,78.5,7.6346,13.2333,-0.0144,36.0909,11,71.8281,71.8281,0.566,57.7,68.7,63.2,68.7,68.7,71.7,66.2,68.7,68.7,68.7,63.2,68.7,68.7,17,,1,59,15,5.3636,1.3636,2,3,2,,,,0.0667,,
Jalen Coker,CAR,WR,29,No,No,No,29,6,No,,No,4,0.6667,0.2069,4,,0.6667,158,161,0.5172,0.4828,6,26.8333,6,149.3,5.4483,26.3333,14.3688,39.5,4,14.0629,14.0629,0.2069,21.8,25.8,23.8,25.8,25.8,28.8,26.8,25.8,25.8,25.8,23.8,25.8,25.8,11,,,64,2,16,0.5,1,1,,,,,,,
Brevin Jordan,HST,TE,2,No,No,No,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,
Jayden Reed,GB,WR,58,No,Yes,No,58,15,No,5,Yes,13,0.8667,0.2586,12,5,0.8,478,484,0.8793,0.1034,11,32.2667,15,141,8.2414,31.8667,19.0408,39.8333,12,34.3708,34.3708,0.2586,53.8,65.8,59.8,65.8,65.8,68.8,62.8,65.8,65.8,65.8,59.8,65.8,65.8,17,0.0172,,105,47,8.75,3.9167,2,1,1,1,0.0833,,0.0667,,
Kyle Pitts,ATL,TE,42,No,No,No,37,9,No,2,No,5,0.5556,0.2432,4,1,0.4444,161,202,0.4324,0.2703,6,22.4444,9,88.7,4.3514,17.8889,6.5979,40.25,4,17.8445,17.8445,0.2143,22.1,26.1,24.1,26.1,28.1,29.1,27.1,26.1,26.1,26.1,24.1,28.1,26.1,17,0.2973,1,73,27,18.25,6.75,,1,,,,,,1,
Dante Pettis,NO,WR,11,No,Yes,Yes,11,4,No,,No,,,0.3636,,,,,116,0.2727,0.7273,4,29,4,39.6,,,-12.393,,,6.866,6.866,0.3636,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,
Ainias Smith,PHI,WR,1,No,No,No,1,,No,,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,18,No,No,Yes,16,1,No,1,Yes,1,1,0.0625,,,,,21,0.75,0.25,1,21,1,39.6,,,-11.2393,,,2.6299,2.6299,0.0556,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Terry McLaurin,WAS,WR,47,Yes,Yes,No,47,27,No,5,No,14,0.5185,0.5745,11,3,0.4074,439,897,0.234,0.766,21,33.2222,27,112.3,9.3404,16.2593,3.5073,39.9091,11,67.0001,67.0001,0.5745,73.9,84.9,79.4,84.9,84.9,87.9,82.4,84.9,84.9,84.9,79.4,84.9,84.9,17,,5,103,20,9.3636,1.8182,2,5,1,1,0.0909,,0.037,2,3
Adam Thielen,CAR,WR,33,No,No,No,33,13,No,2,No,8,0.6154,0.3939,7,1,0.5385,193,342,0.7879,0.2121,10,26.3077,13,99,5.8485,14.8462,3.1044,27.5714,7,30.3063,30.3063,0.3939,43.3,50.3,46.8,50.3,50.3,53.3,49.8,50.3,50.3,50.3,46.8,50.3,50.3,10,,4,10,1,1.4286,0.1429,1,4,1,,,,0.0769,1,4
Elijah Higgins,ARZ,TE,15,No,No,No,12,1,Yes,1,Yes,1,1,0.0833,1,1,1,18,26,0.25,0.0833,,26,1,158.3,1.5,18,6.8476,18,1,3.0137,3.0137,0.0667,7.8,8.8,8.3,8.8,9.3,8.8,8.3,8.8,8.8,8.8,8.3,9.3,8.8,17,0.6667,1,,,,,,1,,,,,,1,1
Braelon Allen,NYJ,RB,13,No,Yes,Yes,10,,No,,Yes,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,0.8,,,
Josiah Deguara,JAX,TE,2,No,No,No,2,,Yes,,Yes,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.5,,,,,,,,,,,,,,
Harrison Bryant,LV,TE,11,No,No,No,8,1,No,,No,,,0.125,,,,,21,0.5,,,21,1,,,,-12.9635,,,1.7778,1.7778,0.0909,,,,,,,,,,,,,,13,0.5,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,10,No,No,Yes,10,,Yes,,Yes,,,,,,,,,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Jonnu Smith,MIA,TE,23,No,Yes,Yes,20,3,No,,Yes,1,0.3333,0.15,1,,0.3333,57,73,0.5,0.3,1,24.3333,3,121.5,2.85,19,4.7618,57,1,5.7771,5.7771,0.1304,11.7,12.7,12.2,12.7,13.2,12.7,12.2,12.7,12.7,12.7,12.2,13.2,12.7,17,0.15,,36,,36,,,1,,,,0.05,,,
Josh Palmer,LAC,WR,49,No,No,Yes,49,18,No,3,Yes,9,0.5,0.3673,8,1,0.4444,250,544,0.2245,0.7755,15,30.2222,18,86.6,5.102,13.8889,1.3661,31.25,8,47.4945,47.4945,0.3673,31,39,35,39,39,42,38,39,39,39,35,39,39,15,,3,34,17,4.25,2.125,1,1,,,,,,1,1
Antonio Gibson,NE,RB,17,No,No,No,13,2,Yes,,No,,,0.1538,,,,,57,0.0769,0.2308,1,28.5,2,39.6,,,-13.2143,,,3.8148,3.8148,0.1176,,,,,,,,,,,,,,17,0.2308,,,,,,,,,,,0.4615,,,
Charlie Woerner,ATL,TE,13,No,No,No,3,,No,,No,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.6667,,,,,,,,,,,,,,
Mason Kinsey,TEN,WR,7,No,Yes,No,7,,No,,Yes,,,,,,,,,0.8571,0.1429,,,,,,,,,,1.8943,1.8943,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Justin Shorter,LV,TE,1,No,No,No,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,39,No,No,Yes,38,6,No,,No,4,0.6667,0.1579,4,,0.6667,151,154,0.4737,0.5263,6,25.6667,6,149.3,3.9737,25.1667,13.3322,37.75,4,10.7007,10.7007,0.1538,27.1,31.1,29.1,31.1,31.1,34.1,32.1,31.1,31.1,31.1,29.1,31.1,31.1,17,,1,52,39,13,9.75,,2,,1,0.25,,,1,
David Moore,CAR,WR,37,No,No,No,37,8,No,3,No,4,0.5,0.2162,2,2,0.25,39,187,0.1892,0.8108,7,23.375,8,87,1.0541,4.875,-6.9946,19.5,2,18.0078,18.0078,0.2162,9.9,11.9,10.9,11.9,11.9,11.9,10.9,11.9,11.9,11.9,10.9,11.9,11.9,17,,1,,,,,,1,1,,,,0.125,1,1
Chris Moore,ARZ,WR,1,Yes,No,No,1,,No,,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,25,No,Yes,No,24,10,No,2,Yes,8,0.8,0.4167,6,,0.6,161,299,0.4583,0.5417,10,29.9,10,64.6,6.7083,16.1,3.3442,26.8333,6,24.415,24.415,0.4,16.1,22.1,19.1,22.1,22.1,25.1,22.1,22.1,22.1,22.1,19.1,22.1,22.1,17,,,8,,1.3333,,,,1,,,,0.1,,
Garrett Wilson,NYJ,WR,56,No,Yes,Yes,56,20,No,4,Yes,9,0.45,0.3571,7,2,0.35,201,539,0.2857,0.7143,17,26.95,20,85.6,3.5893,10.05,-1.9758,28.7143,7,48.3834,48.3834,0.3571,32.1,39.1,35.6,39.1,39.1,42.1,38.6,39.1,39.1,39.1,35.6,39.1,39.1,17,,3,11,4,1.5714,0.5714,2,2,,,,,,1,1
Jeff Wilson,MIA,RB,2,No,Yes,Yes,2,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,1,,,
Kenny McIntosh,SEA,RB,6,No,Yes,No,4,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,1,,,
Kameron Johnson,TB,WR,1,Yes,No,Yes,1,,No,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,24,Yes,Yes,No,23,6,No,1,No,3,0.5,0.2609,2,,0.3333,92,226,0.2609,0.7391,6,37.6667,6,121.5,4,15.3333,1.349,46,2,18.7166,18.7166,0.2609,15.2,17.2,16.2,17.2,17.2,17.2,16.2,17.2,17.2,17.2,16.2,17.2,17.2,16,,1,11,6,5.5,3,,1,,,,,,,1
Johnny Wilson,PHI,WR,7,No,No,No,7,1,No,,No,,,0.1429,,,,,30,0.1429,0.8571,,30,1,39.6,,,-9.194,,,1.3057,1.3057,0.1429,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
Erik Ezukanma,MIA,WR,1,Yes,No,Yes,1,1,Yes,,Yes,,,1,,,,,47,1,,,47,1,39.6,,,-15,,,2.7,2.7,1,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,16,No,Yes,No,11,,No,,Yes,,,,,,,,,,0.2727,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,0.7273,,,
Quentin Johnston,LAC,WR,45,No,No,No,45,19,No,6,No,10,0.5263,0.4222,7,3,0.3684,235,567,0.0444,0.9556,14,29.8421,19,102,5.2222,12.3684,0.6835,33.5714,7,46.6223,46.6223,0.4222,47.5,54.5,51,54.5,54.5,57.5,54,54.5,54.5,54.5,51,54.5,54.5,15,,4,44,4,6.2857,0.5714,1,4,,,,,,1,2
Blake Whiteheart,CLV,TE,6,No,No,Yes,5,1,Yes,1,Yes,1,1,0.2,1,1,1,29,25,,0.2,1,25,1,118.8,5.8,29,19.4444,29,1,1.9113,1.9113,0.1667,2.9,3.9,3.4,3.9,4.4,3.9,3.4,3.9,3.9,3.9,3.4,4.4,3.9,11,0.8,,4,,4,,1,,,,,,,,
Chris Manhertz,NYG,TE,9,No,No,No,2,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,
AJ Barner,SEA,TE,18,No,Yes,No,12,1,No,,Yes,,,0.0833,,,,,20,0.4167,0.0833,1,20,1,39.6,,,-11.7623,,,1.9857,1.9857,0.0556,,,,,,,,,,,,,,17,0.5,,,,,,,,,,,,,,
Zach Charbonnet,SEA,RB,36,No,Yes,No,24,,No,,Yes,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.0417,,,,,,,,,,,0.8333,,,
Chuba Hubbard,CAR,RB,40,No,Yes,No,28,,No,,No,,,,,,,,,0.0357,0.2857,,,,,,,,,,2.2622,2.2622,,,,,,,,,,,,,,,15,,,,,,,,,,,,0.6786,,,
Jared Wayne,HST,WR,1,Yes,No,No,1,,No,,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Xavier Worthy,KC,WR,44,No,No,Yes,44,17,No,3,Yes,7,0.4118,0.3864,3,1,0.1765,120,570,0.25,0.75,14,33.5294,17,56.1,2.7273,7.0588,-5.74,40,3,40.2283,40.2283,0.3864,24,27,25.5,27,27,30,28.5,27,27,27,25.5,27,27,17,,4,19,10,6.3333,3.3333,,2,,,,,,,1
Rachaad White,TB,RB,23,No,Yes,Yes,19,,No,,No,,,,,,,,,0.0526,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,0.8421,,,
Malachi Corley,NYJ,WR,6,No,Yes,No,6,1,No,,No,,,0.1667,,,,,22,0.3333,0.6667,1,22,1,39.6,,,-11.9241,,,1.4222,1.4222,0.1667,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Ty Johnson,BUF,RB,32,No,No,No,28,5,Yes,1,No,3,0.6,0.1786,3,1,0.6,90,131,0.0714,0.1429,1,26.2,5,104.2,3.2143,18,3.2076,30,3,8.4711,8.4711,0.1562,9,12,10.5,13.5,12,12,10.5,12,12,12,10.5,12,12,17,0.0357,,11,7,3.6667,2.3333,,,,,,0.75,,,
Nick Muse,MIN,TE,1,No,No,Yes,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,
Van Jefferson,PIT,WR,46,No,Yes,No,46,9,No,1,No,3,0.3333,0.1957,2,,0.2222,71,277,0.1522,0.8478,6,30.7778,9,60,1.5435,7.8889,-4.969,35.5,2,18.8052,18.8052,0.1957,7.1,9.1,8.1,9.1,9.1,9.1,8.1,9.1,9.1,9.1,8.1,9.1,9.1,17,,,2,,1,,1,,1,,,,0.1111,,
