teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage
24,New York,Giants,True,DAL,NFC,NFC East,Open,Open,Cover 4,17,196,196,0.7551020408163265,9,127,0.6479591836734694,0.8125,-0.0025347120568182113,11,7,87,0.08163265306122448,1054,5.377551020408164,0.7352941176470589,5.275510204081633,567,8,4,5,No,No,57,0.29081632653061223,-0.04387397959183673,No,0.08673469387755102,0.1326530612244898,0.015306122448979591,0.00510204081632653,0.6632653061224489,0.08163265306122448,0.5816326530612245,2.5153061224489797,2.4052631578947365,3.1853932584269664,83.6,No,No,60,,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Closed,Closed,Cover 3,17,188,188,0.824468085106383,5,138,0.7340425531914894,0.8604651162790697,0.03626218480232557,12,4,65,0.05319148936170213,1061,5.6436170212765955,0.6965127238454288,6.042553191489362,562,6,1,10,No,No,56,0.2978723404255319,-0.04436249999999997,No,0.06914893617021277,0.07446808510638298,0.010638297872340425,,0.6702127659574468,0.10106382978723404,0.6436170212765957,2.5590425531914893,2.498214285714286,3.2674418604651163,95.2,No,No,48,2,0.010638297872340425
29,San Francisco,49ers,True,SEA,NFC,NFC West,Open,Closed,Cover 1,17,188,188,0.8351063829787234,4,142,0.7553191489361702,0.8522727272727273,0.023194894227272722,8,4,40,0.0425531914893617,1037,5.51595744680851,0.7377049180327869,5.888297872340425,509,8,2,6,No,No,42,0.22340425531914893,-0.12956595744680852,No,0.0425531914893617,0.09574468085106383,0.015957446808510637,0.005319148936170213,0.5638297872340425,0.20212765957446807,0.5957446808510638,2.621276595744681,2.6904761904761907,2.8920454545454546,97.8,No,No,55,,
14,Indianapolis,Colts,,HST,AFC,AFC South,Closed,Closed,Cover 1,17,220,220,0.7636363636363637,17,151,0.6863636363636364,0.7939698492462312,0.0038748498291457656,12,6,36,0.031818181818181815,1236,5.618181818181818,0.6027508090614887,5.777272727272727,893,13,5,9,Yes,Yes,65,0.29545454545454547,-0.05964772727272728,No,0.04090909090909091,0.12272727272727273,0.013636363636363636,0.00909090909090909,0.5909090909090909,0.12727272727272726,0.6,2.6336363636363633,2.5123076923076924,4.420792079207921,92.9,No,Yes,64,,
10,Denver,Broncos,True,LAC,AFC,AFC West,Open,Open,Red Zone,17,205,205,0.775609756097561,10,132,0.6439024390243903,0.8202247191011236,0.012063049983146112,20,3,66,0.06829268292682927,1119,5.458536585365854,0.613047363717605,5.946341463414634,741,5,,8,No,Yes,56,0.2731707317073171,-0.0477719512195122,No,0.06829268292682927,0.08292682926829269,,0.004878048780487805,0.6731707317073171,0.06341463414634146,0.5951219512195122,2.435609756097561,2.248214285714286,4.071428571428571,86.6,No,No,62,2,0.00975609756097561
22,New England,Patriots,True,MIA,AFC,AFC East,Closed,Closed,Cover 1,17,167,167,0.844311377245509,10,123,0.7365269461077845,0.8516129032258064,0.04478451105806447,10,1,23,0.05389221556886228,966,5.7844311377245505,0.6252587991718427,6.562874251497006,564,11,2,3,Yes,No,57,0.3413173652694611,0.0032763473053892336,Yes,0.023952095808383235,0.07784431137724551,0.029940119760479042,0.017964071856287425,0.6047904191616766,0.1437125748502994,0.6347305389221557,2.534730538922156,2.387719298245614,3.6666666666666665,104.5,No,Yes,56,1,0.005988023952095809
30,Tampa Bay,Buccaneers,True,CAR,NFC,NFC South,Closed,Closed,Cover 3,17,207,207,0.8164251207729468,11,151,0.7294685990338164,0.8526315789473684,0.055932156652631626,10,6,68,0.05314009661835749,1489,7.193236714975845,0.6165211551376762,6.975845410628019,870,9,5,6,Yes,No,56,0.27053140096618356,-0.06543526570048312,Yes,0.028985507246376812,0.08695652173913043,0.014492753623188406,0.00966183574879227,0.6811594202898551,0.09178743961352658,0.6473429951690821,2.522705314009662,2.430357142857143,4.546875,97.3,No,Yes,71,1,0.004830917874396135
17,Los Angeles,Rams,True,ARZ,NFC,NFC West,Open,Open,Cover 0,17,162,162,0.7592592592592593,5,105,0.6481481481481481,0.7638888888888888,-0.053117795500000065,13,4,2,0.030864197530864196,752,4.6419753086419755,0.6103723404255319,4.148148148148148,519,5,4,6,Yes,No,54,0.3333333333333333,0.014380555555555561,No,0.043209876543209874,0.12345679012345678,0.018518518518518517,,0.6111111111111112,0.07407407407407407,0.5802469135802469,2.424074074074074,2.3648148148148147,3.579310344827586,75.4,No,Yes,38,1,0.006172839506172839
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Open,Cover 4,17,172,172,0.8197674418604651,6,132,0.7674418604651163,0.8417721518987342,0.02526144328481006,11,2,-6,0.005813953488372093,1138,6.616279069767442,0.7047451669595782,7.023255813953488,523,8,2,8,No,Yes,51,0.29651162790697677,-0.04737267441860465,No,0.023255813953488372,0.09883720930232558,0.029069767441860465,0.005813953488372093,0.6395348837209303,0.11627906976744186,0.6976744186046512,2.568604651162791,2.433333333333333,3.289308176100629,104.3,No,No,59,1,0.005813953488372093
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Closed,Cover 1,17,225,225,0.7866666666666666,15,153,0.68,0.8195121951219512,-0.011727867107317214,14,2,55,0.06666666666666667,1099,4.884444444444444,0.7943585077343039,3.9955555555555557,565,8,8,7,No,No,72,0.32,-0.01450333333333333,No,0.02666666666666667,0.12,0.02666666666666667,0.0044444444444444444,0.5733333333333334,0.16444444444444445,0.6222222222222222,2.5142222222222226,2.3736111111111113,2.7464114832535884,76.1,No,No,60,2,0.008888888888888889
