teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingTouchdownsTotal,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,teamIsHomeTeam
19,Las Vegas,Raiders,KC,AFC,AFC West,Open,Open,Cover 0,17,95,95,0.8631578947368421,6,75,0.7894736842105263,0.9069767441860465,0.12984560791860467,3,6,33,0.031578947368421054,696,7.326315789473684,0.46695402298850575,8.74736842105263,494,1,2,No,No,21,0.22105263157894736,-0.09864999999999999,No,0.010526315789473684,0.042105263157894736,,0.6631578947368421,0.06315789473684211,0.7684210526315789,2.428421052631579,2.1619047619047618,5.744186046511628,124.4,No,Yes,43,9,,,,True
9,Dallas,Cowboys,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,73,73,0.9041095890410958,8,60,0.821917808219178,0.9705882352941176,0.21692474414705876,3,2,58,0.0821917808219178,628,8.602739726027398,0.43471337579617836,10.246575342465754,474,,2,No,No,27,0.3698630136986301,0.020090410958904105,No,,0.0273972602739726,,0.547945205479452,0.0958904109589041,0.7397260273972602,2.6027397260273974,2.374074074074074,6.970588235294118,129.9,No,Yes,31,6,,,0.0136986301369863,
13,Houston,Texans,IND,AFC,AFC South,Open,Open,Prevent,17,107,107,0.822429906542056,3,70,0.6542056074766355,0.8315789473684211,0.06528445915789483,8,2,68,0.08411214953271028,693,6.4766355140186915,0.46464646464646464,5.775700934579439,566,3,2,No,No,43,0.40186915887850466,0.045959345794392543,No,0.009345794392523364,0.06542056074766354,0.009345794392523364,0.5233644859813084,0.1308411214953271,0.6542056074766355,2.638317757009346,2.425581395348837,5.835051546391752,81.3,No,Yes,37,3,,,0.018691588785046728,True
21,Minnesota,Vikings,GB,NFC,NFC North,Open,Open,Cover 2,17,85,85,0.8117647058823529,7,57,0.6705882352941176,0.7901234567901234,0.05374581706172843,2,1,59,0.08235294117647059,648,7.623529411764705,0.44598765432098764,7.447058823529412,611,3,,No,No,27,0.3176470588235294,-0.022926470588235298,No,,0.1411764705882353,0.058823529411764705,0.5411764705882353,0.047058823529411764,0.6352941176470588,2.5494117647058823,2.325925925925926,7.451219512195122,98.6,Yes,Yes,29,6,1,0.011764705882352941,0.011764705882352941,True
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Open,Cover 4,17,67,67,0.835820895522388,3,50,0.746268656716418,0.8253968253968254,0.07178829373015871,,4,14,0.029850746268656716,453,6.7611940298507465,0.33774834437086093,6.985074626865671,438,1,2,No,No,19,0.2835820895522388,-0.08811716417910445,No,,0.1044776119402985,0.029850746268656716,0.5522388059701493,0.07462686567164178,0.6567164179104478,2.729850746268657,2.5789473684210527,6.9523809523809526,101.2,No,Yes,26,3,,,,
11,Detroit,Lions,CHI,NFC,NFC North,Open,Open,Cover 0,17,94,94,0.8829787234042553,6,73,0.776595744680851,0.8351648351648352,0.08753189616483514,,3,26,0.031914893617021274,678,7.212765957446808,0.3407079646017699,7.319148936170213,650,2,2,Yes,Yes,28,0.2978723404255319,-0.02312127659574469,Yes,0.010638297872340425,0.0851063829787234,0.05319148936170213,0.648936170212766,0.10638297872340426,0.6170212765957447,2.4351063829787236,2.4071428571428575,7.142857142857143,105.6,No,Yes,37,5,1,0.010638297872340425,0.010638297872340425,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Open,Open,Cover 0,17,82,82,0.7926829268292683,3,58,0.7073170731707317,0.782051282051282,0.025422224756410206,,4,24,0.036585365853658534,612,7.463414634146342,0.4493464052287582,6.2439024390243905,506,4,2,No,Yes,24,0.2926829268292683,-0.02169634146341463,Yes,,0.13414634146341464,0.04878048780487805,0.6829268292682927,0.06097560975609756,0.6219512195121951,2.397560975609756,2.2916666666666665,6.405063291139241,88.1,No,No,33,4,,,0.024390243902439025,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Open,Open,Cover 2,17,93,93,0.8064516129032258,7,64,0.6881720430107527,0.8181818181818182,0.048248026102272856,3,1,39,0.08602150537634409,564,6.064516129032258,0.46808510638297873,5.150537634408602,530,5,6,No,No,34,0.3655913978494624,0.04170268817204302,No,0.021505376344086023,0.11827956989247312,0.06451612903225806,0.5376344086021505,0.13978494623655913,0.6236559139784946,2.4526881720430107,2.414705882352941,5.955056179775281,87.4,No,Yes,35,7,2,0.021505376344086023,,True
12,Green Bay,Packers,MIN,NFC,NFC North,Open,Open,Cover 2,17,116,116,0.853448275862069,3,90,0.7758620689655172,0.8773584905660378,0.09480287854716984,3,3,10,0.02586206896551724,833,7.181034482758621,0.38895558223289317,7.310344827586207,601,1,2,No,No,40,0.3448275862068966,-0.007149137931034512,No,,0.0603448275862069,0.008620689655172414,0.4051724137931034,0.12931034482758622,0.6724137931034483,2.61551724137931,2.4875,5.414414414414415,101.6,Yes,Yes,42,3,1,0.008620689655172414,0.008620689655172414,
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Open,Cover 2,17,106,106,0.7924528301886793,6,78,0.7358490566037735,0.797979797979798,0.028820917181818118,3,3,3,0.009433962264150943,700,6.60377358490566,0.43857142857142856,6.320754716981132,589,2,4,Yes,No,29,0.27358490566037735,-0.07717971698113206,No,,0.1509433962264151,0.02830188679245283,0.6037735849056604,0.10377358490566038,0.6698113207547169,2.608490566037736,2.693103448275862,6.04,92.5,No,Yes,38,3,,,,
20,Miami,Dolphins,NE,AFC,AFC East,Closed,Closed,Cover 1,17,79,79,0.9240506329113924,3,65,0.8227848101265823,0.922077922077922,0.13848684315584414,,,30,0.0759493670886076,661,8.367088607594937,0.46747352496217853,9.126582278481013,432,,3,Yes,No,22,0.27848101265822783,-0.07867974683544306,Yes,,0.0759493670886076,0.012658227848101266,0.4810126582278481,0.16455696202531644,0.7974683544303798,2.6455696202531644,2.6363636363636362,5.632911392405063,114.2,No,Yes,32,3,,,,
25,New York,Jets,BUF,AFC,AFC East,Open,Closed,Cover 3,17,91,91,0.8021978021978022,2,58,0.6373626373626373,0.8048780487804879,0.027546469280487873,6,,43,0.08791208791208792,552,6.065934065934066,0.4891304347826087,6.945054945054945,463,,2,Yes,Yes,23,0.25274725274725274,-0.07968186813186813,No,,0.08791208791208792,0.02197802197802198,0.6263736263736264,0.08791208791208792,0.5934065934065934,2.502197802197802,2.4608695652173913,5.482352941176471,95.1,Yes,No,31,4,,,,
