id,name,pos,team,avoidedTackles,jukes,openFieldYards,powerSuccessRate,secondLevelYards,stuffedAttempts,success,winYards,yardsAfterContact,yardsBeforeContact,adjustedLineYards,adjustedLineYardsAvg,dvoa,dyar,epa,goalLineAttempts,goalLineTouchdowns,redZoneAttempts
00-0039916,Ricky Pearsall,WR,SF,2,0,0,0,0,1,0,5,5,-7,0,0,-1.301,-10.635,-1.673,0,0,0
00-0036972,Mac Jones,QB,SF,0,0,36,0.8182,18,17,14,10,10,50,0,0,-0.2473,-13.320999999999998,-4.595000000000001,1,0,3
00-0040582,,,,0,0,13,0,8,1,2,1,1,12,0,0,-0.3322,1.1559999999999993,0.09900000000000014,0,0,0
00-0028118,,,,2,1,64,1,60,3,13,15,9,134,0,0,-0.4176,-5.264,5.412999999999999,0,0,3
00-0033869,,,,0,0,0,0,9,7,1,0,0,6,0,0,0,0,-6.797,0,0,0
00-0040676,Cam Ward,QB,TEN,0,0,77,0.8333,69,9,21,8,8,151,0,0,0.1666,17.756,7.516,2,0,10
00-0039342,Xavier Legette,WR,CAR,0,0,0,0,0,1,0,2,2,-2,0,0,-1.3337,-4.495,-0.531,0,0,0
00-0033119,Jacoby Brissett,QB,ARI,0,0,64,0.8,53,7,22,12,12,156,0,0,-0.271,-15.157999999999998,5.098999999999999,3,1,5
00-0039868,Troy Franklin,WR,DEN,1,0,11,1,0,1,2,15,15,-3,0,0,-0.1278,6.261,-1.722,0,0,0
00-0037085,,,,0,0,0,0,19,2,2,17,17,6,28.92333,3.6154,-0.5117,-13.907,-3.705,1,0,2
00-0040078,Brashard Smith,RB,KC,9,0,24,0,64,9,13,100,100,51,164.01120000000003,3.7275,-0.2036,-19.448,-10.821999999999994,1,0,10
00-0038563,Tre Tucker,WR,LV,2,1,10,0,41,1,5,32,22,29,0,0,-0.0701,20.935000000000002,-0.4690000000000001,0,0,1
00-0038544,Quentin Johnston,WR,LAC,0,0,0,0,9,1,1,1,1,6,0,0,-0.3931,-0.06799999999999962,-0.371,0,0,0
00-0040547,,,,2,0,22,0,37,0,5,23,23,37,46.56243,5.1736,0.2553,13.392000000000001,-1.632,0,0,0
00-0027973,,,,0,0,0,0,0,4,0,0,0,-2,0,0,0,0,-8.66,0,0,0
00-0036900,Ja'Marr Chase,WR,CIN,0,0,0,0,17,1,2,4,4,10,0,0,-0.091,4.472,0.123,0,0,0
00-0032950,,,,0,0,39,0,6,2,3,21,21,36,0,0,0,0,-3.249,0,0,2
00-0033526,Samaje Perine,RB,CIN,19,0,131,0.6316,131,8,46,230,230,152,345.3992400000001,4.1119,0.1655,100.50700000000002,0.45899999999999763,4,1,16
00-0038440,,,,4,1,31,1,65,6,13,55,56,58,119.08718999999998,3.7215,-0.3413,-33.24700000000001,-10.010000000000002,1,0,3
00-0040208,Tahj Brooks,RB,CIN,2,0,0,0,13,1,4,27,27,18,45.18345,3.0122,-0.4225,-21.089,-4.072,0,0,0
00-0036414,,,,1,1,14,0,0,2,2,19,5,14,15.50154,3.1003,-0.7099,-11.409,-0.9149999999999999,0,0,0
00-0037120,,,,1,0,0,0,6,2,2,5,5,19,31.778579999999998,3.531,-0.4575,-13.433,-2.9810000000000003,0,0,0
00-0039164,Anthony Richardson Sr.,QB,IND,0,0,0,1,0,3,1,1,1,-2,0,0,0.0956,1.473,-2.4299999999999997,0,0,0
00-0038611,Chris Rodriguez Jr.,RB,JAX,27,1,205,0.5625,127,15,52,308,303,197,457.47168000000005,4.0846,0.1807,141.09899999999996,6.193000000000002,14,2,33
00-0032268,Marcus Mariota,QB,WAS,4,1,180,0.5,82,15,23,35,36,261,0,0,-0.1932,-11.565000000000008,5.455999999999997,3,1,8
00-0039407,,,,1,0,0,0,0,2,1,10,10,-1,3.93531,0.5622,-0.7974,-24.964999999999996,-5.367,0,0,0
00-0039299,George Holani,RB,SEA,9,0,0,1,37,4,5,56,56,17,92.47484999999999,4.2034,-0.187,-9.233999999999995,-9.351999999999999,0,0,5
00-0040067,,,,2,0,10,0,16,1,2,20,20,0,22.96749,4.5935,0.1759,4.468999999999999,0.04500000000000015,0,0,0
00-0035704,,,,0,0,0,0,0,6,0,1,1,-6,0,0,0,0,-0.9670000000000001,0,0,0
00-0040735,Luther Burden III,WR,CHI,4,1,25,0,17,1,3,35,28,9,0,0,0.3609,25.398,2.2880000000000003,0,0,0
00-0038705,,,,9,0,223,1,55,6,14,125,125,187,159.32859000000002,3.6211,-0.1311,-7.756000000000001,-6.901000000000002,0,0,5
00-0035500,Greg Dortch,WR,DET,2,0,0,0,9,3,3,19,19,-4,0,0,-0.1285,11.033000000000001,-1.388,1,0,3
00-0038519,,,,0,0,11,0,0,0,1,5,5,6,0,0,0.75,6.793,0.643,0,0,0
00-0038543,,,,1,0,32,0,10,2,3,15,15,21,0,0,-0.0983,10.352,0.04600000000000026,0,0,0
00-0036924,,,,13,1,76,0.7778,126,18,39,172,173,160,316.82136,3.4437,-0.0372,18.891000000000012,-8.417,3,1,8
00-0037304,,,,0,0,29,0.7857,0,4,11,7,7,36,0,0,0.3049,89.70599999999999,8.556000000000001,4,2,6
00-0032398,,,,0,0,0,0,9,0,1,2,2,7,0,0,0.895,6.078,0.725,0,0,0
00-0037545,Rashid Shaheed,WR,SEA,1,0,51,0,29,2,5,20,20,49,0,0,0.2242,24.406,1.456,0,0,1
00-0038896,,,,1,0,0,0,9,0,0,6,6,5,12.39813,6.1991,0.7922,6.096,-1.059,0,0,0
00-0034577,,,,0,0,0,0,0,3,0,0,0,-3,0,0,0,0,0,0,0,0
00-0040138,Jaylin Noel,WR,HOU,0,0,0,0,0,1,2,5,5,7,0,0,-0.6876,-9.139,-3.05,0,0,2
00-0033589,,,,0,0,12,0,0,0,1,5,5,7,0,0,1.0537,8.612,1.035,0,0,0
00-0040131,Kyle Williams,WR,NE,0,0,0,0,0,1,1,8,8,-5,0,0,-0.7468,-3.758,-0.625,0,0,0
00-0033949,,,,0,0,0,0,0,9,0,0,0,-5,0,0,0,0,-6.633,0,0,0
00-0032385,,,,0,0,11,0,13,1,3,10,10,9,0,0,-0.0402,7.202,0.18300000000000005,0,0,0
00-0040237,Tez Johnson,WR,TB,0,0,0,0,18,2,4,6,6,16,0,0,-0.2951,2.944999999999998,-1.2529999999999997,0,0,2
00-0036313,,,,0,0,0,0,0,1,0,0,0,-34,0,0,0,0,-1.951,0,0,0
00-0038606,Parker Washington,WR,JAX,0,0,0,1,0,3,2,2,2,-2,0,0,-0.872,-27.891,-1.422,1,0,1
00-0035289,,,,0,0,0,0,8,5,0,0,0,2,0,0,0,0,-0.571,0,0,0
00-0031687,,,,5,0,60,1,22,4,7,69,69,35,70.33079999999998,3.1969,-0.1002,-1.2030000000000065,-9.053999999999998,0,0,4
00-0038738,,,,1,0,0,0.6667,38,1,9,41,41,30,85.81259999999999,5.3633,-0.0094,6.391,-1.597,0,0,1
00-0039410,Ryan Flournoy,WR,DAL,0,0,22,0,10,1,2,3,3,22,0,0,0.3384,14.191,0.473,0,0,0
00-0036727,,,,0,0,18,0.5,8,2,5,14,14,30,49.280910000000006,4.9281,0.0353,8.808000000000002,-0.5920000000000002,1,0,2
00-0038976,Marvin Mims Jr.,WR,DEN,2,0,29,0,42,1,7,28,28,50,0,0,-0.0958,20.544000000000004,5.1450000000000005,0,0,2
00-0038619,Andrei Iosivas,WR,CIN,0,0,0,0,0,0,1,3,3,11,0,0,-0.0759,4.800000000000001,-0.149,0,0,0
00-0038090,,,,0,0,10,0,10,0,1,3,3,8,0,0,0.0275,4.406000000000001,0.531,0,0,0
00-0029892,,,,1,0,0,0,0,2,0,1,1,-4,-0.7035899999999997,-0.3518,-1.1112,-17.159,-3.497,1,0,1
00-0037291,Jalen Nailor,WR,LV,1,0,15,0,0,1,1,13,13,0,0,0,-0.3857,0.009999999999999787,-1.272,0,0,0
00-0040704,,,,1,0,47,0,30,2,5,0,0,86,0,0,-1.2994,-10.958,-0.7699999999999995,0,0,2
00-0039920,,,,10,1,100,1,23,1,10,119,88,39,0,0,0.4116,62.263999999999996,7.315000000000001,1,0,2
00-0040494,,,,0,0,11,1,0,5,2,0,0,11,0,0,0,0,-0.12300000000000011,0,0,0
00-0039603,,,,3,1,20,0.5,38,4,8,82,62,16,82.5132,4.8537,0.0873,14.851000000000006,2.1709999999999994,2,0,2
00-0038454,,,,11,0,205,1,69,7,21,164,164,177,254.27517,4.3097,0.0624,37.65100000000002,1.0749999999999995,0,0,14
00-0036554,Nico Collins,WR,HOU,0,0,0,0,15,0,2,8,8,7,0,0,1.7077,23.527,1.996,0,0,1
00-0036898,,,,0,0,36,0,23,5,5,10,10,50,0,0,-0.5058,-5.377000000000001,-0.97,1,0,2
00-0040218,,,,3,0,36,0,21,0,7,21,21,48,0,0,0.6573,41.74,3.18,0,0,0
00-0032104,,,,3,0,14,1,15,1,5,23,23,37,70.20248999999998,5.0145,0.3661,25.762,0.9479999999999998,1,1,3
00-0033357,,,,9,2,29,0.6316,22,13,19,124,116,-2,0,0,-0.508,-128.27800000000002,-14.221,3,1,13
00-0038117,Wan'Dale Robinson,WR,TEN,0,0,0,1,0,1,1,5,5,0,0,0,-0.0752,5.678999999999999,1.922,0,0,0
00-0040586,Jaydon Blue,RB,DAL,5,0,77,0,38,15,11,54,54,75,94.0752,2.4757,-0.4821,-54.361,-7.365999999999999,1,0,7
00-0039032,Tyjae Spears,RB,TEN,15,4,109,0.7778,86,14,25,180,155,128,249.83508000000003,3.4699,-0.0557,9.623999999999995,-7.020000000000002,2,0,10
00-0037157,,,,16,1,67,0.6154,121,22,31,173,169,100,289.7324400000001,3.5333,-0.0736,4.805999999999991,-20.024999999999995,7,3,16
00-0039589,,,,0,0,11,0,0,0,1,3,3,10,0,0,0.5528,8.615,0.06,0,0,0
00-0037617,,,,1,0,10,0.5,17,3,3,27,27,20,60.741389999999996,3.573,-0.3536,-20.121000000000002,-2.8859999999999992,0,0,2
00-0039391,Kimani Vidal,RB,LAC,28,3,265,0.5333,229,39,56,279,271,372,566.1770400000003,3.6528,-0.0598,17.206000000000003,-13.803999999999997,7,1,26
