id,name,pos,team,catchableTargets,contestedReceptions,contestedTargets,createdCatches,drops,explosiveReceptions,explosiveTouchdowns,explosiveYards,firstReadTargets,missedTackles,success,dvoa,dyar,epa,endZoneTargets,endZoneTouchdowns,redZoneTargets,redZoneTouchdowns,airYards,catchableAirYards,droppedAirYards,prayerYards,deepReceptions,deepTargets,deepTouchdowns,deepYards,backfieldRoutes,backfieldYards,closingCoverage,emptyRouteCoverage,emptyRouteYards,inlineRoutes,inlineYards,manCoverage,manYards,offlineRoutes,offlineYards,openCoverage,outWideRoutes,outWideYards,singleHighRoutes,singleHighYards,slotRoutes,slotYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards
00-0037238,Drake London,WR,ATL,78,10,29,7,1,13,0,397,91,1,60,0.0508,155.235,23.72899999999999,11,7,15,7,0,804,4,417,7,17,0,231,1,0,18,0,0,0,0,116,242,0,0,26,266,585,210,498,115,334,23,41,164,418,4,8,3,266,677
00-0040129,Emeka Egbuka,WR,TB,73,4,19,4,6,20,5,605,91,4,53,-0.1792,-50.988000000000014,6.08699999999999,13,2,14,2,0,724,48,848,10,27,4,362,3,0,12,0,0,0,0,149,264,0,0,43,323,671,252,465,174,267,18,48,240,473,6,8,0,351,674
00-0031408,,,,37,6,17,4,2,5,0,141,53,0,29,-0.1755,-23.933,5.266,7,3,9,3,0,422,27,402,3,14,0,100,0,0,6,0,0,0,0,67,135,0,0,17,154,294,102,232,57,74,10,28,104,114,0,5,22,144,233
00-0038824,,,,3,0,0,0,1,1,1,20,1,0,1,0.08,5.139000000000001,-0.7050000000000001,1,1,1,1,0,55,21,15,1,2,1,20,0,0,1,0,0,0,0,10,0,0,0,2,21,20,9,0,8,14,0,1,17,34,0,3,0,19,34
00-0036970,Kyle Pitts Sr.,TE,ATL,96,10,19,1,3,12,0,304,67,10,66,0.0391,82.67099999999998,25.529999999999998,5,3,12,5,0,613,45,256,2,8,0,52,1,0,12,0,0,49,94,167,370,199,408,51,103,108,265,490,191,318,19,26,262,418,8,16,20,376,558
00-0038129,Cade Otton,TE,TB,66,4,10,1,4,7,0,158,50,5,40,-0.0939,-10.999999999999996,4.030999999999999,2,0,6,1,0,294,12,125,0,1,0,0,16,1,13,0,0,54,47,166,104,133,159,39,79,57,260,246,246,308,7,14,257,326,7,11,0,362,468
00-0040237,Tez Johnson,WR,TB,32,1,3,3,1,3,2,94,30,8,22,0.0496,60.16300000000001,16.343999999999998,6,4,7,3,0,251,12,265,2,9,1,72,5,6,3,0,0,0,0,77,39,1,0,23,166,184,135,107,105,132,4,8,139,215,6,3,0,200,283
00-0037256,Rachaad White,RB,WAS,41,0,2,0,0,0,0,0,2,5,18,-0.157,-4.6889999999999965,-1.813,1,0,10,0,0,-99,0,-3,0,0,0,0,290,194,4,0,0,0,0,104,8,6,0,27,20,17,168,63,22,7,0,5,165,155,9,5,0,234,210
00-0039361,Bucky Irving,RB,TB,32,1,2,0,1,5,2,163,7,14,14,0.0315,36.953,8.814000000000004,0,0,4,1,0,-73,4,17,1,1,1,72,183,276,5,0,0,0,0,62,16,0,0,17,15,0,107,65,8,1,1,4,95,212,8,4,0,144,261
00-0034854,,,,4,0,2,0,0,0,0,0,9,1,4,-0.6716,-42.747,-2.791999999999999,1,0,0,0,0,40,0,110,0,2,0,0,0,0,0,0,0,0,0,13,8,0,0,3,29,24,15,24,9,7,0,7,23,7,0,0,0,25,23
00-0035644,Noah Fant,TE,NO,35,2,3,0,1,3,1,73,21,2,23,-0.149,-20.972,-11.782,3,3,4,2,0,110,-4,27,2,2,1,48,4,3,8,0,0,40,141,66,28,101,135,18,21,0,83,137,50,9,4,5,127,150,6,6,1,150,260
00-0036410,Tee Higgins,WR,CIN,67,14,34,9,2,14,7,422,88,5,53,0.1387,204.998,34.933,12,6,15,4,0,764,22,550,11,25,6,351,0,0,13,0,0,1,8,172,333,0,0,19,446,750,208,388,66,111,16,47,297,468,2,8,13,341,536
00-0038597,Chase Brown,RB,CIN,77,2,7,2,6,2,0,44,17,19,37,-0.1118,14.13900000000002,-11.377999999999998,3,2,11,5,0,15,2,31,0,1,0,0,378,358,16,0,0,0,0,136,118,9,2,39,19,0,196,101,38,54,5,10,239,313,18,9,0,308,296
00-0036900,Ja'Marr Chase,WR,CIN,140,16,32,4,6,15,1,448,121,21,98,-0.002,180.05399999999995,41.378,11,6,22,7,0,922,35,648,5,20,1,196,10,16,20,0,0,0,0,206,375,0,0,65,399,991,266,764,204,405,31,52,336,644,15,11,4,407,1037
00-0040663,Harold Fannin Jr.,TE,CLE,80,8,19,4,3,8,2,212,65,14,45,-0.0632,5.9370000000000065,2.349000000000003,4,3,10,4,0,466,62,180,4,7,2,122,10,31,10,0,0,55,93,156,271,135,277,46,63,107,226,438,176,223,13,30,199,285,8,14,8,283,460
00-0040782,Isaiah Bond,WR,CLE,23,4,10,1,1,5,0,198,30,0,14,-0.2941,-55.59000000000002,-0.8040000000000033,5,0,4,0,0,332,2,419,5,18,0,198,3,6,7,0,0,0,0,117,177,0,0,9,179,121,164,115,146,190,4,18,152,103,4,12,99,211,140
00-0038979,Cedric Tillman,WR,CLE,22,2,4,0,2,6,0,160,33,0,16,-0.1595,-10.009999999999998,6.525,4,2,4,2,0,184,9,279,1,6,0,42,0,0,4,0,0,0,0,100,121,0,0,15,204,96,167,230,95,174,6,14,127,35,0,5,5,199,149
00-0040162,Dylan Sampson,RB,CLE,34,0,1,0,1,2,1,97,9,5,20,0.0129,32.62600000000001,6.901000000000001,1,1,6,1,0,-48,-1,-14,0,0,0,0,112,213,2,0,0,0,0,39,73,9,15,20,18,29,65,111,10,14,6,0,82,160,12,2,0,110,198
