teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingIncompletionsBatted
17,Los Angeles,Rams,True,SEA,NFC,NFC West,Open,Open,Cover 2,17,190,128,0.546875,13,62,0.484375,0.6666666666666666,0.0026465561616161315,19,38,0.03125,867,6.7734375,0.40369088811995385,2.5240963855421685,1191,9,7,38,13,23,-313,0.2,Yes,Yes,190,1,0.6647228947368421,Yes,0.005263157894736842,0.203125,25,0.1953125,0.0703125,0.0703125,0.390625,0.1171875,0.40625,3.46015625,3.6263157894736846,5.375,2.54,11.634615384615385,71.3,No,No,42,5
31,Tennessee,Titans,True,HST,AFC,AFC South,Open,Closed,Cover 3,17,169,99,0.5353535353535354,6,43,0.43434343434343436,0.6049382716049383,-0.09393900032098756,12,45,0.06060606060606061,534,5.393939393939394,0.4044943820224719,0.7404580152671756,804,4,7,32,13,27,-202,0.1893491124260355,No,Yes,169,1,0.705251775147929,No,,0.2727272727272727,12,0.12121212121212122,0.06060606060606061,0.0707070707070707,0.3434343434343434,0.15151515151515152,0.3333333333333333,3.491919191919192,3.675,4.9526315789473685,2.577514792899408,9.48235294117647,44.8,No,Yes,26,2
2,Atlanta,Falcons,True,CAR,NFC,NFC South,Open,Open,Red Zone,17,190,123,0.5772357723577236,12,60,0.4878048780487805,0.6391752577319587,-0.03500027487628865,20,16,0.016260162601626018,873,7.097560975609756,0.29667812142038946,4.584415584415584,1137,10,4,31,11,24,-187,0.1631578947368421,No,Yes,190,1,0.6581176315789473,No,0.005263157894736842,0.21951219512195122,17,0.13821138211382114,0.04878048780487805,0.04878048780487805,0.35772357723577236,0.12195121951219512,0.3252032520325203,3.6365853658536587,3.803225806451613,4.75,2.5757894736842104,11.42,85.9,No,Yes,39,3
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Closed,Cover 1,17,159,97,0.5463917525773195,8,45,0.4639175257731959,0.6623376623376623,-0.006837349623376565,15,47,0.061855670103092786,625,6.443298969072165,0.3408,2.492857142857143,915,2,1,43,14,27,-271,0.27044025157232704,No,Yes,159,1,0.6842729559748427,Yes,,0.23711340206185566,16,0.16494845360824742,0.010309278350515464,0.041237113402061855,0.3402061855670103,0.08247422680412371,0.32989690721649484,3.575257731958763,3.427906976744186,5.173684210526315,2.5584905660377357,11.296296296296296,70.2,No,No,28,1
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Closed,Cover 3,17,200,129,0.5348837209302325,11,60,0.46511627906976744,0.6161616161616161,-0.08489015252525256,24,5,0.007751937984496124,671,5.2015503875969,0.4232488822652757,2.926829268292683,921,10,4,35,7,22,-211,0.175,No,Yes,200,1,0.6770665,No,0.005,0.2248062015503876,14,0.10852713178294573,0.03875968992248062,0.05426356589147287,0.3023255813953488,0.13178294573643412,0.34108527131782945,3.4775193798449613,3.5542857142857143,5.458333333333333,2.5555000000000003,9.127450980392156,75.4,No,No,38,3
8,Cleveland,Browns,,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,229,161,0.5590062111801242,16,72,0.4472049689440994,0.6343283582089553,-0.04337862692537309,22,115,0.08074534161490683,908,5.6397515527950315,0.41519823788546256,3.8415841584158414,1629,9,1,41,12,22,-267,0.17903930131004367,No,Yes,229,1,0.6466286026200873,No,0.004366812227074236,0.2732919254658385,31,0.19254658385093168,0.055900621118012424,0.043478260869565216,0.43478260869565216,0.12422360248447205,0.391304347826087,3.488819875776398,3.112195121951219,4.562962962962963,2.380349344978166,11.719424460431656,78.9,No,No,43,
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Open,Closed,Cover 3,17,187,117,0.5470085470085471,4,51,0.4358974358974359,0.59375,-0.09423785896875003,15,90,0.05128205128205128,648,5.538461538461538,0.41203703703703703,1.1265822784810127,1051,3,5,41,6,13,-305,0.2192513368983957,No,Yes,187,1,0.7270288770053476,No,,0.2564102564102564,19,0.1623931623931624,0.05982905982905983,0.042735042735042736,0.452991452991453,0.09401709401709402,0.3418803418803419,3.1042735042735043,3.2560975609756095,4.9206896551724135,2.468983957219251,10.724489795918368,52.2,No,Yes,27,4
27,Pittsburgh,Steelers,True,CIN,AFC,AFC North,Open,Closed,Cover 3,17,197,146,0.541095890410959,15,67,0.4589041095890411,0.6379310344827587,-0.0530427013620689,16,49,0.04794520547945205,931,6.376712328767123,0.4038668098818475,2.827956989247312,1240,7,6,40,14,18,-275,0.20304568527918782,No,Yes,197,1,0.6404299492385787,No,0.01015228426395939,0.2534246575342466,19,0.13013698630136986,0.06164383561643835,0.0547945205479452,0.3424657534246575,0.1506849315068493,0.3356164383561644,3.3876712328767127,3.285,4.363636363636363,2.4421319796954317,10.390243902439025,65.8,No,No,41,7
29,San Francisco,49ers,,ARZ,NFC,NFC West,Closed,Closed,Cover 1,17,147,103,0.4854368932038835,9,40,0.3883495145631068,0.5125,-0.15094608462500003,18,32,0.009708737864077669,398,3.8640776699029127,0.39949748743718594,0.16546762589928057,979,2,5,36,10,21,-190,0.24489795918367346,No,Yes,147,1,0.6433034013605441,No,0.006802721088435374,0.2912621359223301,18,0.17475728155339806,0.04854368932038835,0.04854368932038835,0.3592233009708738,0.1650485436893204,0.2815533980582524,3.5262135922330096,3.691666666666667,5.5625,2.5775510204081633,11.654761904761905,36.8,No,No,20,1
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Open,Open,Cover 6,17,196,126,0.46825396825396826,17,50,0.3968253968253968,0.5656565656565656,-0.1345626216767678,17,73,0.047619047619047616,727,5.76984126984127,0.5020632737276479,2.6484848484848484,1001,7,4,39,7,22,-250,0.1989795918367347,No,Yes,196,1,0.6971209183673469,No,0.00510204081632653,0.3253968253968254,13,0.10317460317460317,0.023809523809523808,0.07142857142857142,0.31746031746031744,0.15873015873015872,0.23809523809523808,3.3063492063492066,3.5743589743589745,4.800000000000001,2.406122448979592,9.622641509433961,64.5,No,No,33,3
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Red Zone,17,147,87,0.5517241379310345,8,39,0.4482758620689655,0.640625,-0.06569778740624999,19,5,0.022988505747126436,509,5.850574712643678,0.4518664047151277,1.8571428571428572,624,8,5,32,18,23,-223,0.21768707482993196,No,Yes,147,1,0.6616081632653061,No,0.006802721088435374,0.1724137931034483,9,0.10344827586206896,0.04597701149425287,0.04597701149425287,0.25287356321839083,0.1839080459770115,0.3103448275862069,3.889655172413793,3.809375,5.764285714285714,2.727891156462585,9.815384615384616,70.5,No,Yes,28,3
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Closed,Cover 1,17,212,154,0.6363636363636364,12,84,0.5454545454545454,0.71875,0.0032839535937499997,18,88,0.05194805194805195,839,5.4480519480519485,0.3694874851013111,3.2146596858638743,1100,10,4,37,10,13,-245,0.17452830188679244,No,Yes,212,1,0.656839858490566,No,,0.18831168831168832,11,0.07142857142857142,0.03896103896103896,0.05194805194805195,0.4090909090909091,0.16233766233766234,0.4155844155844156,3.3136363636363635,3.2972972972972974,5.095238095238095,2.500471698113208,8.691729323308271,81.1,No,No,45,3
