teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero
27,Pittsburgh,Steelers,1,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,66,No,Yes,Yes,272,46,No,5,No,38,0.8261,5,0.1691,34,4,0.7391,475,197,44,439,4,2,2,3,0.0882,0.1522,0.3043,0.2826,0.2609,16,0.3478,,,9.5435,117.6,1.7463,10.3261,2.6102,0.0435,13.9706,5.7941,1.2941,20,8,
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Cover 3,17,74,Yes,No,Yes,305,64,No,8,Yes,50,0.7812,9,0.2098,38,2,0.5938,508,272,80,574,4,1,5,6,0.1579,0.1094,0.2969,0.3125,0.2812,26,0.4062,1,0.0156,8.9688,105.5,1.6656,7.9375,0.1359,0.0781,13.3684,7.1579,2.1053,24,15,1
29,San Francisco,49ers,1,SEA,NFC,NFC West,Open,Open,Cover 2,17,77,No,Yes,No,321,65,No,3,Yes,50,0.7692,6,0.2025,41,1,0.6308,339,130,37,531,5,4,4,3,0.0732,0.0923,0.2462,0.2462,0.4154,26,0.4,1,0.0154,8.1692,89.2,1.0561,5.2154,-2.4164,0.0615,8.2683,3.1707,0.9024,19,14,
10,Denver,Broncos,1,LAC,AFC,AFC West,Open,Open,Red Zone,17,93,No,Yes,No,391,71,No,8,No,52,0.7324,7,0.1816,42,6,0.5915,407,142,29,630,2,2,4,5,0.119,0.1268,0.2817,0.2817,0.3099,28,0.3944,1,0.0141,8.8732,78.8,1.0409,5.7324,-2.1658,0.0563,9.6905,3.381,0.6905,24,12,
14,Indianapolis,Colts,,HST,AFC,AFC South,Closed,Closed,Cover 1,17,104,Yes,Yes,No,448,91,No,16,Yes,76,0.8352,13,0.2031,58,10,0.6374,684,238,85,985,9,7,8,4,0.069,0.1209,0.2637,0.2747,0.3407,34,0.3736,1,0.011,10.8242,114.9,1.5268,7.5165,-0.6145,0.0879,11.7931,4.1034,1.4655,34,22,1
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Closed,Closed,Cover 3,17,80,Yes,No,Yes,346,63,No,7,Yes,47,0.746,5,0.1821,41,3,0.6508,468,208,55,633,4,2,2,4,0.0976,0.1429,0.2222,0.254,0.381,23,0.3651,1,0.0159,10.0476,101.8,1.3526,7.4286,-0.6592,0.0317,11.4146,5.0732,1.3415,25,12,1
22,New England,Patriots,1,MIA,AFC,AFC East,Closed,Closed,Cover 1,17,70,Yes,No,Yes,299,58,No,11,Yes,47,0.8103,8,0.194,38,5,0.6552,395,180,57,495,5,3,2,4,0.1053,0.0862,0.2931,0.2586,0.3448,23,0.3966,1,0.0172,8.5345,99.4,1.3211,6.8103,-0.985,0.0345,10.3947,4.7368,1.5,20,12,1
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Closed,Closed,Cover 3,17,73,Yes,No,Yes,300,63,No,7,Yes,49,0.7778,8,0.21,41,2,0.6508,508,166,25,639,6,4,3,4,0.0976,0.1587,0.2698,0.1587,0.4127,19,0.3016,,,10.1429,108.4,1.6933,8.0635,0.0531,0.0476,12.3902,4.0488,0.6098,27,11,1
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Open,Cover 2,17,94,No,Yes,No,409,79,No,5,Yes,65,0.8228,8,0.1932,52,2,0.6582,615,370,98,632,5,5,10,14,0.2692,0.1772,0.2658,0.2785,0.2785,27,0.3418,1,0.0127,8,99.9,1.5037,7.7848,0.0754,0.1266,11.8269,7.1154,1.8846,31,15,
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Open,Cover 4,17,93,No,Yes,No,384,78,No,6,No,68,0.8718,5,0.2031,58,2,0.7436,741,342,97,648,3,,1,11,0.1897,0.1154,0.2692,0.2692,0.3462,36,0.4615,1,0.0128,8.3077,100.4,1.9297,9.5,1.7899,0.0128,12.7759,5.8966,1.6724,35,16,1
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,88,Yes,No,No,348,73,No,9,Yes,63,0.863,7,0.2098,54,5,0.7397,643,311,65,557,9,4,7,3,0.0556,0.1507,0.2603,0.1918,0.3973,45,0.6164,2,0.0274,7.6301,140,1.8477,8.8082,1.4857,0.0959,11.9074,5.7593,1.2037,33,17,1
20,Miami,Dolphins,,NE,AFC,AFC East,Closed,Closed,Cover 1,17,80,Yes,No,Yes,344,66,No,7,Yes,51,0.7727,9,0.1919,45,3,0.6818,573,273,45,717,9,6,5,5,0.1111,0.1061,0.303,0.3485,0.2273,26,0.3939,1,0.0152,10.8636,128.3,1.6657,8.6818,0.3774,0.0758,12.7333,6.0667,1,30,14,2
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Closed,Cover 1,17,98,No,Yes,Yes,421,82,No,12,No,62,0.7561,8,0.1948,59,10,0.7195,772,257,69,859,6,4,,3,0.0508,0.1098,0.1463,0.3537,0.3902,33,0.4024,1,0.0122,10.4756,115.5,1.8337,9.4146,1.1309,,13.0847,4.3559,1.1695,36,19,3
12,Green Bay,Packers,,MIN,NFC,NFC North,Open,Open,Red Zone,17,90,Yes,Yes,Yes,387,67,No,12,No,52,0.7761,4,0.1731,46,8,0.6866,517,154,35,578,3,1,3,2,0.0435,0.1493,0.2537,0.1493,0.4478,20,0.2985,2,0.0299,8.6269,93.9,1.3359,7.7164,-0.1397,0.0448,11.2391,3.3478,0.7609,26,13,3
15,Jacksonville,Jaguars,1,TEN,AFC,AFC South,Closed,Open,Cover 4,17,82,No,Yes,No,335,68,No,7,No,48,0.7059,3,0.203,38,1,0.5588,556,182,44,768,1,,5,5,0.1316,0.0735,0.2353,0.3676,0.3088,31,0.4559,,,11.2941,69.2,1.6597,8.1765,-0.3964,0.0735,14.6316,4.7895,1.1579,26,11,2
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Open,Open,Red Zone,17,75,No,Yes,No,308,56,No,6,No,42,0.75,3,0.1818,36,3,0.6429,435,246,44,483,3,1,4,2,0.0556,0.1071,0.2321,0.1964,0.4286,26,0.4643,1,0.0179,8.625,91,1.4123,7.7679,0.2198,0.0714,12.0833,6.8333,1.2222,21,13,
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Open,Cover 4,17,86,No,Yes,No,341,74,No,12,No,52,0.7027,8,0.217,41,5,0.5541,542,169,85,884,8,4,5,6,0.1463,0.1081,0.2027,0.2162,0.473,37,0.5,2,0.027,11.9459,97.9,1.5894,7.3243,-0.8684,0.0676,13.2195,4.122,2.0732,29,15,2
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 6,17,83,No,Yes,Yes,353,65,No,10,Yes,47,0.7231,2,0.1841,38,6,0.5846,460,203,46,604,5,,7,4,0.1053,0.1231,0.3385,0.1692,0.3692,29,0.4462,2,0.0308,9.2923,99.5,1.3031,7.0769,-0.9409,0.1077,12.1053,5.3421,1.2105,25,11,1
21,Minnesota,Vikings,1,GB,NFC,NFC North,Open,Open,Red Zone,17,65,Yes,Yes,Yes,252,47,No,2,No,35,0.7447,4,0.1865,33,1,0.7021,338,136,31,389,2,2,1,2,0.0606,0.1702,0.1915,0.2979,0.3404,16,0.3404,2,0.0426,8.2766,87,1.3413,7.1915,-0.7154,0.0213,10.2424,4.1212,0.9394,16,6,
13,Houston,Texans,1,IND,AFC,AFC South,Closed,Closed,Cover 1,17,84,Yes,Yes,No,348,66,No,9,Yes,50,0.7576,7,0.1897,40,2,0.6061,340,144,61,680,6,5,4,2,0.05,0.0758,0.3485,0.3636,0.2121,29,0.4394,,,10.303,85.4,0.977,5.1515,-2.9736,0.0606,8.5,3.6,1.525,19,14,
9,Dallas,Cowboys,,NYG,NFC,NFC East,Open,Open,Cover 4,17,90,No,Yes,No,388,70,No,7,No,54,0.7714,8,0.1804,50,4,0.7143,629,314,100,614,6,4,2,8,0.16,0.2286,0.2571,0.1571,0.3571,31,0.4429,,,8.7714,121.7,1.6211,8.9857,1.2026,0.0286,12.58,6.28,2,34,15,
19,Las Vegas,Raiders,1,KC,AFC,AFC West,Closed,Closed,Cover 3,17,85,Yes,Yes,Yes,363,72,No,7,No,52,0.7222,8,0.1983,41,3,0.5694,510,209,57,720,3,3,8,2,0.0488,0.1667,0.125,0.2778,0.4306,28,0.3889,3,0.0417,10,81.4,1.405,7.0833,-0.8442,0.1111,12.439,5.0976,1.3902,24,14,
