Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,ReceptionsHero
Darius Slayton,NYG,WR,115,Yes,No,No,94,12,No,2,Yes,8,0.6667,0.1277,5,0.4167,142,50,9,267,,0.1489,12,22.25,86.1,1.5106,11.8333,1.0693,28.4,10,1.8,5,25.001,25.001,0.1481,14.2,19.2,16.7,19.2,19.2,22.2,19.7,19.2,19.2,19.2,16.7,19.2,19.2,14,2,,,,1,0.0833,2,1,0.2,,,,0.8511,6,
Brandon Smith,NYJ,WR,1,Yes,Yes,Yes,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
Adonai Mitchell,NYJ,WR,70,Yes,No,No,60,9,No,,Yes,4,0.4444,0.15,4,0.4444,96,1,,273,,0.1167,8,30.3333,81,1.6,10.6667,-1.9653,24,0.25,,3,17.1815,17.1815,0.1579,15.6,19.6,17.6,19.6,19.6,19.6,17.6,19.6,19.6,19.6,17.6,19.6,19.6,16,1,,1,,,,,,,,,,0.8833,6,
Connor Heyward,PIT,TE,15,Yes,No,No,6,3,No,1,Yes,3,1,0.5,2,0.6667,15,4,,36,0.1667,,2,12,118.1,2.5,5,-4.4481,7.5,2,,1,8.045,8.045,0.3333,7.5,9.5,8.5,9.5,10.5,9.5,8.5,9.5,9.5,9.5,8.5,10.5,9.5,16,2,1,1,1,1,0.3333,2,,,0.6667,1,0.3333,0.1667,1,
Dylan Sampson,CLV,RB,30,Yes,Yes,No,22,5,No,,No,4,0.8,0.2273,4,0.8,3,23,9,-18,,0.0455,2,-3.6,79.2,0.1364,0.6,-5.1125,0.75,5.75,2.25,,6.6614,6.6614,0.2273,0.3,4.3,2.3,6.3,4.3,4.3,2.3,4.3,4.3,4.3,2.3,4.3,4.3,15,,,,,,,,,,0.8636,2,0.4,0.0909,,
Brevyn Spann-Ford,DAL,TE,63,Yes,No,No,37,7,No,,Yes,6,0.8571,0.1892,6,0.8571,48,21,4,49,0.7838,0.2162,5,7,95.2,1.2973,6.8571,-0.6227,8,3.5,0.6667,2,13.6516,13.6516,0.1346,10.8,16.8,13.8,16.8,19.8,16.8,13.8,16.8,16.8,16.8,13.8,19.8,16.8,17,1,,1,1,,,1,,,,,,,,
Tyler Higbee,LA,TE,73,Yes,No,No,56,19,No,1,Yes,17,0.8947,0.3393,16,0.8421,156,112,23,49,0.8393,0.0893,15,2.5789,136,2.7857,8.2105,1.7724,9.75,7,1.4375,10,34.2628,34.2628,0.2879,27.6,43.6,35.6,43.6,51.6,46.6,38.6,43.6,43.6,43.6,35.6,51.6,43.6,10,1,1,2,1,1,0.0526,6,,,0.0179,6,0.3158,0.0536,,1
Nick Westbrook-Ikhine,MIA,WR,45,Yes,No,Yes,26,3,No,1,Yes,3,1,0.1154,3,1,39,16,10,23,,0.4231,1,7.6667,118.8,1.5,13,5.8755,13,5.3333,3.3333,3,4.3757,4.3757,0.0857,3.9,6.9,5.4,6.9,6.9,6.9,5.4,6.9,6.9,6.9,5.4,6.9,6.9,15,,1,,,,,,1,0.3333,,,,0.5769,,
Jake Bobo,SEA,WR,10,Yes,No,Yes,8,,No,,No,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,0.875,,
Pat Bryant,DEN,WR,57,Yes,No,No,42,7,No,1,Yes,6,0.8571,0.1667,5,0.7143,83,38,17,68,0.0714,0.2619,5,9.7143,71.4,1.9762,11.8571,4.1465,16.6,7.6,3.4,3,12.1252,12.1252,0.1429,8.3,13.3,10.8,13.3,13.3,13.3,10.8,13.3,13.3,13.3,10.8,13.3,13.3,15,,1,,,1,0.1429,1,,,,1,0.1429,0.6667,1,
Marquez Valdes-Scantling,PIT,WR,37,Yes,No,No,32,9,No,2,Yes,7,0.7778,0.2812,5,0.5556,43,18,7,136,,0.2812,7,15.1111,105.3,1.3438,4.7778,-4.7568,8.6,3.6,1.4,1,17.8651,17.8651,0.2647,10.3,15.3,12.8,15.3,15.3,15.3,12.8,15.3,15.3,15.3,12.8,15.3,15.3,10,1,1,1,1,1,0.1111,1,,,,3,0.3333,0.7188,2,
Will Dissly,LAC,TE,41,Yes,No,No,33,7,No,1,Yes,7,1,0.2121,6,0.8571,64,44,11,22,0.9091,0.0303,4,3.1429,104.8,1.9394,9.1429,2.5803,10.6667,7.3333,1.8333,4,10.4238,10.4238,0.2059,6.4,12.4,9.4,12.4,15.4,12.4,9.4,12.4,12.4,12.4,9.4,15.4,12.4,9,,,,,,,,1,0.1667,,1,0.1429,0.0606,,
Rasheen Ali,BLT,RB,5,Yes,No,No,5,2,No,,Yes,2,1,0.4,1,0.5,5,7,5,-1,,,2,-0.5,56.3,1,2.5,-3.4637,5,7,5,,3.3151,3.3151,0.4,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,15,,,,,1,0.5,1,1,1,1,1,0.5,,,
Miles Sanders,DAL,RB,11,Yes,No,No,5,2,No,,Yes,2,1,0.4,2,1,9,19,7,-10,,,2,-5,85.4,1.8,4.5,-0.8239,4.5,9.5,3.5,,2.7665,2.7665,0.2,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,4,,,,,,,,1,0.5,1,2,1,,,
Charlie Jones,CIN,WR,6,Yes,Yes,No,5,1,No,,Yes,,,0.2,,,,,,40,,0.2,1,40,39.6,,,-15,,,,,1.5278,1.5278,0.1667,,,,,,,,,,,,,,14,,,,,,,,,,,,,0.8,1,
Saquon Barkley,PHI,RB,106,Yes,Yes,No,49,7,No,,No,4,0.5714,0.1429,3,0.4286,11,13,5,24,,,2,3.4286,50.3,0.2245,1.5714,-5.1243,3.6667,4.3333,1.6667,,10.4026,10.4026,0.0787,1.1,4.1,2.6,5.6,4.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,16,,,,,1,0.1429,,1,0.3333,1,1,0.1429,,1,
Evan Engram,DEN,TE,75,Yes,No,No,63,22,No,1,Yes,19,0.8636,0.3492,17,0.7727,183,120,39,69,0.7937,0.0794,16,3.1364,116.3,2.9048,8.3182,1.6119,10.7647,7.0588,2.2941,7,35.2335,35.2335,0.3492,24.3,41.3,32.8,41.3,49.8,44.3,35.8,41.3,41.3,41.3,32.8,49.8,41.3,16,,1,1,,1,0.0455,5,1,0.0588,0.0794,7,0.3182,0.0476,2,
Keleki Latu,BUF,TE,13,Yes,No,No,8,1,No,,Yes,1,1,0.125,1,1,14,14,8,,0.875,0.125,1,,118.8,1.75,14,8.711,14,14,8,1,1.3157,1.3157,0.0833,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,5,,,,,,,,1,1,,,,,,
Jamari Thrash,CLV,WR,19,Yes,No,No,19,4,No,1,No,3,0.75,0.2105,2,0.5,30,14,,29,,0.2632,1,7.25,75,1.5789,7.5,1.6418,15,7,,1,4.165,4.165,0.3077,3,5,4,5,5,5,4,5,5,5,4,5,5,9,,,,,1,0.25,,,,,,,0.7368,,
