Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,ReceptionsHero
Noah Fant,CIN,TE,61,Yes,Yes,No,47,22,No,1,No,21,0.9545,0.4681,20,0.9091,178,127,38,68,0.8723,0.1064,15,3.0909,115.5,3.7872,8.0909,1.5405,8.9,6.35,1.9,9,34.6054,34.6054,0.4151,21.8,41.8,31.8,41.8,51.8,44.8,32.8,39.8,39.8,39.8,29.8,51.8,39.8,15,1,1,1,1,1,0.0455,1,,,0.0213,1,0.0455,,1,
Kaleb Johnson,PIT,RB,12,Yes,Yes,No,4,2,No,,No,2,1,0.5,1,0.5,9,14,2,-8,,,,-4,62.5,2.25,4.5,-1.4951,9,14,2,,3.6796,3.6796,0.1667,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,10,,,,,1,0.5,,,,1,,,,,
Rhamondre Stevenson,NE,RB,75,Yes,No,Yes,41,10,No,,Yes,9,0.9,0.2439,8,0.8,53,69,6,4,,,4,0.4,88.8,1.2927,5.3,-1.0009,6.625,8.625,0.75,1,16.6407,16.6407,0.1852,4.3,12.3,8.3,16.3,12.3,12.3,7.3,11.3,11.3,11.3,7.3,12.3,11.3,14,,,,,1,0.1,1,1,0.125,1,3,0.3,,,
Brenton Strange,JAX,TE,89,Yes,No,No,63,14,No,1,Yes,14,1,0.2222,12,0.8571,189,107,24,91,0.8254,0.1429,12,6.5,118.8,3,13.5,5.897,15.75,8.9167,2,9,24.1975,24.1975,0.1867,18.9,30.9,24.9,30.9,36.9,33.9,27.9,30.9,30.9,30.9,24.9,36.9,30.9,12,,,,,1,0.0714,1,1,0.0833,0.0317,2,0.1429,,1,
Tory Horton,SEA,WR,25,Yes,Yes,Yes,21,5,No,2,No,3,0.6,0.2381,2,0.4,25,,,130,,0.0952,5,26,95.8,1.1905,5,-6.7201,12.5,,,2,14.4773,14.4773,0.2174,14.5,16.5,15.5,16.5,16.5,16.5,15.5,16.5,16.5,16.5,15.5,16.5,16.5,8,2,1,2,2,1,0.2,1,,,,,,0.9048,3,
Cole Kmet,CHI,TE,179,Yes,Yes,Yes,112,20,No,2,Yes,16,0.8,0.1786,15,0.75,176,75,13,194,0.7857,0.0714,11,9.7,113.8,1.5714,8.8,0.1218,11.7333,5,0.8667,9,36.79,36.79,0.1418,29.6,44.6,37.1,44.6,52.1,47.6,40.1,44.6,44.6,44.6,37.1,52.1,44.6,16,2,1,2,1,1,0.05,3,,,0.0714,2,0.1,0.0714,5,
Tyreek Hill,MIA,WR,17,Yes,No,No,15,7,No,1,Yes,5,0.7143,0.4667,4,0.5714,48,26,4,76,,0.2,5,10.8571,117.9,3.2,6.8571,-1.5813,12,6.5,1,3,11.6049,11.6049,0.4667,10.8,14.8,12.8,14.8,14.8,14.8,12.8,14.8,14.8,14.8,12.8,14.8,14.8,4,1,,1,1,,,1,,,,,,0.8,,
Travis Kelce,KC,TE,145,Yes,Yes,Yes,93,23,No,1,No,16,0.6957,0.2473,16,0.6957,180,121,26,135,0.5591,0.1505,18,5.8696,92.7,1.9355,7.8261,0.5614,11.25,7.5625,1.625,8,36.4847,36.4847,0.2018,18,34,26,34,42,37,29,34,34,34,26,42,34,17,,1,,,,,4,2,0.125,0.0538,2,0.087,0.2366,3,
Demarcus Robinson,SF,WR,40,Yes,No,Yes,35,2,No,1,No,2,1,0.0571,2,1,35,12,1,23,0.0286,0.3714,1,11.5,118.8,1,17.5,9.372,17.5,6,0.5,2,4.1265,4.1265,0.0625,3.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,14,,1,,,,,,,,,1,0.5,0.6,1,
Kimani Vidal,LAC,RB,82,Yes,No,No,32,6,No,,Yes,6,1,0.1875,5,0.8333,38,45,6,-3,,,2,-0.5,132.6,1.1875,6.3333,0.2178,7.6,9,1.2,4,9.9988,9.9988,0.1,9.8,14.8,12.3,17.3,14.8,14.8,12.3,14.8,14.8,14.8,12.3,14.8,14.8,13,,,1,,1,0.1667,1,,,1,1,0.1667,,,
RJ Harvey,DEN,RB,96,Yes,No,No,49,15,No,,Yes,13,0.8667,0.3061,11,0.7333,98,98,27,9,,0.0408,3,0.6,130,2,6.5333,0.3217,8.9091,8.9091,2.4545,7,28.6473,28.6473,0.1948,21.8,32.8,27.3,38.3,32.8,32.8,27.3,32.8,32.8,32.8,27.3,32.8,32.8,17,1,,2,1,2,0.1333,2,5,0.4545,0.9592,2,0.1333,,,
Mason Tipton,NO,WR,37,Yes,No,No,32,5,No,2,Yes,5,1,0.1562,3,0.6,21,21,1,34,,0.4062,4,6.8,69.6,0.6562,4.2,-3.2216,7,7,0.3333,1,9.4336,9.4336,0.1786,2.1,5.1,3.6,5.1,5.1,5.1,3.6,5.1,5.1,5.1,3.6,5.1,5.1,13,,,,,,,,1,0.3333,,,,0.5938,1,
Savion Williams,GB,WR,15,Yes,Yes,Yes,15,5,Yes,,Yes,5,1,0.3333,5,1,14,31,11,-17,0.0667,0.4,4,-3.4,79.2,0.9333,2.8,-2.1299,2.8,6.2,2.2,1,8.3222,8.3222,0.3846,1.4,6.4,3.9,6.4,6.4,6.4,3.9,6.4,6.4,6.4,3.9,6.4,6.4,12,,,,,,,2,1,0.2,0.1333,4,0.8,0.4,,
Derius Davis,LAC,WR,8,Yes,No,No,8,,No,,Yes,,,,,,,,,,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,0.375,,
Deven Thompkins,ATL,WR,8,Yes,Yes,No,7,3,No,,No,3,1,0.4286,3,1,27,21,4,6,,0.2857,3,2,104.2,3.8571,9,2.8619,9,7,1.3333,1,5.6983,5.6983,0.4286,2.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,7,,,,,,,,,,,1,0.3333,0.7143,,
Kylen Granson,PHI,TE,38,Yes,Yes,Yes,19,4,No,,No,4,1,0.2105,4,1,24,10,4,14,0.8947,,1,3.5,91.7,1.2632,6,-0.2946,6,2.5,1,2,5.8444,5.8444,0.1333,2.4,6.4,4.4,6.4,8.4,6.4,4.4,6.4,6.4,6.4,4.4,8.4,6.4,17,,,,,,,,,,0.1053,,,,,
Konata Mumpfield,LA,WR,61,Yes,No,No,56,4,No,1,Yes,3,0.75,0.0714,2,0.5,24,12,1,57,,0.1429,2,14.25,108.3,0.4286,6,-2.8572,12,6,0.5,2,11.0886,11.0886,0.0727,8.4,10.4,9.4,10.4,10.4,10.4,9.4,10.4,10.4,10.4,9.4,10.4,10.4,17,1,,1,1,,,2,,,,,,0.8571,1,
Brock Wright,DET,TE,92,Yes,No,No,43,11,No,1,No,10,0.9091,0.2558,9,0.8182,81,67,14,27,0.814,0.0465,8,2.4545,136.9,1.8837,7.3636,1.3067,9,7.4444,1.5556,6,18.7065,18.7065,0.1392,20.1,29.1,24.6,29.1,33.6,29.1,24.6,29.1,29.1,29.1,24.6,33.6,29.1,11,1,,2,1,,,2,,,0.093,,,0.0465,,
Brandin Cooks,BUF,WR,79,Yes,Yes,No,67,9,No,,No,8,0.8889,0.1343,6,0.6667,120,13,2,181,,0.3881,6,20.1111,109.7,1.791,13.3333,3.0117,20,2.1667,0.3333,4,19.9116,19.9116,0.1385,12,18,15,18,18,21,18,18,18,18,15,18,18,15,,,,,2,0.2222,,,,,1,0.1111,0.6119,5,
A.J. Brown,PHI,WR,108,Yes,Yes,No,87,24,No,7,No,19,0.7917,0.2759,14,0.5833,176,41,18,298,,0.069,19,12.4167,46.5,2.023,7.3333,-1.1871,12.5714,2.9286,1.2857,9,42.9105,42.9105,0.2553,17.6,31.6,24.6,31.6,31.6,34.6,27.6,31.6,31.6,31.6,24.6,31.6,31.6,15,,3,,,1,0.0417,3,2,0.1429,,3,0.125,0.931,6,1
Luke McCaffrey,WAS,WR,20,Yes,Yes,Yes,17,6,No,,No,5,0.8333,0.3529,5,0.8333,72,36,8,51,,0.4118,4,8.5,156.3,4.2353,12,3.7782,14.4,7.2,1.6,2,11.3,11.3,0.4286,13.2,18.2,15.7,18.2,18.2,18.2,15.7,18.2,18.2,18.2,15.7,18.2,18.2,9,,,1,,,,,,,,1,0.1667,0.5882,1,1
Ryan Miller,TB,WR,13,Yes,No,No,7,,No,,Yes,,,,,,,,,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,0.7143,,
David Njoku,CLV,TE,67,Yes,No,No,53,12,No,2,Yes,10,0.8333,0.2264,10,0.8333,82,62,23,26,0.9623,,9,2.1667,122.9,1.5472,6.8333,0.6875,8.2,6.2,2.3,2,18.5281,18.5281,0.2353,14.2,24.2,19.2,24.2,29.2,24.2,19.2,24.2,24.2,24.2,19.2,29.2,24.2,12,,2,1,,,,2,1,0.1,,2,0.1667,0.0377,,
Brock Bowers,LV,TE,86,Yes,No,Yes,73,22,No,5,Yes,20,0.9091,0.3014,19,0.8636,208,88,34,156,0.5068,0.1918,20,7.0909,68.2,2.8493,9.4545,1.549,10.9474,4.6316,1.7895,11,38.3939,38.3939,0.3014,20.8,39.8,30.3,39.8,49.3,42.8,33.3,39.8,39.8,39.8,30.3,49.3,39.8,12,,5,,,1,0.0455,1,1,0.0526,0.0274,2,0.0909,0.274,2,
Jalin Hyatt,NYG,WR,24,Yes,Yes,No,18,4,Yes,,Yes,1,0.25,0.2222,1,0.25,14,-1,-1,110,,0.1667,3,27.5,2.1,0.7778,3.5,-9.1778,14,-1,-1,1,5.7751,5.7751,0.2105,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,8,,,,,,,,,,,,,0.8333,2,
Terrance Ferguson,LA,TE,73,Yes,Yes,No,68,12,No,1,No,7,0.5833,0.1765,5,0.4167,129,27,6,249,0.5,0.2794,12,20.75,121.2,1.8971,10.75,0.0896,25.8,5.4,1.2,5,33.9995,33.9995,0.1765,30.9,35.9,33.4,35.9,38.4,38.9,36.4,35.9,35.9,35.9,33.4,38.4,35.9,13,5,,3,3,1,0.0833,3,,,,,,0.2206,8,
Johnny Mundt,JAX,TE,56,Yes,No,No,30,6,No,1,Yes,6,1,0.2,3,0.5,41,28,8,22,0.8667,0.1333,3,3.6667,72.2,1.3667,6.8333,0.2684,13.6667,9.3333,2.6667,2,8.8107,8.8107,0.1132,4.1,7.1,5.6,7.1,8.6,7.1,5.6,7.1,7.1,7.1,5.6,8.6,7.1,16,,,,,2,0.3333,,1,0.3333,,1,0.1667,,,
Durham Smythe,CHI,TE,82,Yes,Yes,Yes,47,5,No,1,Yes,5,1,0.1064,4,0.8,25,14,2,15,0.617,0.1277,1,3,87.5,0.5319,5,-0.9063,6.25,3.5,0.5,1,7.262,7.262,0.0676,2.5,6.5,4.5,6.5,8.5,6.5,4.5,6.5,6.5,6.5,4.5,8.5,6.5,17,,,,,,,,,,0.234,,,0.0213,,
Xavier Legette,CAR,WR,82,Yes,No,Yes,74,14,No,2,Yes,10,0.7143,0.1892,10,0.7143,92,41,17,105,,0.3784,10,7.5,73.2,1.2432,6.5714,-0.8998,9.2,4.1,1.7,5,22.8617,22.8617,0.2154,15.2,25.2,20.2,25.2,25.2,25.2,20.2,25.2,25.2,25.2,20.2,25.2,25.2,15,1,2,1,1,,,1,3,0.3,,3,0.2143,0.6216,2,
Rashid Shaheed,SEA,WR,97,Yes,No,Yes,87,17,No,3,No,12,0.7059,0.1954,12,0.7059,259,96,20,256,,0.3448,15,15.0588,127.7,2.977,15.2353,5.6341,21.5833,8,1.6667,9,35.2801,35.2801,0.2099,37.9,49.9,43.9,49.9,49.9,52.9,46.9,49.9,49.9,49.9,43.9,49.9,49.9,18,1,3,2,,,,3,2,0.1667,,4,0.2353,0.6552,5,1
Gunnar Helm,TEN,TE,95,Yes,Yes,No,59,17,No,3,No,16,0.9412,0.2881,13,0.7647,79,78,13,49,0.8983,0.0678,13,2.8824,104.8,1.339,4.6471,-2.1784,6.0769,6,1,5,30.2933,30.2933,0.2329,13.9,26.9,20.4,26.9,33.4,26.9,20.4,26.9,26.9,26.9,20.4,33.4,26.9,16,1,1,1,1,1,0.0588,2,,,0.0169,4,0.2353,0.0169,,
Justin Jefferson,MIN,WR,156,Yes,Yes,Yes,147,39,No,9,No,33,0.8462,0.2653,31,0.7949,363,177,78,352,,0.1565,34,9.0256,92.6,2.4694,9.3077,1.2826,11.7097,5.7097,2.5161,19,68.113,68.113,0.3223,42.3,73.3,57.8,73.3,73.3,76.3,60.8,73.3,73.3,73.3,57.8,73.3,73.3,17,4,7,1,1,1,0.0256,3,2,0.0645,0.0136,9,0.2308,0.8299,4,2
Greg Dulcich,MIA,TE,44,Yes,No,Yes,39,14,No,2,Yes,13,0.9286,0.359,13,0.9286,169,117,24,57,0.8462,0.1026,12,4.0714,117,4.3333,12.0714,5.4236,13,9,1.8462,7,22.713,22.713,0.35,16.9,29.9,23.4,29.9,36.4,32.9,26.4,29.9,29.9,29.9,23.4,36.4,29.9,10,,2,,,,,2,1,0.0769,,,,0.0513,,
AJ Barner,SEA,TE,131,Yes,No,Yes,83,20,No,,No,18,0.9,0.241,17,0.85,207,122,23,113,0.9036,0.0482,11,5.65,149.4,2.494,10.35,3.3701,12.1765,7.1765,1.3529,8,35.8294,35.8294,0.1905,38.7,55.7,47.2,55.7,64.2,58.7,50.2,55.7,55.7,55.7,47.2,64.2,55.7,17,2,,3,2,1,0.05,4,2,0.1176,0.0482,1,0.05,,2,
Zach Charbonnet,SEA,RB,65,Yes,No,Yes,32,7,No,,No,6,0.8571,0.2188,6,0.8571,52,47,22,12,,,,1.7143,97.6,1.625,7.4286,1.1275,8.6667,7.8333,3.6667,3,9.8578,9.8578,0.1346,5.2,11.2,8.2,14.2,11.2,11.2,8.2,11.2,11.2,11.2,8.2,11.2,11.2,16,,,,,,,,2,0.3333,1,,,,,
Chuba Hubbard,CAR,RB,58,Yes,No,Yes,35,9,No,,Yes,9,1,0.2571,8,0.8889,63,93,31,-19,,0.0286,5,-2.1111,95.8,1.8,7,1.4018,7.875,11.625,3.875,3,12.2575,12.2575,0.1915,6.3,14.3,10.3,18.3,14.3,14.3,10.3,14.3,14.3,14.3,10.3,14.3,14.3,15,,,,,1,0.1111,1,2,0.25,0.9714,4,0.4444,,,
Jared Wayne,HST,WR,6,Yes,No,No,6,2,No,,Yes,2,1,0.3333,2,1,20,4,3,16,,,2,8,108.3,3.3333,10,2.4261,10,2,1.5,1,3.2811,3.2811,0.5,2,4,3,4,4,4,3,4,4,4,3,4,4,1,,,,,,,,,,,,,1,,
Xavier Worthy,KC,WR,103,Yes,No,No,82,21,No,1,Yes,17,0.8095,0.2561,14,0.6667,135,85,11,127,,0.2195,20,6.0476,84.4,1.6463,6.4286,-0.7688,9.6429,6.0714,0.7857,4,39.4387,39.4387,0.2442,13.5,27.5,20.5,27.5,27.5,30.5,23.5,27.5,27.5,27.5,20.5,27.5,27.5,14,1,,,,2,0.0952,3,3,0.2143,0.0122,8,0.381,0.7683,2,
Rachaad White,TB,RB,55,Yes,No,Yes,29,7,No,,Yes,7,1,0.2414,7,1,25,43,14,-18,,0.1379,6,-2.5714,81.5,0.8621,3.5714,-2.2832,3.5714,6.1429,2,1,12.1675,12.1675,0.14,2.5,9.5,6,13,9.5,9.5,6,9.5,9.5,9.5,6,9.5,9.5,17,,,,,,,,2,0.2857,0.8276,5,0.7143,0.0345,,
Cam Grandy,CIN,TE,3,Yes,No,No,3,2,No,,Yes,2,1,0.6667,2,1,7,13,11,-6,1,,2,-3,81.3,2.3333,3.5,-2.0938,3.5,6.5,5.5,,2.6293,2.6293,0.6667,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,5,,,,,,,,,,,1,0.5,,,
Elijah Moore,BUF,WR,32,Yes,No,No,29,5,No,,Yes,3,0.6,0.1724,2,0.4,-3,9,1,37,,0.4483,4,7.4,8.3,-0.1034,-0.6,-8.5992,-1.5,4.5,0.5,,8.1635,8.1635,0.1724,-0.3,1.7,0.7,1.7,1.7,1.7,0.7,1.7,1.7,1.7,0.7,1.7,1.7,9,,,,,,,,,,,1,0.2,0.5517,,
Ty Johnson,BUF,RB,19,Yes,No,No,13,2,No,,Yes,2,1,0.1538,2,1,9,8,4,1,,0.2308,1,0.5,125,0.6923,4.5,-1.2782,4.5,4,2,1,3.9794,3.9794,0.125,6.9,8.9,7.9,9.9,8.9,8.9,7.9,8.9,8.9,8.9,7.9,8.9,8.9,17,,,1,,,,1,1,0.5,0.6154,,,0.1538,,
Van Jefferson,TEN,WR,84,Yes,Yes,No,57,8,No,2,No,7,0.875,0.1404,6,0.75,122,28,6,140,,0.0877,6,17.5,116.7,2.1404,15.25,5.5146,20.3333,4.6667,1,5,14.4924,14.4924,0.1194,12.2,18.2,15.2,18.2,18.2,21.2,18.2,18.2,18.2,18.2,15.2,18.2,18.2,16,,1,,,,,,,,,1,0.125,0.9123,4,1
Malachi Corley,CLV,WR,33,Yes,Yes,No,31,3,No,,No,3,1,0.0968,3,1,3,33,5,-9,,0.6452,2,-3,79.2,0.0968,1,-4.0467,1,11,1.6667,,4.6868,4.6868,0.1071,0.3,3.3,1.8,3.3,3.3,3.3,1.8,3.3,3.3,3.3,1.8,3.3,3.3,13,,,,,,,1,1,0.3333,0.0323,2,0.6667,0.3226,,
Elic Ayomanor,TEN,WR,119,Yes,No,No,86,17,No,2,Yes,12,0.7059,0.1977,9,0.5294,111,27,9,194,0.0116,0.1163,13,11.4118,93,1.2907,6.5294,-1.7903,12.3333,3,1,5,26.8471,26.8471,0.1717,17.1,26.1,21.6,26.1,26.1,29.1,24.6,26.1,26.1,26.1,21.6,26.1,26.1,16,1,1,1,,2,0.1176,3,,,,1,0.0588,0.8721,2,
Andre Baccellia,ARZ,WR,15,Yes,No,No,11,1,No,,No,1,1,0.0909,1,1,3,6,3,-3,,0.3636,1,-3,79.2,0.2727,3,-1.9408,3,6,3,,1.6358,1.6358,0.0909,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,5,,,,,,,,2,2,,1,1,0.6364,,
Derrick Henry,BLT,RB,97,Yes,No,No,56,12,No,1,Yes,9,0.75,0.2143,9,0.75,112,109,22,6,,,5,0.5,68.8,2,9.3333,3.1205,12.4444,12.1111,2.4444,3,16.6967,16.6967,0.1558,11.2,20.2,15.7,24.7,20.2,23.2,18.7,20.2,20.2,20.2,15.7,20.2,20.2,17,,1,,,,,1,4,0.4444,1,2,0.1667,,,
Robert Tonyan,KC,TE,22,Yes,Yes,Yes,11,1,No,,No,1,1,0.0909,1,1,1,,,1,0.6364,0.1818,,1,79.2,0.0909,1,-4.7754,1,,,,2.6708,2.6708,0.0667,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,16,,,,,,,,,,,,,0.1818,,
Sean McKeon,IND,TE,4,Yes,No,Yes,2,,No,,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,77,Yes,Yes,Yes,28,3,No,,No,3,1,0.1071,3,1,24,34,17,-10,,,3,-3.3333,100,0.8571,8,2.064,8,11.3333,5.6667,2,4.3952,4.3952,0.0469,2.4,5.4,3.9,6.9,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,17,,,,,,,1,2,0.6667,1,3,1,,,
Calvin Austin,PIT,WR,51,Yes,No,No,45,11,No,3,Yes,10,0.9091,0.2444,9,0.8182,79,50,32,51,,0.4,11,4.6364,126.9,1.7556,7.1818,0.0713,8.7778,5.5556,3.5556,4,18.5629,18.5629,0.2821,13.9,22.9,18.4,22.9,22.9,22.9,18.4,22.9,22.9,22.9,18.4,22.9,22.9,14,1,3,1,1,1,0.0909,1,1,0.1111,0.0444,7,0.6364,0.5556,1,1
Ronnie Bell,NO,WR,4,Yes,Yes,No,3,,No,,No,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,0.6667,,
Bijan Robinson,ATL,RB,107,Yes,Yes,No,68,25,No,1,No,24,0.96,0.3676,21,0.84,268,303,64,-45,,0.1471,16,-1.8,124.7,3.9412,10.72,4.7344,12.7619,14.4286,3.0476,10,38.0973,38.0973,0.2747,32.8,53.8,43.3,64.3,53.8,56.8,46.3,53.8,53.8,53.8,43.3,53.8,53.8,17,,1,1,,3,0.12,,11,0.5238,0.7941,10,0.4,0.0588,,
LeQuint Allen,JAX,RB,6,Yes,No,No,4,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,1,,,,,
Jaleel McLaughlin,DEN,RB,22,Yes,No,No,12,5,No,1,Yes,5,1,0.4167,4,0.8,27,39,18,-18,,,3,-3.6,89.2,2.25,5.4,-0.1954,6.75,9.75,4.5,2,6.8797,6.8797,0.2941,2.7,6.7,4.7,8.7,6.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,8,,,,,1,0.2,,2,0.5,1,1,0.2,,,
Colston Loveland,CHI,TE,138,Yes,Yes,Yes,117,27,No,4,Yes,17,0.6296,0.2308,15,0.5556,204,90,25,318,0.6667,0.1111,18,11.7778,104.6,1.7436,7.5556,-1.2919,13.6,6,1.6667,10,48.9136,48.9136,0.25,32.4,47.4,39.9,47.4,54.9,50.4,42.9,47.4,47.4,47.4,39.9,54.9,47.4,16,2,2,2,1,,,6,1,0.0667,0.0342,,,0.188,4,
Darren Waller,MIA,TE,34,Yes,No,No,32,7,No,1,Yes,6,0.8571,0.2188,6,0.8571,45,16,,56,0.3438,0.2188,6,8,133,1.4062,6.4286,-1.6529,7.5,2.6667,,5,13.2927,13.2927,0.2333,16.5,22.5,19.5,22.5,25.5,22.5,19.5,22.5,22.5,22.5,19.5,25.5,22.5,9,2,1,2,2,,,2,,,,1,0.1429,0.4375,,
Isiah Pacheco,KC,RB,92,Yes,No,No,32,9,No,,Yes,9,1,0.2812,6,0.6667,23,41,11,-26,,,3,-2.8889,70.1,0.7188,2.5556,-3.4326,3.8333,6.8333,1.8333,1,14.0339,14.0339,0.125,2.3,8.3,5.3,11.3,8.3,8.3,5.3,8.3,8.3,8.3,5.3,8.3,8.3,13,,,,,3,0.3333,,,,1,2,0.2222,,,
Pat Freiermuth,PIT,TE,51,Yes,No,No,37,10,No,1,Yes,10,1,0.2703,10,1,94,92,55,11,0.4324,0.2973,8,1.1,139.2,2.5405,9.4,3.5363,9.4,9.2,5.5,6,17.3026,17.3026,0.2273,15.4,25.4,20.4,25.4,30.4,25.4,20.4,25.4,25.4,25.4,20.4,30.4,25.4,17,1,1,1,1,,,3,4,0.4,,5,0.5,0.2703,,
Adam Thielen,PIT,WR,52,Yes,No,No,41,5,No,,Yes,2,0.4,0.122,2,0.4,11,9,4,62,,0.3415,3,12.4,47.9,0.2683,2.2,-6.5579,5.5,4.5,2,,9.4083,9.4083,0.119,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,16,1,,,,,,2,,,,1,0.2,0.6585,1,
Elijah Higgins,ARZ,TE,101,Yes,No,No,88,13,No,2,Yes,11,0.8462,0.1477,11,0.8462,103,80,45,39,0.7841,0.1023,3,3,67.6,1.1705,7.9231,1.3312,9.3636,7.2727,4.0909,5,21.7121,21.7121,0.1667,10.3,21.3,15.8,21.3,26.8,24.3,18.8,21.3,21.3,21.3,15.8,26.8,21.3,17,,1,,,,,,5,0.4545,0.0682,1,0.0769,0.0455,,
Braelon Allen,NYJ,RB,7,Yes,No,No,2,1,No,,Yes,1,1,0.5,1,1,12,9,6,3,,,1,3,116.7,6,12,5.4906,12,9,6,1,1.4364,1.4364,0.2,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,4,,,,,,,,1,1,1,,,,,
Josiah Deguara,ARZ,TE,22,Yes,No,No,17,,No,,Yes,,,,,,,,,,0.7059,0.2941,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
Harrison Bryant,HST,TE,43,Yes,No,Yes,22,5,No,,Yes,2,0.4,0.2273,2,0.4,7,1,,34,0.9545,,2,6.8,47.9,0.3182,1.4,-6.5283,3.5,0.5,,1,11.5959,11.5959,0.1389,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,12,,,,,,,,,,,,,0.0455,1,
Tylan Wallace,BLT,WR,20,Yes,No,No,19,3,No,,Yes,3,1,0.1579,3,1,35,10,3,28,,0.1579,3,9.3333,154.9,1.8421,11.6667,3.2053,11.6667,3.3333,1,2,5.2847,5.2847,0.2143,9.5,12.5,11,12.5,12.5,12.5,11,12.5,12.5,12.5,11,12.5,12.5,14,1,,1,1,,,1,,,,1,0.3333,0.8421,,
Jonnu Smith,PIT,TE,89,Yes,No,No,61,14,No,,Yes,11,0.7857,0.2295,9,0.6429,36,45,16,50,0.7377,0.1311,11,3.5714,68.2,0.5902,2.5714,-4.2055,4,5,1.7778,1,21.6145,21.6145,0.1918,3.6,12.6,8.1,12.6,17.1,12.6,8.1,12.6,12.6,12.6,8.1,17.1,12.6,17,,,,,2,0.1429,,2,0.2222,,2,0.1429,0.1311,1,
Josh Palmer,BUF,WR,54,Yes,No,No,49,10,No,1,Yes,6,0.6,0.2041,6,0.6,90,15,6,128,0.0408,0.102,8,12.8,89.6,1.8367,9,0.1888,15,2.5,1,3,17.6314,17.6314,0.2326,9,15,12,15,15,15,12,15,15,15,12,15,15,12,,1,,,,,1,,,,,,0.8571,2,
Antonio Gibson,NE,RB,15,Yes,Yes,Yes,7,1,No,,No,1,1,0.1429,1,1,1,5,3,-4,,,1,-4,79.2,0.1429,1,-4.5699,1,5,3,,1.5079,1.5079,0.125,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,5,,,,,,,,,,1,1,1,,,
