,Name,Targets,Routes,TPRR,TPRR Rk,aDOT,aDOT (halved),Expected TPRR,Surplus TPRR,Surplus TPRR Rk,TPRR vs. Surplus TPRR Delta,,,
,Tre Tucker,90,554,0.162,77,10.5,5.25,0.229,-0.067,81,-4,,,
,Kendrick Bourne,52,336,0.155,84,10.4,5.2,0.230,-0.075,89,-5,,,
,Xavier Hutchinson,56,379,0.148,91,10.4,5.2,0.230,-0.082,92,-1,,,
,Ladd McConkey,104,536,0.194,56,10.3,5.15,0.230,-0.036,61,-5,,,
,Zay Flowers,117,464,0.252,21,10.1,5.05,0.232,0.021,22,-1,,,
,Jauan Jennings,86,427,0.201,49,10.1,5.05,0.232,-0.030,55,-6,,,
,Andrei Iosivas,58,505,0.115,103,10,5,0.232,-0.117,106,-3,,,
,Pat Bryant,47,279,0.168,72,9.8,4.9,0.233,-0.065,79,-7,,,
,Garrett Wilson,55,218,0.252,20,9.7,4.85,0.234,0.018,24,-4,,,
,DeMario Douglas,44,215,0.205,44,9.7,4.85,0.234,-0.029,54,-10,,,
,KaVontae Turpin,38,235,0.162,79,9.7,4.85,0.234,-0.072,85,-6,,,
,Ryan Flournoy,54,258,0.209,39,9.6,4.8,0.235,-0.025,47,-8,,,
,Tre Harris,42,273,0.154,86,9.6,4.8,0.235,-0.081,91,-5,,,
,Jalen Coker,41,271,0.151,90,9.6,4.8,0.235,-0.083,93,-3,,,
,Jakobi Meyers,105,500,0.210,38,9.4,4.7,0.236,-0.026,48,-10,,,
,Marvin Mims,51,254,0.201,52,9.4,4.7,0.236,-0.035,59,-7,,,
,Puka Nacua,163,446,0.365,1,9.2,4.6,0.237,0.129,1,0,,,
,Adam Thielen,34,224,0.152,89,9,4.5,0.238,-0.086,95,-6,,,
,Sterling Shepard,53,321,0.165,76,8.9,4.45,0.239,-0.073,86,-10,,,
,Wan'Dale Robinson,132,523,0.252,19,8.7,4.35,0.240,0.013,27,-8,,,
,Stefon Diggs,100,401,0.249,22,8.7,4.35,0.240,0.010,29,-7,,,
,Ja'Marr Chase,182,613,0.297,6,8.6,4.3,0.240,0.057,8,-2,,,
,Keenan Allen,118,453,0.260,13,8.6,4.3,0.240,0.020,23,-10,,,
,Amon-Ra St. Brown,166,527,0.315,3,8.5,4.25,0.241,0.074,5,-2,,,
,Michael Pittman,108,505,0.214,37,8.5,4.25,0.241,-0.027,52,-15,,,
,Travis Hunter,44,212,0.208,40,8.4,4.2,0.241,-0.034,58,-18,,,
,Josh Downs,84,355,0.237,26,8.2,4.1,0.243,-0.006,37,-11,,,
,Cooper Kupp,68,387,0.176,69,8.1,4.05,0.243,-0.067,82,-13,,,
,Chimere Dike,72,376,0.191,61,8,4,0.244,-0.052,69,-8,,,
,Chris Godwin,48,239,0.201,50,7.6,3.8,0.246,-0.045,67,-17,,,
,Luther Burden,60,230,0.261,11,7.5,3.75,0.247,0.014,25,-14,,,
,Olamide Zaccheaus,62,305,0.203,46,7.2,3.6,0.248,-0.045,66,-20,,,
,Tyler Lockett,51,349,0.146,92,7.1,3.55,0.249,-0.103,101,-9,,,
,Christian Kirk,47,267,0.176,68,6.8,3.4,0.251,-0.075,88,-20,,,
,John Metchie,48,239,0.201,51,5.4,2.7,0.259,-0.058,73,-22,,,
,Deebo Samuel,98,420,0.233,28,5.3,2.65,0.259,-0.026,50,-22,,,
,Malik Washington,62,334,0.186,65,5.2,2.6,0.260,-0.074,87,-22,,,
,JuJu Smith-Schuster,42,323,0.130,98,5,2.5,0.261,-0.131,108,-10,,,
,Rashee Rice,77,250,0.308,4,4.9,2.45,0.262,0.046,11,-7,,,
,Khalil Shakir,91,393,0.232,29,3.8,1.9,0.268,-0.036,60,-31,,,
,Isaiah Williams,34,202,0.168,73,2.8,1.4,0.274,-0.105,102,-29,,,
,Greg Dortch,33,207,0.159,81,1.7,0.85,0.280,-0.120,107,-26,,,
