player,pos,team,age,posRank_fpg,ceilingRank,floor,p25,median,p75,ceiling
Makai Lemon,,,,WR · PHI · Age 22,WR37 · 10.7 FP/G,6.5,9.0,10.7,12.4,14.9
DJ Moore,WR,BUF,28,WR39 · 10.6,WR38,6.3,8.8,10.6,12.4,14.9
Sam LaPorta,TE,DET,25,TE7 · 10.8,TE4,6.7,9.1,10.8,12.5,14.9
George Kittle,TE,SF,32,TE4 · 11.4,TE5,8.0,10.0,11.4,12.8,14.8
Jakobi Meyers,WR,JAX,29,WR40 · 10.6,WR39,6.4,8.9,10.6,12.3,14.8
Tyler Warren,TE,IND,23,TE9 · 10.7,TE6,6.7,9.1,10.7,12.3,14.7
D'Andre Swift,RB,CHI,27,RB25 · 11.5,RB26,7.3,9.8,11.5,12.8,14.7
Kyle Pitts,TE,ATL,25,TE6 · 10.8,TE7,6.9,9.2,10.8,12.4,14.7
Bhayshul Tuten,RB,JAX,24,RB28 · 11.1,RB27,7.6,9.7,11.1,12.5,14.6
Michael Wilson,WR,ARI,26,WR41 · 10.3,WR40,6.3,8.6,10.3,12.0,14.3
Courtland Sutton,WR,DEN,30,WR38 · 10.6,WR41,6.9,9.1,10.6,12.1,14.3
Xavier Worthy,WR,KC,22,WR42 · 10.2,WR42,6.1,8.5,10.2,11.9,14.3
Travis Kelce,TE,KC,36,TE5 · 11.2,TE8,8.2,10.0,11.2,12.4,14.2
Christian Watson,WR,GB,26,WR43 · 10.1,WR43,6.0,8.4,10.1,11.8,14.2
RJ Harvey,RB,DEN,25,RB29 · 10.9,RB28,7.2,9.4,10.9,12.2,14.2
Harold Fannin,TE,CLE,21,TE8 · 10.7,TE9,7.2,9.3,10.7,12.1,14.2
Kyle Monangai,RB,CHI,23,RB32 · 10.5,RB29,7.1,9.1,10.5,11.9,13.9
Romeo Doubs,WR,NE,25,WR46 · 9.7,WR44,5.7,8.1,9.7,11.3,13.7
Rico Dowdle,RB,PIT,27,RB30 · 10.7,RB30,6.8,9.1,10.7,11.9,13.6
Quentin Johnston,WR,LAC,24,WR44 · 9.8,WR45,6.0,8.2,9.8,11.4,13.6
T.J. Hockenson,TE,MIN,28,TE10 · 10.1,TE10,6.7,8.7,10.1,11.5,13.5
Jake Ferguson,TE,DAL,27,TE12 · 9.7,TE11,6.0,8.2,9.7,11.2,13.4
Aaron Jones,RB,MIN,31,RB27 · 11.4,RB31,6.4,9.3,11.4,12.2,13.3
KC Concepcion,,,,WR · CLE · Age 22,WR49 · 9.6 FP/G,6.0,8.1,9.6,11.1,13.2
David Montgomery,RB,HOU,28,RB31 · 10.5,RB32,6.5,8.9,10.5,11.6,13.1
Dallas Goedert,TE,PHI,31,TE11 · 9.9,TE12,6.8,8.6,9.9,11.2,13.0
Mike Evans,WR,SF,32,WR45 · 9.7,WR47,6.4,8.4,9.7,11.0,13.0
Rhamondre Stevenson,RB,NE,28,RB33 · 10.3,RB33,6.2,8.6,10.3,11.4,12.9
Terry McLaurin,WR,WAS,30,WR48 · 9.6,WR48,6.3,8.2,9.6,11.0,12.9
Chris Godwin Jr.,WR,TB,30,WR47 · 9.6,WR49,6.3,8.3,9.6,10.9,12.9
Tucker Kraft,TE,GB,25,TE16 · 9.3,TE13,5.7,7.8,9.3,10.8,12.9
Ricky Pearsall,WR,SF,25,WR52 · 9.1,WR50,5.4,7.6,9.1,10.6,12.8
Rachaad White,RB,WAS,27,RB34 · 10.0,RB34,6.4,8.5,10.0,11.1,12.7
Jordan Addison,WR,MIN,24,WR51 · 9.2,WR51,5.7,7.8,9.2,10.6,12.7
Kenyon Sadiq,,,,TE · NYJ · Age 22,TE13 · 9.5 FP/G,6.3,8.2,9.5,10.8,12.7
Stefon Diggs,WR,NE,32,WR50 · 9.3,WR52,6.0,8.0,9.3,10.6,12.6
Juwan Johnson,TE,NO,29,TE14 · 9.3,TE15,6.1,8.0,9.3,10.6,12.5
J.K. Dobbins,RB,DEN,27,RB36 · 9.7,RB35,6.2,8.3,9.7,10.8,12.4
Mark Andrews,TE,BAL,30,TE15 · 9.3,TE16,6.3,8.1,9.3,10.5,12.3
Tony Pollard,RB,TEN,28,RB35 · 9.9,RB36,6.3,8.4,9.9,10.9,12.2
Isaiah Likely,TE,NYG,25,TE17 · 8.9,TE17,5.7,7.6,8.9,10.2,12.1
Isiah Pacheco,RB,DET,27,RB37 · 9.4,RB37,5.9,8.0,9.4,10.5,12.0
Zach Charbonnet,RB,SEA,25,RB39 · 9.2,RB38,6.1,7.9,9.2,10.3,11.9
Brenton Strange,TE,JAX,25,TE18 · 8.7,TE18,5.5,7.4,8.7,10.0,11.9
Pat Freiermuth,TE,PIT,27,TE19 · 8.7,TE19,5.5,7.4,8.7,10.0,11.9
Jaylen Warren,RB,PIT,27,RB38 · 9.3,RB39,5.9,7.9,9.3,10.3,11.8
Jalen Coker,WR,CAR,24,WR53 · 8.5,WR53,5.2,7.1,8.5,9.9,11.8
Tre Tucker,WR,LV,24,WR54 · 8.5,WR54,5.2,7.2,8.5,9.8,11.8
Omar Cooper Jr.,,,,WR · NYJ · Age 22,WR55 · 8.5 FP/G,5.2,7.2,8.5,9.8,11.8
Jayden Reed,WR,GB,25,WR56 · 8.3,WR56,4.9,6.9,8.3,9.7,11.7
Denzel Boston,,,,WR · CLE · Age 22,WR57 · 8.3 FP/G,5.0,7.0,8.3,9.6,11.6
Matthew Golden,WR,GB,22,WR58 · 8.2,WR58,4.9,6.8,8.2,9.6,11.5
Jacory Croskey-Merritt,RB,WAS,24,RB41 · 8.6,RB40,5.9,7.5,8.6,9.7,11.3
Jerry Jeudy,WR,CLE,26,WR59 · 7.9,WR59,4.6,6.6,7.9,9.2,11.2
Tyjae Spears,RB,TEN,24,RB42 · 8.6,RB41,6.0,7.5,8.6,9.7,11.2
Jayden Higgins,WR,HOU,23,WR60 · 7.8,WR60,4.5,6.5,7.8,9.1,11.1
Tyreek Hill,WR,MIA,32,WR61 · 7.7,WR61,4.4,6.4,7.7,9.0,11.0
Germie Bernard,,,,WR · PIT · Age 22,WR62 · 7.5 FP/G,4.2,6.2,7.5,8.8,10.8
Alvin Kamara,RB,NO,30,RB40 · 9.0,RB42,5.2,7.4,9.0,9.7,10.7
Deebo Samuel Sr.,WR,WAS,30,WR63 · 7.4,WR63,4.1,6.1,7.4,8.7,10.7
Rashid Shaheed,WR,SEA,27,WR64 · 7.4,WR64,4.1,6.1,7.4,8.7,10.7
Jauan Jennings,WR,MIN,28,WR65 · 7.3,WR65,4.0,6.0,7.3,8.6,10.6
Hunter Henry,TE,NE,31,TE20 · 7.9,TE20,5.2,6.8,7.9,9.0,10.6
Woody Marks,RB,HOU,25,RB43 · 8.1,RB43,5.4,7.0,8.1,9.1,10.5
Chig Okonkwo,TE,WAS,26,TE21 · 7.7,TE21,4.9,6.6,7.7,8.8,10.5
Dalton Schultz,TE,HOU,29,TE22 · 7.7,TE22,4.9,6.6,7.7,8.8,10.5
Keon Coleman,WR,BUF,22,WR66 · 7.0,WR66,3.7,5.7,7.0,8.3,10.3
Dylan Sampson,RB,CLE,21,RB44 · 7.9,RB44,5.5,6.9,7.9,8.9,10.3
Dalton Kincaid,TE,BUF,26,TE25 · 7.4,TE23,4.5,6.2,7.4,8.6,10.3
A.J. Barner,TE,SEA,23,TE23 · 7.5,TE24,4.8,6.4,7.5,8.6,10.2
Oronde Gadsden,TE,LAC,22,TE24 · 7.5,TE25,4.8,6.4,7.5,8.6,10.2
Antonio Williams,,,,WR · WAS · Age 22,WR67 · 6.8 FP/G,3.5,5.5,6.8,8.1,10.1
Dontayvion Wicks,WR,PHI,24,WR68 · 6.7,WR68,3.4,5.4,6.7,8.0,10.0
Travis Hunter,WR,JAX,22,WR69 · 6.7,WR69,3.4,5.4,6.7,8.0,10.0
Chris Bell,,,,WR · MIA · Age 22,WR70 · 6.7 FP/G,3.4,5.4,6.7,8.0,10.0
Caleb Douglas,,,,WR · MIA · Age 22,WR71 · 6.7 FP/G,3.4,5.4,6.7,8.0,10.0
Cade Otton,TE,TB,26,TE26 · 7.3,TE26,4.7,6.2,7.3,8.4,9.9
Rashod Bateman,WR,BAL,26,WR72 · 6.6,WR72,3.3,5.3,6.6,7.9,9.9
Keenan Allen,WR,LAC,33,WR73 · 6.5,WR73,3.2,5.2,6.5,7.8,9.8
Brian Robinson,RB,ATL,26,RB45 · 7.5,RB45,5.0,6.5,7.5,8.4,9.7
Christian Kirk,WR,SF,29,WR74 · 6.4,WR74,3.1,5.1,6.4,7.7,9.7
Troy Franklin,WR,DEN,23,WR75 · 6.4,WR75,3.1,5.1,6.4,7.7,9.7
Jalen Nailor,WR,LV,27,WR76 · 6.3,WR76,3.0,5.0,6.3,7.6,9.6
Blake Corum,RB,LA,25,RB46 · 7.3,RB46,4.8,6.3,7.3,8.2,9.5
Calvin Austin III,WR,NYG,26,WR77 · 6.2,WR77,2.9,4.9,6.2,7.5,9.5
Kayshon Boutte,WR,NE,23,WR78 · 6.2,WR78,2.9,4.9,6.2,7.5,9.5
Marquise Brown,WR,PHI,28,WR79 · 6.0,WR79,2.7,4.7,6.0,7.3,9.3
Evan Engram,TE,DEN,31,TE27 · 6.8,TE27,4.3,5.8,6.8,7.8,9.3
Tyrone Tracy,RB,NYG,26,RB47 · 7.0,RB47,4.5,6.0,7.0,7.9,9.2
Ryan Flournoy,WR,DAL,26,WR80 · 5.9,WR80,2.6,4.6,5.9,7.2,9.2
Mike Gesicki,TE,CIN,30,TE28 · 6.6,TE28,4.1,5.6,6.6,7.6,9.1
Tre Harris,WR,LAC,24,WR81 · 5.6,WR81,2.3,4.3,5.6,6.9,8.9
Andrei Iosivas,WR,CIN,26,WR82 · 5.5,WR82,2.2,4.2,5.5,6.8,8.8
Marvin Mims Jr.,WR,DEN,23,WR83 · 5.5,WR83,2.2,4.2,5.5,6.8,8.8
Calvin Ridley,WR,TEN,31,WR84 · 5.4,WR84,2.1,4.1,5.4,6.7,8.7
DeMario Douglas,WR,NE,25,WR85 · 5.4,WR85,2.1,4.1,5.4,6.7,8.7
Malik Washington,WR,MIA,25,WR86 · 5.4,WR86,2.1,4.1,5.4,6.7,8.7
Adonai Mitchell,WR,NYJ,23,WR87 · 5.3,WR87,2.0,4.0,5.3,6.6,8.6
Cooper Kupp,WR,SEA,32,WR88 · 5.3,WR88,2.0,4.0,5.3,6.6,8.6
Gunnar Helm,TE,TEN,23,TE29 · 6.1,TE29,3.6,5.1,6.1,7.1,8.6
Pat Bryant,WR,DEN,23,WR89 · 5.2,WR89,1.9,3.9,5.2,6.5,8.5
Jordan Mason,RB,MIN,26,RB49 · 6.2,RB48,3.7,5.2,6.2,7.1,8.4
Darnell Mooney,WR,ATL,28,WR90 · 5.1,WR90,1.8,3.8,5.1,6.4,8.4
Tyquan Thornton,WR,KC,25,WR91 · 5.1,WR91,1.8,3.8,5.1,6.4,8.4
Xavier Legette,WR,CAR,25,WR92 · 5.1,WR92,1.8,3.8,5.1,6.4,8.4
Samaje Perine,RB,CIN,30,RB48 · 6.9,RB49,3.6,5.6,6.9,7.5,8.4
Isaac TeSlaa,WR,DET,24,WR93 · 5.0,WR93,1.7,3.7,5.0,6.3,8.3
Ja'Kobi Lane,,,,WR · BAL · Age 22,WR94 · 4.8 FP/G,1.5,3.5,4.8,6.1,8.1
Chris Rodriguez,RB,JAX,26,RB51 · 5.8,RB50,3.3,4.8,5.8,6.7,8.0
Tyler Allgeier,RB,ARI,25,RB52 · 5.8,RB51,3.3,4.8,5.8,6.7,8.0
Olamide Zaccheaus,WR,CHI,28,WR95 · 4.7,WR95,1.4,3.4,4.7,6.0,8.0
Kimani Vidal,RB,LAC,24,RB53 · 5.6,RB52,3.2,4.6,5.6,6.6,8.0
Ja'Tavion Sanders,TE,CAR,22,TE30 · 5.5,TE30,3.0,4.5,5.5,6.5,8.0
Michael Mayer,TE,LV,24,TE31 · 5.5,TE31,3.0,4.5,5.5,6.5,8.0
Josh Palmer,WR,BUF,26,WR96 · 4.6,WR96,1.3,3.3,4.6,5.9,7.9
Colby Parkinson,TE,LA,27,TE32 · 5.4,TE32,2.9,4.4,5.4,6.4,7.9
Terrance Ferguson,TE,LA,22,TE33 · 5.4,TE33,2.9,4.4,5.4,6.4,7.9
