team,direction,name,position,bucket,targets,rushes,priorTeam,currentTeam
LAC,incoming,David Njoku,TE,TE,48,0,CLE,LAC
LAC,incoming,Charlie Kolar,TE,TE,15,0,BAL,LAC
LAC,incoming,Alec Ingold,FB,RB,11,2,MIA,LAC
LAC,incoming,Dalevon Campbell,WR,WR,0,0,CAR,LAC
LV,incoming,Jalen Nailor,WR,WR,53,2,MIN,LV
LV,incoming,Connor Heyward,TE,TE,4,15,PIT,LV
LV,incoming,Dareke Young,WR,WR,3,0,SEA,LV
MIA,vacated,Jaylen Waddle,WR,WR,100,2,MIA,DEN
MIA,vacated,Nick Westbrook-Ikhine,WR,WR,20,0,MIA,IND
MIA,vacated,Julian Hill,TE,TE,20,0,MIA,NE
MIA,vacated,Tanner Conner,TE,TE,15,0,MIA,NYG
MIA,vacated,Alec Ingold,FB,RB,11,2,MIA,LAC
MIA,vacated,Cedrick Wilson Jr.,WR,WR,9,0,MIA,DET
MIA,vacated,Hayden Rucci,TE,TE,0,0,MIA,SF
MIA,incoming,Jalen Tolbert,WR,WR,34,0,DAL,MIA
MIA,incoming,Tutu Atwell,WR,WR,15,0,LA,MIA
MIA,incoming,Ben Sims,TE,TE,6,0,MIN,MIA
MIN,vacated,Jalen Nailor,WR,WR,53,2,MIN,LV
MIN,vacated,Ty Chandler,RB,RB,4,17,MIN,NO
MIN,vacated,Ben Sims,TE,TE,6,0,MIN,MIA
MIN,incoming,Jauan Jennings,WR,WR,90,0,SF,MIN
NE,vacated,Austin Hooper,TE,TE,26,0,NE,ATL
NE,incoming,A.J. Brown,WR,WR,121,0,PHI,NE
NE,incoming,Romeo Doubs,WR,WR,85,0,GB,NE
NE,incoming,Julian Hill,TE,TE,20,0,MIA,NE
NE,incoming,Reggie Gilliam,FB,RB,2,2,BUF,NE
NO,vacated,Evan Hull,RB,RB,1,19,NO,HOU
NO,vacated,Jack Stoll,TE,TE,11,0,NO,CLE
NO,vacated,Foster Moreau,TE,TE,10,0,NO,HOU
NO,vacated,Samori Toure,WR,WR,3,0,NO,PHI
NO,incoming,Travis Etienne,RB,RB,52,260,JAX,NO
NO,incoming,Noah Fant,TE,TE,41,0,CIN,NO
NO,incoming,Ty Chandler,RB,RB,4,17,MIN,NO
NYG,vacated,Wan'Dale Robinson,WR,WR,140,3,NYG,TEN
NYG,vacated,Daniel Bellinger,TE,TE,26,0,NYG,TEN
NYG,incoming,Darnell Mooney,WR,WR,72,0,ATL,NYG
NYG,incoming,Calvin Austin III,WR,WR,55,0,PIT,NYG
NYG,incoming,JuJu Smith-Schuster,WR,WR,45,0,KC,NYG
NYG,incoming,Isaiah Likely,TE,TE,36,0,BAL,NYG
NYG,incoming,Tanner Conner,TE,TE,15,0,MIA,NYG
NYG,incoming,Braxton Berrios,WR,WR,8,0,HOU,NYG
NYG,incoming,Ryan Miller,WR,WR,4,0,TB,NYG
NYG,incoming,Patrick Ricard,FB,RB,2,1,BAL,NYG
NYG,incoming,Xavier Gipson,WR,WR,2,0,PHI,NYG
NYJ,vacated,John Metchie III,WR,WR,48,3,NYJ,CAR
NYJ,vacated,Tyler Johnson,WR,WR,18,0,NYJ,DAL
NYJ,vacated,Stone Smartt,TE,TE,9,0,NYJ,PHI
NYJ,incoming,Tim Patrick,WR,WR,24,0,JAX,NYJ
PHI,vacated,A.J. Brown,WR,WR,121,0,PHI,NE
PHI,vacated,Jahan Dotson,WR,WR,36,0,PHI,ATL
PHI,vacated,AJ Dillon,RB,RB,3,12,PHI,CAR
PHI,vacated,Kylen Granson,TE,TE,9,0,PHI,TEN
PHI,vacated,Xavier Gipson,WR,WR,2,0,PHI,NYG
PHI,incoming,Marquise Brown,WR,WR,74,0,KC,PHI
PHI,incoming,Dontayvion Wicks,WR,WR,46,1,GB,PHI
PHI,incoming,Elijah Moore,WR,WR,17,6,BUF,PHI
PHI,incoming,Johnny Mundt,TE,TE,19,0,JAX,PHI
PHI,incoming,Dameon Pierce,RB,RB,1,14,KC,PHI
PHI,incoming,Stone Smartt,TE,TE,9,0,NYJ,PHI
PHI,incoming,Samori Toure,WR,WR,3,0,NO,PHI
PHI,incoming,Elijah Mitchell,RB,RB,1,0,KC,PHI
PIT,vacated,Kenneth Gainwell,RB,RB,85,114,PIT,TB
PIT,vacated,Calvin Austin III,WR,WR,55,0,PIT,NYG
PIT,vacated,Marquez Valdes-Scantling,WR,WR,29,0,PIT,DAL
PIT,vacated,Connor Heyward,TE,TE,4,15,PIT,LV
PIT,vacated,Scott Miller,WR,WR,14,0,PIT,CHI
PIT,incoming,Rico Dowdle,RB,RB,50,236,CAR,PIT
PIT,incoming,Michael Pittman,WR,WR,111,0,IND,PIT
PIT,incoming,Robert Tonyan,TE,TE,1,0,KC,PIT
PIT,incoming,Travis Homer,RB,RB,0,1,CHI,PIT
SEA,vacated,Kenneth Walker III,RB,RB,36,221,SEA,KC
SEA,vacated,Dareke Young,WR,WR,3,0,SEA,LV
SEA,incoming,Emanuel Wilson,RB,RB,17,125,GB,SEA
SEA,incoming,Harrison Bryant,TE,TE,6,0,HOU,SEA
SF,vacated,Brian Robinson,RB,RB,12,92,SF,ATL
SF,vacated,Jauan Jennings,WR,WR,90,0,SF,MIN
SF,vacated,Kendrick Bourne,WR,WR,53,0,SF,ARI
SF,vacated,Skyy Moore,WR,WR,7,2,SF,GB
SF,incoming,Mike Evans,WR,WR,62,0,TB,SF
SF,incoming,Christian Kirk,WR,WR,52,0,HOU,SF
SF,incoming,Jordan Mims,RB,RB,0,0,TEN,SF
SF,incoming,Hayden Rucci,TE,TE,0,0,MIA,SF
TB,vacated,Rachaad White,RB,RB,45,132,TB,WAS
TB,vacated,Mike Evans,WR,WR,62,0,TB,SF
TB,vacated,Ryan Miller,WR,WR,4,0,TB,NYG
TB,incoming,Kenneth Gainwell,RB,RB,85,114,PIT,TB
TB,incoming,David Sills,WR,WR,36,0,ATL,TB
TEN,vacated,Chig Okonkwo,TE,TE,79,0,TEN,WAS
TEN,vacated,Van Jefferson,WR,WR,52,0,TEN,WAS
TEN,vacated,Jordan Mims,RB,RB,0,0,TEN,SF
TEN,incoming,Wan'Dale Robinson,WR,WR,140,3,NYG,TEN
TEN,incoming,Michael Carter,RB,RB,45,92,ARI,TEN
TEN,incoming,Daniel Bellinger,TE,TE,26,0,NYG,TEN
TEN,incoming,Kylen Granson,TE,TE,9,0,PHI,TEN
WAS,vacated,Chris Rodriguez Jr.,RB,RB,4,112,WAS,JAX
WAS,incoming,Rachaad White,RB,RB,45,132,TB,WAS
WAS,incoming,Chig Okonkwo,TE,TE,79,0,TEN,WAS
WAS,incoming,Jerome Ford,RB,RB,32,24,CLE,WAS
WAS,incoming,Van Jefferson,WR,WR,52,0,TEN,WAS
WAS,incoming,Dyami Brown,WR,WR,37,6,JAX,WAS
WAS,incoming,Anthony Firkser,TE,TE,10,0,DET,WAS
