,2025 WAR by FP/G and Total FP,,,,,,,,,,,,,,2025 Surplus WAR (War Over Expected),,,,,,,,,FP/G,Total FP,,,FP/G,Total FP,,Expected War By Round,
,Player,Position,FP/G,Total FP,GP,Rep. FP/G,Rep. FP,SD FP/G > Repl.,SD FP > Repl.,Weekly FP/G WPA,Weekly FP WPA,Total FP/G WPA (WAR),Total FP WPA (WAR),,Player,ADP,Actual War,ADP Round,ADP Slope,Expected WAR,Surplus WAR,,SD_Team,22,484,,QB,18,282.9,,Slope,Intercept
,Kyle Williams,WR,2.9,49.2,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Kaleb Johnson,81.2,0.00,7,4.40,0.38,-0.38,,,,,,,,,,,
,Jaylin Lane,WR,3.3,49.2,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Brock Bowers,20,0.48,2,3.00,0.87,-0.39,,,,,,,,,,,
,David Sills V,WR,2.9,49.1,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Jerry Jeudy,74.5,0.00,7,4.31,0.41,-0.41,,,,,,,,,,,
,Xavier Smith,WR,3.0,48.3,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Patrick Mahomes II,49.7,0.14,5,3.91,0.55,-0.42,,,,,,,,,,,
,Jaylen Wright,RB,4.4,48.2,11,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Saquon Barkley,3.7,1.02,1,1.31,1.45,-0.43,,,,,,,,,,,
,Mitchell Evans,TE,2.8,48.2,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Travis Hunter,69.8,0,6,4.25,0.43,-0.43,,,,,,,,,,,
,Tanner Hudson,TE,3.7,47.8,13,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Jalen Hurts,35.2,0.22,3,3.56,0.67,-0.45,,,,,,,,,,,
,Jeremy Ruckert,TE,2.8,46.9,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Aaron Jones Sr.,65.3,0.00,6,4.18,0.46,-0.46,,,,,,,,,,,
,Jalen Tolbert,WR,3.6,46.3,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Calvin Ridley,63.7,0,6,4.15,0.47,-0.47,,,,,,,,,,,
,Adam Trautman,TE,2.7,45.5,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,T.J. Hockenson,63.5,0.00,6,4.15,0.47,-0.47,,,,,,,,,,,
,Tyrell Shavers,WR,2.7,45.5,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Baker Mayfield,62.5,0.00,6,4.14,0.47,-0.47,,,,,,,,,,,
,Jerome Ford,RB,3.4,43.6,13,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Isiah Pacheco,60.8,0.00,6,4.11,0.48,-0.48,,,,,,,,,,,
,Jack Bech,WR,2.7,42.4,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Xavier Worthy,54.8,0.00,5,4.00,0.52,-0.52,,,,,,,,,,,
,Taysom Hill,TE,3.2,41.8,13,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Sam LaPorta,53.2,0.00,5,3.97,0.53,-0.53,,,,,,,,,,,
,Malik Davis,RB,4.1,40.6,10,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,James Conner,47.3,0,4,3.86,0.57,-0.57,,,,,,,,,,,
,Adam Thielen,WR,2.5,39.6,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Chuba Hubbard,46.2,0.00,4,3.83,0.58,-0.58,,,,,,,,,,,
,Zavier Scott,RB,3.6,39.2,11,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Omarion Hampton,35.8,0.07,3,3.58,0.67,-0.60,,,,,,,,,,,
,Noah Gray,TE,2.4,38.8,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Marvin Harrison Jr.,41.8,0.00,4,3.73,0.61,-0.61,,,,,,,,,,,
,Roman Wilson,WR,2.8,38.6,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Justin Jefferson,5,0.73,1,1.61,1.35,-0.62,,,,,,,,,,,
,Chris Moore,WR,2.8,38.6,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Garrett Wilson,40.3,0,4,3.70,0.62,-0.62,,,,,,,,,,,
,Tyler Johnson,WR,3.1,37.7,12,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,CeeDee Lamb,5,0.72,1,1.61,1.35,-0.63,,,,,,,,,,,
,Devontez Walker,WR,3.4,37.6,11,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Mike Evans,40,0.00,4,3.69,0.63,-0.63,,,,,,,,,,,
,Hunter Luepke,RB,2.2,37.0,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Terry McLaurin,39.3,0.00,4,3.67,0.63,-0.63,,,,,,,,,,,
,Elijah Arroyo,TE,2.8,36.9,13,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Alvin Kamara,37,0.00,4,3.61,0.65,-0.65,,,,,,,,,,,
,Brock Wright,TE,3.3,36.8,11,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Joe Burrow,33.3,0.00,3,3.51,0.69,-0.69,,,,,,,,,,,
,Jordan Whittington,WR,2.1,36.3,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Tyreek Hill,32.5,0,3,3.48,0.70,-0.70,,,,,,,,,,,
,Charlie Kolar,TE,2.1,36.2,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Jayden Daniels,30.7,0,3,3.42,0.72,-0.72,,,,,,,,,,,
,Ameer Abdullah,RB,2.8,35.9,13,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Bucky Irving,21.8,0.10,2,3.08,0.84,-0.74,,,,,,,,,,,
,Tyler Badie,RB,2.2,35.4,16,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Lamar Jackson,21.5,0.00,2,3.07,0.84,-0.84,,,,,,,,,,,
,Lil'Jordan Humphrey,WR,3.5,34.6,10,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Brian Thomas Jr.,15.5,0.11,2,2.74,0.96,-0.85,,,,,,,,,,,
,Gunner Olszewski,WR,2.1,33.8,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Malik Nabers,9.2,0,1,2.22,1.14,-1.14,,,,,,,,,,,
,Kevin Austin Jr.,WR,4.1,33.0,8,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Chris Brooks,RB,1.9,32.7,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Hunter Long,TE,3.6,32.5,9,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Marquez Valdes-Scantling,WR,3.2,32.0,10,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Drew Sample,TE,1.9,31.9,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Mitch Tinsley,WR,2.4,31.6,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Malachi Corley,WR,2.4,31.6,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Jaleel McLaughlin,RB,3.9,31.4,8,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Tutu Atwell,WR,3.1,31.2,10,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Julian Hill,TE,2.2,31.0,14,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Mo Alie-Cox,TE,1.8,30.7,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Zay Jones,WR,3.8,30.3,8,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Brycen Tremayne,WR,1.9,30.0,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Luke Farrell,TE,1.7,29.5,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Raheem Mostert,RB,2.5,29.4,12,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Treylon Burks,WR,3.6,29.0,8,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Jimmy Horn Jr.,WR,2.2,28.7,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Elijah Moore,WR,3.2,28.6,9,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Ben Sinnott,TE,1.8,28.4,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Connor Heyward,TE,1.7,27.4,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,John Bates,TE,1.8,27.3,15,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Luke Schoonmaker,TE,1.6,27.2,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Savion Williams,WR,2.1,25.5,12,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,John FitzPatrick,TE,1.7,25.2,15,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Konata Mumpfield,WR,1.5,25.2,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,LeQuint Allen Jr.,RB,1.5,24.8,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Ian Thomas,TE,1.6,24.4,15,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Rasheen Ali,RB,1.6,24.2,15,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Bo Melton,WR,1.5,24.2,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Dare Ogunbowale,RB,1.4,24.1,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Brevyn Spann-Ford,TE,1.4,24.0,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Dont'e Thornton Jr.,WR,1.6,23.5,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Andrew Beck,TE,1.4,23.0,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Allen Lazard,WR,2.3,23.0,10,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Grant Calcaterra,TE,1.5,22.6,15,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,George Holani,RB,2.1,20.8,10,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Will Dissly,TE,2.3,20.7,9,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Jamari Thrash,WR,2.3,20.7,9,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Mason Tipton,WR,1.6,20.4,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Johnny Mundt,TE,1.3,20.1,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Ashton Dulin,WR,1.7,20.0,12,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Cade Stover,TE,2.2,19.9,9,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Nick Westbrook-Ikhine,WR,1.3,19.9,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Dante Pettis,WR,2.5,19.7,8,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Darius Cooper,WR,1.4,18.2,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Tanner Conner,TE,2.0,18.1,9,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Cody White,WR,2.0,18.0,9,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Kameron Johnson,WR,1.0,17.7,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Will Shipley,RB,1.2,17.5,15,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Quintin Morris,TE,1.3,17.5,13,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Tyler Conklin,TE,1.7,17.3,10,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Ben Skowronek,WR,1.1,16.9,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Nate Adkins,TE,1.9,16.8,9,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Jack Stoll,TE,1.1,16.6,15,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Efton Chism III,WR,2.1,16.5,8,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,KeAndre Lambert-Smith,WR,1.6,16.1,10,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Adam Prentice,RB,0.9,15.7,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,C.J. Ham,RB,1.4,15.6,11,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Scotty Miller,WR,1.2,15.2,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Skyy Moore,WR,0.9,14.8,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Josh Whyle,TE,1.8,14.6,8,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Malik Heath,WR,1.3,14.6,11,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Tylan Wallace,WR,1.0,14.5,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Alec Ingold,RB,0.8,14.1,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Xavier Weaver,WR,1.5,13.7,9,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Arian Smith,WR,0.8,13.5,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,David Martin-Robinson,TE,0.9,13.0,15,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Foster Moreau,TE,1.2,12.9,11,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Charlie Woerner,TE,0.8,12.8,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Drew Ogletree,TE,0.8,12.7,15,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,James Proche II,WR,1.4,12.5,9,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Gage Larvadain,WR,1.0,12.4,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Stone Smartt,TE,1.4,12.2,9,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Trevor Etienne,RB,0.7,11.7,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Ryan Miller,WR,0.9,11.4,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Dylan Drummond,WR,1.2,11.2,9,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Josiah Deguara,TE,0.9,11.1,12,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Kylen Granson,TE,0.6,11.0,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Kene Nwangwu,RB,1.1,10.9,10,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Hassan Haskins,RB,0.8,10.0,13,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,DJ Giddens,RB,1.1,9.6,9,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Cedrick Wilson Jr.,WR,0.9,9.4,10,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Eric Saubert,TE,0.8,9.1,11,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Kaleb Johnson,RB,0.9,8.8,10,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Brenden Bates,TE,1.0,8.8,9,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Jalin Hyatt,WR,1.1,8.5,8,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Dee Eskridge,WR,0.6,8.2,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,British Brooks,RB,0.6,7.8,13,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Devin Culp,TE,0.7,7.6,11,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Mason Kinsey,WR,0.7,6.8,10,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Dareke Young,WR,0.8,6.8,9,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Durham Smythe,TE,0.4,6.5,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Tahj Brooks,RB,0.5,6.4,12,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,KhaDarel Hodge,WR,0.5,6.1,12,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Ben Sims,TE,0.7,6.0,9,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Charlie Jones,WR,0.4,6.0,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Tai Felton,WR,0.4,5.5,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Tyler Goodson,RB,0.5,5.2,11,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Trent Sherfield Sr.,WR,0.4,5.1,12,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Reggie Gilliam,RB,0.3,4.8,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Devin Duvernay,WR,0.3,4.6,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Beaux Collins,WR,0.5,4.5,9,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Nikko Remigio,WR,0.3,4.2,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Julius Chestnut,RB,0.2,4.0,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Jake Bobo,WR,0.4,4.0,11,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Tucker Fisk,TE,0.4,3.9,10,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Colson Yankoff,TE,0.3,3.8,14,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Dylan Laube,RB,0.2,3.7,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Zaire Mitchell-Paden,TE,0.5,3.7,8,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Ben Yurosek,TE,0.3,3.4,12,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Alex Bachman,WR,0.2,3.2,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Ross Dwelley,TE,0.3,2.7,10,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Harrison Bryant,TE,0.2,2.7,12,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Anthony Gould,WR,0.2,2.6,11,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Blake Whiteheart,TE,0.2,2.4,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Patrick Ricard,RB,0.2,2.1,12,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Payne Durham,TE,0.1,2.1,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Chris Manhertz,TE,0.1,1.7,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Derius Davis,WR,0.1,1.5,11,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Carter Runyon,TE,0.1,1.3,11,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Jacob Saylors,RB,0.1,1.1,11,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Robert Tonyan,TE,0.1,1.1,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Jack Westover,TE,0.1,1.0,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Ke'Shawn Williams,WR,0.0,0.5,11,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Feleipe Franks,QB,0.0,0.4,12,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Sione Vaki,RB,0.1,0.4,8,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Isaac Guerendo,RB,0.0,0.0,8,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Teagan Quitoriano,TE,0.0,0.0,15,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Robbie Ouzts,TE,0.0,0.0,12,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Cameron Latu,TE,0.0,0.0,15,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Brady Russell,TE,0.0,0.0,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Nick Kallerup,TE,0.0,0.0,9,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Laquon Treadwell,WR,0.0,0.0,9,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Dominic Lovett,WR,0.0,0.0,8,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Travis Homer,RB,0.0,-0.2,8,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Jamal Agnew,WR,-0.2,-2.0,11,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,LaJohntay Wester,WR,-0.1,-2.0,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
,Myles Price,WR,-0.4,-6.0,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
