,2025 WAR by FP/G and Total FP,,,,,,,,,,,,,,2025 Surplus WAR (War Over Expected),,,,,,,,,FP/G,Total FP,,,FP/G,Total FP,,Expected War By Round,
,Player,Position,FP/G,Total FP,GP,Rep. FP/G,Rep. FP,SD FP/G > Repl.,SD FP > Repl.,Weekly FP/G WPA,Weekly FP WPA,Total FP/G WPA (WAR),Total FP WPA (WAR),,Player,ADP,Actual War,ADP Round,ADP Slope,Expected WAR,Surplus WAR,,SD_Team,22,484,,QB,18,282.9,,Slope,Intercept
,Stefon Diggs,WR,12.4,210.3,17,8.90,127.90,3.50,82.40,0.04,0.05,0.76,0.81,,Derrick Henry,10.2,1.48,1,2.32,1.10,0.38,,,,,,,,,,,
,Breece Hall,RB,13.0,207.7,16,9.10,128.90,3.90,78.80,0.05,0.05,0.85,0.78,,Dallas Goedert,142.3,0.57,12,4.96,0.19,0.38,,,,,,,,,,,
,RJ Harvey,RB,12.2,206.6,17,9.10,128.90,3.10,77.70,0.04,0.05,0.67,0.77,,Courtland Sutton,52.8,0.91,5,3.97,0.53,0.38,,,,,,,,,,,
,TreVeyon Henderson,RB,12.1,206.2,17,9.10,128.90,3.00,77.30,0.04,0.04,0.65,0.76,,Hunter Henry,164.7,0.50,14,5.10,0.14,0.37,,,,,,,,,,,
,Drake Maye,QB,21.2,360.0,17,18.00,282.90,3.20,77.10,0.04,0.04,0.70,0.76,,Keenan Allen,146.8,0.54,13,4.99,0.18,0.37,,,,,,,,,,,
,Matthew Stafford,QB,21.1,358.4,17,18.00,282.90,3.10,75.50,0.04,0.04,0.67,0.75,,Tetairoa McMillan,58.7,0.83,5,4.07,0.49,0.33,,,,,,,,,,,
,Michael Pittman Jr.,WR,11.9,202.4,17,8.90,127.90,3.00,74.50,0.04,0.04,0.65,0.74,,Davante Adams,40.3,0.94,4,3.70,0.62,0.31,,,,,,,,,,,
,Drake London,WR,16.8,201.9,12,8.90,127.90,7.90,74.00,0.10,0.04,1.70,0.73,,Emeka Egbuka,86.2,0.67,8,4.46,0.36,0.31,,,,,,,,,,,
,DeVonta Smith,WR,11.9,201.8,17,8.90,127.90,3.00,73.90,0.04,0.04,0.65,0.73,,Romeo Doubs,203.7,0.37,17,5.32,0.06,0.31,,,,,,,,,,,
,Justin Jefferson,WR,11.9,201.5,17,8.90,127.90,3.00,73.60,0.04,0.04,0.65,0.73,,RJ Harvey,60.8,0.77,6,4.11,0.48,0.29,,,,,,,,,,,
,CeeDee Lamb,WR,14.4,200.9,14,8.90,127.90,5.50,73.00,0.07,0.04,1.19,0.72,,Tyler Warren,88.7,0.60,8,4.49,0.35,0.25,,,,,,,,,,,
,Emeka Egbuka,WR,11.5,195.7,17,8.90,127.90,2.60,67.80,0.03,0.04,0.57,0.67,,Zach Charbonnet,110,0.52,10,4.70,0.28,0.24,,,,,,,,,,,
,Trevor Lawrence,QB,20.6,350.2,17,18.00,282.90,2.60,67.30,0.03,0.04,0.57,0.67,,Jaylen Waddle,72.2,0.65,7,4.28,0.42,0.23,,,,,,,,,,,
,Jaylen Waddle,WR,12.1,194.1,16,8.90,127.90,3.20,66.20,0.04,0.04,0.70,0.65,,DeVonta Smith,57.7,0.73,5,4.06,0.50,0.23,,,,,,,,,,,
,Travis Kelce,TE,11.4,193.2,17,9.80,127.80,1.60,65.40,0.02,0.04,0.35,0.65,,Rhamondre Stevenson,114.2,0.49,10,4.74,0.26,0.23,,,,,,,,,,,
,Kenneth Walker III,RB,11.3,191.9,17,9.10,128.90,2.20,63.00,0.03,0.04,0.48,0.62,,Deebo Samuel Sr.,84,0.60,7,4.43,0.37,0.23,,,,,,,,,,,
,Tyler Warren,TE,11.1,188.5,17,9.80,127.80,1.30,60.70,0.02,0.04,0.28,0.60,,Kyle Monangai,248.8,0.18,21,5.52,-0.01,0.18,,,,,,,,,,,
,Deebo Samuel Sr.,WR,11.8,188.2,16,8.90,127.90,2.90,60.30,0.04,0.04,0.63,0.60,,Woody Marks,218,0.22,19,5.38,0.04,0.18,,,,,,,,,,,
,Jake Ferguson,TE,11.1,188.1,17,9.80,127.80,1.30,60.30,0.02,0.04,0.28,0.60,,Caleb Williams,122.2,0.42,11,4.81,0.24,0.18,,,,,,,,,,,
,DK Metcalf,WR,12.5,187.2,15,8.90,127.90,3.60,59.30,0.05,0.03,0.78,0.59,,TreVeyon Henderson,44.7,0.76,4,3.80,0.59,0.18,,,,,,,,,,,
,Harold Fannin Jr.,TE,11.7,186.4,16,9.80,127.80,1.90,58.60,0.02,0.03,0.41,0.58,,Travis Kelce,62.5,0.65,6,4.14,0.47,0.17,,,,,,,,,,,
,Dallas Goedert,TE,12.3,185.1,15,9.80,127.80,2.50,57.30,0.03,0.03,0.54,0.57,,Jauan Jennings,109.7,0.45,10,4.70,0.28,0.17,,,,,,,,,,,
,Tony Pollard,RB,10.9,185.8,17,9.10,128.90,1.80,56.90,0.02,0.03,0.39,0.56,,Quinshon Judkins,121.3,0.41,11,4.80,0.24,0.16,,,,,,,,,,,
,Parker Washington,WR,11.5,184.7,16,8.90,127.90,2.60,56.80,0.03,0.03,0.57,0.56,,Breece Hall,38.8,0.78,4,3.66,0.64,0.14,,,,,,,,,,,
,Alec Pierce,WR,12.2,183.3,15,8.90,127.90,3.30,55.40,0.04,0.03,0.72,0.55,,Jakobi Meyers,90.8,0.47,8,4.51,0.34,0.13,,,,,,,,,,,
,Keenan Allen,WR,10.7,182.7,17,8.90,127.90,1.80,54.80,0.02,0.03,0.39,0.54,,Josh Jacobs,16,1.07,2,2.77,0.94,0.12,,,,,,,,,,,
,Ladd McConkey,WR,11.3,180.9,16,8.90,127.90,2.40,53.00,0.03,0.03,0.52,0.52,,Tee Higgins,31.3,0.83,3,3.44,0.71,0.12,,,,,,,,,,,
,Zach Charbonnet,RB,11.3,181.4,16,9.10,128.90,2.20,52.50,0.03,0.03,0.48,0.52,,Colston Loveland,115.7,0.37,10,4.75,0.26,0.11,,,,,,,,,,,
,Juwan Johnson,TE,10.6,179.9,17,9.80,127.80,0.80,52.10,0.01,0.03,0.17,0.52,,Tony Pollard,65.2,0.56,6,4.18,0.46,0.11,,,,,,,,,,,
,Hunter Henry,TE,10.5,178.8,17,9.80,127.80,0.70,51.00,0.01,0.03,0.15,0.50,,Kareem Hunt,206.3,0.16,18,5.33,0.06,0.10,,,,,,,,,,,
,Rhamondre Stevenson,RB,12.8,178.8,14,9.10,128.90,3.70,49.90,0.05,0.03,0.80,0.49,,Rashid Shaheed,145.5,0.28,13,4.98,0.18,0.10,,,,,,,,,,,
,Dalton Schultz,TE,10.5,177.7,17,9.80,127.80,0.70,49.90,0.01,0.03,0.15,0.49,,Taysom Hill,330,0.00,28,5.80,-0.10,0.10,,,,,,,,,,,
,Troy Franklin,WR,10.4,177.1,17,8.90,127.90,1.50,49.20,0.02,0.03,0.33,0.49,,Kayshon Boutte,327.8,0.00,28,5.79,-0.10,0.10,,,,,,,,,,,
,Brock Bowers,TE,14.7,176.2,12,9.80,127.80,4.90,48.40,0.06,0.03,1.06,0.48,,Dak Prescott,100.5,0.41,9,4.61,0.31,0.10,,,,,,,,,,,
,Jakobi Meyers,WR,11.0,175.8,16,8.90,127.90,2.10,47.90,0.03,0.03,0.46,0.47,,Khalil Shakir,105.7,0.38,9,4.66,0.29,0.09,,,,,,,,,,,
,Jauan Jennings,WR,11.6,173.3,15,8.90,127.90,2.70,45.40,0.03,0.03,0.59,0.45,,Dontayvion Wicks,316,0.00,27,5.76,-0.09,0.09,,,,,,,,,,,
,Quentin Johnston,WR,12.2,171.2,14,8.90,127.90,3.30,43.30,0.04,0.03,0.72,0.43,,Tennessee Titans,311,0,26,5.74,-0.08,0.08,,,,,,,,,,,
,Caleb Williams,QB,19.1,325.2,17,18.00,282.90,1.10,42.30,0.01,0.02,0.24,0.42,,Jaylin Noel,309,0.00,26,5.73,-0.08,0.08,,,,,,,,,,,
,DJ Moore,WR,10.0,170.2,17,8.90,127.90,1.10,42.30,0.01,0.02,0.24,0.42,,Roman Wilson,308.3,0.00,26,5.73,-0.08,0.08,,,,,,,,,,,
,Dak Prescott,QB,19.0,323.8,17,18.00,282.90,1.00,40.90,0.01,0.02,0.22,0.41,,Jarquez Hunter,307,0,26,5.73,-0.08,0.08,,,,,,,,,,,
,Quinshon Judkins,RB,12.1,169.8,14,9.10,128.90,3.00,40.90,0.04,0.02,0.65,0.41,,Tyler Conklin,306,0,26,5.72,-0.08,0.08,,,,,,,,,,,
,Khalil Shakir,WR,10.4,166.4,16,8.90,127.90,1.50,38.50,0.02,0.02,0.33,0.38,,Jalen Milroe,305.5,0,26,5.72,-0.08,0.08,,,,,,,,,,,
,David Montgomery,RB,9.8,166.9,17,9.10,128.90,0.70,38.00,0.01,0.02,0.15,0.38,,Tory Horton,301.4,0.00,26,5.71,-0.07,0.07,,,,,,,,,,,
,Romeo Doubs,WR,10.3,165.4,16,8.90,127.90,1.40,37.50,0.02,0.02,0.31,0.37,,Terrance Ferguson,301.3,0.00,26,5.71,-0.07,0.07,,,,,,,,,,,
,Colston Loveland,TE,10.3,165.1,16,9.80,127.80,0.50,37.30,0.01,0.02,0.11,0.37,,Ashton Jeanty,10.7,1.15,1,2.37,1.08,0.06,,,,,,,,,,,
,Tre Tucker,WR,9.5,161.7,17,8.90,127.90,0.60,33.80,0.01,0.02,0.13,0.33,,Dyami Brown,292.8,0.00,25,5.68,-0.06,0.06,,,,,,,,,,,
,George Kittle,TE,14.7,161.5,11,9.80,127.80,4.90,33.70,0.06,0.02,1.06,0.33,,Zack Moss,287,0,24,5.66,-0.05,0.05,,,,,,,,,,,
,Bo Nix,QB,18.6,315.8,17,18.00,282.90,0.60,32.90,0.01,0.02,0.13,0.33,,Pat Bryant,286.3,0.00,24,5.66,-0.05,0.05,,,,,,,,,,,
,Tyrone Tracy Jr.,RB,10.7,160.8,15,9.10,128.90,1.60,31.90,0.02,0.02,0.35,0.32,,Ja'Tavion Sanders,286,0.00,24,5.66,-0.05,0.05,,,,,,,,,,,
,Rashid Shaheed,WR,8.7,156.6,18,8.90,127.90,0.00,28.70,0.00,0.02,0.00,0.28,,Justin Tucker,284.3,0,24,5.65,-0.05,0.05,,,,,,,,,,,
