name,position,posRank,ovrRank,adp,team,rankVsAdp,rankVsAdpPct,tier
Rome Odunze,WR,WR26,58,57.646067415730336,CHI,-0.3539325842696641,-0.6139752460773824,
Brian Thomas Jr.,WR,WR27,59,67.53846153846153,JAC,8.538461538461533,12.642369020501132,
Tucker Kraft,TE,TE5,60,71.95,GB,11.950000000000003,16.60875608061154,
TreVeyon Henderson,RB,RB12,61,56.128787878787875,NE,-4.871212121212125,-8.678634093669867,
Saquon Barkley,RB,RB13,62,52.36486486486486,PHI,-9.635135135135137,-18.400000000000006,
Jameson Williams,WR,WR28,63,79.71428571428571,DET,16.714285714285708,20.967741935483865,
A.J. Brown,WR,WR29,64,51.7,NE,-12.299999999999997,-23.79110251450676,
Chase Brown,RB,RB14,65,55.763888888888886,CIN,-9.236111111111114,-16.5628891656289,
C.J. Stroud,QB,QB18,66,58.940298507462686,HOU,-7.0597014925373145,-11.977715877437328,
Bucky Irving,RB,RB15,67,73.62264150943396,TB,6.6226415094339615,8.995386981035365,
Tyler Shough,QB,QB19,68,64.14285714285714,NO,-3.857142857142861,-6.013363028953236,
Travis Etienne Jr.,RB,RB16,69,83.02083333333333,NO,14.020833333333329,16.88833124215809,
Christian McCaffrey,RB,RB17,70,41.81818181818182,SF,-28.18181818181818,-67.39130434782608,
Bhayshul Tuten,RB,RB18,71,90.36842105263158,JAC,19.368421052631575,21.43273150844496,
Cam Skattebo,RB,RB19,72,72.05714285714286,NYG,0.057142857142864045,0.07930214115782083,
Harold Fannin Jr.,TE,TE6,73,65.85714285714286,CLE,-7.142857142857139,-10.845986984815612,
Marvin Harrison Jr.,WR,WR30,74,61.464285714285715,ARI,-12.535714285714285,-20.39511911679256,
Baker Mayfield,QB,QB20,75,66.07894736842105,TB,-8.921052631578945,-13.50059737156511,
Cam Ward,QB,QB21,76,50.22222222222222,TEN,-25.77777777777778,-51.32743362831859,
Christian Watson,WR,WR31,77,94.32352941176471,GB,17.32352941176471,18.36607421265981,
Kyren Williams,RB,RB20,78,62.51724137931034,LAR,-15.482758620689658,-24.765581908439056,
Malik Willis,QB,QB22,79,95.85185185185185,MIA,16.851851851851848,17.58114374034003,
Sam Darnold,QB,QB23,80,80.24096385542168,SEA,0.24096385542168264,0.3003003003002952,
Sam LaPorta,TE,TE7,81,75.0701754385965,DET,-5.929824561403507,-7.899041832203784,
Kenyon Sadiq,TE,TE8,82,82.98484848484848,NYJ,0.9848484848484844,1.186781084535329,
Jadarian Price,RB,RB21,83,63.903225806451616,SEA,-19.096774193548384,-29.8838970217062,
Kyler Murray,QB,QB24,84,74.83333333333333,MIN,-9.166666666666671,-12.249443207126957,
Parker Washington,WR,WR32,85,114.3,JAC,29.299999999999997,25.634295713035872,
Javonte Williams,RB,RB22,86,77.80434782608695,DAL,-8.195652173913047,-10.533668622520262,
Alec Pierce,WR,WR33,87,96.03669724770643,IND,9.036697247706428,9.40962934658006,
Josh Jacobs,RB,RB23,88,87.32307692307693,GB,-0.6769230769230745,-0.7751937984496096,
Omar Cooper Jr.,WR,WR34,89,92.36363636363636,NYJ,3.3636363636363598,3.6417322834645627,
Jayden Reed,WR,WR35,90,126.75862068965517,GB,36.758620689655174,28.998911860718174,
Jordan Addison,WR,WR36,91,102.86666666666666,MIN,11.86666666666666,11.535968891769274,
Kyle Pitts Sr.,TE,TE9,92,78.15254237288136,ATL,-13.847457627118644,-17.718499240945565,
D'Andre Swift,RB,RB24,93,101.1875,CHI,8.1875,8.091414453366276,
Ty Simpson,QB,QB25,94,89.53333333333333,LAR,-4.466666666666669,-4.988830975428148,
Matthew Stafford,QB,QB26,95,84.83928571428571,LAR,-10.160714285714292,-11.976426015575676,
Oronde Gadsden II,TE,TE10,96,106.82352941176471,LAC,10.82352941176471,10.132158590308373,
Travis Hunter,WR,WR37,97,111.6875,JAC,14.6875,13.15053161723559,
Daniel Jones,QB,QB27,98,88.89189189189189,IND,-9.108108108108112,-10.246275463666773,
Josh Downs,WR,WR38,99,112.22727272727273,IND,13.227272727272734,11.786148238153103,
Terry McLaurin,WR,WR39,100,93.71794871794872,WAS,-6.282051282051285,-6.703146374829004,
DJ Moore,WR,WR40,101,98.49350649350649,BUF,-2.5064935064935128,-2.5448312236286985,
Ricky Pearsall,WR,WR41,102,118.95454545454545,SF,16.954545454545453,14.252961406190293,
Michael Wilson,WR,WR42,103,103.57142857142857,ARI,0.5714285714285694,0.5517241379310325,
Denzel Boston,WR,WR43,104,97.73426573426573,CLE,-6.265734265734267,-6.410990269032628,
Blake Corum,RB,RB25,105,129.57142857142858,LAR,24.571428571428584,18.963616317530327,
David Montgomery,RB,RB26,106,100.4,HOU,-5.599999999999994,-5.577689243027883,
Derrick Henry,RB,RB27,107,85.08910891089108,BAL,-21.910891089108915,-25.750523621131027,
Bryce Young,QB,QB28,108,86.59354838709677,CAR,-21.406451612903226,-24.720607957085384,
Xavier Worthy,WR,WR44,109,121.1470588235294,KC,12.147058823529406,10.026705511046366,
Jalen Coker,WR,WR45,110,168.24137931034483,CAR,58.241379310344826,34.617749538839924,
DK Metcalf,WR,WR46,111,99.90697674418605,PIT,-11.093023255813947,-11.103351955307254,
Jaylen Warren,RB,RB28,112,131.66666666666666,PIT,19.666666666666657,14.936708860759488,
Zach Charbonnet,RB,RB29,113,136.56363636363636,SEA,23.563636363636363,17.25469311676208,
Rhamondre Stevenson,RB,RB30,114,145.44444444444446,NE,31.444444444444457,21.619556913674568,
Kyle Monangai,RB,RB31,115,135.26190476190476,CHI,20.26190476190476,14.979757085020239,
Courtland Sutton,WR,WR47,116,137.51063829787233,DEN,21.510638297872333,15.642890298622927,
Wan'Dale Robinson,WR,WR48,117,115.63636363636364,TEN,-1.3636363636363598,-1.1792452830188644,
Jonah Coleman,RB,RB32,118,107.1304347826087,DEN,-10.869565217391298,-10.14610389610389,
Antonio Williams,WR,WR49,119,125.24137931034483,WAS,6.241379310344826,4.983480176211453,
Quentin Johnston,WR,WR50,120,110.3125,LAC,-9.6875,-8.78186968838527,
Matthew Golden,WR,WR51,121,108.43478260869566,GB,-12.565217391304344,-11.587810745789891,
RJ Harvey,RB,RB33,122,105.68888888888888,DEN,-16.311111111111117,-15.433137089991597,
Dalton Kincaid,TE,TE11,123,124.125,BUF,1.125,0.906344410876133,
Davante Adams,WR,WR52,124,120.72222222222223,LAR,-3.2777777777777715,-2.715140358950754,
Jalen McMillan,WR,WR53,125,153.40625,TB,28.40625,18.517009574251375,
Mike Evans,WR,WR54,126,109.83870967741936,SF,-16.16129032258064,-14.713656387665194,
Chris Bell,WR,WR55,127,122.64444444444445,MIA,-4.355555555555554,-3.551368001449537,
Eli Stowers,TE,TE12,128,91.6,PHI,-36.400000000000006,-39.73799126637555,
Michael Penix Jr.,QB,QB29,129,132.66666666666666,ATL,3.666666666666657,2.76381909547738,
Chuba Hubbard,RB,RB34,130,104.08823529411765,CAR,-25.911764705882348,-24.894037863803327,
Germie Bernard,WR,WR56,131,133.16666666666666,PIT,2.166666666666657,1.6270337922402935,
Romeo Doubs,WR,WR57,132,130.8181818181818,NE,-1.181818181818187,-0.9034051424600457,
Jayden Higgins,WR,WR58,133,127.30434782608695,HOU,-5.695652173913047,-4.474043715846997,
Jordan Mason,RB,RB35,134,166.6315789473684,MIN,32.63157894736841,19.583070120025265,
Nicholas Singleton,RB,RB36,135,123.94117647058823,TEN,-11.058823529411768,-8.922638822971052,
Jakobi Meyers,WR,WR59,136,152.07142857142858,JAC,16.071428571428584,10.568341944574925,
Michael Pittman Jr.,WR,WR60,137,119.07142857142857,PIT,-17.92857142857143,-15.056988602279548,
Isaiah Likely,TE,TE13,138,116.18181818181819,NYG,-21.818181818181813,-18.77934272300469,
Khalil Shakir,WR,WR61,139,164.8,BUF,25.80000000000001,15.65533980582525,
Elijah Sarratt,WR,WR62,140,156.16666666666666,BAL,16.166666666666657,10.3521878335112,
De'Zhaun Stribling,WR,WR63,141,154.95,SF,13.949999999999989,9.0029041626331,
Gunnar Helm,TE,TE14,142,170.42105263157896,TEN,28.42105263157896,16.676961087090802,
Jonathon Brooks,RB,RB37,143,128.4,CAR,-14.599999999999994,-11.370716510903423,
Chig Okonkwo,TE,TE15,144,149.33333333333334,WAS,5.333333333333343,3.5714285714285774,
Zachariah Branch,WR,WR64,145,148.6086956521739,ATL,3.608695652173907,2.428320655354004,
Brenton Strange,TE,TE16,146,147.22222222222223,JAC,1.2222222222222285,0.8301886792452872,
Pat Bryant,WR,WR65,147,234.46875,DEN,87.46875,37.30507796881247,
Malachi Fields,WR,WR66,148,163.14285714285714,NYG,15.142857142857139,9.281961471103326,
Isaac TeSlaa,WR,WR67,149,191.8,DET,42.80000000000001,22.31491136600626,
Dylan Sampson,RB,RB38,150,178,CLE,28,15.730337078651685,
Jacoby Brissett,QB,QB30,151,161.7058823529412,ARI,10.705882352941188,6.620589305201899,
Tony Pollard,RB,RB39,152,155.2,TEN,3.1999999999999886,2.0618556701030855,
J.K. Dobbins,RB,RB40,153,151.8,DEN,-1.1999999999999886,-0.7905138339920873,
Rico Dowdle,RB,RB41,154,134.3125,PIT,-19.6875,-14.65798045602606,
George Kittle,TE,TE17,155,117.46153846153847,SF,-37.53846153846153,-31.958087753765547,
Jaylin Noel,WR,WR68,156,220.8235294117647,HOU,64.8235294117647,29.355354288758654,
Jake Ferguson,TE,TE18,157,113.85,DAL,-43.150000000000006,-37.900746596398776,
Oscar Delp,TE,TE19,158,208.8235294117647,NO,50.823529411764696,24.33802816901408,
Eli Raridon,TE,TE20,159,211.75,NE,52.75,24.911452184179456,
Adonai Mitchell,WR,WR69,160,225.76666666666668,NYJ,65.76666666666668,29.130370589103798,
Rashid Shaheed,WR,WR70,161,182.2,SEA,21.19999999999999,11.635565312843024,
Max Klare,TE,TE21,162,175,LAR,13,7.428571428571429,
Tre' Harris,WR,WR71,163,181.8,LAC,18.80000000000001,10.341034103410347,
Tank Bigsby,RB,RB42,164,207.28205128205127,PHI,43.28205128205127,20.88075210291934,
Woody Marks,RB,RB43,165,184.33333333333334,HOU,19.333333333333343,10.48824593128391,
Tre Tucker,WR,WR72,166,221.6,LV,55.599999999999994,25.09025270758122,
Ja'Kobi Lane,WR,WR73,167,179.36,BAL,12.360000000000014,6.891168599464772,
Drew Allar,QB,QB31,168,203.75,PIT,35.75,17.54601226993865,
Brandon Aiyuk,WR,WR74,169,175,SF,6,3.428571428571429,
Carson Beck,QB,QB32,170,143.55,ARI,-26.44999999999999,-18.425635667014966,
Kenneth Gainwell,RB,RB44,171,144.69230769230768,TB,-26.30769230769232,-18.181818181818194,
Geno Smith,QB,QB33,172,167.5,NYJ,-4.5,-2.6865671641791042,
Rachaad White,RB,RB45,173,158.83333333333334,WAS,-14.166666666666657,-8.919202518363058,
Jacory Croskey-Merritt,RB,RB46,174,157.66666666666666,WAS,-16.333333333333343,-10.359408033826645,
Tank Dell,WR,WR75,175,183.8,HOU,8.800000000000011,4.787812840043531,
Kaytron Allen,RB,RB47,176,169.73333333333332,WAS,-6.26666666666668,-3.692065985860181,
Ted Hurst III,WR,WR76,177,160,TB,-17,-10.625,
Emmett Johnson,RB,RB48,178,146.55555555555554,KC,-31.444444444444457,-21.455648218347243,
Keaton Mitchell,RB,RB49,179,186.625,LAC,7.625,4.085733422638982,
AJ Barner,TE,TE22,180,172.69230769230768,SEA,-7.307692307692321,-4.231625835189318,
Justin Joly,TE,TE23,181,219.06666666666666,DEN,38.06666666666666,17.376749847839317,
Jack Bech,WR,WR77,182,206.5,LV,24.5,11.864406779661017,
J.J. McCarthy,QB,QB34,183,140.16,MIN,-42.84,-30.565068493150687,
Terrance Ferguson,TE,TE24,184,189.96875,LAR,5.96875,3.1419641388386244,
Cade Otton,TE,TE25,185,226.46666666666667,TB,41.46666666666667,18.31027377097439,
Chris Rodriguez Jr.,RB,RB50,186,187.125,JAC,1.125,0.6012024048096193,
Tyrone Tracy Jr.,RB,RB51,187,173.25,NYG,-13.75,-7.936507936507936,
Tyler Allgeier,RB,RB52,188,165.2,ARI,-22.80000000000001,-13.80145278450364,
Chris Brazzell II,WR,WR78,189,162.71428571428572,CAR,-26.285714285714278,-16.15452151009657,
Tyjae Spears,RB,RB53,190,204.2,TEN,14.199999999999989,6.9539666993143925,
Jalen Nailor,WR,WR79,191,194.66666666666666,LV,3.666666666666657,1.8835616438356118,
Brian Robinson Jr.,RB,RB54,192,193.8181818181818,ATL,1.818181818181813,0.9380863039399598,
Dalton Schultz,TE,TE26,193,197.6,HOU,4.599999999999994,2.327935222672062,
Dallas Goedert,TE,TE27,194,171.55,PHI,-22.44999999999999,-13.086563684057118,
Mark Andrews,TE,TE28,195,139.63636363636363,BAL,-55.363636363636374,-39.648437500000014,
Taylen Green,QB,QB35,196,240.72727272727272,CLE,44.72727272727272,18.580060422960724,
Shedeur Sanders,QB,QB36,197,141.63636363636363,CLE,-55.363636363636374,-39.08857509627729,
Jauan Jennings,WR,WR80,198,210.72727272727272,MIN,12.72727272727272,6.03968938740293,
Anthony Richardson Sr.,QB,QB37,199,212.0625,IND,13.0625,6.159740642499263,
Troy Franklin,WR,WR81,200,218.98648648648648,DEN,18.986486486486484,8.67016352977476,
Dontayvion Wicks,WR,WR82,201,238.875,PHI,37.875,15.855572998430143,
Skyler Bell,WR,WR83,202,178,BUF,-24,-13.48314606741573,
Brenen Thompson,WR,WR84,203,222.06060606060606,LAC,19.060606060606062,8.583515283842795,
Michael Mayer,TE,TE29,204,251,LV,47,18.725099601593627,
Tory Horton,WR,WR85,205,199.5,SEA,-5.5,-2.756892230576441,
Travis Kelce,TE,TE30,206,138.76666666666668,KC,-67.23333333333332,-48.45063656017294,
Kayshon Boutte,WR,WR86,207,216.95454545454547,NE,9.954545454545467,4.588309239472036,
Ray Davis,RB,RB55,208,260.81481481481484,BUF,52.81481481481484,20.249928997443913,
Braelon Allen,RB,RB56,209,196.33333333333334,NYJ,-12.666666666666657,-6.451612903225801,
Mike Washington Jr.,RB,RB57,210,176.92592592592592,LV,-33.074074074074076,-18.693740841532343,
Stefon Diggs,WR,WR87,211,201,,-10,-4.975124378109453,
Theo Johnson,TE,TE31,212,257.3636363636364,NYG,45.363636363636374,17.62628046626634,
Mason Taylor,TE,TE32,213,231.76190476190476,NYJ,18.76190476190476,8.095335935894802,
Pat Freiermuth,TE,TE33,214,256.57894736842104,PIT,42.57894736842104,16.59487179487179,
Trey Benson,RB,RB58,215,233.28571428571428,ARI,18.285714285714278,7.838334353949783,
Tua Tagovailoa,QB,QB38,216,150.8181818181818,ATL,-65.18181818181819,-43.21880650994576,
T.J. Hockenson,TE,TE34,217,160,MIN,-57,-35.625,
Calvin Ridley,WR,WR88,218,247.72727272727272,TEN,29.72727272727272,11.999999999999996,
Elic Ayomanor,WR,WR89,219,235.68,TEN,16.680000000000007,7.077393075356418,
Jerry Jeudy,WR,WR90,220,198.5,CLE,-21.5,-10.831234256926953,
Deebo Samuel Sr.,WR,WR91,221,253.22222222222223,,32.22222222222223,12.724879333040809,
Tyreek Hill,WR,WR92,222,223.67391304347825,,1.673913043478251,0.7483720478180537,
Juwan Johnson,TE,TE35,223,202.52631578947367,NO,-20.47368421052633,-10.109147609147616,
Sean Tucker,RB,RB59,224,255.52173913043478,TB,31.52173913043478,12.336225965628723,
Demond Claiborne,RB,RB60,225,201,MIN,-24,-11.940298507462686,
Chris Godwin Jr.,WR,WR93,226,142.52173913043478,TB,-83.47826086956522,-58.572300183038436,
Cole Payton,QB,QB39,227,277.2,PHI,50.19999999999999,18.109668109668107,
Jaydon Blue,RB,RB61,228,246.74193548387098,DAL,18.741935483870975,7.595764152176758,
Cyrus Allen,WR,WR94,229,264.2631578947368,KC,35.26315789473682,13.343955387373027,
Mac Jones,QB,QB40,230,237.46153846153845,SF,7.461538461538453,3.1422092646582405,
Kimani Vidal,RB,RB62,231,242.2,LAC,11.199999999999989,4.624277456647395,
Jordan James,RB,RB63,232,224.39473684210526,SF,-7.60526315789474,-3.389234197255777,
Cade Klubnik,QB,QB41,233,214.9,NYJ,-18.099999999999994,-8.422522103303859,
Kevin Coleman Jr.,WR,WR95,234,230.11111111111111,MIA,-3.8888888888888857,-1.6900048285852232,
Kaelon Black,RB,RB64,235,205.52173913043478,SF,-29.47826086956522,-14.343135180875821,
Darnell Mooney,WR,WR96,236,263.1666666666667,NYG,27.166666666666686,10.322989233692216,
Keon Coleman,WR,WR97,237,195.25,BUF,-41.75,-21.382842509603073,
Aaron Jones Sr.,RB,RB65,238,180.8,MIN,-57.19999999999999,-31.637168141592912,
Alvin Kamara,RB,RB66,239,185.28571428571428,NO,-53.71428571428572,-28.989976869699312,
Eli Heidenreich,RB,RB67,240,236.57142857142858,PIT,-3.4285714285714164,-1.4492753623188355,
Ryan Flournoy,WR,WR98,241,245.47727272727272,DAL,4.4772727272727195,1.823905193963519,
Isiah Pacheco,RB,RB68,242,188.40384615384616,DET,-53.59615384615384,-28.44748392365009,
Hunter Henry,TE,TE36,243,213.625,NE,-29.375,-13.750731421884144,
Elijah Arroyo,TE,TE37,244,243.5,SEA,-0.5,-0.20533880903490762,
Ollie Gordon II,RB,RB69,245,232.45454545454547,MIA,-12.545454545454533,-5.396949550254198,
Cole Kmet,TE,TE38,246,280.2738095238095,CHI,34.27380952380952,12.228687932718852,
Bryce Lance,WR,WR99,247,229.6,NO,-17.400000000000006,-7.578397212543557,
James Conner,RB,RB70,248,259.6,ARI,11.600000000000023,4.4684129429892225,
Najee Harris,RB,RB71,249,276,LAC,27,9.782608695652174,
Tez Johnson,WR,WR100,250,273.1219512195122,TB,23.121951219512198,8.465797463832828,
Brashard Smith,RB,RB72,251,283.57894736842104,KC,32.57894736842104,11.488492947290272,
DeMario Douglas,WR,WR101,252,287.8,NE,35.80000000000001,12.439193884642116,
Colby Parkinson,TE,TE39,253,265.6363636363636,LAR,12.636363636363626,4.757015742642022,
David Njoku,TE,TE40,254,192.1,LAC,-61.900000000000006,-32.222800624674655,
Caleb Douglas,WR,WR102,255,239.02439024390245,MIA,-15.975609756097555,-6.683673469387752,
Justin Fields,QB,QB42,256,227.6153846153846,KC,-28.384615384615387,-12.470429199053736,
MarShawn Lloyd,RB,RB73,257,209.42857142857142,GB,-47.571428571428584,-22.71487039563439,
Jalen Milroe,QB,QB43,258,248.5,SEA,-9.5,-3.8229376257545273,
Chimere Dike,WR,WR103,259,254.3684210526316,TEN,-4.631578947368411,-1.8208152286364534,
Jack Endries,TE,TE41,260,251,CIN,-9,-3.5856573705179287,
Ja'Tavion Sanders,TE,TE42,261,268,CAR,7,2.6119402985074625,
Kaleb Johnson,RB,RB74,262,190.2,PIT,-71.80000000000001,-37.7497371188223,
Kyle Williams,WR,WR104,263,228.625,NE,-34.375,-15.035538545653363,
Tyquan Thornton,WR,WR105,264,281.8970588235294,KC,17.89705882352939,6.348792320934836,
Isaiah Bond,WR,WR106,265,270.27659574468083,CLE,5.276595744680833,1.9522947335275067,
Christian Kirk,WR,WR107,266,274.8,SF,8.800000000000011,3.2023289665211103,
Cedric Tillman,WR,WR108,267,284.8888888888889,CLE,17.888888888888914,6.27925117004681,
Jaylen Wright,RB,RB75,268,241.9375,MIA,-26.0625,-10.77241022991475,
Kendre Miller,RB,RB76,269,289.1063829787234,NO,20.10638297872339,6.954665881660284,
Treylon Burks,WR,WR109,270,292.51851851851853,WAS,22.518518518518533,7.698151430741965,
LeQuint Allen Jr.,RB,RB77,271,272.61538461538464,JAC,1.6153846153846416,0.5925507900677297,
Adam Randall,RB,RB78,272,217.01351351351352,BAL,-54.986486486486484,-25.33781680054798,
Malik Washington,WR,WR110,273,215.04545454545453,MIA,-57.95454545454547,-26.949904882688656,
Tanner Koziol,TE,TE43,274,268,JAC,-6,-2.2388059701492535,
Emanuel Wilson,RB,RB79,275,249.375,SEA,-25.625,-10.275689223057643,
Xavier Legette,WR,WR111,276,271.8095238095238,CAR,-4.190476190476204,-1.5416958654520023,
Sam Roush,TE,TE44,277,276,CHI,-1,-0.36231884057971014,
Evan Engram,TE,TE45,278,258.29787234042556,DEN,-19.702127659574444,-7.627677100494223,
George Holani,RB,RB80,279,293.3611111111111,SEA,14.361111111111086,4.895369756651824,
Seth McGowan,RB,RB81,280,252.77777777777777,IND,-27.22222222222223,-10.769230769230772,
Jerome Ford,RB,RB82,281,294.48936170212767,WAS,13.489361702127667,4.580593887724878,
Trevor Etienne,RB,RB83,282,278.3809523809524,CAR,-3.619047619047592,-1.3000342114266066,
Isaiah Davis,RB,RB84,283,279.53061224489795,NYJ,-3.4693877551020478,-1.2411476965758952,
Devin Neal,RB,RB85,284,262.9642857142857,NO,-21.035714285714278,-7.999456743175333,
Marvin Mims Jr.,WR,WR112,285,269.1875,DEN,-15.8125,-5.874158346877176,
Jake Tonges,TE,TE46,286,244.16,SF,-41.84,-17.13630406290957,
Calvin Austin III,WR,WR113,287,285.05555555555554,NYG,-1.944444444444457,-0.682128240109145,
Cooper Kupp,WR,WR114,288,261.15625,SEA,-26.84375,-10.278808184755295,
Jarquez Hunter,RB,RB86,289,282.3888888888889,LAR,-6.611111111111086,-2.3411371237458103,
Keenan Allen,WR,WR115,290,290.95454545454544,LAC,0.954545454545439,0.32807373847835747,
Luke Musgrave,TE,TE47,291,291.125,GB,0.125,0.042936882782310004,
Konata Mumpfield,WR,WR116,292,296,LAR,4,1.3513513513513513,
Rashod Bateman,WR,WR117,293,266.72727272727275,BAL,-26.272727272727252,-9.850034083162909,
Devaughn Vele,WR,WR118,294,288.1666666666667,NO,-5.833333333333314,-2.024291497975702,
Savion Williams,WR,WR119,295,286.8095238095238,GB,-8.190476190476204,-2.855719740992866,
