player,adp
troy fumagalli,216
cash jones,216
clayton tune,216
gee scott,216
deon cain,216
khalan laborn,216
alfonzo graham,216
harrison wallace,216
tyler lockett,216
dane key,216
evan hull,216
patrick taylor,216
kendall milton,216
lynn bowden,216
eric ebron,216
jeshaun jones,216
n'keal harry,216
griffin hebert,216
jared wiley,216
slade bolden,216
brian hill,216
d'onta foreman,216
chase claypool,216
hakeem butler,216
anthony miller,216
colton dowell,216
austin trammell,216
cortez braham,216
c.j. beathard,216
skylar thompson,216
ja'quinden jackson,216
kenny yeboah,216
izaiah gathings,216
christian wade,216
sam howell,216
james proche,216
kadarius toney,216
denzel mims,216
tommy devito,216
terrace marshall jr.,216
keith smith,216
khalil herbert,216
robert woods,216
anthony brown,216
allen robinson ii,216
kristian wilkerson,216
mitch tinsley,216
velus jones jr.,216
steven sims,216
tyler johnson,216
austin watkins,216
brandon johnson,216
shi smith,216
drew lock,216
ty montgomery,216
brycen tremayne,216
darrel williams,216
tanner conner,216
jaren hall,216
dresser winn,216
michael trigg,216
tyler kroft,216
jacob saylors,216
jelani woods,216
sam hartman,216
kevin rader,216
david martin-robinson,216
justin shorter,216
jaydon mickens,216
josh kattus,216
lawrence cager,216
ryan miller,216
matt bushman,216
josh reynolds,216
adam thielen,216
trent pennix,216
jason brownlee,216
larry rountree,216
deuce vaughn,216
jake luton,216
will grier,216
trinity benson,216
c.j. saunders,216
mike williams,216
kejon owens,216
trey quinn,216
stephen carlson,216
marcell ateman,216
parker hesse,216
dominic richardson,216
tyren montgomery,216
latavius murray,216
aidan robbins,216
ihmir smith-marsette,216
hassan haskins,216
bam knight,216
tre' mckitty,216
carson steele,216
tyler scott,216
taylor heinicke,216
jaret patterson,216
robert henry,216
john samuel shenker,216
mark gronowski,216
ramel keyton,216
dominique dafney,216
montrell washington,216
kevin white,216
alex armah,216
kahale warring,216
brandon bolden,216
gavin hardison,216
will sheppard,216
josh doctson,216
jesse james,216
quentin skinner,216
miles boykin,216
logan woodside,216
tanner mordecai,216
k.j. osborn,216
isaiah spiller,216
kwamie lassiter,216
xavier guillory,216
alexander mattison,216
aaron shampklin,216
cole beasley,216
blaine gabbert,216
miller forristall,216
zach wilson,216
frank darby,216
gary brightwell,216
johnny lumpkin,216
dj rogers,216
cj donaldson,216
zach evans,216
terique owens,216
aj dillon,216
dan chisena,216
ja'corey brooks,216
britain covey,216
max brosmer,216
alex erickson,216
nick nash,216
thomas fidone,216
jacob harris,216
jalin conyers,216
simi fehoko,216
kurtis rourke,216
isaiah winstead,216
kalen ballage,216
quali conley,216
jaheim bell,216
nick chubb,216
danny gray,216
jake kumerow,216
sawyer robertson,216
trebor pena,216
chase edmonds,216
d.j. williams,216
behren morton,216
bryce ford-wheaton,216
ryan jones,216
ja'lynn polk,216
kyle trask,216
brevin easton,216
bailey zappe,216
jordan matthews,216
dean conners,216
silas bolden,216
bub means,216
brady cook,216
sean clifford,216
noah thomas,216
jalen cropper,216
derek wright,216
cade johnson,216
jabari small,216
lew nichols,216
sam wiglusz,216
grant dubose,216
parris campbell,216
malik flowers,216
nate noel,216
tony jones jr.,216
la'mical perine,216
dalen cambre,216
princeton fant,216
adrian martinez,216
malik turner,216
taysom hill,216
brady boyd,216
ulysses bentley,216
isaiah ford,216
jalen walthall,216
mecole hardman jr.,216
dalton keene,216
tommy hudson,216
tyrone broden,216
lance mccutcheon,216
nathan rourke,216
jaquae jackson,216
jack doyle,216
nick bowers,216
tony brown,216
dez fitzpatrick,216
will dissly,216
kyron drones,216
marquez callaway,216
julio jones,216
dillon bell,216
tanner taula,216
da'quan felton,216
isaiah washington,216
damien williams,216
hayden hatten,216
jordan wilkins,216
mason fairchild,216
darrell daniels,216
ethan garbers,216
jerand bradley,216
diego pavia,216
malcolm perry,216
israel abanikanda,216
robert tonyan,216
cam miller,216
jalen guyton,216
jaydn ott,216
e.j. perry,216
jack colletto,216
tyreik mcallister,216
messiah swinson,216
jakob johnson,216
dorian singer,216
devante parker,216
jimmy garoppolo,216
donovan peoples-jones,216
blake watson,216
decarlos nicholson,216
elijah collins,216
robert burns,216
matt sokol,216
lance mason,216
godwin igwebuike,216
ethan fernea,216
aidan o'connell,216
pharoh cooper,216
charlie jones,216
jake haener,216
t.j. harden,216
ray-ray mccloud iii,216
matthew slater,216
eno benjamin,216
cody latimer,216
irvin charles,216
trestan ebner,216
dayton wade,216
kendric pryor,216
braylon sanders,216
jacob warren,216
jaden shirden,216
luke stocker,216
laviska shenault jr.,216
freddie swain,216
johnny wilson,216
tarik black,216
sammy watkins,216
leonard fournette,216
jake fromm,216
sam ehlinger,216
hayden hurst,216
daurice fountain,216
rodney adams,216
javon baker,216
kyle philips,216
andrew armstrong,216
nick vannett,216
logan thomas,216
byron pringle,216
lake mcree,216
jalen camp,216
sean brown,216
andy isabella,216
zack moss,216
darrynton evans,216
david durden,216
cole turner,216
jody fortson,216
craig reynolds,216
kene nwangwu,216
easton stick,216
kareem hunt,216
quentin moore,216
marcus rosemy-jacksaint,216
hayden large,216
sean ryan,216
ra'shaun henry,216
mycole pruitt,216
frank gore,216
michael strachan,216
rashod owens,216
duke johnson,216
cole payton,216
jonathan ward,216
patrick herbert,216
drake stoops,216
ty'son williams,216
josh kelly,216
willie snead,216
roschon johnson,216
dean connors,216
jamison crowder,216
devin asiasi,216
ricky person,216
malik knowles,216
michael burton,216
tim boyle,216
lan larison,216
pooka williams,216
kazmeir allen,216
raheem mostert,216
chris herndon,216
michael pratt,216
luke grimm,216
tom kennedy,216
dennis houston,216
amari rodgers,216
austin ekeler,216
carter bradley,216
tulu griffin,216
josh cameron,216
elijah higgins,216
daniel bellinger,216
derek carr,216
gardner minshew ii,216
van jefferson,216
sam roush,216
austin hooper,216
cade stover,216
jackson hawes,216
kevin austin,216
john bates,216
efton chism,216
jaren kanak,216
drew sample,216
ben sinnott,216
luke schoonmaker,216
barion brown,216
jawhar jordan,216
grant calcaterra,216
brevyn spann-ford,216
jimmy horn,216
david sills,216
adam trautman,216
josh cuevas,216
roman wilson,216
brock wright,216
xavier smith,216
dameon pierce,216
lil'jordan humphrey,216
jordan whittington,216
trey lance,216
jameis winston,216
connor heyward,216
will levis,216
tyler huntley,216
spencer rattler,216
tyson bagent,216
carson wentz,216
tanner mckee,216
quinn ewers,216
joe milton,216
jarrett stidham,216
davis mills,216
nick mullens,216
kyle allen,216
mitchell trubisky,216
dillon gabriel,216
andy dalton,216
teddy bridgewater,216
tip reiman,216
mo alie-cox,216
josh johnson,216
devin singletary,216
zavier scott,216
ty chandler,216
elijah mitchell,216
davis allen,216
jeremy mcnichols,216
luke farrell,216
gunner olszewski,216
durham smythe,216
foster moreau,216
isaiah hodgins,216
riley nowakowski,216
jeremy ruckert,216
michael carter,216
hunter luepke,216
cody white,216
lucas krull,216
payne durham,216
quintin morris,216
charlie woerner,216
jaleel mclaughlin,216
malachi corley,216
phil mafah,216
arian smith,216
xavier weaver,216
ronnie rivers,216
jack stoll,216
devin culp,216
darius cooper,216
reggie virgil,215.9
jalen brooks,216
josh whyle,216
kendre miller,216
kalel mullings,216
julius chestnut,216
tanner hudson,216
nate adkins,216
stone smartt,216
kenny mcintosh,216
eric saubert,216
cam akers,216
brevin jordan,216
dylan laube,216
julian hill,216
drew ogletree,216
tyler goodson,216
xavier restrepo,216
dareke young,216
blake whiteheart,216
kaden wetjen,216
ricky white,216
jake bobo,216
tylan wallace,216
cameron latu,216
kylen granson,216
ian thomas,216
ben yurosek,216
trent sherfield,216
anthony gould,216
skyy moore,216
lajohntay wester,216
ashton dulin,216
damien martinez,216
donovan edwards,216
jordan watkins,216
ko kieft,216
chris manhertz,216
feleipe franks,216
david moore,216
jacob cowing,216
derius davis,216
ben skowronek,216
devin duvernay,216
nikko remigio,216
jarvis landry,216
jase mcclellan,216
jacob copeland,216
keith kirkwood,216
jamoi mayes,216
charleston rambo,216
dee eskridge,216
dontay demus,216
emory jones,216
ahmani marshall,216
brycen hopkins,216
hal presley,216
jalen white,216
thomas yassmin,216
malik taylor,216
damien harris,216
carsen ryan,216
tre'shaun harrison,216
erik ezukanma,216
travis vokolek,216
isaiah wooden,216
khari blasingame,216
jalen wayne,216
cornell powell,216
hank beatty,216
mike boone,216
myles price,216
jaray jenkins,216
monaray baldwin,216
rashaad penny,216
jha'quan jackson,216
curtis hodges,216
alex bachman,216
josh pederson,216
noah short,216
stephen sullivan,216
miles sanders,216
jamari thrash,216
dominic lovett,216
tre'quan smith,216
austin reed,216
tommy mellott,216
coleman bennett,216
brett rypien,216
ben patterson,216
cody hardy,216
jacob clark,216
mark redman,216
tyler kahmann,216
kirk merritt,216
bryson nesbit,216
noah togiai,216
trent taylor,216
dwayne washington,216
mathew sexton,216
marvin hall,216
landon parker,216
anthony schwartz,216
scotty miller,216
jp richardson,216
robert lewis,216
joel wilson,216
jermar jefferson,216
reggie gilliam,216
tyrod taylor,216
adam shaheen,216
trey knox,216
dallin holker,216
deontay burnett,216
chris myarick,216
nick boyle,216
noah brown,216
terrell bynum,216
joshua cephus,216
mike white,216
russell wilson,216
rakim jarrett,216
joshua dobbs,216
shane zylstra,216
damiere byrd,216
justin hall,216
luke altmyer,216
elijhah badger,216
aj henning,216
max duggan,216
thaddeus moss,216
wayne gallman,216
ross dwelley,216
deneric prince,216
a.t. perry,216
james mitchell,216
will mallory,216
michael wiley,216
deangelo hardy,216
matt lacosse,216
breshad perriman,216
traeshon holden,216
tim patrick,216
anthony smith,215.9
jaelon darden,216
chase curtis,216
ronald jones,216
nathan carter,216
daniel sobkowicz,216
tre stewart,216
tim jones,216
jordan mims,216
matt landers,216
de'anthony thomas,216
devonte ross,216
marvin jones jr.,216
jordan moore,216
trey sermon,216
zakhari franklin,216
khalil dinkins,216
brady russell,216
phillip brooks,216
kendall blanton,216
jeff driskel,216
thayer thomas,216
jonnu smith,216
theo riddick,216
caleb huntley,216
keaontay ingram,216
curtis samuel,216
peyton hendershot,216
kyric mcgowan,216
vinny anthony,216
duece watts,216
brittain brown,216
dare ogunbowale,216
jared wayne,216
troy hairston,216
boston scott,216
trinidad chambliss,216
russell gage,216
ben sims,216
nick muse,216
thomas odukoya,216
james robinson,216
gavin bartholomew,216
zach ertz,216
terion stewart,216
trevor siemian,216
owen wright,216
aaron anderson,216
scotty washington,216
luke wysong,216
kayron lynch-adams,216
jordan travis,216
malik cunningham,216
le'veon moss,216
kobe prentice,216
jacques patrick,216
luis perez,216
bryan thompson,216
kj hamler,216
jordan akins,216
zach davidson,216
antonio gibson,216
montrell johnson,216
leonard taylor,216
deandre carter,216
ben dinucci,216
maurice alexander,216
leroy watson,216
nelson agholor,216
jakeem grant,216
dante pettis,216
lewis bond,216
eric gray,216
david blough,216
easop winston,216
jack strand,216
kaden smith,216
james washington,216
gerald everett,216
ian book,216
caleb lohner,216
ezekiel elliott,216
deshaun fenwick,216
nick williams,216
joshua kelley,216
marcedes lewis,216
brandon allen,216
jackson meeks,216
odell beckham jr.,216
ty scott,216
hunter long,216
athan kaliakmanis,216
avery williams,216
tanner morgan,216
irv smith jr.,216
keilan robinson,216
kearis jackson,216
kaden prather,216
kevin harris,216
samson nacua,216
j.michael sturdivant,216
chris hilton,216
joey fagnano,216
