name,team,pos,mean,rankNum,spikeRank,spikeWeeks,priorFPG,age,carries,tgtShare
Travis Etienne,NO,RB,12.8,21,17,2.89,14.9,27,14.35,0.1
TreVeyon Henderson,NE,RB,12.8,20,19,2.77,12.2,23,11.65,0.1
Trey Benson,ARI,RB,0.5,68,63,0.51,8.9,23,0,0
Ty Johnson,BUF,RB,6,48,49,1.05,5.9,28,3.06,0.06
Tyjae Spears,TEN,RB,8.6,39,42,1.36,8.6,24,6.29,0.11
Tyler Allgeier,ARI,RB,5.8,50,48,1.07,7.2,25,5.47,0.03
Tyrone Tracy,NYG,RB,7,45,41,1.42,10.8,26,5.65,0.04
Woody Marks,HOU,RB,8.1,41,27,2.2,9.1,25,8.59,0.06
Zach Charbonnet,SEA,RB,9.2,37,28,2.09,11.3,25,13.36,0.05
Zonovan Knight,ARI,RB,0.8,65,59,0.71,7.8,24,0,0
A.J. Barner,SEA,TE,7.5,23,21,1.6,8.7,23,0,0
Brenton Strange,JAX,TE,8.7,17,23,1.56,9.8,25,0,0
Brock Bowers,LV,TE,13.6,2,2,3.76,14.7,23,0,0
Cade Otton,TB,TE,7.3,25,20,1.62,7.6,26,0,0
Chig Okonkwo,WAS,TE,7.7,20,19,1.69,7.3,26,0,0
Colby Parkinson,LA,TE,5.4,31,34,1.33,8.7,27,0,0
Cole Kmet,CHI,TE,4.4,36,31,1.39,4.9,26,0,0
Colston Loveland,CHI,TE,11.7,3,10,2.6,10.3,21,0,0
Dallas Goedert,PHI,TE,9.9,11,12,2.04,12.3,31,0,0
Dalton Kincaid,BUF,TE,7.4,24,14,1.96,10.5,26,0,0
Dalton Schultz,HOU,TE,7.7,21,18,1.71,10.5,29,0,0
Darnell Washington,PIT,TE,4.7,34,36,1.25,4.7,24,0,0
Darren Waller,MIA,TE,2.1,46,46,0.16,9.9,33,0,0
David Njoku,LAC,TE,3.2,42,44,0.5,7.2,29,0,0
Dawson Knox,BUF,TE,3.9,39,40,1.02,6.1,29,0,0
Elijah Arroyo,SEA,TE,2.6,45,43,0.75,2.9,22,0,0
Elijah Higgins,ARI,TE,2.8,44,42,0.8,3.5,25,0,0
Evan Engram,DEN,TE,6.8,26,35,1.33,6.4,31,0,0
George Kittle,SF,TE,11.4,4,6,3.13,14.7,32,0,0
Gunnar Helm,TEN,TE,6.1,28,26,1.49,5.7,23,0,0
Harold Fannin,CLE,TE,10.7,8,9,2.7,11.7,21,0,0
Hunter Henry,NE,TE,7.9,19,27,1.49,10.5,31,0,0
Isaiah Likely,NYG,TE,8.9,16,16,1.9,4.5,25,0,0
Ja'Tavion Sanders,CAR,TE,5.5,30,29,1.47,4.2,22,0,0
Jake Ferguson,DAL,TE,9.7,12,8,2.82,11.2,27,0,0
Jake Tonges,SF,TE,3.2,41,41,0.89,5.8,26,0,0
Jonnu Smith,PIT,TE,2.9,43,39,1.07,5,30,0,0
Juwan Johnson,NO,TE,9.3,13,11,2.31,10.7,29,0,0
