Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentInlineRoutesPercentage,TargetsContestedTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,ReceptionsHero
Tyler Goodson,IND,RB,8,Yes,No,No,6,No,No,0.1667,,16,4,3,0.75,0.6667,3,0.75,25,43,11,-22,2,0.6667,0.8333,4,4,1,-5.5,90.6,4.1667,6.25,1.0405,8.3333,14.3333,3.6667,1,6.2447,6.2447,0.5,2.5,5.5,4,7,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,,,,,,,,
Jordan Mason,SF,RB,8,No,No,No,4,No,Yes,,,12,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant DuBose,MIA,WR,9,No,No,No,2,No,Yes,0.5,0.5,3,1,1,1,0.5,1,1,-2,4,,-6,,,,1,1,1,-6,79.2,-1,-2,-5.7419,-2,4,,,2.0857,2.0857,0.1111,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,,,,,,,
Tre Tucker,LV,WR,40,Yes,No,Yes,16,No,Yes,0.375,0.625,17,11,11,1,0.6875,10,0.9091,48,74,21,-27,1,0.1,,11,11,1,-2.4545,84.8,3,4.3636,-0.9208,4.8,7.4,2.1,1,16.467,16.467,0.275,4.8,14.8,9.8,14.8,14.8,14.8,9.8,14.8,14.8,14.8,9.8,14.8,14.8,,,,,1,0.0909,,
Tim Jones,JAX,WR,12,Yes,No,No,2,No,No,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Taylor,IND,RB,28,Yes,No,No,13,No,No,0.1538,,14,9,7,0.7778,0.6923,6,0.6667,58,85,46,-42,4,0.6667,0.8462,9,9,1,-4.6667,44.9,4.4615,6.4444,0.9428,9.6667,14.1667,7.6667,3,13.3493,13.3493,0.3214,5.8,11.8,8.8,14.8,11.8,11.8,8.8,11.8,11.8,11.8,8.8,11.8,11.8,,,,,,,,
Troy Franklin,DEN,WR,29,Yes,No,No,18,No,Yes,0.4444,0.5556,16,11,11,1,0.6111,10,0.9091,58,91,31,-35,2,0.2,,11,11,1,-3.1818,118.9,3.2222,5.2727,0.3868,5.8,9.1,3.1,2,19.3541,19.3541,0.3793,11.8,21.8,16.8,21.8,21.8,21.8,16.8,21.8,21.8,21.8,16.8,21.8,21.8,,,1,4,1,0.0909,,
Zach Pascal,ARZ,WR,4,No,No,No,2,No,Yes,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Gipson,NYJ,WR,17,Yes,No,No,9,No,Yes,0.7778,0.2222,17,3,3,1,0.3333,3,1,10,19,4,-9,1,0.3333,,3,3,1,-3,80.6,1.1111,3.3333,-1.7568,3.3333,6.3333,1.3333,,4.5463,4.5463,0.1765,1,4,2.5,4,4,4,2.5,4,4,4,2.5,4,4,,,,,,,,
Cedrick Wilson,NO,WR,19,No,No,No,1,No,Yes,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Bigsby,JAX,RB,17,Yes,No,No,3,No,No,,,16,3,3,1,1,2,0.6667,30,40,2,-12,2,1,1,3,3,1,-4,99.3,10,10,4.3847,15,20,1,1,4.1561,4.1561,0.1765,3,5,4,6,5,5,4,5,5,5,4,5,5,,,,,1,0.3333,,
Mike Woods,CLV,WR,17,No,No,No,6,No,Yes,0.5,0.3333,5,1,1,1,0.1667,1,1,4,6,3,-2,,,,1,1,1,-2,83.3,0.6667,4,-1.4991,4,6,3,,1.4987,1.4987,0.0588,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,0.1667,,,,,,,
Sean Tucker,TB,RB,6,No,No,No,2,No,Yes,,,17,1,1,1,0.5,1,1,6,13,4,-7,,,1,1,1,1,-7,91.7,3,6,1.4713,6,13,4,,1.1357,1.1357,0.1667,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,
Xavier Smith,LA,WR,1,Yes,No,No,1,No,Yes,1,,15,1,1,1,1,1,1,-5,,,-5,,,,1,1,1,-5,79.2,-5,-5,-9.1596,-5,,,,1.6816,1.6816,1,-0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,,,,,,,,
Kenneth Walker,SEA,RB,29,Yes,No,No,20,No,Yes,0.15,0.2,11,15,15,1,0.75,14,0.9333,58,113,29,-56,2,0.1429,0.65,15,15,1,-3.7333,82.8,2.9,3.8667,-1.6815,4.1429,8.0714,2.0714,3,23.3431,23.3431,0.5172,5.8,19.8,12.8,26.8,19.8,19.8,12.8,19.8,19.8,19.8,12.8,19.8,19.8,,1,,1,1,0.0667,1,
De'Von Achane,MIA,RB,70,Yes,No,No,57,No,Yes,0.4035,0.0702,17,36,35,0.9722,0.6316,34,0.9444,252,377,109,-135,9,0.2647,0.5263,36,36,1,-3.75,132.9,4.4211,7,1.2047,7.4118,11.0882,3.2059,12,70.9325,70.9325,0.5143,49.2,83.2,66.2,100.2,83.2,86.2,69.2,83.2,83.2,83.2,66.2,83.2,83.2,,,4,11,1,0.0278,,
Mike Evans,TB,WR,54,No,No,No,18,No,Yes,0.1111,0.8889,14,1,1,1,0.0556,1,1,6,6,1,,,,,1,1,1,,91.7,0.3333,6,-0.0386,6,6,1,,1.1808,1.1808,0.0185,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,
Jordan Addison,MIN,WR,46,No,No,No,16,No,Yes,0.8125,0.1875,15,9,9,1,0.5625,9,1,14,51,15,-37,2,0.2222,,9,9,1,-4.1111,79.2,0.875,1.5556,-2.7992,1.5556,5.6667,1.6667,,14.9612,14.9612,0.1957,1.4,10.4,5.9,10.4,10.4,10.4,5.9,10.4,10.4,10.4,5.9,10.4,10.4,,,,5,,,,
Tyler Lockett,SEA,WR,54,Yes,No,No,16,No,Yes,0.5625,0.4375,17,6,6,1,0.375,6,1,11,26,6,-15,,,,6,6,1,-2.5,79.2,0.6875,1.8333,-3.48,1.8333,4.3333,1,1,9.7835,9.7835,0.1111,1.1,7.1,4.1,7.1,7.1,7.1,4.1,7.1,7.1,7.1,4.1,7.1,7.1,,,,,,,,
Keon Coleman,BUF,WR,33,Yes,No,No,13,No,Yes,,1,13,2,2,1,0.1538,2,1,20,27,10,-7,1,0.5,,2,2,1,-3.5,108.3,1.5385,10,5.2871,10,13.5,5,,3.2314,3.2314,0.0606,2,4,3,4,4,4,3,4,4,4,3,4,4,,,,,,,,
Lil'Jordan Humphrey,DEN,WR,42,Yes,No,No,12,No,Yes,0.75,0.1667,17,9,9,1,0.75,9,1,66,89,49,-23,7,0.7778,,9,9,1,-2.5556,97.2,5.5,7.3333,2.1971,7.3333,9.8889,5.4444,2,13.3474,13.3474,0.2143,6.6,15.6,11.1,15.6,15.6,15.6,11.1,15.6,15.6,15.6,11.1,15.6,15.6,0.0833,,,,,,,
Tyler Scott,CHI,WR,1,No,No,No,1,No,Yes,1,,11,1,1,1,1,1,1,5,8,1,-3,,,,1,1,1,-3,87.5,5,5,0.0592,5,8,1,,1.6252,1.6252,1,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,
Jaylen Wright,MIA,RB,12,Yes,No,No,5,No,Yes,0.2,,15,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashee Rice,KC,WR,13,Yes,Yes,Yes,9,No,No,0.3333,0.6667,4,8,8,1,0.8889,8,1,47,70,25,-23,4,0.5,,8,8,1,-2.875,91.1,5.2222,5.875,0.8516,5.875,8.75,3.125,3,12.7274,12.7274,0.6154,4.7,12.7,8.7,12.7,12.7,12.7,8.7,12.7,12.7,12.7,8.7,12.7,12.7,,1,,1,,,1,
Ty Chandler,MIN,RB,5,No,No,No,3,No,Yes,,,15,3,3,1,1,3,1,14,27,7,-13,,,1,3,3,1,-4.3333,86.1,4.6667,4.6667,-1.0036,4.6667,9,2.3333,,5.8283,5.8283,0.6,1.4,4.4,2.9,5.9,4.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,,,,1,,,,
Britain Covey,PHI,WR,4,Yes,No,Yes,2,No,Yes,1,,5,2,2,1,1,2,1,5,9,,-4,,,,2,2,1,-2,79.2,2.5,2.5,-2.9991,2.5,4.5,,,4.8044,4.8044,0.5,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,,,,2,,,,
Justin Watson,KC,WR,55,Yes,No,No,15,No,Yes,0.2,0.8,17,1,1,1,0.0667,1,1,1,3,1,-2,,,,1,1,1,-2,79.2,0.0667,1,-4.4991,1,3,1,,1.4274,1.4274,0.0182,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,,,,,
Austin Hooper,NE,TE,21,Yes,No,No,6,No,Yes,0.1667,,17,3,3,1,0.5,3,1,49,62,25,-13,1,0.3333,,3,3,1,-4.3333,118.8,8.1667,16.3333,10.6513,16.3333,20.6667,8.3333,3,7.6287,7.6287,0.1429,4.9,7.9,6.4,7.9,9.4,7.9,6.4,7.9,7.9,7.9,6.4,9.4,7.9,0.8333,,,,,,,
Bryce Oliver,TEN,WR,4,No,No,No,1,No,No,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,19,Yes,No,No,1,No,No,,,17,1,1,1,1,1,1,6,7,,-1,,,,1,1,1,-1,91.7,6,6,1.0986,6,7,,,1.6152,1.6152,0.0526,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,1,,,1,,,,
Tyrone Tracy,NYG,RB,37,Yes,No,No,15,No,Yes,0.2667,0.0667,17,10,9,0.9,0.6667,8,0.8,93,132,38,-48,4,0.5,0.6667,10,10,1,-4.8,105.4,6.2,9.3,3.7057,11.625,16.5,4.75,5,14.8533,14.8533,0.2703,9.3,17.3,13.3,21.3,17.3,17.3,13.3,17.3,17.3,17.3,13.3,17.3,17.3,,,,1,1,0.1,,
