Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentInlineRoutesPercentage,TargetsContestedTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,ReceptionsHero
Rome Odunze,CHI,WR,89,No,No,No,18,No,Yes,0.4444,0.5556,17,7,7,1,0.3889,7,1,48,63,26,-15,2,0.2857,,7,7,1,-2.1429,95.2,2.6667,6.8571,1.4895,6.8571,9,3.7143,3,13.5732,13.5732,0.0787,4.8,11.8,8.3,11.8,11.8,11.8,8.3,11.8,11.8,11.8,8.3,11.8,11.8,,,,2,,,,
Tyler Badie,DEN,RB,1,No,No,Yes,1,No,No,,,3,1,1,1,1,1,1,-3,3,,-6,,,1,1,1,1,-6,79.2,-3,-3,-8.0893,-3,3,,,1.3913,1.3913,1,-1.3,-0.3,-0.8,0.2,-0.3,-0.3,-1.8,-1.3,-1.3,-1.3,-1.8,-0.3,-1.3,,,,,,,,
Jalen Brooks,DAL,WR,21,No,No,No,11,No,Yes,0.1818,0.8182,14,1,1,1,0.0909,1,1,,2,2,-2,,,,1,1,1,-2,79.2,,,-5.4991,,2,2,,1.5483,1.5483,0.0476,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,,,,,,,
Jordan Mims,NO,RB,8,No,No,No,7,No,Yes,0.1429,0.2857,9,4,3,0.75,0.5714,2,0.5,25,26,,-8,,,0.5714,4,4,1,-2,69.8,3.5714,6.25,0.1993,12.5,13,,1,6.2334,6.2334,0.5,2.5,4.5,3.5,5.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,,,,,,,,
Kevin Austin,NO,WR,18,No,No,No,6,No,Yes,0.5,0.5,8,1,,,0.1667,,,,,,,,,,1,1,1,,39.6,,,-6.0386,,,,,1.3899,1.3899,0.0556,,,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PHI,RB,7,Yes,No,No,3,No,Yes,0.3333,,17,2,1,0.5,0.6667,1,0.5,5,9,5,-10,,,0.6667,2,2,1,-5,56.3,1.6667,2.5,-2.8296,5,9,5,,2.6593,2.6593,0.2857,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,
Marquise Brown,KC,WR,3,No,No,No,3,No,Yes,0.3333,0.6667,2,2,2,1,0.6667,2,1,7,15,1,-8,,,,2,2,1,-4,81.3,2.3333,3.5,-0.9851,3.5,7.5,0.5,,3.3038,3.3038,0.6667,0.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,,,,1,,,,
Jalen Nailor,MIN,WR,32,No,No,No,6,No,Yes,0.3333,0.6667,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Metchie,HST,WR,23,No,No,No,5,No,No,0.4,0.6,13,3,3,1,0.6,3,1,11,19,4,-8,,,,3,3,1,-2.6667,81.9,2.2,3.6667,-1.4602,3.6667,6.3333,1.3333,1,4.7781,4.7781,0.1304,1.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,,,,1,,,,
Jamison Crowder,WAS,WR,10,No,No,No,3,No,Yes,1,,6,1,1,1,0.3333,1,1,5,8,,-3,,,,1,1,1,-3,87.5,1.6667,5,0.0592,5,8,,,1.6139,1.6139,0.1,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,
